 
TRANSIENT_NAME:     DES14C2gwx 
SNID:               1302058    
OBS_DATE:           2014-10-29
MJD:                56959. 
PHASE:              -0.    
MJD_MAX:            56959.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1983  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -1.7658       6.4461
 3744.26       0.0186       7.0237
 3745.30      -0.4256       6.7722
 3746.34      -2.0423       5.9335
 3747.38       1.5435       6.3717
 3748.41       3.1184       6.3505
 3749.45       0.8933       5.8195
 3750.49      -0.1615       5.7062
 3751.53      -1.9327       5.1216
 3752.56       0.1308       5.8758
 3753.60      -1.3113       5.4506
 3754.64      -0.9991       5.1993
 3755.68       1.7790       5.5709
 3756.72       0.8505       5.0879
 3757.75       0.7902       5.0238
 3758.79       2.0726       5.5544
 3759.83       0.4222       5.1175
 3760.87      -1.8919       4.1271
 3761.90      -1.0477       5.0771
 3762.94      -1.2610       5.7236
 3763.98      -2.7077       3.5441
 3765.02       1.3798       6.1528
 3766.06       0.9652       7.0586
 3767.09       1.1335       6.6976
 3768.13       2.6396       6.1368
 3769.17       2.2269       4.2518
 3770.21       1.5495       4.6127
 3771.24      -0.1774       4.7269
 3772.28      -0.7510       4.6891
 3773.32       0.1869       4.5307
 3774.36       1.7429       4.5354
 3775.40       3.4021       4.7296
 3776.43       1.4294       4.4332
 3777.47       0.4458       4.4303
 3778.51       1.7056       4.6669
 3779.55       1.7785       4.1614
 3780.58      -0.7211       3.8426
 3781.62      -2.7542       3.8135
 3782.66       1.3179       4.2421
 3783.70       3.2438       4.6743
 3784.73      -0.6947       4.1066
 3785.77      -0.8905       3.6990
 3786.81      -1.6024       3.6635
 3787.85      -4.0038       3.3868
 3788.89      -0.3583       3.7358
 3789.92       2.5099       4.2753
 3790.96       2.8085       4.4138
 3792.00       1.5353       4.3070
 3793.04       1.7056       4.3055
 3794.07       1.7373       4.1062
 3795.11       0.5913       3.7373
 3796.15       0.7933       3.5535
 3797.19       0.4912       3.6268
 3798.23      -1.2046       3.7344
 3799.26      -0.4408       3.7032
 3800.30       0.8568       3.5236
 3801.34       0.1194       3.3369
 3802.38       0.8124       3.4273
 3803.41       1.1858       3.4839
 3804.45       0.1296       3.2409
 3805.49       0.8628       3.1028
 3806.53       2.1372       3.2928
 3807.57       0.8298       3.0267
 3808.60      -0.7647       2.6544
 3809.64      -0.8528       2.7413
 3810.68       0.4747       3.2264
 3811.72      -0.2839       3.1676
 3812.75      -1.6438       2.7463
 3813.79      -0.8499       2.8682
 3814.83      -0.4857       2.9082
 3815.87       1.9967       3.0739
 3816.90       2.6245       2.9762
 3817.94       1.4711       2.7569
 3818.98       1.7916       2.8491
 3820.02       1.1940       2.7152
 3821.06       0.0225       2.5214
 3822.09       0.3916       2.5079
 3823.13       0.4620       2.5313
 3824.17       0.6449       2.5834
 3825.21       1.1578       2.4185
 3826.24       1.0339       2.2177
 3827.28      -0.1526       2.0993
 3828.32      -0.2062       2.2200
 3829.36       1.1637       2.5136
 3830.40       1.5769       2.6422
 3831.43      -0.0496       2.3482
 3832.47       0.8290       2.4079
 3833.51       3.0049       2.7597
 3834.55       1.7461       2.5174
 3835.58       0.8063       2.2078
 3836.62       0.2393       2.1795
 3837.66      -1.6152       1.9851
 3838.70       0.5347       2.0211
 3839.74       0.2395       1.8630
 3840.77      -0.0858       1.8349
 3841.81       1.6547       2.0174
 3842.85       1.1871       2.0280
 3843.89       0.8700       2.0582
 3844.92       0.9704       2.0942
 3845.96      -0.1032       2.0635
 3847.00       1.1125       2.0634
 3848.04      -0.3585       1.7749
 3849.07      -2.5270       1.5567
 3850.11       0.2770       1.8452
