 
TRANSIENT_NAME:     DES14C2gwx 
SNID:               1302058    
OBS_DATE:           2014-11-19
MJD:                56980. 
PHASE:              +17.   
MJD_MAX:            56959.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1983  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -0.5358      16.0512
 3744.26      -0.8104      15.4476
 3745.30      -2.8408      15.0460
 3746.34      -3.7965      13.2885
 3747.38       4.2576      15.4387
 3748.41       1.8461      13.8849
 3749.45      -1.7946      12.9340
 3750.49      -3.5814      12.6699
 3751.53      -1.4953      12.4891
 3752.56      -4.8034      10.5487
 3753.60       0.3929      12.4251
 3754.64      -5.5875      10.0336
 3755.68      -2.7540      10.5786
 3756.72      -2.3501      10.2335
 3757.75      -2.6855      10.9068
 3758.79       1.2533      12.3222
 3759.83       1.5397      11.8961
 3760.87      -2.2989      10.0374
 3761.90      -3.8920       9.3639
 3762.94       1.2858       9.7005
 3763.98       1.4553      10.2189
 3765.02      -3.1738       9.6693
 3766.06       0.2652      10.7607
 3767.09       2.3499      10.5168
 3768.13      -1.7460       8.7472
 3769.17       3.1128       9.9045
 3770.21      -0.8967       9.6791
 3771.24      -5.4848       9.0193
 3772.28       1.8966      10.9559
 3773.32       4.0578      11.0822
 3774.36      -3.1539       8.6668
 3775.40      -3.1749       9.2536
 3776.43      -4.7692       8.4973
 3777.47       0.4879       9.5745
 3778.51       3.4573      10.7414
 3779.55       1.6392      10.0977
 3780.58      -2.4502       8.8220
 3781.62       0.3124       9.3794
 3782.66      -2.0224       8.6687
 3783.70      -3.1880       8.7609
 3784.73      -1.6582       9.1074
 3785.77       1.6499      10.0050
 3786.81      -0.3102       8.8382
 3787.85       1.6674       8.7623
 3788.89      -3.1460       7.4621
 3789.92      -0.6484       8.5267
 3790.96       5.4485      10.4220
 3792.00      -2.4968       8.9678
 3793.04      -1.7603       8.3413
 3794.07       0.4632       8.6336
 3795.11      -4.8719       7.1975
 3796.15      -2.5340       7.2791
 3797.19       1.0793       8.1359
