 
TRANSIENT_NAME:     DES14C2ikn 
SNID:               1303496    
OBS_DATE:           2014-12-24
MJD:                57015. 
PHASE:              +41.   
MJD_MAX:            56966.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1801  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       0.9829      14.5827
 3744.26      -0.5725      10.5985
 3745.30      -3.7359      10.6625
 3746.34       2.3912      12.2851
 3747.38       0.1994      10.5224
 3748.41       0.8465       9.6250
 3749.45      -1.1272       9.6159
 3750.49       1.9114       9.8782
 3751.53       0.8122       9.3988
 3752.56       4.4689      10.3009
 3753.60       6.1466      11.2998
 3754.64       0.9940       9.4320
 3755.68       1.6154       8.9154
 3756.72      -2.2402       8.1174
 3757.75       5.7974      10.6099
 3758.79       0.0633       8.6597
 3759.83      -1.6112       8.0548
 3760.87       0.7684       8.8308
 3761.90      -4.0135       7.5324
 3762.94       3.3216       8.6903
 3763.98       1.8468       7.9734
 3765.02       0.5312       8.1182
 3766.06      -1.9910       6.6688
 3767.09      -0.4665       7.8069
 3768.13      -2.3263       6.9974
 3769.17      -0.4765       7.1563
 3770.21      -4.8966       6.9347
 3771.24       1.1035       8.3825
 3772.28      -1.0408       7.6915
 3773.32      -0.0302       7.9740
 3774.36       5.8500       8.5675
 3775.40       2.3472       7.9594
 3776.43       3.5063       8.3313
 3777.47      -3.3840       6.7236
 3778.51       1.9575       7.5592
 3779.55       0.2284       7.3735
 3780.58       2.7284       7.8791
 3781.62       2.1615       7.6263
 3782.66       1.2002       7.2004
 3783.70       4.5364       7.9764
 3784.73       1.5790       7.6015
 3785.77       1.0812       7.0729
 3786.81       3.3677       7.3759
 3787.85       0.2852       6.2466
 3788.89       0.5902       6.6927
 3789.92       0.3200       6.8771
 3790.96       3.9321       7.6638
 3792.00      -0.0285       6.6169
 3793.04       0.1084       6.0781
 3794.07       1.5835       6.2269
 3795.11       3.4574       7.2380
 3796.15       1.8842       6.3016
 3797.19      -1.3477       5.5775
 3798.23       0.9775       6.2474
 3799.26       0.4888       5.8340
 3800.30       0.9353       5.8317
 3801.34       5.2965       7.0272
 3802.38       1.2982       6.1512
 3803.41       0.5924       5.4964
 3804.45       0.3298       5.6050
 3805.49       2.4364       5.7553
 3806.53       0.0891       5.2149
 3807.57       3.8167       6.0006
 3808.60      -0.1544       4.9475
 3809.64      -1.2213       4.7816
 3810.68      -1.5442       4.6556
