 
TRANSIENT_NAME:     DES14C2kct 
SNID:               1306141    
OBS_DATE:           2014-11-16
MJD:                56977. 
PHASE:              -0.    
MJD_MAX:            56977.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3330  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4000.00   1.7043e-02  ---
 4001.15  -1.0492e-02  ---
 4002.30   2.0139e-02  ---
 4003.45   5.6018e-03  ---
 4004.60  -2.9922e-03  ---
 4005.75   2.0663e-02  ---
 4006.90   3.3320e-02  ---
 4008.05   9.5193e-04  ---
 4009.20  -7.8273e-03  ---
 4010.35   1.5222e-02  ---
 4011.50   1.5214e-02  ---
 4012.65   6.7726e-03  ---
 4013.80   1.0658e-02  ---
 4014.95   8.5279e-03  ---
 4016.10   4.0941e-02  ---
 4017.25   5.9960e-03  ---
 4018.40  -4.3883e-03  ---
 4019.55   1.4350e-02  ---
 4020.70   5.5638e-03  ---
 4021.85  -1.5950e-02  ---
 4023.00  -5.7682e-04  ---
 4024.15   2.1025e-02  ---
 4025.30   4.2003e-02  ---
 4026.45   1.1770e-02  ---
 4027.60   1.4330e-03  ---
 4028.75   2.7078e-02  ---
 4029.90   2.4894e-02  ---
 4031.05   2.5118e-02  ---
 4032.20   3.2832e-03  ---
 4033.35  -2.3474e-03  ---
 4034.50   5.3458e-03  ---
 4035.65   4.1439e-03  ---
 4036.80  -6.7036e-03  ---
 4037.95   9.5955e-03  ---
 4039.10   1.0636e-02  ---
 4040.25  -2.4669e-02  ---
 4041.40  -6.4968e-03  ---
 4042.55   6.9348e-04  ---
 4043.70   2.5218e-03  ---
 4044.85   1.6313e-02  ---
 4046.00   4.7775e-03  ---
 4047.15   4.9522e-02  ---
 4048.30   5.2853e-02  ---
 4049.45   1.8272e-02  ---
 4050.60   3.3856e-03  ---
 4051.75   5.6103e-03  ---
 4052.90   2.7561e-02  ---
 4054.05   1.6233e-02  ---
 4055.20   1.2460e-02  ---
 4056.35   3.5763e-02  ---
 4057.50   3.2549e-02  ---
 4058.65   1.2738e-02  ---
 4059.80   1.6854e-02  ---
 4060.95   3.9518e-02  ---
 4062.10   4.3224e-02  ---
 4063.25   7.0890e-03  ---
 4064.40   1.8427e-03  ---
 4065.55   1.5962e-02  ---
 4066.71   1.6513e-02  ---
 4067.85   3.0022e-03  ---
 4069.01  -3.1621e-03  ---
 4070.16  -8.7496e-03  ---
 4071.31  -5.3993e-03  ---
 4072.46   3.1587e-02  ---
 4073.61   4.3953e-03  ---
 4074.76  -2.0834e-02  ---
 4075.91  -1.0639e-02  ---
 4077.06  -5.9391e-03  ---
 4078.21  -5.7801e-03  ---
 4079.36   1.0926e-02  ---
 4080.51   2.1290e-02  ---
 4081.66  -7.1834e-03  ---
 4082.81  -1.8517e-03  ---
 4083.96  -5.1779e-03  ---
 4085.11  -4.8974e-04  ---
 4086.26  -1.0674e-02  ---
 4087.41   9.5981e-03  ---
 4088.56   1.9526e-02  ---
 4089.71   1.6778e-02  ---
 4090.86   1.9824e-02  ---
 4092.01   1.3668e-02  ---
 4093.16   5.0105e-03  ---
 4094.31   1.1851e-04  ---
 4095.46  -1.7179e-03  ---
 4096.61  -8.3174e-05  ---
 4097.76  -4.4085e-03  ---
 4098.91   1.6747e-03  ---
 4100.06   1.3808e-03  ---
 4101.21  -1.7422e-03  ---
 4102.36  -1.0942e-02  ---
 4103.51  -1.6513e-03  ---
 4104.66   1.5488e-02  ---
 4105.81  -2.9044e-03  ---
 4106.96  -7.5273e-03  ---
 4108.11   1.2403e-02  ---
 4109.26   9.3327e-03  ---
 4110.41   5.7193e-03  ---
 4111.56   4.1299e-03  ---
 4112.71   1.5628e-02  ---
 4113.86   9.1661e-03  ---
 4115.01   4.4759e-04  ---
 4116.16  -1.2087e-02  ---
 4117.31  -2.1665e-02  ---
 4118.46  -6.2859e-03  ---
 4119.61   1.0451e-02  ---
 4120.76   1.9135e-03  ---
 4121.91   1.2861e-02  ---
 4123.06   3.2145e-02  ---
 4124.21   2.1108e-02  ---
 4125.36   1.6320e-02  ---
 4126.51   7.5999e-03  ---
 4127.66   2.5458e-02  ---
 4128.81   3.9312e-02  ---
 4129.96   7.5915e-03  ---
 4131.11  -3.7629e-03  ---
 4132.26   2.2892e-02  ---
 4133.41   2.8167e-02  ---
 4134.56   2.9967e-02  ---
 4135.71   3.0441e-03  ---
 4136.86  -7.1446e-03  ---
 4138.01  -2.1946e-03  ---
 4139.16   1.6625e-03  ---
 4140.31   6.4704e-04  ---
 4141.46   2.2833e-03  ---
 4142.61   7.8214e-03  ---
 4143.76   1.5036e-03  ---
 4144.91  -6.1646e-03  ---
 4146.06  -1.4917e-02  ---
 4147.21  -1.7984e-02  ---
 4148.36  -8.8032e-03  ---
 4149.51   2.2186e-03  ---
 4150.66   7.6275e-03  ---
 4151.81   7.8352e-03  ---
 4152.96   2.4691e-03  ---
 4154.11   1.9407e-03  ---
 4155.26   1.6227e-02  ---
 4156.41   2.3314e-02  ---
 4157.56   1.2705e-02  ---
 4158.71  -8.6051e-03  ---
 4159.86  -9.2606e-03  ---
 4161.01   1.6235e-02  ---
 4162.16   2.9262e-02  ---
 4163.31   1.0690e-02  ---
 4164.46  -4.6486e-04  ---
 4165.61   8.2102e-03  ---
 4166.76   1.8860e-02  ---
 4167.91   1.6539e-02  ---
 4169.06   1.6735e-02  ---
 4170.21   2.8268e-03  ---
 4171.36  -1.6104e-02  ---
 4172.51  -1.5747e-02  ---
 4173.66  -1.4764e-02  ---
 4174.81  -3.5098e-03  ---
 4175.96   8.7439e-03  ---
 4177.11   1.1053e-02  ---
 4178.26   2.2971e-02  ---
 4179.41   1.4769e-02  ---
 4180.56   1.0103e-02  ---
 4181.71   9.8156e-03  ---
 4182.86  -3.6885e-03  ---
 4184.01  -4.5972e-04  ---
 4185.16   7.3700e-03  ---
 4186.31  -5.9174e-03  ---
 4187.46  -1.1635e-02  ---
 4188.61  -5.1078e-03  ---
 4189.76  -2.0757e-03  ---
 4190.91   1.1366e-03  ---
 4192.06   4.8497e-03  ---
 4193.21   6.9451e-03  ---
 4194.36   7.1572e-03  ---
 4195.51   5.8969e-03  ---
 4196.66   8.5871e-03  ---
 4197.81   9.6387e-03  ---
 4198.96   9.8103e-03  ---
 4200.12   1.4568e-02  ---
 4201.27   1.5391e-02  ---
 4202.42   5.2372e-03  ---
 4203.57   5.9397e-03  ---
 4204.72   8.9513e-03  ---
 4205.87   1.1459e-02  ---
 4207.02   1.6355e-02  ---
 4208.17   1.4311e-02  ---
 4209.32   2.1473e-03  ---
 4210.47  -1.4206e-03  ---
 4211.62   2.7792e-03  ---
 4212.77   5.9265e-03  ---
 4213.92   5.6858e-03  ---
 4215.07   1.4037e-02  ---
 4216.22   1.8243e-02  ---
 4217.37   3.9293e-03  ---
 4218.52  -1.1725e-03  ---
 4219.67   5.4403e-03  ---
 4220.82   5.7808e-03  ---
 4221.97   3.2478e-03  ---
