 
TRANSIENT_NAME:     DES14C2kdr 
SNID:               1308314    
OBS_DATE:           2014-11-19
MJD:                56980. 
PHASE:              +2.    
MJD_MAX:            56977.7
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.4070  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23     -24.9380    2653.9600
 3744.26     -95.6769    2344.1699
 3745.30      19.3328    2659.7400
 3746.34     111.0870    3057.9700
 3747.38      54.9893    2622.8999
 3748.41       8.8327    2305.0000
 3749.45      57.7181    2498.8601
 3750.49      -5.5832    2178.2000
 3751.53     -10.1541    2107.6499
 3752.56      41.9756    2125.2400
 3753.60      24.1531    2099.5000
 3754.64     -28.6692    1896.8600
 3755.68       3.7889    1989.6300
 3756.72      34.8981    1995.2500
 3757.75     -27.6127    1766.0300
 3758.79     -20.5926    1755.2500
 3759.83      31.3008    1911.8700
 3760.87      54.5375    1913.3500
 3761.90      33.0046    1842.3500
 3762.94      22.7784    1759.2600
 3763.98      32.6508    1754.1300
 3765.02       9.4556    1662.8000
 3766.06      -8.5136    1593.8600
 3767.09      -4.4066    1683.2200
 3768.13     -37.8275    1433.3300
 3769.17      -2.6865    1553.3800
 3770.21     -53.8947    1448.8800
 3771.24     -13.6387    1653.2400
 3772.28      17.9347    1780.8800
 3773.32      23.7122    1793.4800
 3774.36      18.3113    1715.0800
 3775.40       0.7520    1642.5699
 3776.43     -11.4696    1589.2000
 3777.47      -6.1474    1598.6300
 3778.51      18.4810    1633.6200
 3779.55      38.6170    1771.1000
 3780.58      55.0139    1823.0800
 3781.62      20.9032    1745.1100
 3782.66     -15.3739    1621.3700
 3783.70      -0.1091    1442.2700
 3784.73     -25.5278    1442.9900
 3785.77      -6.5081    1463.3500
 3786.81      44.1082    1572.1400
 3787.85      74.2247    1637.8400
 3788.89      39.0384    1513.9000
 3789.92     -23.7060    1458.2000
 3790.96       0.8210    1545.1100
 3792.00      18.2592    1623.0400
 3793.04     -17.1695    1519.7100
 3794.07      -4.7449    1450.3400
 3795.11      25.0462    1487.5601
 3796.15     -27.9941    1329.5800
 3797.19       3.6270    1374.0100
 3798.23      57.4146    1474.6100
 3799.26       2.3703    1280.0601
 3800.30     -16.4044    1203.1700
 3801.34      45.9437    1404.4800
 3802.38      11.1866    1274.8500
 3803.41       8.0214    1240.9399
 3804.45      25.6087    1325.7200
 3805.49     -27.8501    1147.6100
 3806.53      40.6188    1291.0300
 3807.57       6.2577    1168.0800
 3808.60      26.7217    1201.7300
 3809.64      29.3513    1186.6200
 3810.68     -15.8463    1069.9900
 3811.72      31.8563    1149.6000
 3812.75      48.6552    1297.7000
 3813.79      -1.6816    1124.3500
 3814.83       7.8869    1157.4200
 3815.87      34.3233    1273.0900
 3816.90      16.5299    1125.2800
 3817.94      18.6219    1119.0000
 3818.98       3.6121    1063.5601
 3820.02       1.2496    1059.4700
 3821.06      48.8487    1080.0200
 3822.09      39.8163    1035.0800
 3823.13      25.3772     993.0920
 3824.17       1.3312     902.7190
 3825.21      34.2742     967.2030
 3826.24      15.3364     940.0770
 3827.28      18.2356     895.9640
 3828.32      36.8224    1021.1900
 3829.36      66.9531    1224.3600
 3830.40      -5.2278    1089.5601
 3831.43      -3.9602    1061.7100
 3832.47      20.8167    1071.2400
 3833.51      -2.9785     937.7650
 3834.55       5.9854     919.8490
 3835.58     -20.3833     813.3190
 3836.62     -31.7848     766.6520
 3837.66      -5.7879     789.5950
 3838.70      20.4970     833.2910
 3839.74      -3.7985     764.2670
 3840.77      -1.0981     771.1060
 3841.81       9.2490     798.0600
 3842.85     -25.7578     659.6120
 3843.89       5.7062     761.3710
 3844.92     -11.8075     728.2110
 3845.96      36.3917     838.1460
 3847.00      34.3181     802.1380
 3848.04       8.8269     704.8640
 3849.07     -18.5740     626.1040
 3850.11      10.4710     713.0640
 3851.15      56.2592     820.1800
 3852.19      10.5898     689.9750
 3853.23     -17.5799     646.8070
 3854.26     -17.9072     645.7650
 3855.30      23.1490     691.3270
 3856.34       9.5828     646.6080
 3857.38      21.2726     675.3940
 3858.41      39.2827     714.4010
 3859.45       2.2799     620.6930
 3860.49     -23.2341     549.5410
 3861.53     -28.8756     560.5110
 3862.57      13.5606     663.9630
 3863.60      -2.3378     627.5950
 3864.64      13.7269     655.0830
 3865.68      18.1665     661.9900
 3866.72      32.2050     644.0860
 3867.75      42.7568     615.2660
 3868.79     -12.5651     542.0650
 3869.83     -33.6168     506.0000
 3870.87      -2.7606     554.2820
 3871.91      45.6175     620.0370
 3872.94      26.4754     583.5510
 3873.98      14.4361     615.5490
 3875.02      22.4858     615.2250
 3876.06      -8.5452     546.2330
 3877.09     -22.7725     514.1250
 3878.13      -5.9764     538.0090
 3879.17      32.8453     616.6810
 3880.21     -27.0322     474.9290
 3881.24     -18.5648     476.9650
 3882.28      31.2057     564.8400
 3883.32      13.6889     512.2960
 3884.36     -28.2180     433.8310
 3885.40      29.3521     525.3910
 3886.43      24.3342     511.0950
 3887.47      25.3191     537.6900
 3888.51       6.2914     519.2990
 3889.55     -10.8507     463.5780
 3890.58      -1.8762     476.7540
 3891.62       8.6179     482.1270
 3892.66      -4.3069     438.1240
 3893.70      -8.7209     436.0460
 3894.74     -29.7933     399.9330
 3895.77       1.5632     435.6810
 3896.81      12.3277     502.2100
 3897.85       7.9681     493.5150
 3898.89       9.9874     460.0070
 3899.92       4.3084     455.0050
 3900.96      -2.3740     447.3250
 3902.00      -2.2832     460.6090
 3903.04      19.1889     481.6120
 3904.07      31.4608     524.1560
 3905.11      51.8316     591.8060
 3906.15      48.5589     603.9850
 3907.19      30.3238     561.0290
 3908.23       4.7506     509.1080
 3909.26       8.6930     512.3780
 3910.30      14.7813     541.6950
 3911.34      38.2669     593.0250
 3912.38      23.0627     535.6860
 3913.41       4.4144     508.2220
 3914.45     -11.4049     492.4590
 3915.49      16.9213     469.9180
 3916.53      31.3681     453.5850
 3917.57      25.5743     457.2640
 3918.60       6.0054     415.4710
 3919.64      13.5109     429.7390
 3920.68     -22.4536     342.2880
 3921.72      -4.5294     346.5850
 3922.75       1.2748     357.8380
 3923.79      -5.6627     338.0620
 3924.83      23.8791     364.3810
 3925.87      10.8187     329.4270
 3926.91      -7.4897     299.1550
 3927.94       0.1925     288.0320
 3928.98       7.1408     280.5690
 3930.02      -5.6921     265.7860
 3931.06      -8.9425     252.5430
 3932.09       8.8095     275.2540
 3933.13      32.2822     285.3360
 3934.17      29.4547     288.7730
 3935.21      -1.1117     257.7780
 3936.24      -0.0443     255.5220
 3937.28       0.2091     254.6310
 3938.32      -3.2582     252.2340
 3939.36      36.4441     323.6390
 3940.40      11.0379     303.1970
 3941.43      -3.7064     271.3670
 3942.47      30.2938     319.4160
 3943.51      14.6479     309.2790
 3944.55       7.9201     290.5770
 3945.58     -23.7201     237.3120
 3946.62     -38.7931     233.8040
 3947.66      10.8727     289.6810
 3948.70      -6.0281     257.0500
 3949.74      -1.3670     262.8800
 3950.77       4.3711     266.0140
 3951.81      20.2441     281.3220
 3952.85      -1.3710     258.4860
 3953.89      -0.6799     243.0280
 3954.92      30.4265     285.4930
 3955.96      25.5464     286.2740
 3957.00      17.2321     250.1380
 3958.04      16.5492     252.0690
 3959.08       3.6346     247.9170
 3960.11       3.3808     260.6200
 3961.15      10.4592     265.2710
 3962.19       6.0465     245.3890
 3963.23      -0.5277     232.2130
 3964.26       0.7210     211.3290
 3965.30       6.4220     216.0060
 3966.34       9.9460     217.2830
 3967.38       7.8695     203.9210
 3968.41      -8.9571     192.9090
 3969.45      -3.8163     211.2920
