 
TRANSIENT_NAME:     DES14C2pw  
SNID:               1291639    
OBS_DATE:           2014-09-24
MJD:                56924. 
PHASE:              post-max (based on r-band light-curve)
MJD_MAX:            ---
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1010  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4200.00  -1.3986e-03  ---
 4202.00  -4.6301e-03  ---
 4204.00  -8.2396e-03  ---
 4206.00   6.3551e-03  ---
 4208.00   1.3188e-02  ---
 4210.00   1.8545e-02  ---
 4212.00   2.9828e-02  ---
 4214.00   5.8705e-03  ---
 4216.00  -1.1857e-02  ---
 4218.00   2.8488e-03  ---
 4220.00   1.8704e-02  ---
 4222.00   3.5339e-02  ---
 4224.00   3.7499e-02  ---
 4226.00   8.7225e-03  ---
 4228.00  -2.5837e-03  ---
 4230.00   1.5703e-02  ---
 4232.00   6.3541e-03  ---
 4234.00   8.5475e-03  ---
 4236.00   4.3769e-02  ---
 4238.00   4.2222e-02  ---
 4240.00   5.0639e-03  ---
 4242.00  -9.5974e-03  ---
 4244.00  -1.0188e-02  ---
 4246.00  -4.4518e-03  ---
 4248.00   9.1220e-03  ---
 4250.00   2.4690e-02  ---
 4252.00   1.9506e-02  ---
 4254.00   9.3224e-03  ---
 4256.00   1.8939e-03  ---
 4258.00  -6.6578e-03  ---
 4260.00  -1.0348e-02  ---
 4262.00   3.2467e-03  ---
 4264.00   3.1995e-02  ---
 4266.00   2.5668e-02  ---
 4268.00   1.6554e-02  ---
 4270.00   1.8301e-03  ---
 4272.00  -4.1372e-03  ---
 4274.00   5.8775e-03  ---
 4276.00   1.5133e-02  ---
 4278.00   1.7014e-02  ---
 4280.00   1.8916e-02  ---
 4282.00   3.0540e-02  ---
 4284.00   4.7173e-03  ---
 4286.00  -2.9385e-03  ---
 4288.00   1.8780e-02  ---
 4290.00   1.8246e-02  ---
 4292.00   1.6068e-02  ---
 4294.00   1.8303e-02  ---
 4296.00   9.3639e-03  ---
 4298.00   2.5844e-02  ---
 4300.00   4.9298e-02  ---
 4302.00   2.8063e-02  ---
 4304.00   3.4208e-02  ---
 4306.00   5.7360e-02  ---
 4308.00   3.9852e-02  ---
 4310.00   3.2379e-02  ---
 4312.00   4.0930e-02  ---
 4314.00   2.9779e-02  ---
 4316.00   2.4519e-02  ---
 4318.00   2.6699e-02  ---
 4320.00   3.3975e-02  ---
 4322.00   4.9343e-02  ---
 4324.00   4.7708e-02  ---
 4326.00   2.9581e-02  ---
 4328.00   1.4614e-02  ---
 4330.00   1.5684e-02  ---
 4332.00   2.4251e-02  ---
 4334.00   1.0223e-02  ---
 4336.00   3.2081e-02  ---
 4338.00   5.4524e-02  ---
 4340.00   2.5898e-02  ---
 4342.00   1.7825e-02  ---
 4344.00   3.0998e-02  ---
 4346.00   2.8125e-02  ---
 4348.00   2.4476e-02  ---
 4350.00   3.6081e-02  ---
 4352.00   2.9682e-02  ---
 4354.00   1.1016e-02  ---
 4356.00   1.9902e-02  ---
 4358.00   3.4773e-02  ---
 4360.00   3.4025e-02  ---
 4362.00   3.6014e-02  ---
 4364.00   4.3973e-02  ---
 4366.00   3.3265e-02  ---
 4368.00   2.6653e-02  ---
 4370.00   2.8544e-02  ---
 4372.00   2.9312e-02  ---
 4374.00   2.8256e-02  ---
 4376.00   2.9210e-02  ---
 4378.00   3.1187e-02  ---
 4380.00   3.4350e-02  ---
 4382.00   3.7090e-02  ---
 4384.00   4.0984e-02  ---
 4386.00   3.6041e-02  ---
 4388.00   2.2504e-02  ---
 4390.00   2.7350e-02  ---
 4392.00   3.4537e-02  ---
 4394.00   3.1185e-02  ---
 4396.00   3.1887e-02  ---
 4398.00   4.2977e-02  ---
 4400.00   4.1918e-02  ---
 4402.00   3.0397e-02  ---
 4404.00   2.2325e-02  ---
 4406.00   3.6043e-02  ---
 4408.00   4.6966e-02  ---
 4410.00   4.5025e-02  ---
 4412.00   4.3085e-02  ---
 4414.00   4.1144e-02  ---
 4416.00   3.9203e-02  ---
 4418.00   3.7263e-02  ---
 4420.00   3.5322e-02  ---
 4422.00   3.3381e-02  ---
 4424.00   3.1441e-02  ---
 4426.00   2.9500e-02  ---
 4428.00   2.7559e-02  ---
 4430.00   2.5619e-02  ---
 4432.00   2.4239e-02  ---
 4434.00   1.4945e-02  ---
 4436.00   2.0298e-02  ---
 4438.00   3.1990e-02  ---
 4440.00   3.2064e-02  ---
 4442.00   3.5691e-02  ---
 4444.00   3.9249e-02  ---
 4446.00   2.9099e-02  ---
 4448.00   2.6332e-02  ---
 4450.00   2.8982e-02  ---
 4452.00   2.5318e-02  ---
 4454.00   2.9220e-02  ---
 4456.00   2.7027e-02  ---
 4458.00   2.4350e-02  ---
 4460.00   2.3850e-02  ---
 4462.00   2.8353e-02  ---
 4464.00   2.2047e-02  ---
 4466.00   2.1049e-02  ---
 4468.00   2.9611e-02  ---
 4470.00   2.3886e-02  ---
 4472.00   1.5381e-02  ---
 4474.00   1.6754e-02  ---
 4476.00   3.3121e-02  ---
 4478.00   2.9290e-02  ---
 4480.00   1.5632e-02  ---
 4482.00   1.9055e-02  ---
 4484.00   2.3460e-02  ---
 4486.00   2.2184e-02  ---
 4488.00   1.9182e-02  ---
 4490.00   1.6519e-02  ---
 4492.00   1.7075e-02  ---
 4494.00   1.2087e-02  ---
 4496.00   1.7431e-02  ---
 4498.00   2.5219e-02  ---
 4500.00   1.7318e-02  ---
 4502.00   9.0405e-03  ---
 4504.00   1.1766e-02  ---
 4506.00   1.7430e-02  ---
 4508.00   1.8335e-02  ---
 4510.00   1.6267e-02  ---
 4512.00   1.6387e-02  ---
 4514.00   1.8975e-02  ---
 4516.00   1.7173e-02  ---
 4518.00   1.0294e-02  ---
 4520.00   1.7820e-02  ---
 4522.00   2.4241e-02  ---
 4524.00   1.5420e-02  ---
 4526.00   9.0560e-03  ---
 4528.00   9.5173e-03  ---
 4530.00   1.1852e-02  ---
 4532.00   1.0066e-02  ---
 4534.00   1.0488e-02  ---
 4536.00   1.3221e-02  ---
 4538.00   1.4653e-02  ---
 4540.00   1.1667e-02  ---
 4542.00   1.1450e-02  ---
 4544.00   1.0402e-02  ---
 4546.00   5.3199e-03  ---
 4548.00   7.4710e-03  ---
 4550.00   1.6242e-02  ---
 4552.00   1.1871e-02  ---
 4554.00   8.0029e-03  ---
 4556.00   1.4119e-02  ---
 4558.00   1.5749e-02  ---
 4560.00   7.3103e-03  ---
 4562.00   8.7949e-03  ---
 4564.00   9.5750e-03  ---
 4566.00   1.0453e-02  ---
 4568.00   1.2300e-02  ---
 4570.00   1.1456e-02  ---
 4572.00   1.0280e-02  ---
 4574.00   8.7385e-03  ---
 4576.00   5.1396e-03  ---
 4578.00   3.2606e-03  ---
 4580.00   4.9951e-03  ---
 4582.00   9.1197e-03  ---
 4584.00   1.2344e-02  ---
 4586.00   7.4431e-03  ---
 4588.00   7.0538e-03  ---
 4590.00   8.8408e-03  ---
 4592.00   9.9736e-03  ---
 4594.00   1.2146e-02  ---
 4596.00   1.4941e-02  ---
 4598.00   1.1616e-02  ---
 4600.00   1.3309e-02  ---
 4602.00   1.6527e-02  ---
 4604.00   1.3273e-02  ---
 4606.00   1.3229e-02  ---
 4608.00   1.3185e-02  ---
 4610.00   1.3141e-02  ---
 4612.00   1.3097e-02  ---
 4614.00   1.3053e-02  ---
 4616.00   1.3009e-02  ---
 4618.00   1.2965e-02  ---
 4620.00   1.2921e-02  ---
 4622.00   1.2876e-02  ---
 4624.00   1.2832e-02  ---
 4626.00   1.2788e-02  ---
 4628.00   1.2744e-02  ---
 4630.00   1.2700e-02  ---
 4632.00   1.2656e-02  ---
 4634.00   1.2612e-02  ---
 4636.00   1.2568e-02  ---
 4638.00   1.2524e-02  ---
 4640.00   1.2480e-02  ---
 4642.00   1.4074e-02  ---
 4644.00   1.8088e-02  ---
 4646.00   1.3892e-02  ---
 4648.00   1.2818e-02  ---
 4650.00   1.2424e-02  ---
 4652.00   1.5783e-02  ---
 4654.00   1.7321e-02  ---
 4656.00   1.3323e-02  ---
 4658.00   1.3198e-02  ---
 4660.00   1.6024e-02  ---
 4662.00   1.6240e-02  ---
 4664.00   1.3497e-02  ---
 4666.00   1.3239e-02  ---
 4668.00   1.3287e-02  ---
 4670.00   1.2289e-02  ---
 4672.00   1.4958e-02  ---
 4674.00   1.3583e-02  ---
 4676.00   1.2011e-02  ---
 4678.00   2.1653e-02  ---
 4680.00   1.9085e-02  ---
 4682.00   1.3312e-02  ---
 4684.00   1.7440e-02  ---
 4686.00   1.5858e-02  ---
 4688.00   8.9139e-03  ---
 4690.00   1.3483e-02  ---
 4692.00   1.8672e-02  ---
 4694.00   1.8267e-02  ---
 4696.00   1.6918e-02  ---
 4698.00   1.2779e-02  ---
 4700.00   1.4277e-02  ---
 4702.00   1.4202e-02  ---
 4704.00   1.5886e-02  ---
 4706.00   1.5756e-02  ---
 4708.00   1.3299e-02  ---
 4710.00   1.5315e-02  ---
 4712.00   1.5692e-02  ---
 4714.00   1.4959e-02  ---
 4716.00   1.8109e-02  ---
 4718.00   1.8970e-02  ---
 4720.00   1.8054e-02  ---
 4722.00   1.6920e-02  ---
 4724.00   1.7687e-02  ---
 4726.00   1.8525e-02  ---
 4728.00   1.5321e-02  ---
 4730.00   1.6031e-02  ---
 4732.00   2.0460e-02  ---
 4734.00   2.2574e-02  ---
 4736.00   2.2288e-02  ---
 4738.00   1.6627e-02  ---
 4740.00   1.1446e-02  ---
 4742.00   1.2371e-02  ---
 4744.00   1.7431e-02  ---
 4746.00   1.9152e-02  ---
 4748.00   1.6594e-02  ---
 4750.00   2.0043e-02  ---
 4752.00   2.6120e-02  ---
 4754.00   2.3563e-02  ---
 4756.00   1.9690e-02  ---
 4758.00   1.9763e-02  ---
 4760.00   1.2990e-02  ---
 4762.00   1.1224e-02  ---
 4764.00   1.5364e-02  ---
 4766.00   2.0275e-02  ---
 4768.00   2.0937e-02  ---
 4770.00   1.8745e-02  ---
 4772.00   1.6117e-02  ---
 4774.00   1.6611e-02  ---
 4776.00   1.8440e-02  ---
 4778.00   2.0030e-02  ---
 4780.00   1.5842e-02  ---
 4782.00   1.0525e-02  ---
 4784.00   1.4594e-02  ---
 4786.00   1.7466e-02  ---
 4788.00   1.5427e-02  ---
 4790.00   1.3357e-02  ---
 4792.00   1.7608e-02  ---
 4794.00   1.7898e-02  ---
 4796.00   1.5638e-02  ---
 4798.00   1.4329e-02  ---
 4800.00   1.5431e-02  ---
 4802.00   1.8528e-02  ---
 4804.00   2.1263e-02  ---
 4806.00   1.8040e-02  ---
 4808.00   1.5614e-02  ---
 4810.00   1.6985e-02  ---
 4812.00   1.6429e-02  ---
 4814.00   1.8835e-02  ---
 4816.00   2.0186e-02  ---
 4818.00   1.6409e-02  ---
 4820.00   1.4774e-02  ---
 4822.00   1.6616e-02  ---
 4824.00   1.8449e-02  ---
 4826.00   1.6670e-02  ---
 4828.00   1.5796e-02  ---
 4830.00   1.7260e-02  ---
 4832.00   1.4878e-02  ---
 4834.00   1.7243e-02  ---
 4836.00   1.7702e-02  ---
 4838.00   1.2983e-02  ---
 4840.00   1.1220e-02  ---
 4842.00   1.1981e-02  ---
 4844.00   1.8336e-02  ---
 4846.00   1.6343e-02  ---
 4848.00   9.9976e-03  ---
 4850.00   1.1005e-02  ---
 4852.00   1.4355e-02  ---
 4854.00   1.6974e-02  ---
 4856.00   1.7566e-02  ---
 4858.00   1.6854e-02  ---
 4860.00   1.4380e-02  ---
 4862.00   1.2640e-02  ---
 4864.00   1.3570e-02  ---
 4866.00   1.2979e-02  ---
 4868.00   1.2819e-02  ---
 4870.00   1.5135e-02  ---
 4872.00   1.6574e-02  ---
 4874.00   1.6321e-02  ---
 4876.00   1.3590e-02  ---
 4878.00   1.2979e-02  ---
 4880.00   1.1708e-02  ---
 4882.00   7.9896e-03  ---
 4884.00   1.4160e-02  ---
 4886.00   1.8000e-02  ---
 4888.00   1.6209e-02  ---
 4890.00   1.6878e-02  ---
 4892.00   1.5406e-02  ---
 4894.00   1.4109e-02  ---
 4896.00   1.5940e-02  ---
 4898.00   1.7163e-02  ---
 4900.00   1.4388e-02  ---
 4902.00   1.3364e-02  ---
 4904.00   1.5474e-02  ---
 4906.00   1.3797e-02  ---
 4908.00   1.2733e-02  ---
 4910.00   1.4283e-02  ---
 4912.00   1.0232e-02  ---
 4914.00   1.1689e-02  ---
 4916.00   1.4118e-02  ---
 4918.00   1.2490e-02  ---
 4920.00   1.2216e-02  ---
 4922.00   1.0689e-02  ---
 4924.00   1.0863e-02  ---
 4926.00   1.1235e-02  ---
 4928.00   1.1447e-02  ---
 4930.00   1.4952e-02  ---
 4932.00   1.6623e-02  ---
 4934.00   1.4961e-02  ---
 4936.00   1.2556e-02  ---
 4938.00   1.0395e-02  ---
 4940.00   1.1548e-02  ---
 4942.00   1.5555e-02  ---
 4944.00   1.7673e-02  ---
 4946.00   1.3492e-02  ---
 4948.00   1.1391e-02  ---
 4950.00   1.3456e-02  ---
 4952.00   1.3878e-02  ---
 4954.00   1.3095e-02  ---
 4956.00   1.3289e-02  ---
 4958.00   1.3718e-02  ---
 4960.00   1.5320e-02  ---
 4962.00   1.4555e-02  ---
 4964.00   1.7803e-02  ---
 4966.00   1.8346e-02  ---
 4968.00   1.5890e-02  ---
 4970.00   1.4627e-02  ---
 4972.00   1.4190e-02  ---
 4974.00   1.5416e-02  ---
 4976.00   1.3991e-02  ---
 4978.00   1.4114e-02  ---
 4980.00   1.4879e-02  ---
 4982.00   1.6487e-02  ---
 4984.00   1.5375e-02  ---
 4986.00   1.2615e-02  ---
 4988.00   1.4767e-02  ---
 4990.00   1.5328e-02  ---
 4992.00   1.4858e-02  ---
 4994.00   1.7531e-02  ---
 4996.00   1.6775e-02  ---
 4998.00   1.2475e-02  ---
 5000.00   1.2473e-02  ---
 5002.00   1.6124e-02  ---
 5004.00   1.5630e-02  ---
 5006.00   1.6143e-02  ---
 5008.00   2.0037e-02  ---
 5010.00   1.7649e-02  ---
 5012.00   1.7380e-02  ---
 5014.00   1.8038e-02  ---
 5016.00   1.7423e-02  ---
 5018.00   1.7597e-02  ---
 5020.00   1.7388e-02  ---
 5022.00   1.8597e-02  ---
 5024.00   1.8260e-02  ---
 5026.00   1.7305e-02  ---
 5028.00   1.7344e-02  ---
 5030.00   1.5222e-02  ---
 5032.00   1.7438e-02  ---
 5034.00   1.9875e-02  ---
 5036.00   2.0333e-02  ---
 5038.00   1.8458e-02  ---
 5040.00   2.1034e-02  ---
 5042.00   2.3334e-02  ---
 5044.00   2.0769e-02  ---
 5046.00   1.8369e-02  ---
 5048.00   2.0086e-02  ---
 5050.00   1.6799e-02  ---
 5052.00   1.7853e-02  ---
 5054.00   2.3033e-02  ---
 5056.00   2.0757e-02  ---
 5058.00   1.9208e-02  ---
 5060.00   2.1121e-02  ---
 5062.00   2.1137e-02  ---
 5064.00   1.9339e-02  ---
 5066.00   2.0262e-02  ---
 5068.00   2.2142e-02  ---
 5070.00   2.0736e-02  ---
 5072.00   1.9255e-02  ---
 5074.00   1.7708e-02  ---
 5076.00   1.6581e-02  ---
 5078.00   1.7690e-02  ---
 5080.00   1.9864e-02  ---
 5082.00   2.2537e-02  ---
 5084.00   2.1772e-02  ---
 5086.00   2.1276e-02  ---
 5088.00   2.3380e-02  ---
 5090.00   2.3246e-02  ---
 5092.00   2.1603e-02  ---
 5094.00   2.0769e-02  ---
 5096.00   2.4799e-02  ---
 5098.00   2.3399e-02  ---
 5100.00   2.2683e-02  ---
 5102.00   2.2922e-02  ---
 5104.00   2.3063e-02  ---
 5106.00   2.3663e-02  ---
 5108.00   2.4777e-02  ---
 5110.00   2.4617e-02  ---
 5112.00   2.3170e-02  ---
 5114.00   2.4387e-02  ---
 5116.00   2.5306e-02  ---
 5118.00   2.4174e-02  ---
 5120.00   2.0672e-02  ---
 5122.00   2.1918e-02  ---
 5124.00   2.4452e-02  ---
 5126.00   2.5545e-02  ---
 5128.00   2.5818e-02  ---
 5130.00   2.3373e-02  ---
 5132.00   2.1600e-02  ---
 5134.00   2.1412e-02  ---
 5136.00   2.0861e-02  ---
 5138.00   2.2091e-02  ---
 5140.00   2.4575e-02  ---
 5142.00   2.4261e-02  ---
 5144.00   2.2539e-02  ---
 5146.00   2.2016e-02  ---
 5148.00   2.0598e-02  ---
 5150.00   2.0023e-02  ---
 5152.00   2.0885e-02  ---
 5154.00   2.1535e-02  ---
 5156.00   2.0179e-02  ---
 5158.00   2.0930e-02  ---
 5160.00   2.2012e-02  ---
 5162.00   2.1004e-02  ---
 5164.00   2.0608e-02  ---
 5166.00   2.1135e-02  ---
 5168.00   2.1722e-02  ---
 5170.00   2.2107e-02  ---
 5172.00   2.1315e-02  ---
 5174.00   2.0126e-02  ---
 5176.00   2.0213e-02  ---
 5178.00   2.1537e-02  ---
 5180.00   1.9859e-02  ---
 5182.00   1.9033e-02  ---
 5184.00   1.8768e-02  ---
 5186.00   1.9485e-02  ---
 5188.00   2.0468e-02  ---
 5190.00   1.7446e-02  ---
 5192.00   1.7619e-02  ---
 5194.00   1.9482e-02  ---
 5196.00   1.9239e-02  ---
 5198.00   2.1658e-02  ---
 5200.00   1.9511e-02  ---
 5202.00   1.6992e-02  ---
 5204.00   1.8588e-02  ---
 5206.00   2.0084e-02  ---
 5208.00   1.9754e-02  ---
 5210.00   1.8660e-02  ---
 5212.00   1.9099e-02  ---
 5214.00   1.6021e-02  ---
 5216.00   1.4510e-02  ---
 5218.00   1.7382e-02  ---
 5220.00   1.7819e-02  ---
 5222.00   1.4599e-02  ---
 5224.00   1.2725e-02  ---
 5226.00   1.4285e-02  ---
 5228.00   1.4908e-02  ---
 5230.00   1.7576e-02  ---
 5232.00   1.5870e-02  ---
 5234.00   1.4651e-02  ---
 5236.00   1.5910e-02  ---
 5238.00   1.3432e-02  ---
 5240.00   1.2358e-02  ---
 5242.00   1.3911e-02  ---
 5244.00   1.5898e-02  ---
 5246.00   1.7069e-02  ---
 5248.00   1.5697e-02  ---
 5250.00   1.4468e-02  ---
 5252.00   1.5081e-02  ---
 5254.00   1.3869e-02  ---
 5256.00   1.3828e-02  ---
 5258.00   1.7035e-02  ---
 5260.00   2.0122e-02  ---
 5262.00   1.6692e-02  ---
 5264.00   1.3143e-02  ---
 5266.00   1.2315e-02  ---
 5268.00   1.1190e-02  ---
 5270.00   1.2160e-02  ---
 5272.00   1.2807e-02  ---
 5274.00   1.1722e-02  ---
 5276.00   1.3571e-02  ---
 5278.00   1.3264e-02  ---
 5280.00   1.1653e-02  ---
 5282.00   1.3596e-02  ---
 5284.00   1.4801e-02  ---
 5286.00   1.4823e-02  ---
 5288.00   1.3346e-02  ---
 5290.00   1.1113e-02  ---
 5292.00   1.1665e-02  ---
 5294.00   1.1497e-02  ---
 5296.00   1.1560e-02  ---
 5298.00   1.4089e-02  ---
 5300.00   1.3390e-02  ---
 5302.00   1.0432e-02  ---
 5304.00   9.7754e-03  ---
 5306.00   1.3693e-02  ---
 5308.00   1.3727e-02  ---
 5310.00   1.1778e-02  ---
 5312.00   1.0690e-02  ---
 5314.00   1.0923e-02  ---
 5316.00   1.3427e-02  ---
 5318.00   1.3360e-02  ---
 5320.00   1.2040e-02  ---
 5322.00   1.2941e-02  ---
 5324.00   1.2662e-02  ---
 5326.00   1.2405e-02  ---
 5328.00   1.1428e-02  ---
 5330.00   1.2022e-02  ---
