 
TRANSIENT_NAME:     DES14C2vnf 
SNID:               1324542    
OBS_DATE:           2015-01-27
MJD:                57049. 
PHASE:              +4.    
MJD_MAX:            57042.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5421  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.00  -1.9806e-18   9.9999e+04
 3405.00  -1.9806e-18   1.4751e-18
 3410.00  -2.2750e-18   1.4526e-18
 3415.00  -1.3676e-18   1.4416e-18
 3420.00  -5.1831e-19   1.5463e-18
 3425.00   1.7326e-18   1.5445e-18
 3430.00   1.7963e-18   1.5908e-18
 3435.00   1.4161e-18   1.6170e-18
 3440.00   2.1660e-18   1.5807e-18
 3445.00   1.3527e-18   1.5947e-18
 3450.00  -2.2676e-18   1.7168e-18
 3455.00  -5.0680e-18   1.7271e-18
 3460.00  -5.8213e-19   1.6990e-18
 3465.00   8.8580e-19   1.7190e-18
 3470.00   1.0061e-18   1.7533e-18
 3475.00   3.3707e-18   1.6443e-18
 3480.00   2.9754e-19   1.6841e-18
 3485.00   7.9026e-19   1.6262e-18
 3490.00   1.1746e-18   1.5635e-18
 3495.00   6.8131e-19   1.4364e-18
 3500.00   1.4821e-18   1.4060e-18
 3505.00  -9.1103e-19   1.4127e-18
 3510.00   4.0154e-19   1.3584e-18
 3515.00   1.5987e-18   1.2470e-18
 3520.00   1.0205e-19   1.2331e-18
 3525.00  -7.1585e-19   1.0981e-18
 3530.00  -6.4086e-19   1.1238e-18
 3535.00   1.7110e-18   1.1068e-18
 3540.00   2.3278e-18   1.1053e-18
 3545.00  -8.0081e-19   1.1533e-18
 3550.00  -4.3352e-18   1.0895e-18
 3555.00  -9.2449e-19   1.0533e-18
 3560.00   5.5612e-19   1.0261e-18
 3565.00   7.3634e-19   9.2155e-19
 3570.00   4.7672e-19   8.7654e-19
 3575.00  -2.2945e-18   9.1463e-19
 3580.00  -4.2189e-19   8.5193e-19
 3585.00  -1.1481e-18   8.4206e-19
 3590.00  -4.9668e-19   9.6419e-19
 3595.00  -2.7621e-18   1.0452e-18
 3600.00  -2.9647e-18   1.1684e-18
 3605.00  -5.5529e-19   1.1313e-18
 3610.00   1.9040e-18   1.1302e-18
 3615.00  -3.5340e-18   1.2067e-18
 3620.00   2.6436e-18   1.2048e-18
 3625.00   5.0969e-19   1.2913e-18
 3630.00   2.3798e-18   1.2791e-18
 3635.00   8.6929e-19   1.3045e-18
 3640.00   9.1702e-19   1.3285e-18
 3645.00   2.2131e-19   1.2342e-18
 3650.00  -2.3262e-18   1.1888e-18
 3655.00  -1.2446e-19   1.2110e-18
 3660.00  -2.3331e-18   1.1767e-18
 3665.00   2.0184e-19   1.1011e-18
 3670.00  -2.2315e-18   1.0358e-18
 3675.00   1.4237e-18   9.9606e-19
 3680.00   3.7361e-18   9.3072e-19
 3685.00   2.0035e-18   8.9935e-19
 3690.00   3.0896e-19   8.6658e-19
 3695.00  -6.9791e-20   8.3409e-19
 3700.00  -1.2765e-18   8.6719e-19
 3705.00  -2.1384e-18   7.6725e-19
 3710.00  -4.1304e-19   7.5546e-19
 3715.00  -1.4021e-18   8.0676e-19
 3720.00   1.0318e-18   6.6959e-19
 3725.00   1.2292e-18   7.4478e-19
 3730.00  -5.5197e-19   7.4254e-19
 3735.00   7.4731e-19   6.5171e-19
 3740.00   8.1162e-19   7.5863e-19
 3745.00   6.3244e-19   6.7376e-19
 3750.00   1.4653e-19   6.4844e-19
 3755.00   9.7049e-20   7.6142e-19
 3760.00  -2.3586e-18   6.9121e-19
 3765.00   6.8053e-19   7.2593e-19
 3770.00   2.4355e-18   7.6998e-19
 3775.00   2.1731e-18   8.4891e-19
 3780.00   5.1778e-19   8.8037e-19
 3785.00   1.3455e-18   8.8145e-19
 3790.00   4.3234e-19   8.6267e-19
 3795.00  -1.2684e-19   8.5799e-19
 3800.00  -9.7919e-19   8.6207e-19
 3805.00   1.0491e-18   9.1966e-19
 3810.00   1.4733e-18   9.3671e-19
 3815.00  -2.7295e-18   8.8191e-19
 3820.00  -6.7812e-19   8.7220e-19
 3825.00  -2.1124e-18   8.3641e-19
 3830.00  -1.8453e-19   8.4619e-19
 3835.00   7.9190e-19   8.1420e-19
 3840.00  -1.8546e-18   7.8662e-19
 3845.00  -5.9389e-19   8.2856e-19
 3850.00  -1.8506e-18   7.9114e-19
 3855.00  -7.3093e-19   7.5267e-19
 3860.00   1.2313e-18   7.1717e-19
 3865.00  -9.8286e-19   7.5393e-19
 3870.00  -5.6404e-19   6.6692e-19
 3875.00   1.1952e-18   6.9130e-19
 3880.00  -7.6786e-19   6.2258e-19
 3885.00  -3.5920e-19   6.0195e-19
 3890.00  -1.8626e-18   6.2803e-19
 3895.00   7.9965e-19   6.3271e-19
 3900.00   1.0901e-18   6.2520e-19
 3905.00  -4.4692e-19   5.9630e-19
 3910.00   1.8062e-18   6.3670e-19
 3915.00   1.0424e-18   6.2132e-19
 3920.00  -3.2443e-19   5.6701e-19
 3925.00   1.3832e-18   5.5545e-19
 3930.00  -1.5178e-19   4.6309e-19
 3935.00   2.5717e-19   4.3366e-19
 3940.00   1.9323e-18   5.3207e-19
 3945.00  -7.2265e-19   5.6020e-19
 3950.00  -6.6374e-19   5.9575e-19
 3955.00   3.1658e-19   5.7976e-19
 3960.00   1.0168e-19   5.6811e-19
 3965.00   1.4592e-18   5.1865e-19
 3970.00   9.3357e-19   4.6691e-19
 3975.00   3.3154e-20   5.8093e-19
 3980.00   3.1729e-19   6.3744e-19
 3985.00   1.0811e-18   6.3687e-19
 3990.00   1.5426e-18   6.7528e-19
 3995.00   8.8374e-19   6.7480e-19
 4000.00  -1.2146e-18   6.8320e-19
 4005.00   2.4899e-18   6.7927e-19
 4010.00  -5.3391e-19   7.1366e-19
 4015.00  -6.4886e-20   7.1234e-19
 4020.00   2.2652e-20   7.1528e-19
 4025.00  -8.9267e-19   7.1398e-19
 4030.00  -2.6535e-18   6.9620e-19
 4035.00   3.0027e-20   6.9058e-19
 4040.00   1.4292e-18   7.1621e-19
 4045.00   4.6309e-20   6.6977e-19
 4050.00   1.2275e-18   7.0411e-19
 4055.00   1.5065e-18   6.6651e-19
 4060.00  -5.4328e-19   6.6597e-19
 4065.00   7.5939e-19   6.6696e-19
 4070.00  -3.8283e-19   6.6811e-19
 4075.00  -3.3425e-19   6.4874e-19
 4080.00   5.6405e-19   6.3603e-19
 4085.00  -3.3961e-19   6.1670e-19
 4090.00   1.3965e-18   6.2728e-19
 4095.00  -3.6840e-19   5.8880e-19
 4100.00  -3.8947e-19   5.2856e-19
 4105.00   6.7276e-19   5.5320e-19
 4110.00   8.7368e-19   5.6391e-19
 4115.00   7.7099e-19   5.7251e-19
 4120.00   1.9566e-19   5.4621e-19
 4125.00   6.6147e-19   5.5344e-19
 4130.00   5.7931e-19   5.3213e-19
 4135.00  -5.9239e-21   5.3467e-19
 4140.00  -5.2087e-20   5.4522e-19
 4145.00   6.4777e-19   5.1345e-19
 4150.00  -4.7903e-19   5.2975e-19
 4155.00  -7.2486e-20   5.2279e-19
 4160.00   8.4902e-19   5.4370e-19
 4165.00   3.2654e-19   5.5216e-19
 4170.00   6.5877e-20   5.4590e-19
 4175.00  -4.7294e-19   5.3224e-19
 4180.00  -2.3232e-19   5.3566e-19
 4185.00  -1.8164e-19   5.3720e-19
 4190.00   4.4096e-19   5.4103e-19
 4195.00   1.6256e-18   5.5617e-19
 4200.00   1.4206e-19   5.2845e-19
 4205.00   9.2139e-19   5.6309e-19
 4210.00   1.3743e-18   5.7685e-19
 4215.00   1.9344e-19   5.6856e-19
 4220.00   5.7187e-19   5.8134e-19
 4225.00   1.2023e-18   5.2917e-19
 4230.00   7.8182e-19   5.8583e-19
 4235.00  -2.3608e-19   5.6703e-19
 4240.00   2.7890e-19   5.8112e-19
 4245.00  -9.2328e-19   5.8918e-19
 4250.00  -2.3680e-19   5.7397e-19
 4255.00   1.1948e-18   5.9484e-19
 4260.00   7.9803e-19   5.6187e-19
 4265.00   9.1255e-19   5.9541e-19
 4270.00   1.2581e-19   5.4708e-19
 4275.00   2.4950e-19   5.6180e-19
 4280.00  -1.0750e-18   5.6092e-19
 4285.00   1.5338e-18   5.4832e-19
 4290.00   1.3345e-18   5.7221e-19
 4295.00   6.6417e-19   5.6543e-19
 4300.00   4.6396e-19   4.9806e-19
 4305.00   4.7672e-19   4.9153e-19
 4310.00   4.5831e-19   4.6026e-19
 4315.00   2.2477e-19   5.2386e-19
 4320.00   7.8630e-19   5.3272e-19
 4325.00  -4.4824e-19   4.5353e-19
 4330.00   6.8697e-19   5.0390e-19
 4335.00   3.0562e-19   4.8822e-19
 4340.00   7.0201e-19   4.2722e-19
 4345.00   3.2565e-19   4.6356e-19
 4350.00   4.1329e-19   4.5571e-19
 4355.00   7.5499e-19   4.5791e-19
 4360.00   7.7807e-19   4.5994e-19
 4365.00   1.0828e-18   4.5748e-19
 4370.00   4.5681e-19   4.5316e-19
 4375.00  -5.7267e-20   4.3099e-19
 4380.00   1.2283e-18   4.5459e-19
 4385.00   1.6984e-18   3.9515e-19
 4390.00   2.3292e-19   4.3309e-19
 4395.00  -1.3517e-18   4.3624e-19
 4400.00  -6.3830e-19   4.4185e-19
 4405.00   4.4251e-19   4.3666e-19
 4410.00  -9.5360e-19   4.5985e-19
 4415.00  -8.5532e-19   4.5427e-19
 4420.00   2.1448e-19   4.7436e-19
 4425.00  -1.0094e-18   4.6434e-19
 4430.00   4.8267e-19   4.7076e-19
 4435.00   5.9633e-19   4.5831e-19
 4440.00   1.0956e-18   4.8065e-19
 4445.00   1.2152e-18   4.8013e-19
 4450.00   1.1411e-18   4.8683e-19
 4455.00   1.5351e-18   4.7321e-19
 4460.00   1.3443e-18   4.7241e-19
 4465.00   9.2927e-19   5.0158e-19
 4470.00   1.6493e-18   4.9834e-19
 4475.00   9.0615e-19   5.1362e-19
 4480.00   9.4422e-19   5.1087e-19
 4485.00   1.0584e-18   5.2456e-19
 4490.00   1.9479e-18   5.1102e-19
 4495.00   5.4525e-19   5.1373e-19
 4500.00   6.9896e-19   5.2426e-19
 4505.00   1.7772e-19   5.4347e-19
 4510.00   2.7861e-19   5.3332e-19
 4515.00   6.6615e-20   5.2565e-19
 4520.00   1.5640e-18   5.3191e-19
 4525.00   1.2520e-18   5.1792e-19
 4530.00   1.3852e-18   5.1104e-19
 4535.00  -2.8120e-19   5.2438e-19
 4540.00   1.9791e-18   6.0631e-19
 4545.00   1.3983e-18   5.7360e-19
 4550.00   2.5115e-18   5.4360e-19
 4555.00   1.6984e-18   5.2793e-19
 4560.00   1.7309e-18   5.3023e-19
 4565.00   1.2336e-18   5.0349e-19
 4570.00   8.0093e-19   4.9367e-19
 4575.00   3.7333e-19   4.9812e-19
 4580.00   8.1573e-19   4.6596e-19
 4585.00   1.5373e-18   4.5792e-19
 4590.00   1.9864e-18   4.5370e-19
 4595.00   7.3654e-19   4.4005e-19
 4600.00   1.3035e-18   4.3591e-19
 4605.00   1.4460e-18   4.2676e-19
 4610.00   4.2304e-19   4.2832e-19
 4615.00   1.0195e-18   4.1827e-19
 4620.00   5.8960e-20   4.1406e-19
 4625.00  -5.3290e-19   4.1025e-19
 4630.00  -3.0652e-19   4.0730e-19
 4635.00   2.6858e-19   4.0002e-19
 4640.00   7.4227e-19   3.9747e-19
 4645.00   6.5196e-19   3.8985e-19
 4650.00   8.4279e-19   3.9057e-19
 4655.00   4.1823e-19   3.9338e-19
 4660.00   8.0501e-19   4.0240e-19
 4665.00   1.0492e-18   3.8332e-19
 4670.00   1.2265e-18   3.8431e-19
 4675.00   1.6990e-18   3.9451e-19
 4680.00   9.0006e-19   3.8731e-19
 4685.00   6.8115e-19   3.9808e-19
 4690.00   1.3078e-18   3.9147e-19
 4695.00   2.4606e-18   3.9840e-19
 4700.00  -3.6565e-19   3.8849e-19
 4705.00   5.6250e-19   3.9076e-19
 4710.00   9.2373e-19   4.0033e-19
 4715.00  -4.7298e-19   4.0285e-19
 4720.00  -1.0752e-19   4.1378e-19
 4725.00   7.9716e-19   4.0966e-19
 4730.00   1.7404e-18   4.0012e-19
 4735.00  -2.8625e-19   4.0741e-19
 4740.00   1.7770e-18   4.1350e-19
 4745.00   1.3678e-18   4.1878e-19
 4750.00   1.1126e-18   4.1850e-19
 4755.00   1.6310e-18   4.1584e-19
 4760.00   1.0004e-18   4.2364e-19
 4765.00   6.9581e-19   4.1966e-19
 4770.00   1.3728e-18   4.2859e-19
 4775.00   2.2159e-18   4.3796e-19
 4780.00   1.3189e-18   4.3934e-19
 4785.00   4.5327e-19   4.3476e-19
 4790.00   4.8894e-19   4.3509e-19
 4795.00   4.2632e-19   4.4423e-19
 4800.00  -9.5345e-23   4.3878e-19
 4805.00  -8.1272e-21   4.4893e-19
 4810.00   1.0742e-18   4.3840e-19
 4815.00  -5.4039e-19   4.5277e-19
 4820.00   1.9344e-19   5.4228e-19
 4825.00   1.2007e-19   5.2176e-19
 4830.00   1.8703e-18   5.0591e-19
 4835.00   9.4236e-19   4.9165e-19
 4840.00   1.3898e-18   4.7767e-19
 4845.00   9.5941e-19   4.6458e-19
 4850.00   1.5504e-18   4.4727e-19
 4855.00   9.0485e-19   4.2424e-19
 4860.00   6.8870e-19   3.9083e-19
 4865.00   1.0151e-18   3.9974e-19
 4870.00   1.5852e-18   3.9155e-19
 4875.00   1.5625e-18   3.9541e-19
 4880.00   1.2272e-18   3.8945e-19
 4885.00   1.7208e-19   3.7994e-19
 4890.00   1.0805e-18   3.7105e-19
 4895.00   2.0861e-18   3.8104e-19
 4900.00   1.2066e-18   3.6949e-19
 4905.00   3.0063e-19   3.6414e-19
 4910.00   1.6777e-18   3.4865e-19
 4915.00   1.4700e-18   3.5940e-19
 4920.00   1.4220e-19   3.2712e-19
 4925.00   4.6067e-20   3.4262e-19
 4930.00   6.9730e-19   3.4424e-19
 4935.00  -1.0730e-19   3.3271e-19
 4940.00   2.4938e-18   3.3509e-19
 4945.00   4.7674e-19   3.3488e-19
 4950.00   1.1198e-19   3.3735e-19
 4955.00   1.0191e-18   3.2679e-19
 4960.00   1.0912e-18   3.2566e-19
 4965.00   1.4397e-18   3.3378e-19
 4970.00   6.9484e-19   3.3461e-19
 4975.00   1.5113e-19   3.3316e-19
 4980.00   1.0453e-18   3.2715e-19
 4985.00   1.2323e-18   3.1516e-19
 4990.00   1.3269e-18   3.3087e-19
 4995.00   4.6902e-19   3.3257e-19
 5000.00   6.4241e-19   3.2576e-19
 5005.00   1.4366e-18   3.2523e-19
