 
TRANSIENT_NAME:     DES14C3cwp 
SNID:               1297465    
OBS_DATE:           2014-10-29
MJD:                56959. 
PHASE:              +16.   
MJD_MAX:            56938.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2788  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -1.6681      55.4931
 3744.26      -2.4936      60.0601
 3745.30       1.4455      59.0173
 3746.34       0.9775      50.5111
 3747.38      -1.2602      44.5713
 3748.41       2.9070      47.3923
 3749.45       3.3152      49.3559
 3750.49       2.2517      50.5738
 3751.53       2.9731      45.7702
 3752.56      -0.3958      41.6371
 3753.60      -4.9499      39.5904
 3754.64      -0.4624      39.9926
 3755.68       1.0391      40.6744
 3756.72      -1.1710      39.8572
 3757.75       2.7098      39.5772
 3758.79       6.5456      42.1281
 3759.83       3.9506      38.8756
 3760.87      -1.5109      35.6876
 3761.90      -2.2975      37.8477
 3762.94      -5.5890      36.9591
 3763.98      -2.2467      39.5455
 3765.02       4.0479      45.7431
 3766.06       2.8400      44.0004
 3767.09       2.5347      37.4291
 3768.13      -2.5510      32.5730
 3769.17      -6.6495      31.6081
 3770.21       1.2667      35.4399
 3771.24       0.7754      36.8241
 3772.28      -7.5828      32.0583
 3773.32      -2.0138      32.8506
 3774.36       8.5541      37.5394
 3775.40       1.1852      35.5875
 3776.43      -3.6941      33.3445
 3777.47       5.3133      35.8754
 3778.51       5.8961      35.5351
 3779.55      -2.8058      32.2960
 3780.58       0.8681      34.1729
 3781.62       4.5465      36.8618
 3782.66       7.6786      38.5489
 3783.70       4.8028      36.1307
 3784.73      -2.3871      33.1072
 3785.77       3.1201      36.7324
 3786.81       7.5237      37.1110
 3787.85      -1.6603      30.8090
 3788.89      -2.7762      30.1034
 3789.92       3.0973      33.1387
 3790.96       5.4907      34.6761
 3792.00       2.2184      34.0050
 3793.04       0.3983      32.1928
 3794.07       5.7644      33.7505
 3795.11       3.8819      33.5812
 3796.15       2.4705      31.0056
 3797.19       4.0100      30.4299
 3798.23      -2.8491      27.9977
 3799.26       2.6150      29.0263
 3800.30       2.6167      29.1670
 3801.34      -1.5125      27.5101
 3802.38      -1.0769      27.9820
 3803.41      -4.2247      26.1900
 3804.45      -1.5446      24.4178
 3805.49      -1.1298      24.9819
 3806.53      -1.6465      25.0098
 3807.57       5.5064      27.7934
 3808.60       3.0157      27.8820
 3809.64       0.1460      24.8850
 3810.68       1.2240      23.3660
 3811.72      -0.8263      23.1033
 3812.75       2.4076      24.9234
 3813.79       0.0191      25.0136
 3814.83      -0.6857      25.6791
 3815.87       4.2892      26.0412
 3816.90       3.4265      24.3282
 3817.94       0.8076      23.5116
 3818.98       0.3438      22.2398
 3820.02       0.7406      21.0491
 3821.06      -0.8342      19.4662
 3822.09       2.0916      19.5686
 3823.13       4.5511      21.0145
 3824.17       4.7851      19.7040
 3825.21       5.2475      19.0021
 3826.24       1.9575      18.7914
 3827.28       2.0979      18.6580
 3828.32       1.3084      18.3716
 3829.36       0.4358      18.2661
 3830.40       4.5814      19.6565
 3831.43       6.7695      20.7683
 3832.47       1.6675      19.5817
 3833.51       1.8750      19.7898
 3834.55       5.5444      20.4080
 3835.58       1.2175      17.4566
 3836.62      -2.9169      15.9604
 3837.66      -1.4298      16.3300
 3838.70      -2.2042      15.1079
 3839.74      -0.3080      15.6790
 3840.77       3.2143      16.8315
 3841.81       0.0474      15.7972
 3842.85       2.7040      16.4411
 3843.89       7.3756      17.1647
 3844.92       4.7083      15.6944
 3845.96       4.7951      15.9930
 3847.00       6.0010      16.6999
 3848.04       3.4876      15.5432
