 
TRANSIENT_NAME:     DES14C3gqv 
SNID:               1302187    
OBS_DATE:           2014-10-29
MJD:                56959. 
PHASE:              +5.    
MJD_MAX:            56952.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2200  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       1.2782       2.3404
 3744.26       0.9203       2.3212
 3745.30      -0.2104       2.1272
 3746.34       0.3899       2.1532
 3747.38       1.3926       2.3237
 3748.41      -0.1393       2.0693
 3749.45       0.0182       1.9547
 3750.49       1.5123       1.9831
 3751.53       0.9384       2.0010
 3752.56      -0.2501       1.7531
 3753.60       0.0751       1.5253
 3754.64       1.3318       1.8396
 3755.68       0.2821       1.6853
 3756.72      -1.7399       1.3661
 3757.75      -0.4017       1.6473
 3758.79       1.1034       1.8370
 3759.83       0.5300       1.7092
 3760.87       0.2292       1.5679
 3761.90       0.1027       1.6941
 3762.94       1.1578       1.7389
 3763.98       1.1290       1.5143
 3765.02      -0.1452       1.5060
 3766.06      -1.0904       1.3443
 3767.09       0.1924       1.4479
 3768.13       1.3202       1.4525
 3769.17       1.0128       1.3584
 3770.21       2.1962       1.7057
 3771.24       2.1776       1.7092
 3772.28       1.1337       1.4782
 3773.32       0.9638       1.5749
 3774.36      -1.1166       1.3183
 3775.40      -1.6329       1.1678
 3776.43       0.8180       1.3357
 3777.47       0.8584       1.4381
 3778.51       0.7179       1.5567
 3779.55      -0.0882       1.5102
 3780.58      -0.8504       1.4047
 3781.62       0.1452       1.2750
 3782.66       0.3348       1.1778
 3783.70      -1.9778       1.2219
 3784.73      -0.5323       1.3311
 3785.77       2.3745       1.6252
 3786.81       1.9438       1.6034
 3787.85       0.3174       1.2889
 3788.89       0.4947       1.2970
 3789.92       0.1216       1.2546
 3790.96       0.1962       1.3797
 3792.00      -0.1466       1.2737
 3793.04       0.1084       1.1954
 3794.07       1.6230       1.3636
 3795.11       1.3854       1.3071
 3796.15       0.3997       1.2351
 3797.19      -0.3968       1.1525
 3798.23       1.3203       1.3292
 3799.26       0.6597       1.1891
 3800.30      -0.6947       0.9569
 3801.34       0.8031       1.0445
 3802.38      -0.0476       1.1519
 3803.41       1.3498       1.3080
 3804.45       0.6370       1.1253
 3805.49      -0.7734       0.9486
 3806.53      -0.2502       1.0030
 3807.57      -0.5442       1.0125
 3808.60       0.0670       1.0398
 3809.64       0.7694       1.1001
 3810.68       0.0470       1.1250
 3811.72      -0.5012       1.0247
 3812.75      -0.0712       0.9774
 3813.79       0.7579       1.1002
 3814.83       1.2023       1.0984
 3815.87       0.4338       1.0077
 3816.90       0.5344       0.9824
 3817.94      -0.4482       0.8897
 3818.98       0.1270       0.8566
 3820.02       1.5194       0.9033
 3821.06       0.1114       0.8343
 3822.09      -0.0209       0.7694
 3823.13      -0.1774       0.7694
 3824.17       0.3120       0.7881
 3825.21       1.3275       0.8167
 3826.24       0.2556       0.7354
 3827.28      -0.0839       0.7475
 3828.32       0.9729       0.8555
 3829.36       0.0143       0.7914
 3830.40       0.3427       0.7719
 3831.43       0.1396       0.7287
 3832.47      -0.1744       0.7472
 3833.51      -0.6121       0.6665
 3834.55       0.0051       0.7399
 3835.58      -0.0293       0.7314
 3836.62       0.5845       0.6802
 3837.66       0.7517       0.7230
 3838.70      -0.0535       0.6764
 3839.74       0.2523       0.6495
 3840.77       1.3286       0.6875
 3841.81       0.3762       0.6268
 3842.85       0.0538       0.5732
 3843.89       0.3272       0.5816
 3844.92       0.6502       0.6033
 3845.96       0.0232       0.5894
 3847.00      -0.7015       0.5561
 3848.04       1.2188       0.6422
 3849.07       1.6450       0.6664
 3850.11       0.5392       0.5792
 3851.15       0.4311       0.5529
 3852.19       0.5053       0.5648
 3853.23       0.5904       0.5594
 3854.26       0.1583       0.5646
 3855.30      -1.0478       0.5080
 3856.34      -0.5279       0.5181
 3857.38       0.2137       0.5096
 3858.41       0.3423       0.5106
 3859.45       0.0970       0.5114
 3860.49      -0.0762       0.4719
 3861.53      -0.1651       0.4700
 3862.57      -0.1402       0.4898
 3863.60       0.5898       0.5499
 3864.64       0.3063       0.5388
 3865.68       0.3247       0.5110
 3866.72       1.0136       0.5401
 3867.75       0.5124       0.5446
 3868.79       0.1961       0.5056
 3869.83       0.7427       0.5001
 3870.87       0.9456       0.5319
 3871.91       0.1887       0.4911
 3872.94      -0.5271       0.4507
 3873.98       0.3046       0.4868
 3875.02       0.8947       0.4952
 3876.06       0.7330       0.4999
 3877.09       0.8852       0.5167
 3878.13      -0.4669       0.4357
 3879.17       0.5556       0.4455
 3880.21       0.9530       0.4506
 3881.24       0.6431       0.5068
 3882.28      -0.0459       0.4590
 3883.32      -0.3225       0.3682
 3884.36       0.4453       0.4285
 3885.40       1.0365       0.4644
 3886.43       0.8615       0.4546
 3887.47      -0.5986       0.3829
 3888.51      -0.1957       0.3994
 3889.55       0.3185       0.4235
 3890.58      -0.2653       0.3751
 3891.62       0.8089       0.4078
 3892.66       1.2033       0.4513
 3893.70       0.4090       0.3804
 3894.74       0.9680       0.3902
 3895.77       0.9886       0.3949
 3896.81       0.9392       0.4108
 3897.85       0.9307       0.4179
 3898.89       0.0327       0.3601
 3899.92       0.4358       0.3745
 3900.96       1.3877       0.4074
 3902.00       1.2106       0.4067
 3903.04       0.2685       0.3636
 3904.07       0.7554       0.3857
 3905.11       0.9437       0.4072
 3906.15       0.2461       0.3739
 3907.19       0.5198       0.3833
 3908.23       0.2274       0.3764
 3909.26      -0.3843       0.3353
 3910.30      -0.2169       0.3260
 3911.34       0.6104       0.3585
 3912.38       0.3746       0.3467
 3913.41       0.1358       0.3312
 3914.45       0.5054       0.3423
 3915.49       0.7806       0.3498
 3916.53       0.6794       0.3527
 3917.57       0.9337       0.3598
 3918.60       1.1862       0.3644
 3919.64       1.1664       0.3505
 3920.68       0.7883       0.3186
 3921.72       0.7202       0.3163
 3922.75       0.1093       0.2928
 3923.79       0.1973       0.2771
 3924.83       0.8568       0.2888
 3925.87       0.6317       0.2744
 3926.91       0.4828       0.2686
 3927.94       0.3753       0.2372
 3928.98       0.3786       0.2312
 3930.02       0.6976       0.2535
 3931.06       0.3594       0.2329
 3932.09       0.0896       0.2241
 3933.13       0.3891       0.2490
 3934.17       0.4667       0.2353
 3935.21       0.2684       0.2001
 3936.24       0.6612       0.2194
 3937.28       0.6318       0.2113
 3938.32      -0.0087       0.1918
 3939.36      -0.3296       0.1878
 3940.40       0.1726       0.2126
 3941.43      -0.0518       0.2174
 3942.47       0.0426       0.2134
 3943.51       0.5749       0.2171
 3944.55       0.6790       0.2144
 3945.58       0.1705       0.1924
 3946.62       0.0010       0.1847
 3947.66       0.3259       0.1957
 3948.70       0.2510       0.2003
 3949.74       0.3616       0.2152
 3950.77       0.1421       0.2113
 3951.81       0.2081       0.1936
 3952.85       0.1933       0.1860
 3953.89      -0.1208       0.1884
 3954.92      -0.0112       0.1965
 3955.96       0.2408       0.1946
 3957.00       0.2922       0.1988
 3958.04      -0.0607       0.1905
 3959.08       0.0640       0.1843
 3960.11       0.2766       0.1901
 3961.15       0.1390       0.1939
 3962.19       0.1239       0.1834
 3963.23      -0.1115       0.1749
 3964.26      -0.1890       0.1752
 3965.30       0.3420       0.1866
 3966.34       0.4172       0.1866
 3967.38       0.7164       0.1995
 3968.41       0.5960       0.1825
 3969.45      -0.0030       0.1570
 3970.49       0.3357       0.1693
 3971.53       0.3579       0.1840
 3972.57       0.5765       0.2040
 3973.60       0.5893       0.1896
 3974.64       0.3995       0.1851
 3975.68       0.7269       0.2092
 3976.72       0.7409       0.2030
 3977.75       0.1531       0.1710
 3978.79       0.2015       0.1716
 3979.83       0.5635       0.1986
 3980.87       0.0616       0.1892
 3981.91       0.1787       0.1808
 3982.94       0.6796       0.1994
 3983.98       0.4987       0.1999
 3985.02       0.2308       0.1873
 3986.06       0.4492       0.1920
 3987.09       0.3115       0.1828
 3988.13       0.3029       0.1823
 3989.17       0.4384       0.1920
 3990.21       0.1629       0.2154
 3991.25       0.3841       0.2014
 3992.28       0.4123       0.1795
 3993.32       0.2932       0.1875
 3994.36       0.5771       0.1982
 3995.40       0.2234       0.1959
 3996.43      -0.0137       0.1771
 3997.47       0.3014       0.1809
 3998.51       0.2300       0.1941
 3999.55       0.4396       0.2084
 4000.58       0.2998       0.2100
 4001.62       0.1480       0.1962
 4002.66       0.3854       0.1958
 4003.70       0.2130       0.1904
 4004.74       0.0923       0.2005
 4005.77       0.4976       0.2177
 4006.81       0.6845       0.2222
 4007.85       0.5811       0.2282
 4008.89       0.6371       0.2295
 4009.92       0.2637       0.2115
 4010.96       0.1767       0.2124
 4012.00       0.2688       0.2156
 4013.04      -0.3526       0.1969
 4023.42       1.0604       0.2231
 4024.45       1.3945       0.2402
 4025.49       0.6801       0.2128
 4026.53      -0.1616       0.1844
 4027.57       0.3910       0.2151
 4028.60       0.6201       0.2314
 4029.64       0.6056       0.2144
 4030.68       0.5248       0.1977
 4031.72       0.4833       0.1952
 4032.75       0.2978       0.1886
 4033.79       0.2220       0.1861
 4034.83       0.8408       0.2076
 4035.87       0.4249       0.1922
 4036.91       0.1568       0.1903
 4037.94       0.0784       0.1875
 4038.98       0.2529       0.1923
 4040.02       0.2951       0.2013
 4041.06       0.6999       0.2199
 4042.09       0.5332       0.2150
 4043.13       0.4070       0.2093
 4044.17       0.5052       0.2154
 4045.21       0.0943       0.1876
 4046.25       0.1438       0.1860
 4047.28       0.6612       0.2055
 4048.32       0.6277       0.2039
 4049.36       0.7417       0.2117
 4050.40       0.9231       0.2110
 4051.43       0.7647       0.1984
 4052.47       0.0909       0.1713
 4053.51      -0.0239       0.1636
 4054.55       0.6835       0.1843
 4055.58       0.8882       0.1869
 4056.62       0.8017       0.1771
 4057.66       0.4557       0.1680
 4058.70       0.2755       0.1687
 4059.74       0.2795       0.1772
 4060.77       0.0585       0.1676
 4061.81       0.6133       0.1816
 4062.85       0.3794       0.1719
 4063.89       0.1733       0.1683
 4064.92       0.4487       0.1886
 4065.96       0.6680       0.1854
 4067.00       0.1291       0.1601
 4068.04       0.2525       0.1620
 4069.08       0.5532       0.1692
 4070.11       0.7273       0.1773
 4071.15       0.6861       0.1842
 4072.19       0.5619       0.1710
 4073.23       0.4728       0.1629
 4074.26       0.3773       0.1624
 4075.30       0.7605       0.1731
 4076.34       0.6127       0.1673
 4077.38       0.2130       0.1528
 4078.42       0.4144       0.1624
 4079.45       0.3982       0.1632
 4080.49       0.2044       0.1638
 4081.53       0.3851       0.1721
 4082.57       0.7313       0.1716
 4083.60       0.3480       0.1548
 4084.64       0.1825       0.1512
 4085.68       0.3696       0.1629
 4086.72       0.5355       0.1666
 4087.75       0.7719       0.1726
 4088.79       0.3584       0.1520
 4089.83       0.1361       0.1534
 4090.87       0.5798       0.1916
 4091.91       0.4527       0.1763
 4092.94       0.4690       0.1588
 4093.98       0.3103       0.1548
 4095.02      -0.1013       0.1453
 4096.06       0.2371       0.1518
 4097.09       0.7609       0.1596
 4098.13       1.1573       0.1696
 4099.17       1.1608       0.1637
 4100.21       0.3783       0.1474
 4101.25       0.1820       0.1440
 4102.28       0.1070       0.1310
 4103.32       0.0006       0.1265
 4104.36       0.0958       0.1299
 4105.40      -0.0153       0.1242
 4106.43       0.1921       0.1267
 4107.47       0.5505       0.1410
 4108.51       0.3526       0.1347
 4109.55       0.2789       0.1306
 4110.58       0.4361       0.1398
 4111.62       0.1576       0.1287
 4112.66       0.0283       0.1220
 4113.70      -0.0528       0.1213
 4114.74       0.3765       0.1314
 4115.77       0.9426       0.1447
 4116.81       0.7621       0.1351
 4117.85       0.6791       0.1308
 4118.89       0.3461       0.1236
 4119.92       0.1556       0.1197
 4120.96       0.2744       0.1239
 4122.00       0.4105       0.1274
 4123.04       0.6769       0.1322
 4124.08       0.8104       0.1366
 4125.11       0.3378       0.1243
 4126.15       0.4862       0.1282
 4127.19       0.7541       0.1391
 4128.23       1.0664       0.1451
 4129.26       0.6412       0.1324
 4130.30       0.6163       0.1296
 4131.34       0.7207       0.1354
 4132.38       0.5404       0.1333
 4133.42       0.5093       0.1297
 4134.45       0.8086       0.1391
 4135.49       0.2558       0.1299
 4136.53      -0.3041       0.1130
 4137.57      -0.0193       0.1176
 4138.60       0.4065       0.1282
 4139.64       1.0669       0.1408
 4140.68       1.1531       0.1454
 4141.72       0.9107       0.1387
 4142.75       0.9007       0.1323
 4143.79       0.5841       0.1226
 4144.83       0.0344       0.1132
 4145.87      -0.0155       0.1137
 4146.91       0.2841       0.1194
 4147.94       0.4935       0.1205
 4148.98       0.9265       0.1289
 4150.02       1.0052       0.1308
 4151.06       0.8807       0.1281
 4152.09       0.6471       0.1226
 4153.13       0.2009       0.1123
 4154.17       0.7621       0.1310
 4155.21       0.8222       0.1343
 4156.25       0.5348       0.1301
 4157.28       0.5106       0.1277
 4158.32       0.5271       0.1204
 4159.36       0.7783       0.1315
 4160.40       0.5402       0.1271
 4161.43       0.4120       0.1185
 4162.47       0.6987       0.1309
 4163.51       0.3573       0.1275
 4164.55       0.7097       0.1391
 4165.59       0.7582       0.1385
 4166.62       0.0849       0.1179
 4167.66       0.8139       0.1329
 4168.70       0.6748       0.1309
 4169.74       0.3178       0.1245
 4170.77       0.1750       0.1216
 4171.81       0.2691       0.1187
 4172.85       0.6722       0.1234
 4173.89       0.6479       0.1188
 4174.92       0.3485       0.1097
 4175.96       0.3449       0.1089
 4177.00       0.3949       0.1107
 4178.04       0.5180       0.1181
 4179.08       0.2417       0.1121
 4180.11       0.2584       0.1067
 4181.15       0.7412       0.1175
 4182.19       0.7581       0.1165
 4183.23       0.6275       0.1120
 4184.26       0.6040       0.1111
 4185.30       0.3997       0.1014
 4186.34       0.4029       0.1026
 4187.38       0.2503       0.1011
 4188.42       0.0089       0.0925
 4189.45       0.5651       0.1044
 4190.49       0.9143       0.1134
 4191.53       0.9600       0.1119
 4192.57       0.4165       0.1010
 4193.60       0.3684       0.1018
 4194.64       0.5626       0.1041
 4195.68       0.1067       0.0942
 4196.72       0.1968       0.0938
 4197.76       0.5299       0.0971
 4198.79       0.5636       0.0990
 4199.83       0.0259       0.0835
 4200.87       0.0990       0.0835
