 
TRANSIENT_NAME:     DES14C3gqv 
SNID:               1302187    
OBS_DATE:           2014-10-24
MJD:                56954. 
PHASE:              +1.    
MJD_MAX:            56952.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2199  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.37   1.8015e-02   2.6789e-03
 3400.98   1.1025e-02   2.6789e-03
 3401.59   1.6321e-02   2.5817e-03
 3402.20   2.5167e-02   2.5817e-03
 3402.81   1.1480e-02   2.5817e-03
 3403.42   7.9460e-03   2.5817e-03
 3404.03   6.3858e-03   2.6789e-03
 3404.64   7.8198e-03   2.6789e-03
 3405.25   9.9648e-03   2.9239e-03
 3405.86   5.8325e-03   3.0271e-03
 3406.47   1.1441e-02   3.8648e-03
 3407.07   1.4873e-02   3.0271e-03
 3407.68   7.7363e-03   3.8648e-03
 3408.29   1.2842e-02   3.8648e-03
 3408.90   1.0773e-02   3.0271e-03
 3409.51   1.7512e-02   3.8648e-03
 3410.12   1.6835e-02   3.1291e-03
 3410.73   1.8788e-02   3.1291e-03
 3411.34   1.0768e-02   3.1291e-03
 3411.95   7.3226e-03   3.2147e-03
 3412.56   8.8232e-03   3.1291e-03
 3413.17   1.6729e-02   3.2147e-03
 3413.78   2.9611e-02   3.1291e-03
 3414.39   1.5304e-02   3.1291e-03
 3415.00   2.0210e-02   3.1291e-03
 3415.61   2.7280e-02   3.1291e-03
 3416.22   1.4136e-02   3.0271e-03
 3416.83   2.0910e-02   3.1291e-03
 3417.44   1.5278e-02   3.1291e-03
 3418.05   1.2973e-02   3.1291e-03
 3418.66   1.6651e-02   2.8226e-03
 3419.27   8.2691e-03   2.8226e-03
 3419.88   9.2425e-03   3.1291e-03
 3420.49   1.3162e-02   2.8226e-03
 3421.10   1.3284e-02   2.5385e-03
 3421.71   1.3656e-02   3.1291e-03
 3422.32   1.3745e-02   3.1291e-03
 3422.93   2.3791e-03   2.6351e-03
 3423.54   7.2236e-03   2.6351e-03
 3424.15   1.3058e-02   2.7723e-03
 3424.76   1.5514e-02   2.7723e-03
 3425.37   3.0547e-02   2.7723e-03
 3425.98   2.7908e-02   2.6351e-03
 3426.59   1.4950e-02   2.7723e-03
 3427.20   1.7421e-02   3.2155e-03
 3427.81   2.3184e-02   3.2155e-03
 3428.42   1.3294e-02   3.2155e-03
 3429.03   2.0498e-02   3.2155e-03
 3429.64   1.3773e-02   3.1713e-03
 3430.25   1.8112e-03   2.7723e-03
 3430.86   1.0836e-02   2.7723e-03
 3431.47   1.4938e-02   3.1713e-03
 3432.08   1.4942e-02   3.1713e-03
 3432.69   1.6921e-02   2.7723e-03
 3433.30   1.8938e-02   3.1713e-03
 3433.91   1.3504e-02   3.4460e-03
 3434.52   1.0124e-02   3.4460e-03
 3435.12   7.5076e-03   3.4460e-03
 3435.73   1.2299e-02   3.4460e-03
 3436.34   9.8354e-03   3.4460e-03
 3436.95   5.5175e-03   3.4460e-03
 3437.56   3.9924e-03   3.6140e-03
 3438.17   1.3836e-02   3.6140e-03
 3438.78   1.0939e-02   4.3460e-03
 3439.39   1.4459e-02   4.5314e-03
 3440.00   2.0982e-03   3.6140e-03
 3440.61   5.6714e-03   4.5314e-03
 3441.22   1.9511e-02   4.5314e-03
 3441.83   1.6523e-02   4.6558e-03
 3442.44   1.6104e-02   4.6558e-03
 3443.05   2.2100e-02   4.9986e-03
 3443.66   1.0840e-02   4.9986e-03
 3444.27   1.7648e-02   4.6558e-03
 3444.88   3.3389e-02   4.5314e-03
 3445.49   1.2920e-02   4.9986e-03
 3446.10   1.9127e-02   4.9986e-03
 3446.71   2.6371e-02   3.5947e-03
 3447.32   1.9819e-02   3.5947e-03
 3447.93   1.4277e-02   2.6491e-03
 3448.54   1.9708e-02   2.6491e-03
 3449.15   2.5764e-02   3.5947e-03
 3449.76   1.8274e-02   3.5947e-03
