 
TRANSIENT_NAME:     DES14C3rap 
SNID:               1316465    
OBS_DATE:           2014-12-30
MJD:                57021. 
PHASE:              -1.    
MJD_MAX:            57021.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3300  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SOAR
INSTRUMENT:         Goodman
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3470.00   3.7466e-02  ---
 3472.00   5.5458e-02  ---
 3474.00   1.8493e-02  ---
 3476.00   8.0850e-03  ---
 3478.00   2.4667e-02  ---
 3480.00   5.3728e-02  ---
 3482.00   2.3866e-02  ---
 3484.00  -3.6269e-02  ---
 3486.00   1.2466e-02  ---
 3488.00  -1.7223e-03  ---
 3490.00  -3.4403e-02  ---
 3492.00  -2.7679e-02  ---
 3494.00   7.6663e-03  ---
 3496.00  -3.5187e-03  ---
 3498.00   2.2750e-02  ---
 3500.00   7.1900e-02  ---
 3502.00   6.1243e-03  ---
 3504.00   1.9477e-02  ---
 3506.00  -4.5609e-03  ---
 3508.00   1.5759e-02  ---
 3510.00   8.4434e-03  ---
 3512.00   1.4276e-02  ---
 3514.00  -1.5389e-02  ---
 3516.00   2.9348e-02  ---
 3518.00  -4.7015e-03  ---
 3520.00   2.3882e-03  ---
 3522.00  -1.2661e-02  ---
 3524.00   4.0448e-03  ---
 3526.00   9.8357e-03  ---
 3528.00   2.5043e-02  ---
 3530.00  -2.3361e-02  ---
 3532.00   9.7556e-03  ---
 3534.00  -2.5302e-02  ---
 3536.00  -1.3602e-03  ---
 3538.00  -3.6455e-02  ---
 3540.00  -1.9947e-02  ---
 3542.00   3.5875e-02  ---
 3544.00  -8.0776e-03  ---
 3546.00   1.6217e-02  ---
 3548.00   1.8751e-02  ---
 3550.00   2.8779e-02  ---
 3552.00   3.4949e-02  ---
 3554.00  -7.4391e-03  ---
 3556.00   2.1133e-02  ---
 3558.00   3.0152e-02  ---
 3560.00  -8.1419e-04  ---
 3562.00   2.6274e-02  ---
 3564.00   2.1527e-02  ---
 3566.00   5.2736e-03  ---
 3568.00   1.5562e-02  ---
 3570.00   9.4307e-03  ---
 3572.00   4.9346e-03  ---
 3574.00   1.8919e-02  ---
 3576.00   3.7869e-03  ---
 3578.00  -1.1559e-02  ---
 3580.00   2.1604e-03  ---
 3582.00   1.4938e-02  ---
 3584.00   1.0212e-02  ---
 3586.00  -1.9523e-02  ---
 3588.00  -1.4403e-02  ---
 3590.00  -2.4912e-05  ---
 3592.00  -3.4286e-04  ---
 3594.00   2.0330e-02  ---
 3596.00   3.9878e-02  ---
 3598.00   2.5597e-02  ---
 3600.00  -1.3221e-02  ---
 3602.00   7.4601e-03  ---
 3604.00   2.3719e-02  ---
 3606.00   1.4688e-02  ---
 3608.00   6.8824e-03  ---
 3610.00  -1.0656e-02  ---
 3612.00   7.4235e-04  ---
 3614.00  -1.7277e-02  ---
 3616.00  -1.3423e-02  ---
 3618.00   1.5288e-02  ---
 3620.00   1.0234e-02  ---
 3622.00   6.3134e-03  ---
 3624.00   1.8108e-02  ---
 3626.00   9.9578e-03  ---
 3628.00  -1.8979e-02  ---
 3630.00  -5.3649e-03  ---
 3632.00   2.2605e-02  ---
 3634.00   2.2576e-02  ---
 3636.00  -1.2714e-02  ---
 3638.00  -9.3943e-03  ---
 3640.00   1.4107e-02  ---
 3642.00  -3.6566e-03  ---
 3644.00  -1.2504e-02  ---
 3646.00   1.0167e-02  ---
 3648.00   2.6848e-02  ---
 3650.00   7.7656e-03  ---
 3652.00   2.9489e-03  ---
 3654.00   1.4020e-03  ---
 3656.00  -1.1435e-02  ---
 3658.00  -4.0601e-03  ---
 3660.00   5.7353e-03  ---
 3662.00  -2.4420e-03  ---
 3664.00  -1.4210e-02  ---
 3666.00  -2.6889e-03  ---
 3668.00   6.3545e-03  ---
 3670.00   4.2351e-04  ---
 3672.00   1.0012e-02  ---
 3674.00   2.2248e-02  ---
 3676.00   2.3925e-02  ---
 3678.00   1.3048e-02  ---
 3680.00  -1.5472e-02  ---
 3682.00  -1.7539e-02  ---
 3684.00  -7.5768e-03  ---
 3686.00  -3.3715e-03  ---
 3688.00   4.5006e-04  ---
 3690.00  -4.4962e-03  ---
 3692.00  -6.7109e-03  ---
 3694.00  -4.9790e-03  ---
 3696.00  -3.7692e-03  ---
 3698.00  -7.3562e-03  ---
 3700.00  -8.9256e-03  ---
 3702.00  -4.2056e-03  ---
 3704.00   5.5464e-03  ---
 3706.00  -4.8650e-03  ---
 3708.00  -1.3560e-02  ---
 3710.00  -1.1138e-02  ---
 3712.00  -3.1271e-03  ---
 3714.00   1.3478e-02  ---
 3716.00   9.5717e-03  ---
 3718.00   2.0072e-03  ---
 3720.00  -3.6054e-03  ---
 3722.00  -8.9416e-03  ---
 3724.00  -2.2872e-03  ---
 3726.00   3.6305e-03  ---
 3728.00   7.8714e-03  ---
 3730.00  -6.0758e-03  ---
 3732.00  -9.1397e-03  ---
 3734.00   2.5058e-03  ---
 3736.00  -2.7838e-03  ---
 3738.00   4.1947e-04  ---
 3740.00  -2.5148e-03  ---
 3742.00   5.7982e-03  ---
 3744.00  -2.6025e-05  ---
 3746.00  -7.5673e-03  ---
 3748.00   1.2272e-03  ---
 3750.00   1.0278e-02  ---
 3752.00  -7.3058e-03  ---
 3754.00  -1.2679e-04  ---
 3756.00   7.4804e-03  ---
 3758.00   1.4787e-03  ---
 3760.00  -4.8317e-03  ---
 3762.00  -5.9653e-03  ---
 3764.00  -1.2272e-04  ---
 3766.00  -7.9948e-04  ---
 3768.00  -1.6914e-03  ---
 3770.00  -6.3739e-03  ---
 3772.00   3.2371e-03  ---
 3774.00   1.2372e-02  ---
 3776.00   4.9985e-03  ---
 3778.00   9.1748e-03  ---
 3780.00   9.3696e-03  ---
 3782.00  -4.2852e-03  ---
 3784.00  -3.2634e-03  ---
 3786.00   9.4290e-04  ---
 3788.00  -8.5947e-03  ---
 3790.00  -3.1373e-03  ---
 3792.00  -2.0126e-03  ---
 3794.00  -2.8898e-03  ---
 3796.00   7.7583e-03  ---
 3798.00   1.6670e-02  ---
 3800.00   8.6845e-05  ---
 3802.00   7.1023e-04  ---
 3804.00   8.0540e-03  ---
 3806.00   1.3903e-02  ---
 3808.00   8.3252e-03  ---
 3810.00  -4.1634e-03  ---
 3812.00  -2.0297e-03  ---
 3814.00   4.9534e-03  ---
 3816.00   1.5420e-02  ---
 3818.00   4.1371e-03  ---
 3820.00   1.9707e-04  ---
 3822.00   1.1921e-02  ---
 3824.00   7.9897e-03  ---
 3826.00   6.6011e-03  ---
 3828.00   2.9612e-03  ---
 3830.00   9.4916e-04  ---
 3832.00  -9.2916e-03  ---
 3834.00  -1.8355e-03  ---
 3836.00   1.0281e-02  ---
 3838.00   1.1608e-03  ---
