 
TRANSIENT_NAME:     DES14E1anf 
SNID:               1293758    
OBS_DATE:           2014-09-20
MJD:                56920. 
PHASE:              +4.    
MJD_MAX:            56915.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1491  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       1.4394       8.2922
 3744.26       3.4081       8.1222
 3745.30       1.6228       7.7537
 3746.34       2.3964       8.4528
 3747.38       3.3884       8.3057
 3748.41       3.0564       7.7313
 3749.45       4.0298       7.4660
 3750.49       2.5390       6.9370
 3751.53       0.3333       6.6533
 3752.56       0.3337       6.6503
 3753.60       3.5083       6.8901
 3754.64       3.0139       6.5545
 3755.68      -1.2909       6.5190
 3756.72      -1.3786       6.9312
 3757.75      -0.0054       6.5127
 3758.79       0.3697       5.9118
 3759.83       0.0636       6.1864
 3760.87       0.6137       7.0500
 3761.90       2.2914       6.9414
 3762.94       1.7058       6.3768
 3763.98       0.9247       6.1095
 3765.02       1.7616       6.3334
 3766.06       2.2280       6.2960
 3767.09       1.3987       5.7437
 3768.13       1.8205       5.9939
 3769.17       0.0195       6.0041
 3770.21      -0.8870       5.4215
 3771.24       2.9348       6.3883
 3772.28       4.3823       6.5340
 3773.32       3.2898       6.2541
 3774.36       3.3330       6.4904
 3775.40       4.1081       6.7187
 3776.43       4.0016       6.5515
 3777.47       2.1147       6.2208
 3778.51       2.5660       6.9022
 3779.55       4.0194       6.2247
 3780.58       4.6635       6.1618
 3781.62       5.6227       6.7813
 3782.66       1.5128       5.9974
 3783.70       2.4583       5.8121
 3784.73       0.7791       5.5080
 3785.77       1.5440       5.4619
 3786.81       2.0794       5.4761
 3787.85       0.9551       5.2442
 3788.89       2.4929       5.5700
 3789.92       3.6379       5.5559
 3790.96       1.4157       4.8490
 3792.00       2.9402       5.9397
 3793.04       1.3912       5.4275
 3794.07      -0.1655       4.6376
 3795.11       2.4248       4.9750
 3796.15       2.5340       4.9490
 3797.19       2.4779       4.7924
 3798.23       1.5407       4.3601
 3799.26       3.7310       4.9550
 3800.30       3.6635       4.8192
 3801.34       2.1502       4.4632
 3802.38       0.7493       3.8089
 3803.41       0.9117       3.8293
 3804.45      -0.7807       3.9383
 3805.49       0.6360       3.9750
 3806.53       1.6633       4.4148
 3807.57      -0.1319       4.1610
 3808.60       1.5663       4.1644
 3809.64       2.6126       4.3440
 3810.68       1.0172       3.7843
 3811.72       1.6311       3.8643
 3812.75       4.2393       4.4005
 3813.79       2.6694       4.3188
 3814.83       2.9329       4.1661
 3815.87       1.7831       3.7973
 3816.90      -0.2365       3.4834
 3817.94       0.5401       3.3658
 3818.98       0.4579       3.3592
 3820.02       0.9730       3.4809
 3821.06       3.3065       3.7120
 3822.09       1.5464       3.2824
 3823.13       1.1901       3.0325
 3824.17       2.0987       3.0329
 3825.21       1.8467       3.0347
 3826.24       0.6163       2.8211
 3827.28       0.3888       2.8149
 3828.32       1.3032       3.2247
 3829.36       2.2768       3.1767
 3830.40       2.5030       3.0002
 3831.43       2.1030       2.9941
 3832.47       1.4333       2.8598
 3833.51       0.0644       2.6013
 3834.55       1.6296       2.7190
 3835.58       2.5463       2.8524
 3836.62       2.4172       2.8008
 3837.66       3.7274       2.7203
 3838.70       2.1988       2.6143
 3839.74       1.6288       2.5933
 3840.77       1.0484       2.3750
 3841.81      -0.6690       2.0555
 3842.85      -0.2823       2.1250
 3843.89       1.7751       2.4034
 3844.92       2.4360       2.4062
 3845.96       1.3237       2.2837
 3847.00       0.3000       2.2586
 3848.04       1.2280       2.3052
 3849.07       3.7642       2.5302
 3850.11       4.1643       2.6203
 3851.15       2.1795       2.3923
 3852.19       3.1192       2.4325
 3853.23       3.2476       2.4202
 3854.26       0.9802       2.2071
 3855.30       1.6546       2.0890
 3856.34       0.5989       1.9978
 3857.38       1.1197       2.0525
 3858.41       3.1657       2.1494
 3859.45       1.1292       1.8566
 3860.49       0.5899       1.9537
 3861.53       0.9153       2.2357
 3862.57       3.1891       2.4159
 3863.60       4.1381       2.5069
 3864.64       2.3118       2.3175
 3865.68       1.1941       2.0331
 3866.72       0.3700       1.9940
 3867.75       1.8521       2.2829
 3868.79       2.2122       2.2460
 3869.83      -0.0671       1.8903
 3870.87       0.7646       1.9611
 3871.91       2.1415       2.0886
 3872.94       1.3000       1.9793
 3873.98       2.5500       2.1601
 3875.02       3.1924       2.2232
 3876.06       3.1694       2.2138
 3877.09       1.0819       1.9713
 3878.13       1.7742       1.9963
 3879.17       4.4636       2.2551
 3880.21       2.7752       2.0698
 3881.24       2.4503       1.9182
 3882.28       2.7076       1.9755
 3883.32       2.2838       1.9059
 3884.36       2.1590       1.8565
 3885.40       1.3322       1.7888
 3886.43       1.6412       1.7860
 3887.47       2.4787       1.7591
 3888.51       1.4212       1.6420
 3889.55       1.5840       1.7112
 3890.58       1.7489       1.6211
 3891.62       2.2345       1.6391
 3892.66       2.0795       1.7115
 3893.70       0.2259       1.5416
 3894.74       0.1655       1.5332
 3895.77       0.6872       1.5351
 3896.81       1.1291       1.5265
 3897.85       0.5955       1.5232
 3898.89       1.4925       1.6267
 3899.92       1.6998       1.5462
 3900.96       1.8419       1.5546
 3902.00       1.3769       1.5492
 3903.04       1.1854       1.5065
 3904.07       2.8606       1.6774
 3905.11       1.4409       1.5854
 3906.15       1.1500       1.6223
 3907.19       1.5540       1.5110
 3908.23       1.8849       1.4198
 3909.26       1.1942       1.7520
 3910.30       0.6962       1.7664
 3911.34       0.5051       1.7098
 3912.38       1.7505       1.7481
 3913.41       2.1072       1.0117
 3914.45       0.9285       1.4239
 3915.49       1.3335       1.3721
 3916.53       0.7832       1.2946
 3917.57       0.7881       1.2905
 3918.60       1.8759       1.4047
 3919.64       2.5840       1.4111
 3920.68       1.7735       1.3024
 3921.72       0.4002       1.1909
 3922.75       1.2492       1.3276
 3923.79       2.3447       1.3982
 3924.83       2.0147       1.2328
 3925.87       1.5147       1.1659
 3926.91       1.2153       1.1614
 3927.94       1.2302       1.0876
 3928.98       1.8422       1.0409
 3930.02       1.3679       0.9611
 3931.06       2.0246       1.0100
 3932.09       2.2779       0.9868
 3933.13       1.0746       0.8565
 3934.17       1.4101       0.8476
 3935.21       1.5756       0.8308
 3936.24       2.4569       0.9018
 3937.28       2.5108       0.9221
 3938.32       1.0019       0.8561
 3939.36       0.7901       0.8379
 3940.40       1.3984       0.8913
 3941.43       1.0570       0.9083
 3942.47       0.6818       0.8762
 3943.51       1.4332       0.8830
 3944.55       1.0897       0.8977
 3945.58       1.1434       0.9484
 3946.62       0.8283       0.8684
 3947.66      -0.3927       0.7347
 3948.70       0.7443       0.8315
 3949.74       1.7032       0.9010
 3950.77       1.4659       0.9089
 3951.81       0.6822       0.8363
 3952.85       0.3365       0.8153
 3953.89       0.6884       0.8394
 3954.92       1.0666       0.8413
 3955.96       1.4353       0.8854
 3957.00       1.8193       0.9119
 3958.04       1.9762       0.9045
 3959.08       0.4777       0.8160
 3960.11       0.1525       0.7772
 3961.15       1.5182       0.8352
 3962.19       2.4166       0.8861
 3963.23       2.5015       0.8705
 3964.26       1.7661       0.8087
 3965.30       1.3956       0.8068
 3966.34       0.0816       0.7007
 3967.38      -0.0498       0.6641
 3968.41       0.4403       0.6971
 3969.45       0.2977       0.6775
 3970.49       0.5069       0.6708
 3971.53       1.4521       0.7539
 3972.57       2.1183       0.8234
 3973.60       0.3052       0.7406
 3974.64       0.8468       0.7812
 3975.68       2.4794       0.8813
 3976.72       0.8405       0.7002
 3977.75       0.0322       0.8805
 3978.79       1.3555       0.9553
 3979.83       1.8502       0.9178
 3980.87       1.5593       0.8308
 3981.91       2.4949       0.8982
 3982.94       0.9056       0.7992
 3983.98      -0.1347       0.7260
 3985.02       0.2114       0.7302
 3986.06       1.1232       0.7982
 3987.09       2.3110       0.8524
 3988.13       0.6221       0.7615
 3989.17       1.2887       0.8341
 3990.21       1.6094       0.8631
 3991.25       0.9429       0.8234
 3992.28       1.2030       0.8056
 3993.32       0.4054       0.7824
 3994.36       0.9441       0.8514
 3995.40       1.5339       0.8285
 3996.43       1.9410       0.8326
 3997.47       1.4604       0.8461
 3998.51       2.0236       0.9428
 3999.55       2.6635       0.9875
 4000.58       2.8870       0.9968
 4001.62       2.8708       1.0079
 4002.66       1.8562       0.9441
 4003.70       1.7441       0.9342
 4004.74       1.4188       0.9231
 4005.77       1.2752       0.9118
 4006.81       1.9930       0.9800
 4007.85       1.8718       1.0041
 4008.89       0.8088       0.9608
 4009.92       0.8528       0.9571
 4010.96       1.1381       0.9703
 4012.00       2.0018       1.0170
 4013.04       1.2972       0.9998
 4014.08       0.2053       0.9128
 4015.11       1.8309       0.9962
 4016.15       2.2398       0.9939
 4017.19       0.8480       0.8893
 4018.23       1.1158       0.9181
 4019.26       2.6585       0.9993
 4020.30       2.8314       0.9877
 4021.34       1.9319       0.9563
 4022.38       0.7539       0.9038
 4023.42       1.4364       0.9386
 4024.45       2.2779       0.9718
 4025.49       1.4990       0.9018
 4026.53       1.8635       0.9323
 4027.57       2.5504       1.0044
 4028.60       1.8268       0.9518
 4029.64       1.9749       0.9313
 4030.68       2.0932       0.9084
 4031.72       1.4819       0.8521
 4032.75       1.8220       0.8615
 4033.79       1.4114       0.8296
 4034.83       1.3129       0.8455
 4035.87       1.3785       0.8442
 4036.91       2.4279       0.9165
 4037.94       3.3947       1.0079
 4038.98       2.4681       0.9735
 4040.02       1.8406       0.9006
 4041.06       1.6923       0.8950
 4042.09       2.2204       0.9617
 4043.13       3.6484       1.0377
 4044.17       2.5609       0.9343
 4045.21       0.7631       0.7831
 4046.25       1.7805       0.8667
 4047.28       2.8096       0.9469
 4048.32       2.3853       0.9166
 4049.36       2.0265       0.8910
 4050.40       3.0924       0.9510
 4051.43       2.7922       0.9307
 4052.47       1.6472       0.8492
 4053.51       2.0980       0.8563
 4054.55       2.3257       0.8516
 4055.58       1.8485       0.8029
 4056.62       2.1537       0.7978
 4057.66       1.7463       0.7706
 4058.70       1.1706       0.7620
 4059.74       1.6074       0.8002
 4060.77       2.6524       0.8416
 4061.81       2.6082       0.8527
 4062.85       1.8506       0.8224
 4063.89       2.1168       0.8201
 4064.92       1.7624       0.8175
 4065.96       1.7000       0.8231
