 
TRANSIENT_NAME:     DES14E1gw  
SNID:               1290127    
OBS_DATE:           2014-09-01
MJD:                56901. 
PHASE:              post-max (based on r-band light-curve)
MJD_MAX:            ---
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4533  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00  -1.1659e-18  ---
 3805.00  -1.2594e-18  ---
 3810.00  -4.1048e-19  ---
 3815.00  -2.2560e-19  ---
 3820.00  -1.2421e-19  ---
 3825.00  -1.5392e-18  ---
 3830.00  -8.4791e-19  ---
 3835.00  -9.5540e-19  ---
 3840.00  -2.7801e-19  ---
 3845.00  -6.3150e-19  ---
 3850.00  -3.2130e-19  ---
 3855.00  -2.9797e-19  ---
 3860.00  -2.6188e-20  ---
 3865.00  -2.9543e-19  ---
 3870.00  -6.4970e-19  ---
 3875.00  -3.2450e-19  ---
 3880.00  -1.8845e-19  ---
 3885.00  -4.1190e-19  ---
 3890.00  -3.7420e-19  ---
 3895.00  -5.8694e-19  ---
 3900.00  -1.4626e-19  ---
 3905.00  -3.5775e-19  ---
 3910.00  -2.5221e-19  ---
 3915.00  -2.4516e-19  ---
 3920.00  -2.9061e-19  ---
 3925.00  -2.2466e-19  ---
 3930.00   1.6562e-19  ---
 3935.00  -5.7342e-19  ---
 3940.00  -4.5165e-19  ---
 3945.00  -3.6616e-19  ---
 3950.00  -2.7996e-19  ---
 3955.00  -9.3624e-20  ---
 3960.00  -1.1388e-19  ---
 3965.00  -5.4168e-19  ---
 3970.00  -5.4060e-19  ---
 3975.00  -2.7311e-19  ---
 3980.00  -1.5383e-19  ---
 3985.00  -7.5507e-20  ---
 3990.00  -2.7143e-19  ---
 3995.00  -3.7381e-19  ---
 4000.00   2.3499e-19  ---
 4005.00  -4.7080e-19  ---
 4010.00  -6.0213e-19  ---
 4015.00  -6.0172e-19  ---
 4020.00  -4.0145e-19  ---
 4025.00  -5.8282e-19  ---
 4030.00  -7.4160e-19  ---
 4035.00  -9.2025e-19  ---
 4040.00  -1.9072e-19  ---
 4045.00  -4.0332e-19  ---
 4050.00  -6.6775e-19  ---
 4055.00  -4.6114e-20  ---
 4060.00   1.0743e-19  ---
 4065.00   5.3061e-20  ---
 4070.00  -8.1985e-19  ---
 4075.00  -1.9311e-20  ---
 4080.00   1.8870e-19  ---
 4085.00  -6.9930e-20  ---
 4090.00  -2.1980e-19  ---
 4095.00  -2.9697e-19  ---
 4100.00   7.1093e-20  ---
 4105.00  -9.0752e-19  ---
 4110.00   1.6146e-19  ---
 4115.00   2.4973e-19  ---
 4120.00  -1.3536e-19  ---
 4125.00  -6.1778e-19  ---
