 
TRANSIENT_NAME:     DES14E1rph 
SNID:               1317612    
OBS_DATE:           2014-12-30
MJD:                57021. 
PHASE:              +6.    
MJD_MAX:            57014.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1054  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       3.8203       3.7820
 3744.26       1.5369       2.7756
 3745.30       2.0215       2.7908
 3746.34       0.6947       2.3472
 3747.38       0.0962       2.3351
 3748.41      -0.1587       2.1143
 3749.45      -0.2265       2.1428
 3750.49      -1.0248       2.0430
 3751.53       1.6853       2.6156
 3752.56       2.5558       2.8451
 3753.60       1.5969       2.8185
 3754.64       0.2490       2.7467
 3755.68       0.1562       2.7019
 3756.72       0.9083       2.5327
 3757.75       1.2412       2.2187
 3758.79       1.8359       2.2473
 3759.83       1.6449       2.3935
 3760.87       3.0712       2.7283
 3761.90       3.5458       2.6425
 3762.94       0.8871       2.3388
 3763.98       0.3750       2.1844
 3765.02       0.1654       2.2686
 3766.06      -0.4357       2.0404
 3767.09       0.3576       2.1488
 3768.13       0.4951       2.1485
 3769.17       0.5398       2.2476
 3770.21       0.4638       2.2059
 3771.24       0.0488       2.2214
 3772.28       0.0352       2.2723
 3773.32       0.6132       2.4421
 3774.36       1.3332       2.4987
 3775.40       0.3220       2.5295
 3776.43      -0.3891       2.3197
 3777.47      -1.3543       2.2602
 3778.51       0.4737       2.4028
 3779.55       1.2116       2.5397
 3780.58       1.3842       2.5534
 3781.62       1.6288       2.5685
 3782.66       1.3010       2.6314
 3783.70       0.9735       2.4540
 3784.73       0.3854       2.3421
 3785.77       0.8251       2.2908
 3786.81       0.4829       2.1208
 3787.85       0.3769       2.0323
 3788.89       0.1123       1.9733
 3789.92      -0.2799       1.9151
 3790.96      -0.5901       2.0014
 3792.00      -0.1957       1.9698
 3793.04       0.6151       1.9895
 3794.07      -0.3158       1.7903
 3795.11      -0.0775       1.7539
 3796.15       1.4521       1.8368
 3797.19       1.8420       1.8236
 3798.23       1.6340       1.6916
 3799.26       0.5299       1.6560
 3800.30       0.7497       1.7792
 3801.34       0.8653       1.9070
 3802.38       1.2905       1.9944
 3803.41       2.1772       2.0803
 3804.45       1.2406       1.9390
 3805.49      -0.1520       1.7555
 3806.53       2.0505       1.8383
 3807.57       2.5123       1.8422
 3808.60       0.6829       1.7562
 3809.64       0.9464       1.7817
 3810.68       1.1653       1.8258
