 
TRANSIENT_NAME:     DES14E1rpk 
SNID:               1317454    
OBS_DATE:           2014-12-30
MJD:                57021. 
PHASE:              +3.    
MJD_MAX:            57015.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00   4.5214e-20  ---
 3805.00   3.0037e-19  ---
 3810.00   1.2812e-19  ---
 3815.00   1.4614e-19  ---
 3820.00   9.9517e-20  ---
 3825.00   1.2590e-19  ---
 3830.00  -5.4246e-20  ---
 3835.00   1.7346e-19  ---
 3840.00  -1.8830e-19  ---
 3845.00  -2.4757e-20  ---
 3850.00   9.5839e-20  ---
 3855.00   9.3097e-20  ---
 3860.00   1.0758e-19  ---
 3865.00   1.0596e-19  ---
 3870.00   2.4745e-20  ---
 3875.00   1.9495e-19  ---
 3880.00   9.0639e-20  ---
 3885.00   6.6312e-21  ---
 3890.00   5.7844e-20  ---
 3895.00  -8.0362e-21  ---
 3900.00   7.1109e-20  ---
 3905.00   7.0139e-20  ---
 3910.00  -1.8537e-20  ---
 3915.00   3.7318e-20  ---
 3920.00   1.9281e-19  ---
 3925.00   3.3274e-20  ---
 3930.00   5.2332e-20  ---
 3935.00   2.3771e-20  ---
 3940.00   6.4020e-20  ---
 3945.00   5.5857e-20  ---
 3950.00   7.5376e-21  ---
 3955.00  -7.5679e-20  ---
 3960.00   5.9930e-20  ---
 3965.00   5.5948e-20  ---
 3970.00   2.7178e-20  ---
 3975.00   5.1502e-20  ---
 3980.00  -5.4077e-20  ---
 3985.00  -3.9117e-20  ---
 3990.00   2.8342e-20  ---
 3995.00   1.6591e-19  ---
 4000.00  -4.4078e-20  ---
 4005.00  -6.3511e-20  ---
 4010.00   2.3513e-19  ---
 4015.00   1.2922e-19  ---
 4020.00   1.3761e-19  ---
 4025.00   1.9311e-20  ---
 4030.00   8.1790e-20  ---
 4035.00   2.2790e-19  ---
 4040.00   2.4517e-20  ---
 4045.00  -4.0591e-20  ---
 4050.00   1.1703e-19  ---
 4055.00  -4.0645e-19  ---
 4060.00   2.1998e-19  ---
 4065.00  -3.4792e-19  ---
 4070.00   3.2325e-19  ---
 4075.00  -2.7693e-20  ---
 4080.00   2.8093e-19  ---
 4085.00   2.9784e-20  ---
 4090.00  -1.2695e-19  ---
 4095.00  -2.8339e-19  ---
 4100.00   5.3098e-19  ---
 4105.00   5.4731e-19  ---
 4110.00  -2.6440e-19  ---
 4115.00  -8.1977e-20  ---
 4120.00   3.6311e-20  ---
 4125.00   3.7776e-19  ---
 4130.00   2.9255e-19  ---
 4135.00   4.6882e-19  ---
 4140.00  -2.1135e-19  ---
 4145.00  -1.4977e-19  ---
 4150.00  -7.0055e-19  ---
 4155.00  -2.5631e-19  ---
 4160.00   1.9437e-19  ---
 4165.00  -8.0539e-21  ---
 4170.00   4.0477e-19  ---
 4175.00  -9.7421e-20  ---
 4180.00   3.2249e-19  ---
 4185.00  -4.7098e-20  ---
 4190.00  -6.0068e-20  ---
 4195.00  -7.1322e-20  ---
 4200.00   2.3733e-19  ---
 4205.00  -5.5881e-20  ---
 4210.00  -1.7099e-19  ---
 4215.00  -4.5721e-19  ---
 4220.00   1.9211e-19  ---
 4225.00   8.6544e-20  ---
 4230.00   4.0205e-20  ---
 4235.00  -5.5954e-19  ---
 4240.00  -7.8200e-19  ---
 4245.00   9.6631e-20  ---
 4250.00  -4.7796e-19  ---
 4255.00   8.5759e-20  ---
 4260.00  -2.9482e-19  ---
 4265.00   4.5682e-20  ---
 4270.00  -6.3360e-20  ---
 4275.00  -3.7344e-19  ---
 4280.00   1.2619e-19  ---
 4285.00   4.1223e-19  ---
 4290.00  -4.8743e-20  ---
 4295.00   4.2406e-19  ---
 4300.00   9.8769e-20  ---
 4305.00  -1.6107e-19  ---
 4310.00  -1.0243e-20  ---
 4315.00   9.7557e-20  ---
 4320.00  -1.1280e-19  ---
 4325.00   2.5107e-19  ---
 4330.00   1.4030e-21  ---
 4335.00   1.5363e-19  ---
 4340.00   2.0624e-19  ---
 4345.00   1.9084e-19  ---
 4350.00   3.2885e-20  ---
 4355.00   2.0275e-20  ---
 4360.00  -6.1478e-19  ---
 4365.00  -1.2259e-19  ---
 4370.00   1.2227e-19  ---
 4375.00  -8.8707e-20  ---
 4380.00  -6.0191e-19  ---
 4385.00  -6.1886e-20  ---
 4390.00   5.4383e-19  ---
 4395.00  -3.2103e-19  ---
 4400.00  -2.3150e-19  ---
 4405.00  -4.5675e-19  ---
 4410.00   2.8309e-19  ---
