 
TRANSIENT_NAME:     DES14E1tb  
SNID:               1291957    
OBS_DATE:           2014-09-17
MJD:                56917. 
PHASE:              +8.    
MJD_MAX:            56905.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3610  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      35.9277    1143.7900
 3744.26      21.3806    1088.7000
 3745.30       9.4488     925.4260
 3746.34      21.4187     882.9870
 3747.38     -19.5897     779.3830
 3748.41       2.9546     799.9520
 3749.45      12.2682     819.0370
 3750.49      11.4842     787.2090
 3751.53      10.6408     729.7890
 3752.56      13.4747     722.5360
 3753.60      37.3560     774.1480
 3754.64      25.5752     778.9540
 3755.68      -8.4850     637.8950
 3756.72      -6.5847     602.1180
 3757.75      18.2537     680.9270
 3758.79      19.1741     685.7650
 3759.83      12.8271     636.1650
 3760.87      -5.8023     545.2850
 3761.90     -15.0095     488.4060
 3762.94      12.4880     606.2860
 3763.98      50.6030     713.0720
 3765.02      29.0131     629.7850
 3766.06     -11.6158     554.2820
 3767.09       8.9640     610.1350
 3768.13      46.8446     650.9230
 3769.17      48.0468     602.4360
 3770.21      10.6163     545.9880
 3771.24     -16.9252     540.2940
 3772.28      11.2417     620.0630
 3773.32      15.6490     620.9850
 3774.36     -15.6688     512.0870
 3775.40      11.7967     602.3430
 3776.43      40.1647     678.4710
 3777.47      17.5282     582.3310
 3778.51       3.8368     555.0800
 3779.55      22.4566     587.4460
 3780.58      -2.9701     551.0780
 3781.62     -25.8178     501.6940
 3782.66      -6.6852     519.1280
 3783.70     -15.3024     485.4990
 3784.73      -2.5794     496.6430
 3785.77      31.0486     566.6470
 3786.81      -1.5787     478.9040
 3787.85      -4.3223     468.3540
 3788.89      29.4701     547.1420
 3789.92      27.3625     554.5150
 3790.96      18.6398     570.5850
 3792.00      -3.4945     535.5570
 3793.04     -13.6547     495.3910
 3794.07      -4.0729     470.9160
 3795.11     -19.2297     448.7150
 3796.15       1.5349     486.3500
 3797.19      32.1438     501.1760
 3798.23      13.5626     468.0250
 3799.26       7.8101     471.1160
 3800.30       0.9310     444.2450
 3801.34      -5.7662     404.9420
 3802.38      11.5884     444.6210
 3803.41      19.9981     465.7820
 3804.45       2.4802     417.9100
 3805.49     -16.2526     399.5900
 3806.53      10.2118     442.7040
 3807.57      30.3679     448.2280
 3808.60      15.0807     400.4850
 3809.64       4.6002     388.7510
 3810.68     -12.4783     360.3560
 3811.72     -13.0685     349.6840
 3812.75      14.8566     411.0520
 3813.79      15.3762     431.0480
 3814.83      13.7184     407.6550
 3815.87      -3.0571     402.2880
 3816.90     -25.8639     394.3330
 3817.94     -22.0235     346.7400
 3818.98       5.8393     338.8580
 3820.02      19.6319     366.7420
 3821.06      19.7943     362.0810
 3822.09      20.1307     342.3260
 3823.13      11.9530     322.2430
 3824.17      10.4393     312.0840
 3825.21      25.1123     306.2480
 3826.24       1.8402     326.2430
 3827.28      -3.7078     390.0680
 3828.32      14.4455     380.2450
 3829.36       0.2888     332.2790
 3830.40     -12.6506     312.4680
 3831.43      -6.7652     315.0550
 3832.47       1.5771     322.1270
 3833.51      11.6821     324.3060
 3834.55      12.7215     323.0200
 3835.58       8.9584     305.8900
 3836.62      15.7703     306.3230
 3837.66      19.1468     305.4500
 3838.70      16.0166     293.2040
 3839.74       8.9424     271.2180
 3840.77       8.5586     257.5220
 3841.81       3.3780     265.8500
 3842.85      -0.8769     267.8270
 3843.89      15.0551     269.8710
 3844.92      19.5981     269.8340
 3845.96       6.0423     255.9510
 3847.00       1.3517     230.7340
 3848.04      11.0110     251.3060
 3849.07      16.2476     266.3280
 3850.11       5.6154     249.9950
 3851.15      -0.7816     250.8920
 3852.19      -5.0730     238.1280
 3853.23       2.3068     219.7300
 3854.26      -7.0473     203.2440
 3855.30     -12.6338     205.3960
 3856.34       1.3131     223.8540
 3857.38       5.5296     224.0110
 3858.41       8.2186     224.8800
 3859.45       3.9163     217.4940
 3860.49      -1.4755     219.2920
 3861.53     -13.7272     207.4880
 3862.57      -2.1287     207.3290
 3863.60      22.3061     227.8520
 3864.64      23.3249     229.1800
 3865.68      12.8267     223.3590
 3866.72      -1.9293     195.1260
 3867.75      -9.1137     183.6290
 3868.79       3.0340     211.1110
 3869.83       2.7947     203.3680
 3870.87      -9.3419     167.0980
 3871.91       4.0549     186.0600
 3872.94      29.3447     224.9900
 3873.98      13.1743     203.1600
 3875.02      -2.7051     186.3210
 3876.06      10.7335     203.8590
 3877.09      10.9206     200.0280
 3878.13     -14.7665     164.4940
 3879.17     -10.6009     159.1600
 3880.21       5.0823     184.4340
 3881.24       6.5115     181.3090
 3882.28       6.2193     171.4110
 3883.32       0.3123     174.0310
 3884.36      -1.3711     172.4630
 3885.40      -1.0920     162.1880
 3886.43       5.4505     172.0020
 3887.47      10.3796     179.7810
 3888.51       6.8715     161.6430
 3889.55       2.9059     159.1780
 3890.58       4.8895     169.5200
 3891.62       7.7897     165.7000
 3892.66      -7.5202     148.6080
 3893.70     -12.2964     145.6150
 3894.74       2.6768     162.2600
 3895.77      13.0562     171.1960
 3896.81       2.7452     158.6020
 3897.85       4.3744     156.5010
 3898.89      25.1324     174.9650
 3899.92      16.5750     169.7860
 3900.96      -4.7030     149.4470
 3902.00      -8.1957     148.6520
 3903.04      12.6190     177.0790
 3904.07       9.8228     174.1640
 3905.11       0.5216     160.8520
 3906.15       9.9516     187.7330
 3907.19       6.2833     189.2090
 3908.23       4.8118     171.0570
 3909.26       6.5417     170.0060
 3910.30       2.5529     173.6360
 3911.34     -17.1572     150.3520
 3912.38     -14.6716     142.7400
 3913.41       8.0547     165.1880
 3914.45      -3.4378     142.7070
 3915.49      -3.0272     158.0860
 3916.53       5.3755     178.4610
 3917.57     -11.6304     138.5620
 3918.60       2.9208     138.4360
 3919.64      13.1708     147.4130
 3920.68       4.6946     129.0970
 3921.72      11.5855     133.7710
 3922.75       3.4588     125.2630
 3923.79      -5.9938     117.3030
 3924.83       6.9396     127.1480
 3925.87      19.7897     126.1110
 3926.91      12.5808     120.2940
 3927.94       7.2437     107.1230
 3928.98       3.4836      90.9514
 3930.02      -8.3097      84.1471
 3931.06      -5.3681      85.2548
 3932.09       0.6247      91.2384
 3933.13      -1.2559      84.4757
 3934.17      -0.5107      78.6827
 3935.21      11.4631      93.7848
 3936.24      18.6125     100.6010
 3937.28       0.0578      86.0406
 3938.32      -6.1751      82.7758
 3939.36       6.8512      96.7505
 3940.40       9.8390     103.3180
 3941.43      10.9304     103.7710
 3942.47       4.6839      96.0243
 3943.51      -0.3152      91.0351
 3944.55       4.9913      95.9319
 3945.58      10.7755     101.2630
 3946.62      13.9843     104.7520
 3947.66      16.3580     106.2700
 3948.70      16.6152     106.4920
 3949.74      19.5883     107.3550
 3950.77       7.7656      97.6324
 3951.81      -3.1484      91.6997
 3952.85       4.8465      91.5191
 3953.89       3.0493      84.0524
 3954.92       1.4341      83.4545
 3955.96      -3.3903      83.5282
 3957.00       4.9979      89.8067
 3958.04       4.0697      88.7272
 3959.08       4.9718      86.2177
 3960.11      18.8183     100.1000
 3961.15      13.8997      97.9078
 3962.19       7.0151      81.6725
 3963.23       7.3057      79.7316
 3964.26      10.4191      82.1837
 3965.30      13.3225      85.9594
 3966.34       4.0605      77.6349
 3967.38      -1.0431      67.5863
 3968.41      -8.5837      60.5701
 3969.45     -14.1576      58.7733
 3970.49      -5.4429      65.4015
 3971.53       9.3541      77.0288
 3972.57       9.6650      80.8155
 3973.60       9.5764      84.9959
 3974.64      13.5771      94.2451
 3975.68       5.3112      93.8093
 3976.72      -2.1609      87.3060
 3977.75      -6.8586      81.0465
 3978.79      -6.8696      82.3153
 3979.83      -1.5928      87.8868
 3980.87       1.6952      89.9686
