 
TRANSIENT_NAME:     DES14E2u   
SNID:               1291090    
OBS_DATE:           2014-09-17
MJD:                56917. 
PHASE:              +9.    
MJD_MAX:            56905.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2929  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       1.8332      21.0375
 3744.26       4.2091      20.5799
 3745.30      -1.7790      18.0699
 3746.34      -3.9628      15.9791
 3747.38      -0.1235      16.3508
 3748.41       0.8002      16.5195
 3749.45       0.7678      16.0085
 3750.49      -0.2684      16.2060
 3751.53       3.1633      16.6168
 3752.56       5.4510      16.5182
 3753.60      -0.4556      13.5515
 3754.64      -1.9654      12.9762
 3755.68       0.8958      13.7750
 3756.72       1.4565      14.2837
 3757.75      -1.1964      14.4380
 3758.79       1.6833      15.6807
 3759.83       2.9883      15.0693
 3760.87      -3.1611      12.2942
 3761.90      -2.7827      11.4011
 3762.94       0.2310      12.5718
 3763.98       1.8112      13.8854
 3765.02      -1.1863      13.3083
 3766.06      -1.2786      12.0397
 3767.09       1.2384      12.8044
 3768.13      -0.2155      12.4607
 3769.17      -0.1069      12.0523
 3770.21       1.4643      12.3142
 3771.24       1.6890      12.7241
 3772.28       0.3984      12.5272
 3773.32      -1.4869      11.3430
 3774.36       1.0807      12.5336
 3775.40       3.3058      13.5582
 3776.43       0.5070      12.3016
 3777.47      -1.4070      10.9867
 3778.51       0.0370      10.9267
 3779.55       2.6308      11.8317
 3780.58       2.7071      11.4779
 3781.62      -1.0525      10.2822
 3782.66      -0.5607      10.6311
 3783.70      -1.7874      10.6724
 3784.73       2.1096      12.0246
 3785.77       5.9166      12.1824
 3786.81       1.4097      10.5006
 3787.85      -1.1881       9.9698
 3788.89       0.5785      10.3958
 3789.92       3.4519      10.9351
 3790.96       3.3482      11.0513
 3792.00       0.8559      10.9577
 3793.04       0.2265      11.0390
 3794.07       0.2993      10.4319
 3795.11       2.6554       9.9274
 3796.15       3.5367      10.0717
 3797.19       3.2267       9.9583
 3798.23       2.1123       9.4571
 3799.26       1.3216       9.4394
 3800.30       3.2115      10.0811
 3801.34       3.8505       9.7901
 3802.38      -0.0350       8.8951
 3803.41      -0.2347       9.2239
 3804.45       1.4862       9.5463
 3805.49       1.2472       8.9885
 3806.53       2.6498       8.3028
 3807.57       2.6520       8.3050
 3808.60       1.0223       8.8411
 3809.64       1.4061       9.1032
 3810.68      -1.3680       8.5329
 3811.72      -0.3583       8.3710
 3812.75       6.0184       9.5361
 3813.79       7.5240       9.8330
 3814.83       2.9082       8.2605
 3815.87      -0.0960       7.6693
 3816.90       2.0563       8.1228
 3817.94       3.3470       7.9907
 3818.98       2.4545       7.4281
 3820.02      -1.4273       6.7568
 3821.06      -0.1951       7.0527
 3822.09       0.7729       7.2934
 3823.13       0.7316       6.9377
 3824.17       2.6805       6.5347
 3825.21       3.4137       6.5187
 3826.24       1.0173       6.3542
 3827.28       2.3620       6.7406
 3828.32       2.7998       6.9812
 3829.36       3.5055       7.4032
 3830.40       2.7848       7.5531
 3831.43      -0.2422       6.6564
 3832.47      -1.9133       6.1947
 3833.51      -0.5819       6.2413
 3834.55       0.6207       6.1123
 3835.58       0.4177       5.9887
 3836.62      -0.4097       5.7475
 3837.66       0.9374       5.8077
 3838.70      -0.3819       5.1854
 3839.74      -2.8579       5.1989
 3840.77       1.2381       5.9725
 3841.81       1.2174       5.4118
 3842.85       1.3393       5.3353
 3843.89       5.5720       6.2900
 3844.92       6.2484       6.3994
 3845.96       3.2112       5.7034
 3847.00       0.3976       5.1252
 3848.04       1.0188       4.9159
 3849.07       2.2949       4.9882
 3850.11       0.3090       4.8620
 3851.15      -1.2762       4.8050
 3852.19      -1.1483       4.8667
 3853.23      -2.5927       4.4464
 3854.26       1.3467       4.5353
 3855.30       1.9973       5.0032
 3856.34      -1.9480       4.6554
 3857.38       0.8932       4.5189
 3858.41       2.4923       4.7788
 3859.45       1.3037       4.6052
 3860.49       0.1992       4.2806
 3861.53      -2.0577       3.9006
 3862.57      -0.0703       4.1896
 3863.60       2.2991       4.6827
 3864.64       1.8278       4.7195
 3865.68       3.9322       4.8720
 3866.72       2.8486       4.6308
 3867.75       0.4029       4.3897
 3868.79       0.1576       4.2031
 3869.83       3.0718       4.3695
 3870.87       1.9268       4.2316
 3871.91       2.3553       4.4446
 3872.94       3.7300       4.7971
 3873.98       2.3551       4.5757
 3875.02      -0.9496       4.0349
 3876.06      -1.4768       3.8705
 3877.09      -1.6718       3.8407
 3878.13       1.0949       3.9656
 3879.17       2.2740       4.0029
 3880.21       1.3599       3.9779
 3881.24       1.4224       3.9791
 3882.28      -0.5195       3.6930
 3883.32       0.8064       3.6100
 3884.36       3.5704       4.0158
 3885.40       2.1399       3.6548
 3886.43       0.9058       3.2907
 3887.47       1.9519       3.4268
 3888.51       2.0522       3.4215
 3889.55       2.3026       3.6475
 3890.58       2.2581       3.6977
 3891.62       0.8729       3.2713
 3892.66       0.0524       3.0164
 3893.70       0.3343       3.1786
 3894.74       0.1957       3.2744
 3895.77       2.6520       3.5699
 3896.81       2.4796       3.5026
 3897.85       1.9812       3.4274
 3898.89       2.7821       3.5302
 3899.92       2.0645       3.3578
 3900.96       1.8091       3.2663
 3902.00       3.3252       3.4056
 3903.04       2.6927       3.2889
 3904.07       3.6128       3.5622
 3905.11       2.6974       3.7614
 3906.15       0.5435       3.4231
 3907.19       0.4129       3.4410
 3908.23       2.5447       3.6599
 3909.26       0.7800       3.2511
 3910.30      -1.0523       2.9455
 3911.34       0.4698       3.2710
 3912.38       1.5690       3.5005
 3913.41       1.8247       3.2728
 3914.45       0.3756       2.9691
 3915.49      -0.8419       2.8156
 3916.53       1.2597       3.0212
 3917.57       2.6808       3.2429
 3918.60       2.2103       3.0838
 3919.64       2.4395       2.8659
 3920.68       2.5666       2.6475
 3921.72       1.1607       2.4391
 3922.75      -0.1346       2.2824
 3923.79      -0.4188       2.2912
 3924.83       0.3515       2.4418
 3925.87      -0.5053       2.2652
 3926.91      -0.2841       2.0901
 3927.94       1.0821       2.1386
 3928.98       1.7541       2.1149
 3930.02       2.1753       2.1918
 3931.06       0.9905       2.0581
 3932.09      -0.7294       1.7809
 3933.13      -0.9086       1.7224
 3934.17       1.3766       1.8166
 3935.21       1.2726       1.7741
 3936.24      -0.2559       1.6605
 3937.28       0.2521       1.7100
 3938.32       0.5376       1.7682
 3939.36       0.8629       1.9382
 3940.40       2.1545       2.1632
 3941.43       2.2435       2.1730
 3942.47       0.6501       1.9176
 3943.51       0.3000       1.8310
 3944.55       1.1261       1.9762
 3945.58       0.1303       1.8862
 3946.62       0.1558       1.8143
 3947.66       0.6642       1.8350
 3948.70      -1.2479       1.7225
 3949.74       0.2603       1.8573
 3950.77       0.5496       1.8449
 3951.81       0.2001       1.7879
 3952.85       0.9165       1.8857
 3953.89       0.4614       1.8355
 3954.92      -0.7137       1.6878
 3955.96       0.5502       1.8063
 3957.00       2.4370       1.9872
 3958.04       2.1465       1.9423
 3959.08      -0.5469       1.7228
 3960.11      -0.8790       1.7538
 3961.15       0.8279       1.7976
 3962.19       0.3089       1.6063
 3963.23       0.9870       1.6534
 3964.26       1.1071       1.6088
 3965.30      -0.9464       1.3770
 3966.34      -0.8265       1.4518
 3967.38      -0.6243       1.4471
 3968.41       0.3429       1.4627
 3969.45       2.7633       1.6389
 3970.49       1.8889       1.5096
 3971.53       1.7825       1.6039
 3972.57       1.9860       1.7607
 3973.60       0.4278       1.6176
 3974.64      -0.2966       1.6759
 3975.68       0.9217       1.8296
 3976.72       2.6269       1.8656
 3977.75       2.9083       1.9182
 3978.79       1.3741       1.7984
 3979.83      -0.1594       1.5794
 3980.87       0.2032       1.5452
 3981.91       0.3049       1.6050
 3982.94       1.5183       1.7485
 3983.98       1.8926       1.7463
 3985.02       0.2615       1.5999
 3986.06       1.7896       1.7464
 3987.09       1.8978       1.7891
 3988.13       0.7280       1.7069
 3989.17       1.7880       1.7425
 3990.21       0.5469       1.6091
 3991.25       0.7023       1.6164
 3992.28       0.2514       1.6499
 3993.32      -1.0630       1.5546
 3994.36       0.0527       1.6153
 3995.40      -0.2334       1.6165
 3996.43       0.1252       1.6485
 3997.47       1.7479       1.8049
 3998.51       1.1819       1.8219
 3999.55      -0.2832       1.7990
 4000.58      -0.2845       1.8445
 4001.62       0.4707       1.8837
 4002.66       0.1795       1.8649
 4003.70       1.1874       1.9931
 4004.74       1.1603       1.9633
 4005.77      -0.2685       1.7915
 4006.81       0.6675       1.9071
 4007.85       0.7466       2.0538
 4008.89       0.7248       2.0991
 4009.92       2.2179       2.2625
 4010.96       3.3489       2.3951
 4012.00       1.4513       2.2684
 4013.04       0.9314       2.2103
 4014.08       2.3087       2.2784
 4015.11       2.4403       2.2669
 4016.15       1.3775       2.1418
 4017.19       1.2429       2.1006
 4018.23       2.9132       2.1290
 4019.26       1.1943       1.9299
 4020.30      -0.2063       1.8480
 4021.34       2.1158       2.0998
 4022.38       2.0090       2.1140
 4023.42       0.7430       1.8744
 4024.45       1.0069       1.8525
 4025.49       2.7883       2.0374
 4026.53       1.7827       1.9653
 4027.57       0.5683       1.8368
 4028.60       1.3710       1.9291
 4029.64       1.7337       1.9333
 4030.68       1.5300       1.8697
 4031.72       1.9309       1.9065
 4032.75       1.4579       1.8494
 4033.79       1.1325       1.7944
 4044.17       3.5567       2.1696
 4045.21       1.4604       1.9126
 4046.25      -0.0581       1.7608
 4047.28       1.1048       1.8866
 4048.32       0.9631       1.8990
 4049.36       1.0179       1.9436
 4050.40       0.9414       1.8735
 4051.43       1.3057       1.8649
 4052.47       0.5805       1.7622
 4053.51      -1.2419       1.5260
 4054.55      -0.1500       1.6118
 4055.58       0.6187       1.6566
 4056.62      -0.2660       1.5309
 4057.66       1.3192       1.6441
 4058.70       2.6880       1.7769
 4059.74       1.3027       1.6949
 4060.77       1.0927       1.7731
 4061.81       1.9778       1.7934
 4062.85       2.3729       1.8096
 4063.89       0.8408       1.7444
 4064.92       0.6551       1.7401
 4065.96       1.8777       1.8288
 4067.00       2.0222       1.7975
 4068.04       1.9589       1.7862
 4069.08       1.4301       1.7150
 4070.11       0.9563       1.6226
 4071.15       0.5134       1.5984
 4072.19      -0.5254       1.4943
 4073.23       1.4201       1.5773
 4074.26       2.4397       1.7004
 4075.30       2.1653       1.7110
 4076.34       0.9032       1.5569
 4077.38       0.2589       1.4946
 4078.42       0.4210       1.4838
 4079.45       1.2328       1.5758
 4080.49       0.2098       1.5429
 4081.53       0.6103       1.5693
 4082.57       1.4246       1.6255
 4083.60       1.8371       1.6614
 4084.64       1.6020       1.6692
 4085.68       1.6587       1.7415
 4086.72       1.7463       1.8179
 4087.75       2.4102       1.8692
 4088.79       2.1834       1.7707
 4089.83      -0.3808       1.5052
 4090.87       0.5721       1.5430
 4091.91       2.5609       1.6707
 4092.94       1.7998       1.5952
 4093.98       2.2854       1.5909
 4095.02       1.9203       1.5352
 4096.06       0.8900       1.3770
 4097.09       0.7078       1.3515
 4098.13       1.4291       1.4853
 4099.17       1.3980       1.4845
 4100.21       1.4879       1.3649
 4101.25       1.4473       1.3230
 4102.28       0.4436       1.2270
 4103.32       1.2566       1.2839
 4104.36       1.6017       1.3291
 4105.40       1.8621       1.3717
 4106.43       2.3523       1.3997
 4107.47       1.1551       1.3077
 4108.51       1.0853       1.3438
 4109.55       0.5626       1.2943
 4110.58       1.4721       1.3196
 4111.62       2.4734       1.3854
 4112.66       1.8425       1.3384
 4113.70       1.9597       1.3378
