 
TRANSIENT_NAME:     DES14E2u   
SNID:               1291090    
OBS_DATE:           2014-09-19
MJD:                56919. 
PHASE:              +11.   
MJD_MAX:            56905.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2929  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       5.9253      40.0407
 3744.26       2.0771      36.1971
 3745.30      -1.8395      33.1332
 3746.34       3.2193      35.0538
 3747.38       2.4071      34.0959
 3748.41       1.0480      32.8183
 3749.45       0.5502      29.0526
 3750.49       5.9949      32.7784
 3751.53       6.0250      30.7648
 3752.56      -6.1012      25.0357
 3753.60      -2.8241      26.8676
 3754.64      -0.9026      27.4853
 3755.68       0.1375      30.8257
 3756.72       0.7053      30.4434
 3757.75      -2.2946      26.8304
 3758.79      -3.0262      24.8618
 3759.83      -3.6135      23.1157
 3760.87      -0.6322      24.1379
 3761.90      -2.8085      22.4298
 3762.94      -5.5013      20.4964
 3763.98       2.3643      22.8452
 3765.02       7.3675      26.5796
 3766.06       0.1798      22.3107
 3767.09      -1.4454      21.3270
 3768.13       2.0352      24.6182
 3769.17       1.7362      24.2361
 3770.21       0.3591      21.6964
 3771.24      -0.6284      22.1610
 3772.28      -1.8051      24.3996
 3773.32      -1.3642      22.6995
 3774.36      -1.0534      20.3619
 3775.40      -0.0811      22.8134
 3776.43       1.7635      21.6052
 3777.47      -1.0744      19.1910
 3778.51      -0.3375      20.4221
 3779.55      -1.2855      20.3832
 3780.58      -1.7133      19.7223
 3781.62      -1.0135      19.4222
 3782.66       2.4656      20.8298
 3783.70       5.3408      22.8726
 3784.73       4.4069      22.2391
 3785.77       3.9345      21.3629
 3786.81       1.8327      21.4474
 3787.85       3.5698      22.4875
 3788.89       4.1373      21.5726
 3789.92      -1.5027      18.3429
 3790.96       0.6214      19.1414
 3792.00       3.1153      20.6128
 3793.04      -0.1875      18.7178
 3794.07       1.8192      17.7793
 3795.11       1.0781      18.2666
 3796.15      -2.7705      17.6654
 3797.19      -2.4998      17.8781
 3798.23      -2.1578      18.6034
 3799.26       2.3610      18.0314
 3800.30       4.1616      16.9334
 3801.34      -0.2508      15.6691
 3802.38       0.5967      17.0495
 3803.41       5.1855      18.7227
 3804.45       2.7804      16.4240
 3805.49      -4.0320      14.0539
 3806.53      -4.9176      14.5205
 3807.57       1.3021      15.2882
 3808.60       2.1272      15.3231
 3809.64       0.2140      16.3769
 3810.68      -0.6911      15.7806
 3811.72      -0.7583      14.7895
 3812.75       1.5236      15.4075
 3813.79       2.4970      15.5484
 3814.83       4.3357      16.3858
 3815.87       3.5682      15.2049
 3816.90       1.9309      13.7804
 3817.94       2.0027      14.0222
 3818.98       0.3862      13.3973
 3820.02       0.6765      12.8038
 3821.06       4.1673      13.3495
 3822.09       3.1605      12.8919
 3823.13       1.9684      11.7248
 3824.17       1.1341      11.2487
 3825.21       1.9642      10.6830
 3826.24       1.2926      10.4076
 3827.28      -2.7254      10.1454
 3828.32      -1.2662      11.1308
 3829.36      -0.3843      12.5238
 3830.40      -1.5881      12.0871
 3831.43       0.2581      11.6890
 3832.47       0.8509      11.4134
 3833.51      -1.4683      10.4576
 3834.55       0.2152      10.2384
 3835.58       0.4252       9.8816
 3836.62      -1.0137       9.5406
 3837.66      -1.8821       9.3237
 3838.70      -1.4366       9.4278
 3839.74      -0.7935       8.9087
 3840.77      -3.6744       8.2154
 3841.81      -2.0742       8.6829
 3842.85       0.9040       9.0389
 3843.89      -0.1640       9.0662
 3844.92       2.4663       9.3696
 3845.96       2.7091       9.3076
 3847.00       2.5428       9.4254
 3848.04       0.9979       9.1825
 3849.07      -0.6291       8.8380
 3850.11       1.3392       8.9573
 3851.15      -1.5639       8.1430
 3852.19      -3.8012       7.0062
 3853.23      -1.9938       7.0774
 3854.26       1.4520       8.7437
 3855.30       4.7763       9.5152
 3856.34       3.6326       9.1323
 3857.38       0.4529       8.1677
 3858.41       1.5143       7.7490
 3859.45       1.2005       7.6030
 3860.49       0.9837       7.6094
 3861.53       1.3689       8.2597
 3862.57      -0.0961       8.1496
 3863.60      -1.1669       7.9925
 3864.64       1.6449       8.6463
 3865.68       0.9863       8.0507
 3866.72       1.7862       8.3794
 3867.75       2.1753       8.2841
 3868.79      -0.5773       7.2673
 3869.83       2.0592       7.9601
 3870.87       1.9220       8.0851
 3871.91       1.4418       7.3940
 3872.94       3.9474       8.0323
 3873.98       0.8900       7.6011
 3875.02      -2.1184       6.9922
 3876.06      -0.8237       7.2929
 3877.09       1.9725       7.4531
 3878.13       1.9013       7.1297
 3879.17       2.3762       6.9844
 3880.21       2.6819       7.0174
 3881.24       1.4374       6.8577
 3882.28      -2.6540       6.0944
 3883.32       0.0744       6.5224
 3884.36       1.2904       6.2638
 3885.40      -1.7480       5.5361
 3886.43      -1.6390       5.7956
 3887.47       1.4761       5.9963
 3888.51       4.3446       6.7112
 3889.55       3.6082       6.6097
 3890.58       1.3108       6.2544
 3891.62       0.0035       6.2018
 3892.66      -0.0178       5.8241
 3893.70      -0.5531       5.5417
 3894.74      -0.3600       5.6271
 3895.77       2.2654       6.6348
 3896.81       0.6152       6.5814
 3897.85      -2.6688       5.2662
 3898.89       2.9900       5.7201
 3899.92       7.2917       6.6118
 3900.96       1.2107       5.6924
 3902.00      -0.4011       5.4846
 3903.04      -0.1914       5.5588
 3904.07      -0.0598       5.8143
 3905.11       0.1995       5.7703
 3906.15      -5.0535       5.1948
