 
TRANSIENT_NAME:     DES14S1aoz 
SNID:               1295921    
OBS_DATE:           2014-09-24
MJD:                56924. 
PHASE:              +7.    
MJD_MAX:            56913.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5250  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.05   7.0419e+00  ---
 3400.66   2.6437e-01  ---
 3401.27   8.7602e-01  ---
 3401.88   5.3443e+00  ---
 3402.49  -1.4611e+00  ---
 3403.10   5.1903e+00  ---
 3403.71   1.0354e+01  ---
 3404.32   3.5957e-01  ---
 3404.93   6.0883e+00  ---
 3405.54   4.1304e+00  ---
 3406.15   1.4656e+00  ---
 3406.75  -3.4177e+00  ---
 3407.36   8.8666e-01  ---
 3407.97  -5.4173e+00  ---
 3408.58  -2.2161e-01  ---
 3409.19  -3.9310e-01  ---
 3409.80   2.8130e+00  ---
 3410.41   6.1461e+00  ---
 3411.02   3.3928e+00  ---
 3411.63   7.2857e+00  ---
 3412.24   3.7739e+00  ---
 3412.85  -1.5263e+00  ---
 3413.46  -1.3848e+00  ---
 3414.07   2.6089e+00  ---
 3414.68   1.7866e+00  ---
 3415.29   3.7351e+00  ---
 3415.90   1.5770e+00  ---
 3416.51  -8.4113e-01  ---
 3417.12   7.9136e-01  ---
 3417.73   2.0640e+00  ---
 3418.34   2.5786e+00  ---
 3418.95   2.7496e+00  ---
 3419.56   1.1567e+00  ---
 3420.17  -4.7911e+00  ---
 3420.78   2.7131e+00  ---
 3421.39  -4.3185e+00  ---
 3422.00  -3.8525e+00  ---
 3422.60  -1.4369e-01  ---
 3423.21  -3.5807e+00  ---
 3423.82  -4.6544e+00  ---
 3424.43  -3.7373e+00  ---
 3425.04  -2.3556e-02  ---
 3425.65   4.5370e-01  ---
 3426.26   7.2930e-01  ---
 3426.87  -3.7048e+00  ---
 3427.48  -1.0512e+00  ---
 3428.09   1.7110e+00  ---
 3428.70   8.4475e-01  ---
 3429.31  -2.1773e+00  ---
 3429.92   1.6147e-01  ---
 3430.53   3.7528e+00  ---
 3431.14   1.8529e+00  ---
 3431.75   4.8595e+00  ---
 3432.36   2.1260e-01  ---
 3432.97  -2.1124e+00  ---
 3433.58   1.6644e-01  ---
 3434.19   5.2823e+00  ---
 3434.80   2.9820e+00  ---
 3435.41  -2.5031e+00  ---
 3436.02   5.6360e-01  ---
 3436.63  -4.3254e+00  ---
 3437.24  -4.1220e+00  ---
 3437.85  -1.0737e+00  ---
 3438.46   4.5406e-01  ---
 3439.06   1.0032e+00  ---
 3439.67   4.3839e+00  ---
 3440.28   7.3976e+00  ---
 3440.89   4.1165e+00  ---
 3441.50   4.2601e+00  ---
 3442.11   2.7168e+00  ---
 3442.72   2.8810e+00  ---
 3443.33   3.3131e+00  ---
 3443.94   2.1687e+00  ---
 3444.55   9.4062e-01  ---
 3445.16  -3.0948e+00  ---
 3445.77  -2.3754e+00  ---
 3446.38   9.7072e-01  ---
 3446.99   2.1803e-01  ---
 3447.60   2.2528e+00  ---
 3448.21   4.2661e+00  ---
 3448.82   5.7986e+00  ---
 3449.43  -1.0949e+00  ---
 3450.04  -9.2253e-01  ---
 3450.65   3.5873e-01  ---
