 
TRANSIENT_NAME:     DES14S1lfk 
SNID:               1312274    
OBS_DATE:           2014-11-16
MJD:                56977. 
PHASE:              +0.    
MJD_MAX:            56977.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4390  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4000.00   8.0238e-03  ---
 4001.16   1.1734e-02  ---
 4002.32   2.8265e-02  ---
 4003.48   1.1937e-02  ---
 4004.64   1.2554e-02  ---
 4005.80   2.3209e-02  ---
 4006.96   2.0887e-02  ---
 4008.12   1.7147e-02  ---
 4009.28   1.9850e-03  ---
 4010.44  -2.9281e-03  ---
 4011.60   8.3304e-03  ---
 4012.76   1.1254e-02  ---
 4013.92  -2.3709e-03  ---
 4015.08  -7.9276e-03  ---
 4016.24  -7.5670e-03  ---
 4017.40  -1.4615e-02  ---
 4018.56   9.4753e-03  ---
 4019.72   3.2835e-02  ---
 4020.88   1.9483e-02  ---
 4022.04   1.7310e-02  ---
 4023.20   1.6357e-02  ---
 4024.36   9.3901e-04  ---
 4025.52  -2.7485e-03  ---
 4026.68  -3.2801e-03  ---
 4027.84   9.1796e-03  ---
 4029.00   1.6420e-02  ---
 4030.16  -5.1905e-03  ---
 4031.32  -4.9706e-03  ---
 4032.48   3.8488e-03  ---
 4033.64   8.4613e-04  ---
 4034.80   1.6289e-02  ---
 4035.96   1.4546e-02  ---
 4037.12  -8.9854e-03  ---
 4038.28  -7.7427e-03  ---
 4039.44   1.1674e-03  ---
 4040.60   1.3357e-02  ---
 4041.76   9.7662e-03  ---
 4042.92   3.2055e-03  ---
 4044.08   2.0700e-02  ---
 4045.24   2.7123e-02  ---
 4046.40   1.2386e-02  ---
 4047.56   4.2088e-03  ---
 4048.72   5.2272e-03  ---
 4049.88   7.6992e-03  ---
 4051.04   3.6098e-03  ---
 4052.20  -7.5592e-04  ---
 4053.36   7.9520e-03  ---
 4054.52   8.6184e-03  ---
 4055.68   1.3082e-04  ---
 4056.84   1.0050e-03  ---
 4058.00   1.7272e-02  ---
 4059.16   1.4536e-02  ---
 4060.32   4.6465e-03  ---
 4061.48  -6.7508e-03  ---
 4062.65  -4.5343e-03  ---
 4063.81   4.8161e-04  ---
 4064.97  -1.0776e-02  ---
 4066.13   5.2502e-03  ---
 4067.29   1.6486e-02  ---
 4068.45   2.1621e-02  ---
 4069.61   2.3548e-02  ---
 4070.77   5.8315e-03  ---
 4071.93   7.3518e-03  ---
 4073.09  -3.2090e-03  ---
 4074.25   1.0523e-02  ---
 4075.41   3.2467e-02  ---
 4076.57  -2.0017e-03  ---
 4077.73  -1.1822e-02  ---
 4078.89   2.3292e-03  ---
 4080.05  -3.4907e-03  ---
 4081.21  -3.1561e-03  ---
 4082.37   3.2854e-03  ---
 4083.53   7.7381e-03  ---
 4084.69   4.4410e-03  ---
 4085.85   8.3970e-03  ---
 4087.01   4.1740e-03  ---
 4088.17  -9.8084e-03  ---
 4089.33  -5.4517e-03  ---
 4090.49  -1.1377e-03  ---
 4091.65   1.6467e-04  ---
 4092.81   2.3768e-03  ---
 4093.97   5.3589e-03  ---
 4095.13   5.4677e-03  ---
 4096.29   2.5938e-03  ---
 4097.45   9.2483e-03  ---
 4098.61   6.4268e-03  ---
 4099.77   5.5884e-03  ---
 4100.93   5.5907e-03  ---
 4102.09  -1.9429e-03  ---
 4103.25   1.6195e-03  ---
 4104.41  -2.5365e-06  ---
 4105.57  -2.4134e-03  ---
 4106.73   6.0815e-03  ---
 4107.89   7.3642e-03  ---
 4109.05  -1.9153e-03  ---
 4110.21  -1.5708e-03  ---
 4111.37   6.2942e-03  ---
 4112.53   2.1643e-03  ---
 4113.69   3.5606e-03  ---
 4114.85   8.9101e-03  ---
 4116.01  -8.3937e-03  ---
 4117.17  -1.3567e-02  ---
 4118.33   1.8124e-02  ---
 4119.49   3.6964e-02  ---
 4120.65   3.9865e-03  ---
 4121.81  -2.5188e-02  ---
 4122.97  -7.8783e-03  ---
 4124.13   1.7667e-02  ---
 4125.29   1.6435e-02  ---
 4126.45   5.4282e-03  ---
 4127.61   2.0999e-02  ---
 4128.77   1.2886e-02  ---
 4129.93  -1.0334e-02  ---
 4131.09  -5.4964e-03  ---
 4132.25  -1.2998e-04  ---
 4133.41   3.8620e-03  ---
 4134.57   6.7634e-03  ---
 4135.73  -1.6240e-03  ---
 4136.89  -5.4734e-03  ---
 4138.05  -7.4211e-03  ---
 4139.21  -5.4327e-03  ---
 4140.37  -1.5147e-04  ---
 4141.53  -4.1808e-03  ---
 4142.69   1.0799e-02  ---
 4143.85   2.1046e-02  ---
 4145.01   1.7934e-02  ---
 4146.17   9.3246e-03  ---
 4147.33  -4.9102e-04  ---
 4148.49   1.4689e-02  ---
 4149.65   2.1320e-02  ---
 4150.81   5.5388e-03  ---
 4151.97   3.9348e-04  ---
 4153.13   1.0129e-04  ---
 4154.29  -3.7330e-04  ---
 4155.45   9.2378e-03  ---
 4156.61   6.5210e-03  ---
 4157.77  -8.0684e-03  ---
 4158.93  -7.9902e-03  ---
 4160.09  -3.2456e-03  ---
 4161.25  -7.9368e-03  ---
 4162.41  -1.2794e-02  ---
 4163.57  -6.9994e-03  ---
 4164.73   4.7201e-04  ---
 4165.89   1.2463e-02  ---
 4167.05   1.5461e-02  ---
 4168.21  -7.3310e-03  ---
 4169.37  -7.4674e-03  ---
 4170.53   9.9638e-03  ---
 4171.69   7.4359e-03  ---
 4172.85   1.5745e-03  ---
 4174.01  -7.7074e-03  ---
 4175.17  -9.4187e-03  ---
 4176.33  -5.9994e-03  ---
 4177.49  -1.7732e-03  ---
 4178.65  -4.1681e-04  ---
 4179.81  -3.9156e-03  ---
 4180.97  -4.8610e-04  ---
 4182.13   1.5084e-03  ---
 4183.29   2.6419e-03  ---
 4184.45  -4.8164e-03  ---
 4185.61  -8.3475e-03  ---
 4186.77  -2.6806e-03  ---
 4187.94  -1.2277e-03  ---
 4189.10   1.5828e-03  ---
 4190.26   6.4879e-03  ---
 4191.42   1.5651e-02  ---
 4192.58   1.8208e-02  ---
 4193.74   1.4302e-02  ---
