 
TRANSIENT_NAME:     DES14S1qid 
SNID:               1315192    
OBS_DATE:           2014-12-20
MJD:                57011. 
PHASE:              +2.    
MJD_MAX:            57008.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2280  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/BAADE
INSTRUMENT:         IMACS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4246.00   3.8755e-02   3.5143e-03
 4247.27   3.2106e-02   2.9085e-03
 4248.54   1.9149e-02   1.7315e-03
 4249.81   3.5353e-03   3.1237e-04
 4251.08  -5.3250e-04  -4.6320e-05
 4252.35   7.7585e-03   6.7288e-04
 4253.62   5.3959e-03   4.9342e-04
 4254.89   8.8342e-03   8.2225e-04
 4256.16   2.4759e-02   2.2918e-03
 4257.43   1.9116e-02   1.8072e-03
 4258.70   4.4792e-03   4.2188e-04
 4259.97   1.4789e-02   1.3878e-03
 4261.24   2.8714e-02   2.7121e-03
 4262.51   2.1957e-02   2.0701e-03
 4263.78   1.4478e-02   1.2948e-03
 4265.05   1.7847e-02   1.6260e-03
 4266.32   3.9290e-02   3.7853e-03
 4267.59   6.1161e-02   6.0734e-03
 4268.86   2.3010e-02   2.1757e-03
 4270.13  -1.1284e-02  -1.0071e-03
 4271.40   1.6452e-02   1.5524e-03
 4272.67   5.7947e-02   5.8673e-03
 4273.94   4.9820e-02   5.0266e-03
 4275.21   2.7645e-02   2.6021e-03
 4276.48   2.7073e-02   2.4873e-03
 4277.75   2.7750e-02   2.6962e-03
 4279.02   3.0648e-02   3.1031e-03
 4280.29   1.9869e-02   1.9535e-03
 4281.56   7.1833e-03   6.9813e-04
 4282.83  -8.3876e-03  -8.0824e-04
 4284.10   1.0139e-02   9.8022e-04
 4285.37   3.6876e-02   3.6467e-03
 4286.64   6.6801e-02   6.7439e-03
 4287.91   5.0150e-02   4.8788e-03
 4289.18   1.6916e-02   1.6205e-03
 4290.45   1.1634e-02   1.1234e-03
 4291.72   7.8846e-04   7.7082e-05
 4292.99   1.5831e-02   1.5400e-03
 4294.26   3.2159e-02   3.0876e-03
 4295.53   3.5887e-02   3.4515e-03
 4296.80   4.4870e-02   4.2350e-03
 4298.07   3.2857e-02   2.9669e-03
 4299.34   3.4925e-02   3.2968e-03
 4300.61   3.4209e-02   3.2550e-03
 4301.88   2.3413e-02   2.1614e-03
 4303.15   4.5806e-02   4.4092e-03
 4304.42   5.9797e-02   5.7244e-03
 4305.69   3.4052e-02   3.1129e-03
 4306.96   1.5702e-02   1.4299e-03
 4308.23   2.3390e-02   2.1150e-03
 4309.50   1.4922e-02   1.2897e-03
 4310.77   2.8338e-02   2.5345e-03
 4312.04   3.4275e-02   3.1042e-03
 4313.31   3.4105e-02   3.0160e-03
 4314.58   3.6950e-02   3.2339e-03
 4315.85   2.4936e-02   2.2385e-03
 4317.12   2.3114e-02   2.1298e-03
 4318.39   2.5411e-02   2.3245e-03
 4319.66   3.9027e-02   3.6673e-03
 4320.93   1.0203e-02   9.2828e-04
 4322.20   1.4833e-02   1.3776e-03
 4323.47   4.0292e-02   3.8354e-03
 4324.74   4.1842e-02   3.9535e-03
 4326.01   4.4830e-02   4.1015e-03
 4327.28   2.5411e-02   2.2859e-03
 4328.55   9.7212e-03   8.7050e-04
 4329.82   2.8637e-02   2.6185e-03
 4331.09   6.9277e-02   6.8931e-03
 4332.36   5.7567e-02   5.4402e-03
 4333.63   5.3381e-02   5.0022e-03
 4334.90   4.0124e-02   3.7635e-03
 4336.17   2.9236e-02   2.5652e-03
 4337.44   3.9580e-02   3.5131e-03
 4338.71   6.4045e-02   6.2126e-03
 4339.98   6.4881e-02   6.4097e-03
 4341.25   3.9144e-02   3.6508e-03
 4342.52   1.6889e-02   1.5088e-03
 4343.79   1.7927e-02   1.6489e-03
 4345.06   2.2092e-03   1.9833e-04
