 
TRANSIENT_NAME:     DES14S2bnq 
SNID:               1296321    
OBS_DATE:           2014-09-30
MJD:                56930. 
PHASE:              -0.    
MJD_MAX:            56930.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1853  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       3.8358      21.5173
 3744.26       5.4595      24.5699
 3745.30      -0.2018      17.4482
 3746.34      -2.1672      17.2121
 3747.38       5.9311      19.8113
 3748.41       3.4166      19.7875
 3749.45      -2.7617      15.4982
 3750.49       3.8884      15.5640
 3751.53      -0.3893      14.5499
 3752.56      -4.6354      13.5232
 3753.60       3.4674      16.5312
 3754.64       3.6607      15.6681
 3755.68      -3.1346      13.4553
 3756.72      -0.9123      13.6595
 3757.75       2.6874      13.5180
 3758.79       1.8911      13.4663
 3759.83       2.1676      14.6079
 3760.87      -1.9377      13.1366
 3761.90       0.7825      13.5157
 3762.94      -0.3532      12.0227
 3763.98      -3.4391      11.2157
 3765.02      -1.4115      11.0617
 3766.06       2.8102      13.2584
 3767.09       0.8395      12.7945
 3768.13       3.4787      13.5036
 3769.17       3.6419      12.4797
 3770.21      -2.0687      11.0298
 3771.24      -1.9738      11.3533
 3772.28      -2.9218      11.5957
 3773.32      -4.2792      11.3147
 3774.36       2.2500      12.7824
 3775.40       2.6659      13.1093
 3776.43       0.5284      10.6742
 3777.47       4.3944      12.2731
 3778.51       5.4700      14.0290
 3779.55       0.5875      12.4421
 3780.58       1.4472      11.6603
 3781.62       2.3565      10.5585
 3782.66       6.3576      12.3351
 3783.70       3.9274      12.0194
 3784.73       1.7360      11.7008
 3785.77       3.8195      12.4190
 3786.81       1.4333      10.6751
 3787.85       4.7171      11.6842
 3788.89      -1.9749       9.0302
 3789.92       0.1090       9.8529
 3790.96       5.7379      11.7735
 3792.00      -0.4684       9.6853
 3793.04      -2.9191       9.4869
 3794.07      -3.6270       9.5241
 3795.11      -1.2724       9.2772
 3796.15       0.4444       9.0444
 3797.19       0.9804       8.6969
 3798.23       1.9143       9.2631
 3799.26       3.5548       9.8674
 3800.30       2.8549       9.2526
 3801.34       2.0957       8.9557
 3802.38       2.1057       9.2109
 3803.41      -0.1326       8.1730
 3804.45       2.0738       8.7153
 3805.49      -0.4612       7.6743
 3806.53      -4.9779       6.5128
 3807.57       1.9073       7.9046
 3808.60       3.3923       7.7963
 3809.64      -1.5871       7.0932
 3810.68       1.4231       7.5606
 3811.72       3.7252       8.7661
 3812.75      -0.6207       8.1271
 3813.79      -1.4951       7.7895
 3814.83       4.4858       9.8372
 3815.87       3.5881       8.9618
 3816.90       4.3719       8.8478
 3817.94       4.7269       9.1918
 3818.98       0.4442       6.9277
 3820.02       4.3535       7.7688
 3821.06       2.6204       7.4893
 3822.09      -2.2744       6.2204
 3823.13      -0.3536       6.3570
 3824.17       0.4040       6.1139
 3825.21       1.5501       6.1870
 3826.24      -0.8823       5.7491
 3827.28      -2.1941       5.5528
 3828.32      -2.2821       5.7490
 3829.36      -2.2406       5.9727
 3830.40      -1.5698       6.0357
 3831.43      -0.4526       6.7739
 3832.47      -1.6133       6.4085
 3833.51      -4.4862       5.0983
 3834.55       0.5047       6.1127
 3835.58       3.7314       6.4430
 3836.62       1.9678       6.0650
 3837.66       1.3277       5.9535
 3838.70       3.8925       6.1270
 3839.74       0.1938       5.1567
 3840.77      -2.7983       4.3626
 3841.81       0.3263       5.0061
 3842.85       0.4835       5.2534
 3843.89       0.7455       5.4640
 3844.92       0.3654       5.1784
 3845.96       0.0012       5.2064
 3847.00      -0.7880       5.2081
 3848.04       0.4179       4.9000
 3849.07       2.8345       5.2811
 3850.11       3.8477       5.3958
 3851.15       0.7750       4.8165
 3852.19       3.9894       5.6774
 3853.23       5.5317       6.3139
 3854.26       0.7980       4.8810
 3855.30      -0.2050       4.3265
 3856.34       0.1530       4.5315
 3857.38       0.4163       4.5196
 3858.41       2.1802       4.4348
 3859.45       1.2257       4.0346
 3860.49      -0.6511       3.9371
 3861.53       1.3474       4.3402
 3862.57       2.8378       4.8947
 3863.60       1.5751       4.7461
 3864.64       4.6406       5.3218
 3865.68       5.2895       5.4897
 3866.72       3.5083       4.7589
 3867.75       3.2557       4.6251
 3868.79       4.2278       4.8536
 3869.83       5.1261       5.1925
 3870.87       2.9324       4.7814
 3871.91       2.4899       4.3998
 3872.94       4.1545       4.3828
 3873.98       3.3944       4.6196
 3875.02       3.5756       4.8290
 3876.06       1.5206       4.1461
 3877.09      -2.7814       3.1891
 3878.13       0.1930       3.7363
 3879.17       1.3678       3.9342
 3880.21       1.5435       4.1563
 3881.24       0.2549       3.4141
 3882.28      -2.4455       2.9781
 3883.32      -0.8812       3.2004
 3884.36       2.1479       3.8475
 3885.40       2.0724       3.7229
 3886.43       3.2812       3.8838
 3887.47       3.2120       3.6407
 3888.51      -1.1150       2.6608
 3889.55      -2.0010       3.2145
 3890.58      -2.9930       3.2632
 3891.62      -4.2474       2.5654
 3892.66      -0.6475       2.9653
 3893.70      -1.1039       2.8919
 3894.74      -0.2794       3.0148
 3895.77       1.8384       3.2702
 3896.81      -0.5339       2.9454
 3897.85       3.4807       3.5685
 3898.89       2.3508       3.3210
 3899.92      -0.4083       2.7950
 3900.96       3.9521       3.6498
 3902.00       2.2364       3.3305
 3903.04       0.5111       3.0933
 3904.07       3.7276       3.6653
 3905.11       2.4697       3.7536
 3906.15       1.0099       3.6639
 3907.19       0.6274       3.6019
 3908.23       2.0120       3.6491
 3909.26       0.7559       3.5852
 3910.30       1.1685       3.6734
 3911.34       2.3447       3.8098
 3912.38      -0.6674       3.2102
 3913.41       1.3515       3.3594
 3914.45       0.8904       3.4005
 3915.49      -0.6759       3.0695
 3916.53       1.2494       3.2216
 3917.57       2.2075       3.2231
 3918.60       0.4552       2.9397
 3919.64      -0.4682       2.6656
 3920.68       0.8900       2.5983
 3921.72      -0.3231       2.2624
 3922.75       0.0099       2.3522
 3923.79      -0.2264       2.2347
 3924.83       3.6017       2.8647
 3925.87       4.3254       2.8331
 3926.91       3.5698       2.7399
 3927.94       0.9857       2.3079
 3928.98       0.8110       2.1565
