 
TRANSIENT_NAME:     DES14S2pon 
SNID:               1315296    
OBS_DATE:           2014-12-25
MJD:                57016. 
PHASE:              +8.    
MJD_MAX:            57004.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4140  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4800.46   2.0746e-18   1.4123e-18
 4805.07  -8.9176e-19   1.2379e-18
 4809.68  -1.3550e-18   1.1425e-18
 4814.30  -3.1469e-19   1.0660e-18
 4818.91   2.8246e-18   1.0780e-18
 4823.52  -5.0979e-20   9.1264e-19
 4828.14   4.2524e-19   8.7959e-19
 4832.75   2.1380e-18   8.6518e-19
 4837.36   1.5146e-18   7.8403e-19
 4841.98  -4.0937e-19   7.0802e-19
 4846.59   3.9593e-19   6.5902e-19
 4851.20   1.4442e-19   6.2159e-19
 4855.81   1.7717e-18   6.3308e-19
 4860.43   4.2203e-19   5.4118e-19
 4865.04   3.8597e-19   5.1342e-19
 4869.65   1.2507e-18   5.1672e-19
 4874.27   1.4337e-18   5.0484e-19
 4878.88   9.0441e-19   4.8332e-19
 4883.49   9.5754e-19   4.5103e-19
 4888.10   1.4012e-18   4.5150e-19
 4892.72   7.3824e-19   4.2533e-19
 4897.33   7.1569e-19   4.0656e-19
 4901.94   4.4905e-19   3.8707e-19
 4906.56   7.6887e-19   3.7617e-19
 4911.17   5.0194e-19   3.5002e-19
 4915.78   9.0447e-19   3.5079e-19
 4920.39   1.4404e-18   3.5489e-19
 4925.01   1.0083e-18   3.3692e-19
 4929.62   5.5619e-19   3.2253e-19
 4934.23   8.7515e-19   3.2046e-19
 4938.85   8.5936e-19   3.1645e-19
 4943.46   1.3429e-18   3.2259e-19
 4948.07   3.9591e-19   3.0237e-19
 4952.69   7.7477e-19   2.9475e-19
 4957.30   1.7204e-18   3.1121e-19
 4961.91   1.0873e-18   3.0091e-19
 4966.52   8.7592e-19   2.9604e-19
 4971.14   7.9664e-19   2.9275e-19
 4975.75   1.4178e-18   2.9885e-19
 4980.36   1.5325e-18   2.9500e-19
 4984.98   4.2910e-19   2.7841e-19
 4989.59   1.4181e-18   2.8795e-19
 4994.20   1.5173e-18   2.8556e-19
 4998.81   1.8270e-18   2.8346e-19
 5003.43   1.7419e-18   2.8371e-19
 5008.04   1.4434e-18   2.8228e-19
 5012.65   1.3655e-18   2.7009e-19
 5017.27   2.0438e-18   2.8162e-19
