 
TRANSIENT_NAME:     DES14S2qb  
SNID:               1292336    
OBS_DATE:           2014-09-30
MJD:                56930. 
PHASE:              +23.   
MJD_MAX:            56901.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2345  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      10.7413     202.6370
 3744.26      12.1586     191.8860
 3745.30       1.4511     154.8490
 3746.34       8.7131     179.1120
 3747.38      21.9299     172.5660
 3748.41       5.2878     152.9430
 3749.45      -9.0848     113.1320
 3750.49      -1.5585     113.0410
 3751.53      -0.1954     127.7980
 3752.56       7.8482     144.7510
 3753.60      -3.7437     112.8240
 3754.64      -9.9319      99.9068
 3755.68       5.3021     134.3430
 3756.72      17.1503     145.2780
 3757.75      13.9762     135.0610
 3758.79       2.9316     129.1550
 3759.83      13.4772     135.5690
 3760.87       8.5932     128.8180
 3761.90      -9.9701     105.0310
 3762.94     -15.8472      92.6090
 3763.98       2.5610     113.4050
 3765.02      11.4486     110.2590
 3766.06       3.2933     106.5020
 3767.09       6.2900     111.0480
 3768.13      -1.3757      91.7735
 3769.17      -8.4823      89.0047
 3770.21       2.2936     107.1530
 3771.24       3.9803     110.9660
 3772.28       1.7263     118.5790
 3773.32       5.0613     126.8210
 3774.36       4.8599     125.7560
 3775.40      -2.2031     106.2460
 3776.43       3.0299     101.6720
 3777.47      -1.7531      97.6152
 3778.51      -2.2898      93.8591
 3779.55       6.8854     105.9110
 3780.58       6.4904     105.3910
 3781.62       7.1968     100.1170
 3782.66       1.8263      96.7140
 3783.70      -8.2150      98.4379
 3784.73      -7.8957      84.5060
 3785.77      -2.2885      87.6094
 3786.81       3.2168      95.9178
 3787.85      20.4763     110.0250
 3788.89       0.6385      93.1866
 3789.92      -8.4995      82.3192
 3790.96       0.4731      93.5662
 3792.00     -13.8976      87.2423
 3793.04     -15.9371      90.4051
 3794.07      -4.0608      90.5514
 3795.11       2.0690      91.5933
 3796.15     -14.9036      81.6118
 3797.19     -15.1616      78.6298
 3798.23      -2.9508      80.3524
 3799.26      -8.3950      68.3105
 3800.30      -6.6775      75.0112
 3801.34      -8.2751      76.5185
 3802.38      -0.0109      81.6973
 3803.41      -0.3361      79.7566
 3804.45      -4.4352      73.1870
 3805.49      -0.3981      73.9008
 3806.53       3.4979      77.8660
 3807.57      10.9707      86.4668
 3808.60       9.6040      75.4387
 3809.64      -0.5266      66.4771
 3810.68       0.2420      69.9283
 3811.72       6.4138      77.8110
 3812.75       4.6516      77.8603
 3813.79       3.7521      79.9029
 3814.83      13.4161      84.8557
 3815.87       9.4523      79.1090
 3816.90      -5.7195      65.6270
 3817.94      -3.3102      65.5667
 3818.98      -1.6815      61.3591
 3820.02       4.1041      65.4689
 3821.06       0.1134      60.1125
 3822.09      -5.2540      57.3444
 3823.13       1.0305      61.2265
 3824.17       3.6734      61.3525
 3825.21      -6.3735      48.6382
 3826.24      -1.4075      50.5015
 3827.28      -0.9507      56.7124
 3828.32      -2.6746      59.7418
 3829.36       2.4745      65.2925
 3830.40       6.6226      69.9057
 3831.43       8.7555      74.4545
 3832.47       1.6058      68.8229
 3833.51       3.5873      61.6032
 3834.55       4.6100      58.0515
 3835.58      -2.1650      55.6642
 3836.62      -6.1600      53.8176
 3837.66      -4.9660      51.6323
 3838.70      -6.0472      44.0122
 3839.74      -2.3993      48.0854
 3840.77      -9.4961      45.6805
 3841.81      -2.1792      47.5796
 3842.85       2.1109      48.2151
 3843.89      -4.6590      60.9239
 3844.92      -3.9898      61.3975
 3845.96      -9.7885      39.9326
 3847.00     -12.8262      40.1030
 3848.04      -2.7166      44.6352
 3849.07       0.4873      49.4679
