 
TRANSIENT_NAME:     DES14S2qf  
SNID:               1292332    
OBS_DATE:           2014-09-30
MJD:                56930. 
PHASE:              +22.   
MJD_MAX:            56901.4
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.2744  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -6.9977      20.7234
 3744.26       2.8402      23.8031
 3745.30       6.7948      22.6195
 3746.34      -1.7508      18.3751
 3747.38      -0.2055      18.0680
 3748.41       2.9383      21.2701
 3749.45       2.1401      19.3252
 3750.49      -0.1529      17.4338
 3751.53      -2.5555      16.2299
 3752.56       0.3399      18.0064
 3753.60       3.4212      16.4747
 3754.64       0.5703      16.0096
 3755.68       3.5918      18.6217
 3756.72      -0.6070      16.8454
 3757.75      -4.6526      12.7148
 3758.79      -0.6871      14.6363
 3759.83      -2.7969      15.0361
 3760.87      -7.5846      15.1681
 3761.90      -6.6144      14.5793
 3762.94      -2.4412      14.6884
 3763.98       4.5437      16.7502
 3765.02       3.5508      14.6051
 3766.06       4.1305      15.7716
 3767.09       2.1780      13.1767
 3768.13      -1.8584      10.9638
 3769.17       0.3522      12.8681
 3770.21      -2.8679      11.6212
 3771.24      -1.5989      11.7198
 3772.28       1.7481      15.3684
 3773.32       0.3054      15.8204
 3774.36      -4.6042      12.3960
 3775.40      -0.7609      12.9250
 3776.43       4.7951      14.1040
 3777.47       1.1237      12.7435
 3778.51       1.6297      14.0808
 3779.55      -4.5499      11.7006
 3780.58      -5.5951      10.3360
 3781.62      -1.4630      12.5688
 3782.66       4.9792      15.2258
 3783.70      -1.0195      11.9747
 3784.73      -0.8762      12.9186
 3785.77       1.1332      13.3163
 3786.81      -2.8932      10.7823
 3787.85      -1.5800      10.8302
 3788.89       0.6941      11.9500
 3789.92      -1.5808      12.0359
 3790.96      -2.2221      12.4325
 3792.00      -2.5369      11.0430
 3793.04      -2.1760      11.0691
 3794.07       1.6933      12.5720
 3795.11      -1.4049      10.4933
 3796.15       0.0714      11.2204
 3797.19       3.1686      12.4190
 3798.23       1.9017      10.8968
 3799.26       1.5489      11.1552
 3800.30      -3.8895       9.0157
 3801.34       0.7482      10.4467
 3802.38      -0.0108       9.7227
 3803.41      -2.2878       9.1820
 3804.45       1.5001      11.7408
 3805.49       3.1353      10.5500
 3806.53       4.3393      10.3974
 3807.57      -3.8207       7.7578
 3808.60      -1.4846       8.3981
 3809.64      -2.7580       8.2102
 3810.68      -0.3336       9.2782
 3811.72       0.8245      10.1928
 3812.75       2.6914      10.9157
 3813.79       0.4323      10.4105
 3814.83      -1.9972       8.9722
 3815.87       0.8328       9.4869
 3816.90       0.7258       9.8283
 3817.94       2.2762       9.0350
 3818.98       2.4258       9.6731
 3820.02      -2.5867       8.0176
 3821.06      -1.7367       7.2624
 3822.09      -1.8186       7.4869
 3823.13      -1.3173       7.2829
 3824.17      -1.9290       6.8572
 3825.21      -0.9132       7.1503
 3826.24      -1.3967       6.5997
 3827.28      -3.1063       5.8370
 3828.32      -0.8803       7.2408
 3829.36       5.7256       9.8603
 3830.40       2.8548       9.1086
 3831.43      -1.6540       8.1479
 3832.47       4.0235       9.3063
 3833.51       6.8327      10.1829
 3834.55      -0.2578       7.3424
 3835.58      -2.0106       6.3846
 3836.62      -0.0517       7.4608
 3837.66      -0.9941       6.3882
 3838.70      -1.1018       5.8741
 3839.74       2.6513       7.1002
 3840.77       0.0653       6.3822
 3841.81      -1.3259       5.8748
 3842.85      -1.1744       5.8762
 3843.89       3.9435       6.8572
 3844.92       3.4427       6.9143
 3845.96       1.0812       6.5269
 3847.00      -0.4552       5.4876
 3848.04      -1.6671       5.1397
 3849.07       2.5545       6.2991
 3850.11      -2.4609       5.3611
 3851.15      -3.4536       4.4568
 3852.19      -0.1977       5.1724
 3853.23      -1.7039       5.4731
 3854.26      -1.8404       5.2764
 3855.30       0.1019       5.2482
 3856.34      -0.3079       5.0174
 3857.38       1.4730       5.2913
 3858.41       2.6540       5.3345
 3859.45       2.5069       5.1375
 3860.49       1.2766       5.0336
 3861.53       1.1688       4.9496
 3862.57      -0.3449       4.8016
 3863.60      -0.9165       4.9695
 3864.64       1.6305       5.6140
 3865.68      -0.5294       4.7913
 3866.72      -0.0849       4.6130
 3867.75       1.4586       4.9208
 3868.79      -0.4723       4.4538
 3869.83      -0.0883       4.5004
 3870.87      -0.6621       4.3487
 3871.91      -2.4055       3.8433
 3872.94      -2.6018       3.5251
 3873.98       1.4730       4.4201
 3875.02       2.6649       4.8925
 3876.06       1.2620       4.5766
 3877.09      -0.5555       4.1156
 3878.13       1.1034       4.5565
 3879.17       3.2289       5.1260
 3880.21       0.9946       4.7333
 3881.24      -0.3341       4.1161
 3882.28       1.3560       4.3276
 3883.32      -2.3214       3.3085
 3884.36      -2.1749       3.2895
 3885.40      -0.2427       3.2653
 3886.43      -1.9950       3.2590
 3887.47      -2.4359       3.1316
 3888.51      -1.2955       3.0622
 3889.55      -1.7353       3.3071
 3890.58       0.7796       4.1557
 3891.62       0.3129       3.8822
 3892.66      -0.3278       3.4959
 3893.70      -0.5200       3.5427
 3894.74      -0.1835       3.4771
 3895.77      -0.8698       3.3055
 3896.81      -0.2726       3.6832
 3897.85      -2.2676       3.0874
 3898.89      -1.0191       3.3191
 3899.92      -0.3482       3.4071
 3900.96      -2.5709       2.7580
 3902.00      -3.7227       2.9912
 3903.04      -1.5938       3.1634
 3904.07       0.5191       3.7237
 3905.11      -0.9502       4.3828
 3906.15       0.1039       4.1329
 3907.19       3.3147       4.2505
 3908.23       0.5489       3.6377
 3909.26      -1.9425       3.3047
 3910.30       2.6073       4.1215
 3911.34       1.9484       3.9632
 3912.38      -2.2664       3.0813
 3913.41      -1.8822       2.9838
 3914.45      -0.2899       3.2934
 3915.49      -1.7993       2.9502
 3916.53       0.4809       3.3592
 3917.57      -0.6275       2.9930
 3918.60       1.4072       3.2450
 3919.64      -0.2406       2.9066
 3920.68      -0.8753       2.8606
 3921.72       0.6769       3.0808
 3922.75       1.0244       2.9063
 3923.79       2.3158       2.9559
 3924.83       0.6966       2.6883
 3925.87       0.1070       2.4855
 3926.91       0.3960       2.5370
 3927.94      -0.7393       2.3193
 3928.98      -2.7116       1.8024
 3930.02      -3.5723       1.5970
 3931.06      -1.4528       1.8512
 3932.09       0.8323       2.2272
 3933.13       2.1705       2.3656
 3934.17      -0.2768       2.0396
 3935.21      -1.6849       1.7207
 3936.24      -0.2219       1.9383
 3937.28       1.8632       2.1519
 3938.32       1.8895       2.1924
 3939.36      -0.1627       1.9949
 3940.40      -1.9333       1.9513
 3941.43      -2.0463       1.9794
 3942.47       3.0913       2.6614
 3943.51       2.0609       2.3599
 3944.55       0.7306       2.2017
 3945.58       0.8216       2.3270
 3946.62       0.7007       2.3171
 3947.66       1.3592       2.3730
 3948.70       0.5405       2.1401
 3949.74       1.5163       2.3442
 3950.77       0.6358       2.2026
 3951.81      -0.8407       1.9591
 3952.85       1.7148       2.1769
 3953.89       0.6246       1.9371
 3954.92      -0.5452       1.7089
 3955.96      -1.9325       1.4925
 3957.00      -0.6309       1.7353
 3958.04      -1.2476       1.7051
 3959.08      -1.3135       1.8190
 3960.11      -2.4540       2.1009
 3961.15      -3.1349       1.9377
 3962.19       0.4529       1.7714
 3963.23      -0.9579       1.6438
 3964.26      -2.4402       1.4635
 3965.30      -0.6506       1.7164
 3966.34       1.7677       1.9232
 3967.38       0.0304       1.5894
 3968.41      -0.7851       1.4048
 3969.45      -0.4191       1.5070
 3970.49       0.6305       1.7200
 3971.53       2.1464       1.9646
 3972.57       0.9246       1.7735
 3973.60       0.9104       1.8729
 3974.64      -0.7155       1.7891
 3975.68      -0.1459       1.8743
 3976.72       1.9336       2.0770
 3977.75       1.4089       2.0562
 3978.79      -1.9019       1.6904
 3979.83      -1.7771       1.6304
 3980.87       0.5836       1.8295
 3981.91       0.8933       1.9151
 3982.94      -1.2204       1.6976
 3983.98       0.7298       1.9504
 3985.02       0.0325       1.8503
 3986.06      -0.4888       1.6890
 3987.09      -0.0077       1.6980
 3988.13       0.5290       1.9386
 3989.17       0.2958       1.9062
 3990.21      -0.3468       1.7052
 3991.25       0.0700       1.7790
 3992.28       1.6429       2.0381
 3993.32      -0.1210       1.8563
 3994.36      -2.2078       1.4969
 3995.40      -1.6586       1.5247
 3996.43       0.9700       1.8686
 3997.47       3.5250       2.2323
 3998.51       0.5503       1.9407
 3999.55      -1.7179       1.8099
 4000.58      -0.7412       1.9617
 4001.62      -0.5896       1.8734
 4002.66      -2.2656       1.7241
 4003.70      -1.2994       1.8696
 4004.74      -1.0946       1.8920
 4005.77      -2.5686       1.5986
 4006.81       0.9414       2.2524
 4007.85       2.2292       2.5144
 4008.89      -0.8212       2.1630
 4009.92      -0.2002       2.4251
 4010.96      -1.2417       2.3026
 4012.00      -1.0590       2.1892
 4013.04      -1.0991       2.1749
 4014.08       0.5502       2.2223
 4015.11       0.9405       2.3789
 4016.15       0.9124       2.3005
 4017.19       1.5470       2.3022
 4018.23      -0.0856       2.1486
 4019.26       0.1521       2.2013
 4020.30       2.4741       2.5066
 4021.34       0.9856       2.2576
 4022.38      -0.5277       2.0290
 4023.42      -1.3909       1.8209
 4024.45       0.0033       2.1147
 4025.49       1.1641       2.2950
 4026.53      -0.9026       1.9913
 4027.57      -1.1104       1.9357
 4028.60      -1.9384       1.7650
 4029.64      -1.4400       1.9098
 4030.68       0.4849       2.1044
 4031.72       0.4199       2.0157
 4032.75      -0.4385       1.9111
