 
TRANSIENT_NAME:     DES14S2qg  
SNID:               1292315    
OBS_DATE:           2014-09-01
MJD:                56901. 
PHASE:              post-max (based on r-band light-curve)
MJD_MAX:            ---
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1110  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3100.00   2.4500e-18   1.1309e-17
 3105.00   1.1195e-17   7.6273e-18
 3110.00   1.2686e-18   7.0509e-18
 3115.00   1.5284e-18   6.6276e-18
 3120.00  -5.2861e-18   6.1861e-18
 3125.00  -5.5165e-18   5.9171e-18
 3130.00   2.7678e-18   5.8251e-18
 3135.00  -3.6058e-18   5.6917e-18
 3140.00  -3.5953e-18   5.6616e-18
 3145.00  -5.1750e-18   5.5369e-18
 3150.00  -6.3057e-18   5.4790e-18
 3155.00  -9.6835e-18   5.4320e-18
 3160.00  -7.5087e-19   5.4414e-18
 3165.00  -5.4951e-18   5.3490e-18
 3170.00  -2.6097e-18   5.2766e-18
 3175.00  -6.9556e-18   5.1490e-18
 3180.00   3.0889e-19   4.9478e-18
 3185.00  -6.2465e-18   4.6692e-18
 3190.00  -1.7327e-20   4.4601e-18
 3195.00  -6.2804e-18   4.2390e-18
 3200.00   7.0940e-19   4.0261e-18
 3205.00  -8.0331e-18   3.7381e-18
 3210.00  -2.7227e-18   3.8324e-18
 3215.00  -4.6173e-19   3.5482e-18
 3220.00  -2.7381e-18   3.3778e-18
 3225.00  -4.6542e-18   3.1852e-18
 3230.00  -3.9168e-18   3.0113e-18
 3235.00  -2.1051e-18   2.8973e-18
 3240.00   1.0448e-18   2.8632e-18
 3245.00  -4.5972e-18   2.7538e-18
 3250.00   8.0415e-19   2.6932e-18
 3255.00   1.7064e-18   2.7095e-18
 3260.00  -9.9755e-19   2.7421e-18
 3265.00   9.9204e-19   2.7391e-18
 3270.00  -6.8588e-19   2.7381e-18
 3275.00   1.0988e-18   2.7748e-18
 3280.00  -6.3075e-19   2.7708e-18
 3285.00   4.4724e-19   2.8781e-18
 3290.00  -1.9470e-18   2.9564e-18
 3295.00  -4.6401e-18   3.0891e-18
 3300.00  -4.4484e-18   3.1291e-18
 3305.00   1.4043e-18   3.2018e-18
 3310.00  -4.3981e-18   3.2325e-18
 3315.00   9.9947e-19   3.3394e-18
 3320.00  -9.2271e-19   3.3531e-18
 3325.00  -6.5102e-18   3.2691e-18
 3330.00  -1.2082e-18   3.2165e-18
 3335.00  -3.1399e-18   3.1227e-18
 3340.00  -3.5896e-19   3.0045e-18
 3345.00  -3.7920e-18   3.1105e-18
 3350.00  -2.3665e-19   2.9097e-18
 3355.00  -1.8614e-18   2.7059e-18
 3360.00   4.9642e-18   2.5991e-18
 3365.00   5.9956e-19   2.4813e-18
 3370.00   1.0908e-18   2.5775e-18
 3375.00   1.8000e-18   2.4054e-18
 3380.00  -1.3898e-19   2.2964e-18
 3385.00  -2.4759e-20   2.2224e-18
 3390.00   1.0088e-18   2.1627e-18
 3395.00  -5.1993e-19   2.1258e-18
 3400.00  -2.5718e-18   2.0693e-18
 3405.00   9.6887e-20   2.0890e-18
 3410.00  -2.0222e-19   2.0789e-18
 3415.00   3.3388e-18   2.1956e-18
 3420.00   9.1878e-19   2.1861e-18
 3425.00   9.7846e-19   2.2365e-18
 3430.00   2.6230e-18   2.2814e-18
 3435.00   8.9724e-21   2.3112e-18
 3440.00   1.2180e-18   2.3597e-18
 3445.00  -2.9656e-18   2.3750e-18
 3450.00  -2.8539e-18   2.4925e-18
 3455.00   1.0769e-18   2.5757e-18
 3460.00   8.4307e-20   2.5670e-18
 3465.00  -1.0478e-19   2.5993e-18
 3470.00  -6.3240e-19   2.5809e-18
 3475.00  -3.2408e-18   2.5342e-18
 3480.00  -4.1600e-19   2.5996e-18
 3485.00  -1.6133e-18   2.5225e-18
 3490.00  -6.9167e-19   2.4341e-18
 3495.00  -3.5298e-18   2.5061e-18
 3500.00   2.8501e-18   2.3967e-18
 3505.00  -4.1150e-18   2.1970e-18
 3510.00   4.0266e-19   2.1368e-18
 3515.00   1.3143e-19   1.9932e-18
 3520.00  -9.3694e-20   1.9048e-18
 3525.00   4.3678e-18   1.8362e-18
 3530.00   2.5495e-18   1.7683e-18
 3535.00   1.2439e-18   1.7026e-18
 3540.00   5.4617e-18   1.7762e-18
 3545.00   4.3309e-18   1.8124e-18
 3550.00   2.9124e-18   1.7242e-18
 3555.00  -7.2781e-20   1.6740e-18
 3560.00   2.3389e-19   1.6355e-18
 3565.00   6.1031e-19   1.5888e-18
 3570.00   1.1482e-18   1.5676e-18
 3575.00  -2.2594e-20   1.5768e-18
 3580.00   1.4972e-20   1.5750e-18
 3585.00  -5.4977e-19   1.5716e-18
 3590.00   7.8108e-19   1.6284e-18
 3595.00   1.9443e-18   1.6676e-18
 3600.00   2.1156e-18   1.7197e-18
 3605.00   5.1633e-19   1.7213e-18
 3610.00  -6.0541e-19   1.7447e-18
 3615.00  -2.4571e-19   1.8097e-18
 3620.00   2.0679e-18   1.8485e-18
 3625.00   1.8549e-18   1.8637e-18
 3630.00  -1.5986e-18   1.8497e-18
 3635.00   6.3823e-19   1.8684e-18
 3640.00   2.3599e-18   1.8473e-18
 3645.00  -2.3396e-19   1.7855e-18
 3650.00  -2.4245e-18   1.7080e-18
 3655.00  -1.5232e-18   1.8751e-18
 3660.00   6.1653e-19   1.7767e-18
 3665.00   9.5086e-19   1.6571e-18
 3670.00  -7.3511e-19   1.5446e-18
 3675.00   7.4937e-19   1.4627e-18
 3680.00   2.6038e-18   1.3974e-18
 3685.00   2.8924e-18   1.3302e-18
 3690.00   9.5176e-19   1.2713e-18
 3695.00   2.6492e-18   1.2400e-18
 3700.00   1.6083e-18   1.2574e-18
 3705.00   1.3191e-18   1.1847e-18
 3710.00   1.5462e-18   1.1480e-18
 3715.00   2.0388e-18   1.1315e-18
 3720.00   2.1839e-18   1.0726e-18
 3725.00   3.8105e-18   1.0898e-18
 3730.00   3.6645e-18   1.1041e-18
 3735.00   1.6475e-18   1.0539e-18
 3740.00   2.0625e-18   1.1018e-18
 3745.00   2.4684e-18   1.0605e-18
 3750.00   2.2123e-18   1.0422e-18
 3755.00   3.3948e-18   1.0955e-18
 3760.00   2.7419e-18   1.0730e-18
 3765.00   3.6345e-18   1.0904e-18
 3770.00   2.9819e-18   1.1101e-18
 3775.00   4.8948e-18   1.1755e-18
 3780.00   2.2134e-18   1.1824e-18
 3785.00   1.5408e-18   1.1956e-18
 3790.00   1.9832e-18   1.2136e-18
 3795.00   3.1109e-18   1.2442e-18
 3800.00   1.3647e-18   1.2436e-18
 3805.00   3.1002e-18   1.2833e-18
 3810.00   3.4770e-18   1.3066e-18
 3815.00   2.0393e-18   1.2957e-18
 3820.00   3.0763e-18   1.2898e-18
 3825.00   2.2740e-18   1.2631e-18
 3830.00   3.6102e-18   1.2847e-18
 3835.00   2.0190e-18   1.2333e-18
 3840.00   3.8179e-18   1.2074e-18
 3845.00   2.1895e-18   1.2934e-18
 3850.00   3.8264e-18   1.2183e-18
 3855.00   4.4335e-18   1.1499e-18
 3860.00   3.5179e-18   1.0634e-18
 3865.00   3.2215e-18   1.0253e-18
 3870.00   3.6348e-18   9.7260e-19
 3875.00   2.5060e-18   9.3865e-19
 3880.00   2.4260e-18   8.7902e-19
 3885.00   3.3051e-18   8.6683e-19
 3890.00   4.8797e-18   8.7077e-19
 3895.00   4.2546e-18   8.5414e-19
 3900.00   5.5281e-18   8.5341e-19
 3905.00   4.6338e-18   8.5871e-19
 3910.00   5.6180e-18   8.8078e-19
 3915.00   6.5992e-18   8.8134e-19
 3920.00   6.5302e-18   8.1974e-19
 3925.00   6.1337e-18   7.9567e-19
 3930.00   6.2920e-18   7.6206e-19
 3935.00   5.2769e-18   7.3294e-19
 3940.00   4.9301e-18   7.7086e-19
 3945.00   6.9202e-18   8.0399e-19
 3950.00   6.6408e-18   8.0590e-19
 3955.00   5.0340e-18   7.8381e-19
 3960.00   7.2453e-18   8.0155e-19
 3965.00   5.9475e-18   7.6835e-19
 3970.00   5.9477e-18   7.6788e-19
 3975.00   6.5956e-18   8.3808e-19
 3980.00   6.6228e-18   8.7756e-19
 3985.00   5.2086e-18   8.7871e-19
 3990.00   5.2134e-18   9.1769e-19
 3995.00   5.2590e-18   9.3482e-19
 4000.00   6.5788e-18   9.7700e-19
 4005.00   5.8249e-18   9.8874e-19
 4010.00   5.0401e-18   1.0224e-18
 4015.00   4.8727e-18   1.0324e-18
 4020.00   6.0191e-18   1.0494e-18
 4025.00   6.2342e-18   1.0533e-18
 4030.00   5.7296e-18   1.0497e-18
 4035.00   3.1001e-18   1.0308e-18
 4040.00   4.1354e-18   1.0465e-18
 4045.00   5.3503e-18   1.2019e-18
 4050.00   7.1369e-18   1.1673e-18
 4055.00   6.5259e-18   1.0867e-18
 4060.00   8.4588e-18   1.0646e-18
 4065.00   8.5137e-18   1.0246e-18
 4070.00   1.1187e-17   1.0192e-18
 4075.00   1.0035e-17   9.7044e-19
 4080.00   9.8463e-18   9.2936e-19
 4085.00   1.0950e-17   9.1301e-19
 4090.00   1.1092e-17   8.8873e-19
 4095.00   1.2447e-17   8.6858e-19
 4100.00   1.1524e-17   8.2314e-19
 4105.00   1.2726e-17   8.2526e-19
 4110.00   1.1358e-17   8.0621e-19
 4115.00   1.0176e-17   7.9331e-19
 4120.00   9.5936e-18   7.7789e-19
 4125.00   9.9373e-18   7.8168e-19
 4130.00   8.6956e-18   7.6108e-19
 4135.00   9.8080e-18   7.7255e-19
 4140.00   8.1948e-18   7.6546e-19
 4145.00   9.3037e-18   7.6554e-19
 4150.00   7.4077e-18   7.6120e-19
 4155.00   7.5620e-18   7.9138e-19
 4160.00   9.1907e-18   7.8984e-19
 4165.00   9.2069e-18   8.0628e-19
 4170.00   7.6637e-18   8.0609e-19
 4175.00   7.0567e-18   7.8475e-19
 4180.00   7.4235e-18   8.0039e-19
 4185.00   7.0048e-18   7.9496e-19
 4190.00   6.6069e-18   8.0332e-19
 4195.00   5.3035e-18   8.0484e-19
 4200.00   5.2572e-18   7.9610e-19
 4205.00   5.4404e-18   8.1584e-19
 4210.00   4.5974e-18   8.3763e-19
 4215.00   4.0794e-18   8.4123e-19
 4220.00   2.7390e-18   8.4379e-19
 4225.00   5.0094e-18   8.5304e-19
 4230.00   4.0072e-18   8.7540e-19
 4235.00   4.1226e-18   8.8863e-19
 4240.00   2.7011e-18   8.9341e-19
 4245.00   4.7929e-18   9.2489e-19
 4250.00   5.3059e-18   9.3515e-19
 4255.00   6.0948e-18   9.4359e-19
 4260.00   6.6264e-18   9.3693e-19
 4265.00   6.1345e-18   9.4463e-19
 4270.00   7.0742e-18   9.3200e-19
 4275.00   7.8096e-18   9.2748e-19
 4280.00   7.1886e-18   1.0087e-18
 4285.00   1.1282e-17   9.9942e-19
 4290.00   9.7022e-18   9.3612e-19
 4295.00   1.0270e-17   9.1061e-19
 4300.00   1.2449e-17   8.7914e-19
 4305.00   1.3154e-17   8.6343e-19
 4310.00   1.2631e-17   8.2761e-19
 4315.00   1.3493e-17   8.3852e-19
 4320.00   1.4328e-17   8.3228e-19
 4325.00   1.4804e-17   7.8977e-19
 4330.00   1.5361e-17   7.9740e-19
 4335.00   1.4862e-17   7.7725e-19
 4340.00   1.6263e-17   7.7158e-19
 4345.00   1.6403e-17   7.7436e-19
 4350.00   1.7053e-17   7.7315e-19
 4355.00   1.6372e-17   7.6764e-19
 4360.00   1.7265e-17   7.7639e-19
 4365.00   1.8171e-17   7.7651e-19
 4370.00   1.8944e-17   7.7772e-19
 4375.00   1.9729e-17   7.7921e-19
 4380.00   2.0328e-17   7.8628e-19
 4385.00   1.9502e-17   7.5684e-19
 4390.00   2.0905e-17   7.8175e-19
 4395.00   2.0289e-17   7.8144e-19
 4400.00   2.1023e-17   7.9147e-19
 4405.00   2.2497e-17   8.1383e-19
 4410.00   2.0994e-17   8.1767e-19
 4415.00   2.0864e-17   8.1467e-19
 4420.00   1.9831e-17   8.1624e-19
 4425.00   2.0377e-17   8.2421e-19
 4430.00   1.9938e-17   8.2943e-19
 4435.00   1.8743e-17   8.2167e-19
 4440.00   1.8738e-17   8.4216e-19
 4445.00   1.6451e-17   8.3201e-19
 4450.00   1.6517e-17   8.3971e-19
 4455.00   1.6287e-17   8.3987e-19
 4460.00   1.4771e-17   8.3804e-19
 4465.00   1.4123e-17   8.4871e-19
 4470.00   1.4629e-17   8.5967e-19
 4475.00   1.3626e-17   8.6681e-19
 4480.00   1.3405e-17   8.6727e-19
 4485.00   1.2299e-17   8.8226e-19
 4490.00   1.1991e-17   8.7772e-19
 4495.00   1.1818e-17   8.8637e-19
 4500.00   1.2459e-17   9.0146e-19
 4505.00   1.2603e-17   9.2119e-19
 4510.00   1.3553e-17   1.2870e-18
 4515.00   1.2644e-17   1.2168e-18
 4520.00   1.2741e-17   1.1655e-18
 4525.00   1.2734e-17   1.1131e-18
 4530.00   1.1873e-17   1.0626e-18
 4535.00   1.2135e-17   1.0264e-18
 4540.00   1.1213e-17   9.7841e-19
 4545.00   1.1938e-17   9.5413e-19
 4550.00   1.1042e-17   9.0288e-19
 4555.00   1.1445e-17   8.7800e-19
 4560.00   1.1466e-17   8.5580e-19
 4565.00   1.2952e-17   8.3519e-19
 4570.00   1.1983e-17   8.1201e-19
 4575.00   1.1875e-17   7.8800e-19
 4580.00   1.1322e-17   7.6835e-19
 4585.00   1.0691e-17   7.4890e-19
 4590.00   1.1736e-17   7.4011e-19
 4595.00   1.1879e-17   7.2445e-19
 4600.00   1.0752e-17   7.0151e-19
 4605.00   1.1775e-17   6.9837e-19
 4610.00   1.0767e-17   6.8293e-19
 4615.00   1.0882e-17   6.6903e-19
 4620.00   1.1918e-17   6.7266e-19
 4625.00   1.0821e-17   6.5948e-19
 4630.00   1.2505e-17   6.6820e-19
 4635.00   1.2715e-17   6.6865e-19
 4640.00   1.2348e-17   6.6372e-19
 4645.00   1.4075e-17   6.6470e-19
 4650.00   1.3774e-17   6.7160e-19
 4655.00   1.2187e-17   6.5698e-19
 4660.00   1.2227e-17   6.7070e-19
 4665.00   1.2341e-17   6.5882e-19
 4670.00   1.2623e-17   6.6780e-19
 4675.00   1.3210e-17   6.7932e-19
 4680.00   1.2093e-17   6.6662e-19
 4685.00   1.3471e-17   6.8699e-19
 4690.00   1.3788e-17   6.8865e-19
 4695.00   1.2887e-17   6.9117e-19
 4700.00   1.2494e-17   6.8505e-19
 4705.00   1.3186e-17   6.9055e-19
 4710.00   1.2145e-17   6.9040e-19
 4715.00   1.3096e-17   7.0325e-19
 4720.00   1.2600e-17   7.0991e-19
 4725.00   1.1323e-17   7.0585e-19
 4730.00   1.2824e-17   7.1747e-19
 4735.00   1.1286e-17   7.0714e-19
 4740.00   1.1455e-17   7.2469e-19
 4745.00   1.1675e-17   7.2489e-19
 4750.00   1.1962e-17   7.2713e-19
 4755.00   1.1460e-17   7.2447e-19
 4760.00   1.1502e-17   7.2407e-19
 4765.00   1.1918e-17   7.2551e-19
 4770.00   1.1652e-17   7.2894e-19
 4775.00   1.2393e-17   7.3530e-19
 4780.00   1.2525e-17   7.3291e-19
 4785.00   1.1450e-17   7.2257e-19
 4790.00   9.0920e-18   9.6306e-19
 4795.00   6.8384e-18   9.1362e-19
 4800.00   8.9985e-18   8.8154e-19
 4805.00   8.8894e-18   8.5181e-19
 4810.00   8.1479e-18   8.1213e-19
 4815.00   7.8093e-18   7.8595e-19
 4820.00   9.5270e-18   7.7681e-19
 4825.00   8.2646e-18   7.3458e-19
 4830.00   8.3748e-18   7.1466e-19
 4835.00   7.0474e-18   6.8755e-19
 4840.00   8.2315e-18   6.6788e-19
 4845.00   6.9002e-18   6.4262e-19
 4850.00   7.1965e-18   6.2098e-19
 4855.00   6.3819e-18   5.9187e-19
 4860.00   5.6567e-18   5.5857e-19
 4865.00   6.4721e-18   5.6828e-19
 4870.00   6.2349e-18   5.4915e-19
 4875.00   5.5125e-18   5.4885e-19
 4880.00   5.1505e-18   5.4121e-19
 4885.00   5.7391e-18   5.3544e-19
 4890.00   5.3997e-18   5.1336e-19
 4895.00   5.6869e-18   5.2678e-19
 4900.00   5.7644e-18   5.2694e-19
 4905.00   6.0712e-18   5.2100e-19
 4910.00   5.5172e-18   5.0559e-19
 4915.00   5.8245e-18   5.1524e-19
 4920.00   5.9479e-18   4.9115e-19
 4925.00   6.6508e-18   5.1033e-19
 4930.00   6.0325e-18   4.9612e-19
 4935.00   6.0074e-18   4.8391e-19
 4940.00   6.7428e-18   4.9536e-19
 4945.00   6.2262e-18   4.8885e-19
 4950.00   6.4122e-18   4.8998e-19
 4955.00   6.1271e-18   4.7752e-19
 4960.00   6.9204e-18   4.8517e-19
 4965.00   6.4742e-18   4.8831e-19
 4970.00   7.1545e-18   4.8785e-19
 4975.00   7.4919e-18   4.9587e-19
 4980.00   7.0923e-18   4.8850e-19
 4985.00   7.4279e-18   4.8404e-19
 4990.00   7.8493e-18   5.0092e-19
 4995.00   8.1050e-18   5.0495e-19
 5000.00   7.8850e-18   5.0245e-19
 5005.00   7.7750e-18   5.0185e-19
 5010.00   8.3649e-18   5.1786e-19
 5015.00   8.5511e-18   5.1485e-19
