 
TRANSIENT_NAME:     DES14X1fnt 
SNID:               1300516    
OBS_DATE:           2014-10-23
MJD:                56953. 
PHASE:              +3.    
MJD_MAX:            56949.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3150  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MMT
INSTRUMENT:         BCS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3333.00   5.4560e-03   4.4904e-04
 3334.95   6.0956e-03   4.9927e-04
 3336.90   7.4190e-03   5.9942e-04
 3338.85   2.4591e-03   1.9662e-04
 3340.80  -3.9778e-03  -3.1854e-04
 3342.75   1.1071e-03   8.8531e-05
 3344.70   1.3344e-02   1.0684e-03
 3346.65   1.5665e-02   1.2526e-03
 3348.60   3.5065e-03   2.7145e-04
 3350.55  -6.1603e-03  -4.8209e-04
 3352.50  -1.0552e-02  -8.2650e-04
 3354.45   4.5109e-04   3.4566e-05
 3356.40   6.4745e-04   4.9525e-05
 3358.35   1.4446e-03   1.1104e-04
 3360.30   1.4046e-02   1.1053e-03
 3362.25   2.8168e-02   2.3034e-03
 3364.20   1.8669e-02   1.6066e-03
 3366.15  -6.7833e-03  -6.5901e-04
 3368.10  -1.2349e-02  -1.3208e-03
 3370.05   8.9754e-04   9.9609e-05
 3372.00   7.7937e-03   8.7119e-04
 3373.95  -4.9773e-03  -5.4885e-04
 3375.90  -2.3506e-02  -2.5487e-03
 3377.85  -1.2943e-02  -1.3726e-03
 3379.80  -1.3343e-02  -1.3760e-03
 3381.75  -9.6367e-03  -9.6528e-04
 3383.70   4.8636e-05   4.7290e-06
 3385.65   9.1927e-04   8.7151e-05
 3387.60   5.5967e-03   5.1769e-04
 3389.55   4.7684e-03   4.3192e-04
 3391.50   9.4811e-03   8.5043e-04
 3393.45   9.1647e-03   8.1713e-04
 3395.40   3.2093e-03   2.8127e-04
 3397.35  -5.3298e-03  -4.5281e-04
 3399.30   4.9693e-04   4.1783e-05
 3401.25  -3.5217e-03  -2.9280e-04
 3403.20  -2.2854e-03  -1.8597e-04
 3405.15  -3.1146e-03  -2.4793e-04
 3407.10  -4.9124e-03  -3.8437e-04
 3409.05  -5.4661e-03  -4.2033e-04
 3411.00  -1.2811e-03  -9.8323e-05
 3412.95  -2.0036e-03  -1.5774e-04
 3414.90  -9.5787e-03  -7.7545e-04
 3416.85  -8.6250e-03  -7.1982e-04
 3418.80  -1.8195e-03  -1.5426e-04
 3420.75   3.7468e-03   3.1860e-04
 3422.70   1.2980e-03   1.1044e-04
 3424.65  -6.7593e-03  -5.7679e-04
 3426.60   6.4809e-04   5.4991e-05
 3428.55   1.8521e-03   1.5411e-04
 3430.50   3.1908e-03   2.6320e-04
 3432.45   1.5315e-02   1.2941e-03
 3434.40  -3.0303e-03  -2.6189e-04
 3436.35  -1.0508e-02  -9.0873e-04
 3438.30  -9.2865e-04  -7.9294e-05
 3440.25  -1.1333e-02  -9.5817e-04
 3442.20  -3.7665e-03  -3.1515e-04
 3444.15   1.2539e-02   1.0311e-03
 3446.10   9.8459e-03   8.0547e-04
 3448.05   2.0429e-03   1.7287e-04
 3450.00   2.2042e-04   1.9744e-05
 3451.95  -3.6240e-03  -3.3673e-04
 3453.90   8.1367e-03   7.6156e-04
 3455.85   1.1034e-02   1.0213e-03
 3457.80  -8.9087e-03  -8.0516e-04
 3459.75  -8.9526e-03  -7.8907e-04
 3461.70  -3.4785e-03  -2.9879e-04
 3463.65  -8.2817e-03  -6.9650e-04
 3465.60  -7.9297e-03  -6.6287e-04
 3467.55   8.5234e-03   7.0435e-04
 3469.50   1.0868e-02   8.7688e-04
 3471.45  -1.1259e-03  -8.9447e-05
 3473.40  -2.8312e-03  -2.2501e-04
 3475.35  -1.5971e-03  -1.3084e-04
 3477.30  -3.6452e-03  -3.1895e-04
 3479.25  -1.1470e-02  -1.0776e-03
 3481.20  -9.4735e-03  -9.2486e-04
 3483.15  -4.0644e-03  -3.9820e-04
 3485.10  -4.3839e-03  -4.2569e-04
 3487.05   7.0270e-03   6.6894e-04
 3489.00   8.2935e-03   7.6658e-04
 3490.95   5.1927e-03   4.6674e-04
 3492.90   7.7762e-03   6.8017e-04
 3494.85   7.2824e-03   6.2184e-04
 3496.80   1.4511e-03   1.2179e-04
 3498.75  -6.0593e-03  -4.9756e-04
 3500.70   3.3902e-03   2.7288e-04
 3502.65   1.1242e-02   9.0287e-04
 3504.60   8.0511e-03   6.4462e-04
 3506.55   4.7945e-03   3.8055e-04
 3508.50   4.2672e-04   3.4527e-05
 3510.45   5.6744e-04   4.6781e-05
 3512.40   4.9291e-04   4.0644e-05
 3514.35  -7.4826e-03  -6.1035e-04
 3516.30  -5.0326e-03  -4.0390e-04
 3518.25   3.6355e-03   2.8644e-04
 3520.20  -5.1428e-04  -3.9862e-05
 3522.15  -5.4955e-03  -4.2330e-04
 3524.10  -1.2297e-03  -9.2807e-05
 3526.05   5.8612e-04   4.3566e-05
 3528.00  -2.2630e-03  -1.6882e-04
 3529.95  -4.9770e-03  -3.7225e-04
 3531.90   2.6798e-03   2.0062e-04
 3533.85   6.2323e-03   4.6517e-04
 3535.80   3.9311e-03   2.9876e-04
 3537.75  -1.8184e-03  -1.4730e-04
 3539.70   2.4463e-03   2.1735e-04
 3541.65   1.6594e-04   1.5914e-05
 3543.60  -1.1412e-02  -1.1341e-03
 3545.55   1.7525e-03   1.7458e-04
 3547.50   1.5548e-02   1.5272e-03
 3549.45   1.0809e-02   1.0445e-03
 3551.40  -1.2625e-02  -1.2219e-03
 3553.35  -1.0510e-02  -1.0276e-03
 3555.30   9.2914e-03   9.0277e-04
 3557.25  -7.1359e-03  -6.8180e-04
 3559.20  -1.4150e-02  -1.3250e-03
 3561.15  -4.5793e-03  -4.1610e-04
 3563.10  -7.9752e-03  -7.0492e-04
 3565.05  -5.5661e-03  -4.7885e-04
 3567.00  -7.1510e-03  -5.9618e-04
 3568.95  -7.0633e-03  -5.7777e-04
 3570.90   7.8969e-04   6.3082e-05
 3572.85   8.3856e-03   6.5990e-04
 3574.80   6.1863e-03   4.8053e-04
 3576.75   3.2937e-03   2.5188e-04
 3578.70   3.1309e-03   2.3647e-04
 3580.65  -3.9844e-03  -2.9292e-04
 3582.60  -2.2661e-03  -1.6170e-04
 3584.55   4.2443e-03   2.9876e-04
 3586.50   5.0789e-03   3.5767e-04
 3588.45   6.9885e-03   4.9272e-04
 3590.40   3.9876e-03   2.8379e-04
 3592.35  -1.2575e-03  -9.0551e-05
 3594.30  -3.9708e-04  -2.8734e-05
 3596.25   7.5204e-04   5.3702e-05
 3598.20   3.7343e-03   2.6248e-04
 3600.15   2.9251e-03   2.0577e-04
 3602.10  -1.0352e-03  -7.2391e-05
 3604.05  -3.4271e-03  -2.3650e-04
 3606.00  -5.1529e-03  -3.5052e-04
 3607.95  -1.1836e-03  -7.9515e-05
 3609.90   6.4868e-03   4.4244e-04
 3611.85   2.4431e-03   1.7174e-04
 3613.80  -3.2554e-03  -2.4027e-04
 3615.75  -3.6744e-03  -2.8825e-04
 3617.70   6.6686e-03   5.4610e-04
 3619.65   1.1675e-02   9.5841e-04
 3621.60   2.6923e-03   2.1685e-04
 3623.55  -2.8065e-03  -2.2349e-04
 3625.50  -7.6706e-03  -6.0674e-04
 3627.45  -1.0499e-02  -8.3845e-04
 3629.40  -1.3992e-02  -1.1538e-03
 3631.35  -3.2685e-03  -2.7698e-04
 3633.30   1.0620e-02   9.1693e-04
 3635.25   3.5909e-03   3.1155e-04
 3637.20  -6.9523e-03  -5.9701e-04
 3639.15  -7.7681e-03  -6.5963e-04
 3641.10  -2.0719e-03  -1.7407e-04
 3643.05  -3.5766e-03  -2.9708e-04
 3645.00  -1.0720e-02  -8.8209e-04
 3646.95  -1.1904e-02  -9.8407e-04
 3648.90  -9.0190e-03  -7.5995e-04
 3650.85  -1.8526e-03  -1.5740e-04
 3652.80   4.3272e-03   3.6403e-04
 3654.75  -1.5487e-03  -1.2755e-04
 3656.70   3.3972e-03   2.7430e-04
 3658.65   8.6567e-03   6.9044e-04
 3660.60   6.5085e-03   5.2082e-04
 3662.55   1.9845e-03   1.5926e-04
 3664.50  -5.3724e-05  -4.2262e-06
 3666.45  -3.7198e-03  -2.8130e-04
 3668.40  -7.1948e-03  -5.2325e-04
 3670.35  -4.2762e-03  -3.0534e-04
 3672.30  -2.7178e-03  -1.9223e-04
 3674.25  -6.2125e-03  -4.3313e-04
 3676.20  -6.8523e-03  -4.7030e-04
 3678.15   3.9124e-04   2.6423e-05
 3680.10   1.4182e-03   9.3543e-05
 3682.05  -4.5846e-04  -2.9755e-05
 3684.00   1.5813e-03   1.0319e-04
 3685.95   5.3157e-03   3.4786e-04
 3687.90   5.7111e-03   3.7279e-04
 3689.85   7.6034e-03   4.9972e-04
 3691.80   1.0876e-02   7.2289e-04
 3693.75   1.1222e-02   7.5669e-04
 3695.70   7.4902e-03   5.1731e-04
 3697.65   8.8063e-03   6.3741e-04
 3699.60   7.0479e-03   5.3165e-04
 3701.55   2.0459e-03   1.5616e-04
 3703.50   5.3211e-03   4.0235e-04
 3705.45   6.4396e-03   4.7884e-04
 3707.40   5.8966e-03   4.3262e-04
 3709.35   3.0130e-03   2.1801e-04
 3711.30   3.1363e-03   2.2393e-04
 3713.25   6.5805e-03   4.6330e-04
 3715.20   3.0288e-03   2.0869e-04
 3717.15   1.4795e-03   9.9982e-05
 3719.10   5.2480e-03   3.4933e-04
 3721.05   1.3835e-03   9.1121e-05
 3723.00  -4.2875e-03  -2.8115e-04
 3724.95  -3.8671e-03  -2.5249e-04
 3726.90   9.4474e-04   6.2429e-05
 3728.85   1.0648e-02   7.3273e-04
 3730.80   1.4183e-02   1.0230e-03
 3732.75   4.6819e-03   3.4798e-04
 3734.70  -4.8213e-03  -3.6331e-04
 3736.65  -6.6496e-03  -5.0852e-04
 3738.60  -1.5753e-03  -1.2203e-04
 3740.55   6.2355e-04   4.8205e-05
 3742.50  -1.9601e-03  -1.4860e-04
 3744.45  -2.2437e-03  -1.6531e-04
 3746.40  -3.1394e-03  -2.2462e-04
