 
TRANSIENT_NAME:     DES14X1oes 
SNID:               1313594    
OBS_DATE:           2014-12-19
MJD:                57010. 
PHASE:              +6.    
MJD_MAX:            57002.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2970  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3832.82   3.1697e-19   2.3377e-19
 3835.88   2.5008e-19   2.3956e-19
 3838.94   1.7614e-19   1.6736e-19
 3842.00   1.3489e-19   1.9599e-19
 3845.06   2.0152e-19   2.1661e-19
 3848.11   3.4856e-19   2.2727e-19
 3851.17   2.9964e-19   2.2870e-19
 3854.23   5.7541e-20   1.1784e-19
 3857.29   3.2065e-19   2.3027e-19
 3860.35   4.2409e-19   2.1666e-19
 3863.41  -7.5163e-20   1.2544e-19
 3866.47   6.0913e-21   3.9867e-20
 3869.53   3.6645e-19   2.3579e-19
 3872.58   3.3380e-19   2.0783e-19
 3875.64   3.2912e-19   2.0671e-19
 3878.70   2.6343e-19   2.0629e-19
 3881.76   2.5702e-19   2.2386e-19
 3884.82   1.5687e-19   1.9608e-19
 3887.88   2.1176e-19   2.0349e-19
 3890.94   2.6397e-19   2.0419e-19
 3894.00   3.9664e-19   2.7753e-19
 3897.05   4.2701e-19   2.8986e-19
 3900.11   2.9843e-19   2.5630e-19
 3903.17   2.9168e-19   2.1993e-19
 3906.23   3.8542e-19   2.3483e-19
 3909.29   4.4594e-19   2.3521e-19
 3912.35   4.7925e-19   2.4365e-19
 3915.41   3.8068e-19   2.2578e-19
 3918.47   3.4120e-19   2.3264e-19
 3921.53   3.3109e-19   2.0497e-19
 3924.58   5.7342e-19   2.3951e-19
 3927.64   4.3495e-19   2.1636e-19
 3930.70   3.3615e-19   1.9843e-19
 3933.76   3.3777e-19   2.1502e-19
 3936.82   2.1013e-19   2.3290e-19
 3939.88   2.7203e-19   2.3658e-19
 3942.94   3.8438e-19   2.3316e-19
 3946.00   1.8540e-19   1.6625e-19
 3949.05   2.2165e-19   2.1909e-19
 3952.11   3.2828e-19   2.4017e-19
 3955.17   3.9598e-19   2.2641e-19
 3958.23   4.2411e-19   2.1576e-19
 3961.29   3.9659e-19   2.1362e-19
 3964.35   2.2585e-19   1.6902e-19
 3967.41   2.4845e-19   1.8935e-19
 3970.47   4.3835e-19   2.2255e-19
 3973.52   4.9038e-19   2.4203e-19
 3976.58   5.4577e-19   2.5005e-19
 3979.64   4.6734e-19   2.5126e-19
 3982.70   6.1756e-19   2.4393e-19
 3985.76   4.2930e-19   2.1024e-19
 3988.82   1.0161e-19   1.2802e-19
 3991.88  -1.9244e-19   1.6013e-19
 3994.94   1.2701e-19   1.7121e-19
 3997.99   4.0529e-19   2.6247e-19
 4001.05   4.8631e-19   2.7860e-19
 4004.11   4.6170e-19   2.5042e-19
 4007.17   4.8591e-19   2.4774e-19
 4010.23   4.9508e-19   2.7610e-19
 4013.29   4.1997e-19   2.5396e-19
 4016.35   5.2888e-19   2.3516e-19
 4019.41   4.0427e-19   2.4215e-19
 4022.46   3.3894e-19   2.2680e-19
 4025.52   4.9745e-19   2.2831e-19
 4028.58   4.1935e-19   2.2719e-19
 4031.64   3.4298e-19   2.9783e-19
 4034.70   3.4607e-19   2.7723e-19
 4037.76   4.5360e-19   2.7043e-19
 4040.82   5.6646e-19   2.4723e-19
 4043.88   7.0691e-19   2.3299e-19
 4046.94   7.2108e-19   2.3018e-19
 4049.99   5.5973e-19   2.4202e-19
 4053.05   4.5934e-19   2.4128e-19
 4056.11   6.9271e-19   2.5689e-19
 4059.17   6.0640e-19   2.5860e-19
 4062.23   5.5678e-19   2.6396e-19
 4065.29   5.0935e-19   2.6160e-19
 4068.35   6.6912e-19   2.4621e-19
 4071.41   5.5465e-19   2.3851e-19
 4074.46   4.3743e-19   2.5968e-19
 4077.52   4.5528e-19   2.9105e-19
 4080.58   4.8386e-19   2.6182e-19
 4083.64   3.1985e-19   2.3384e-19
 4086.70   3.7871e-19   2.6416e-19
 4089.76   5.2765e-19   2.3371e-19
 4092.82   5.3109e-19   2.3269e-19
 4095.88   5.1115e-19   2.1581e-19
 4098.93   5.1528e-19   2.2909e-19
 4101.99   5.1391e-19   2.2412e-19
 4105.05   4.0591e-19   2.3873e-19
 4108.11   5.4737e-19   2.3264e-19
 4111.17   5.3200e-19   2.2035e-19
 4114.23   4.3209e-19   2.1803e-19
 4117.29   3.2484e-19   2.3062e-19
 4120.35   4.9619e-19   2.5883e-19
 4123.40   5.8713e-19   2.3623e-19
 4126.46   5.2826e-19   2.3583e-19
 4129.52   4.8938e-19   2.5431e-19
 4132.58   4.9269e-19   2.3797e-19
 4135.64   3.5750e-19   2.1521e-19
 4138.70   3.7863e-19   2.1940e-19
 4141.76   4.5339e-19   2.3669e-19
 4144.82   4.2093e-19   2.7334e-19
 4147.88   3.9461e-19   2.3382e-19
 4150.93   6.6901e-19   2.2879e-19
 4153.99   7.5827e-19   2.4459e-19
 4157.05   6.6667e-19   2.7274e-19
 4160.11   3.8090e-19   2.3918e-19
 4163.17   5.1715e-19   2.4481e-19
 4166.23   5.1612e-19   2.4594e-19
 4169.29   5.2412e-19   2.4626e-19
 4172.35   5.3113e-19   2.4047e-19
 4175.40   4.8895e-19   2.2800e-19
 4178.46   5.4206e-19   2.3173e-19
 4181.52   5.7124e-19   2.3474e-19
 4184.58   6.6852e-19   2.4681e-19
 4187.64   6.5257e-19   2.1951e-19
 4190.70   6.5100e-19   2.3556e-19
 4193.76   4.9625e-19   2.3209e-19
 4196.82   4.8823e-19   2.1455e-19
 4199.87   5.1672e-19   2.0805e-19
 4202.93   5.1775e-19   2.2443e-19
 4205.99   4.6275e-19   2.0671e-19
 4209.05   3.4888e-19   2.0659e-19
 4212.11   3.9879e-19   2.0927e-19
 4215.17   5.8805e-19   2.1410e-19
 4218.23   5.2868e-19   1.9416e-19
 4221.29   4.9657e-19   1.9156e-19
 4224.34   4.8187e-19   1.8936e-19
 4227.40   6.4287e-19   2.0652e-19
 4230.46   5.8820e-19   1.8991e-19
 4233.52   4.7945e-19   1.9210e-19
 4236.58   5.1979e-19   1.9790e-19
 4239.64   5.4060e-19   2.0477e-19
 4242.70   4.6955e-19   2.0460e-19
 4245.76   2.9008e-19   1.9134e-19
 4248.81   4.3547e-19   2.1976e-19
 4251.87   4.9581e-19   2.1994e-19
 4254.93   4.7557e-19   2.0855e-19
 4257.99   5.6767e-19   2.0359e-19
 4261.05   5.7136e-19   2.0529e-19
 4264.11   4.9629e-19   2.2522e-19
 4267.17   3.9360e-19   1.9821e-19
 4270.23   5.6556e-19   1.9986e-19
 4273.28   6.5199e-19   2.0781e-19
 4276.34   5.9071e-19   2.0819e-19
 4279.40   6.6054e-19   2.0400e-19
 4282.46   6.0508e-19   1.9036e-19
 4285.52   6.7063e-19   1.9601e-19
 4288.58   8.0774e-19   2.0895e-19
 4291.64   5.8999e-19   1.8398e-19
 4294.70   6.4835e-19   1.9352e-19
 4297.75   5.9241e-19   1.8958e-19
 4300.81   5.0408e-19   2.0034e-19
 4303.87   3.6771e-19   1.9483e-19
 4306.93   3.9605e-19   1.9048e-19
 4309.99   4.3412e-19   1.9787e-19
 4313.05   4.6502e-19   2.1672e-19
 4316.11   4.5741e-19   1.9860e-19
 4319.17   3.5480e-19   1.9700e-19
 4322.23   4.8333e-19   2.0276e-19
 4325.28   5.2811e-19   1.9823e-19
 4328.34   5.4497e-19   1.9729e-19
 4331.40   5.5395e-19   1.8889e-19
 4334.46   5.5432e-19   1.8679e-19
 4337.52   7.4066e-19   1.9573e-19
 4340.58   7.0437e-19   1.9878e-19
 4343.64   5.4836e-19   1.9785e-19
 4346.70   4.4309e-19   1.8374e-19
 4349.75   5.0555e-19   2.0464e-19
 4352.81   4.8514e-19   2.1258e-19
 4355.87   4.5796e-19   2.1666e-19
 4358.93   4.9346e-19   1.9928e-19
 4361.99   5.4533e-19   1.9373e-19
 4365.05   6.1670e-19   1.9707e-19
 4368.11   6.0438e-19   1.9977e-19
 4371.17   5.1910e-19   2.0197e-19
 4374.22   4.3484e-19   1.9309e-19
 4377.28   4.4132e-19   1.9026e-19
 4380.34   5.6279e-19   1.8667e-19
 4383.40   6.8270e-19   1.8957e-19
 4386.46   6.0856e-19   1.8116e-19
 4389.52   4.8817e-19   1.7699e-19
 4392.58   5.4258e-19   1.9523e-19
 4395.64   4.3463e-19   1.8246e-19
 4398.69   4.6917e-19   2.1074e-19
 4401.75   5.1134e-19   1.9662e-19
 4404.81   6.9243e-19   2.2028e-19
 4407.87   6.1920e-19   2.2753e-19
 4410.93   6.4218e-19   2.1925e-19
 4413.99   6.1736e-19   2.0117e-19
 4417.05   6.3995e-19   2.0034e-19
 4420.11   7.1998e-19   2.0398e-19
 4423.17   7.4589e-19   2.0481e-19
 4426.22   5.7121e-19   2.0068e-19
 4429.28   4.4503e-19   2.0583e-19
 4432.34   4.3920e-19   1.9975e-19
 4435.40   3.9925e-19   1.8352e-19
 4438.46   4.7794e-19   1.8590e-19
 4441.52   5.2912e-19   1.8911e-19
 4444.58   6.0735e-19   1.9162e-19
 4447.64   7.0344e-19   1.8861e-19
 4450.69   7.3354e-19   1.8291e-19
 4453.75   7.7605e-19   1.8402e-19
 4456.81   6.4398e-19   1.9442e-19
 4459.87   5.0696e-19   1.8687e-19
 4462.93   5.4910e-19   1.7721e-19
 4465.99   5.7394e-19   1.8054e-19
 4469.05   5.4898e-19   1.8380e-19
 4472.11   4.5715e-19   1.8376e-19
 4475.16   5.2005e-19   2.0127e-19
 4478.22   5.1668e-19   1.7408e-19
 4481.28   5.0379e-19   1.7823e-19
 4484.34   5.5652e-19   1.8999e-19
 4487.40   6.3914e-19   1.7856e-19
 4490.46   6.0625e-19   1.7467e-19
 4493.52   5.9062e-19   1.8073e-19
 4496.58   6.8102e-19   1.9293e-19
 4499.63   6.2057e-19   1.9133e-19
 4502.69   6.5145e-19   1.8039e-19
 4505.75   6.6641e-19   1.9003e-19
 4508.81   6.6618e-19   1.9125e-19
 4511.87   7.6150e-19   1.9157e-19
 4514.93   7.9010e-19   1.8522e-19
 4517.99   8.0726e-19   1.9107e-19
