 
TRANSIENT_NAME:     DES14X1qn  
SNID:               1292560    
OBS_DATE:           2014-09-19
MJD:                56919. 
PHASE:              +13.   
MJD_MAX:            56903.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2320  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -6.3948     223.6550
 3744.26      -4.8870     291.4500
 3745.30      -3.8859     285.3830
 3746.34     -11.5735     253.0460
 3747.38      -8.8073     264.7850
 3748.41      -7.1343     239.1560
 3749.45      10.3840     248.3400
 3750.49       9.8211     260.3240
 3751.53       2.2819     229.3460
 3752.56      -7.7590     215.7670
 3753.60     -10.3799     218.3560
 3754.64     -14.5024     213.4900
 3755.68       5.7898     217.1640
 3756.72      12.8152     194.0400
 3757.75       9.2353     211.8780
 3758.79      12.7036     223.5750
 3759.83      19.0123     218.3630
 3760.87       7.1582     192.8590
 3761.90     -12.2250     173.0890
 3762.94      -8.9415     179.9850
 3763.98     -16.5046     190.0930
 3765.02     -11.3686     187.0910
 3766.06      -9.5903     180.0860
 3767.09     -11.4228     188.2500
 3768.13       0.0704     220.7650
 3769.17       1.7053     222.0110
 3770.21      -1.8567     199.4910
 3771.24     -13.2418     169.1260
 3772.28     -10.4176     164.7320
 3773.32      11.3284     202.8620
 3774.36      19.2256     209.3050
 3775.40       2.7738     165.3820
 3776.43      -9.2398     163.7610
 3777.47      -2.2470     172.0310
 3778.51       3.9489     179.4950
 3779.55      -9.1892     158.7760
 3780.58      -5.2104     161.6010
 3781.62       6.4532     190.7940
 3782.66       8.1909     186.4800
 3783.70       7.5625     170.7970
 3784.73      -3.3161     166.5830
 3785.77       4.9745     181.8370
 3786.81       7.2659     176.4400
 3787.85      -5.3739     155.1250
 3788.89      -7.8451     153.6080
 3789.92      -2.5323     168.2600
 3790.96       3.6610     162.8540
 3792.00      15.2791     154.1960
 3793.04      12.8708     167.3210
 3794.07       7.3038     166.8380
 3795.11      -2.6199     160.3160
 3796.15      -1.9015     151.8330
 3797.19       1.5673     135.8350
 3798.23      -4.5746     135.3670
 3799.26       6.7221     135.8190
 3800.30      15.6941     153.0240
 3801.34      12.8168     148.1440
 3802.38       6.8646     132.9180
 3803.41       3.5772     144.5760
 3804.45      11.0922     133.8610
 3805.49      17.3131     137.3670
 3806.53      16.9889     136.9800
 3807.57      13.1344     134.4450
 3808.60       6.1384     130.8980
 3809.64      -5.6154     118.8590
 3810.68       1.8329     121.1800
 3811.72       9.9056     120.9330
 3812.75      15.4949     131.1280
 3813.79      -0.7937     112.4020
 3814.83      -7.6549      97.7749
 3815.87      -2.2066     105.9360
 3816.90      -7.7969     109.8850
 3817.94      -6.5868     111.6120
 3818.98       6.3074     110.1340
 3820.02      10.2902     112.2880
 3821.06      13.4448     111.8750
 3822.09      16.2457     119.4720
 3823.13      14.2399     110.2020
 3824.17      -1.5313      93.7334
 3825.21      -1.9150      91.9704
 3826.24      -3.1519      92.5479
 3827.28       0.7849      92.2528
 3828.32       4.2729      96.7631
 3829.36      15.1726     103.0140
 3830.40       3.8455      94.7066
 3831.43     -21.9012      78.9168
 3832.47      -8.9615      78.1358
 3833.51      -8.6377      83.2786
 3834.55      -1.8217      87.8039
 3835.58      14.0360      97.6711
 3836.62      12.8090      93.1627
 3837.66       6.0062      81.3977
 3838.70      -9.4380      67.0416
 3839.74       0.0374      68.9004
 3840.77       7.7564      70.8509
 3841.81       7.2645      69.3521
 3842.85      -3.8453      65.2746
 3843.89      -9.5490      62.5017
 3844.92       3.3015      70.5791
 3845.96       0.7120      68.8035
 3847.00      -8.1991      60.7555
 3848.04       1.0913      63.7308
 3849.07       2.0740      66.6044
 3850.11      -0.2490      66.2832
 3851.15       3.7916      65.6623
 3852.19      14.4641      75.5816
 3853.23      11.7446      75.5239
 3854.26      -8.8495      62.2414
 3855.30       2.6452      70.0172
 3856.34       9.9090      67.4497
 3857.38      -1.2097      57.6233
 3858.41       3.3566      59.1700
 3859.45       3.8382      62.0446
 3860.49       3.2819      63.5383
 3861.53       7.4080      64.5398
 3862.57      -3.3770      59.1224
 3863.60       3.0055      63.9147
 3864.64       2.9994      63.9370
 3865.68      -1.3350      62.0308
 3866.72       4.0128      63.2586
 3867.75      -4.8899      60.3973
 3868.79      -8.5557      57.1338
 3869.83       6.9292      65.0241
 3870.87      12.7305      64.0075
 3871.91       9.2759      61.1116
 3872.94      -3.5678      53.7457
 3873.98      -7.4784      53.3575
 3875.02       3.7083      63.8962
 3876.06       6.0089      62.6867
 3877.09      -0.7184      53.6796
 3878.13      -5.6648      49.0129
 3879.17       2.8590      53.7517
 3880.21      11.3746      60.4343
 3881.24       7.0324      56.7710
 3882.28      -1.6040      51.3335
 3883.32      -2.3477      53.2645
 3884.36       6.1793      57.1274
 3885.40       6.0815      52.6260
 3886.43      -0.6280      50.7469
 3887.47      -3.5261      47.1522
 3888.51      -3.8584      43.0895
 3889.55       2.2337      47.7432
 3890.58       3.6196      49.7675
 3891.62       0.2727      47.3634
 3892.66      -1.1002      45.3415
 3893.70       4.1248      45.7093
 3894.74       0.8531      43.6392
 3895.77      -7.4727      39.0263
 3896.81      -2.4822      41.8331
 3897.85       4.6882      44.2908
 3898.89       3.4606      43.7288
 3899.92      -2.4153      40.5477
 3900.96       3.0215      42.6044
 3902.00       3.8598      43.9951
 3903.04       1.4423      43.4404
 3904.07       0.3834      42.1494
 3905.11       3.2784      44.9637
 3906.15       4.1890      44.5362
 3907.19       6.8347      47.8059
 3908.23       3.8338      45.2980
 3909.26       3.3908      42.1466
 3910.30      -0.7026      41.9276
 3911.34       0.0338      41.2650
 3912.38      -3.3137      39.3041
 3913.41       1.9460      40.9491
 3914.45       5.7517      41.7915
 3915.49       1.2494      38.6769
 3916.53       6.3526      41.4222
 3917.57      -0.3628      36.9806
 3918.60       1.3158      38.0953
 3919.64      -2.1119      35.1607
 3920.68       0.1044      34.5787
 3921.72       1.9915      35.3129
 3922.75       0.7936      32.0117
 3923.79       6.5627      33.8165
 3924.83       3.1313      32.4637
 3925.87      -0.8291      29.0769
 3926.91      -1.8860      27.9278
 3927.94       4.7194      32.7014
 3928.98       4.4981      30.6826
 3930.02      -1.3550      27.4422
 3931.06       3.8712      30.0254
 3932.09       2.0155      27.1606
 3933.13      -0.3317      23.5784
 3934.17      -1.3215      24.2158
 3935.21       3.5148      24.7320
 3936.24       1.2501      22.5547
 3937.28      -0.1080      24.0097
 3938.32      -1.5573      23.1176
 3939.36      -4.6233      22.1473
 3940.40      -0.6403      23.8800
 3941.43       4.0222      25.8076
 3942.47       3.1710      26.1188
 3943.51       0.8531      25.2214
 3944.55       2.9106      24.2594
 3945.58       2.4411      23.2484
 3946.62       3.9610      24.7095
 3947.66       0.5176      23.2277
 3948.70       0.0256      22.1956
 3949.74       1.2740      23.1820
 3950.77       0.0659      22.6337
 3951.81       1.3210      23.7612
 3952.85      -5.7695      20.5731
 3953.89       1.4542      24.4039
 3954.92       1.4749      24.3871
 3955.96       0.9518      22.9294
 3957.00       4.2506      23.8558
 3958.04       7.5960      25.4863
 3959.08       5.5391      24.8574
 3960.11       4.7485      24.4296
 3961.15       1.3195      22.7035
 3962.19      -1.9323      21.2573
 3963.23      -6.7003      18.9845
 3964.26      -4.4726      19.6242
 3965.30      -2.3862      19.9793
 3966.34       0.9166      20.5009
 3967.38       2.8113      21.4537
 3968.41       4.0858      23.1845
 3969.45       6.5344      23.9218
 3970.49       4.5093      22.1077
 3971.53       0.0701      21.5481
 3972.57      -0.5330      20.4766
