 
TRANSIENT_NAME:     DES14X2ags 
SNID:               1293319    
OBS_DATE:           2014-10-28
MJD:                56958. 
PHASE:              +34.   
MJD_MAX:            56913.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2979  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       4.7312    3219.1201
 3744.26      16.3554    2933.4600
 3745.30     108.2090    2862.8701
 3746.34      83.9059    2814.3501
 3747.38      -2.9111    2458.9199
 3748.41     -53.7087    2178.1699
 3749.45    -101.4110    1990.3900
 3750.49     -20.2514    2197.9500
 3751.53      -8.2559    2275.2800
 3752.56      34.2639    2675.6001
 3753.60      62.0508    2536.7800
 3754.64     -14.7933    2070.9500
 3755.68     -69.3631    1829.2500
 3756.72     -51.0759    1799.4700
 3757.75     -47.4576    1803.5601
 3758.79     -21.1603    1971.3199
 3759.83      53.1248    2541.3799
 3760.87      66.5512    2487.5400
 3761.90      14.5877    2164.6299
 3762.94       2.8464    2333.9299
 3763.98       1.8857    2187.6799
 3765.02      13.9511    2070.1499
 3766.06     -24.2772    1871.3800
 3767.09     -92.0944    1403.2800
 3768.13      19.9868    2035.0200
 3769.17      70.1082    2285.5801
 3770.21      10.5462    1881.5100
 3771.24      39.5798    1813.7300
 3772.28      48.2801    2219.0601
 3773.32     -33.5913    1951.6000
 3774.36      55.6449    2244.6399
 3775.40     115.1220    2311.9900
 3776.43      62.0314    2019.5000
 3777.47      16.0333    2046.2800
 3778.51      48.0147    2153.2100
 3779.55      44.1741    1808.0601
 3780.58     -19.5148    1620.2600
 3781.62     -30.6624    1640.5000
 3782.66     -42.5117    1500.6200
 3783.70      16.7743    1733.3500
 3784.73      60.2889    1886.4800
 3785.77      85.5473    2034.4600
 3786.81      55.1980    1894.8400
 3787.85     -13.2841    1492.0300
 3788.89      37.5047    1922.4399
 3789.92      -8.0779    1556.6899
 3790.96       7.3821    1526.6899
 3792.00      44.7555    1852.7300
 3793.04     -27.0274    1526.9000
 3794.07      -1.0300    1710.8101
 3795.11     -33.4538    1585.1500
 3796.15     -33.0569    1466.5300
 3797.19      -5.9015    1394.3400
 3798.23      -0.1195    1497.6801
 3799.26      23.0019    1597.4200
 3800.30       9.1041    1464.6300
 3801.34      29.2794    1464.7300
 3802.38      34.4155    1478.3900
 3803.41      -3.3506    1286.8500
 3804.45      10.1322    1330.3000
 3805.49      21.2724    1337.5800
 3806.53     -10.1020    1188.7000
 3807.57     -62.8055    1107.1300
 3808.60     -49.6483    1127.4000
 3809.64      -4.2597    1178.1899
 3810.68      23.5096    1316.1000
 3811.72      11.4653    1274.0900
 3812.75     -18.5798    1141.0601
 3813.79      -0.9261    1294.0400
 3814.83      10.8964    1345.5699
 3815.87     -11.4971    1141.1200
 3816.90     -22.7182    1078.9399
 3817.94      -3.8445    1113.8300
 3818.98      18.6936    1074.4900
 3820.02      -8.8558    1044.7200
 3821.06      19.6852    1080.0800
 3822.09      25.6869    1090.5601
 3823.13       4.2916    1012.2000
 3824.17      20.6879     975.6050
 3825.21      -0.6667     977.2610
 3826.24     -25.1724     929.4280
 3827.28      15.7031     965.8620
 3828.32      23.6704    1016.2700
 3829.36     -22.8441     860.2220
 3830.40      -4.7373     955.9740
 3831.43      20.9379    1006.9900
 3832.47      13.5759     888.3480
 3833.51      -1.0329     820.6010
 3834.55       3.5221     805.1360
 3835.58       3.3116     910.6970
 3836.62      12.1991     919.2640
 3837.66      31.0250     912.3440
 3838.70      19.6906     850.7590
 3839.74       5.7970     794.0310
 3840.77      17.6692     779.0360
 3841.81      -3.9981     783.5390
 3842.85      18.7653     832.0950
 3843.89      20.7814     756.8740
 3844.92      17.4613     708.6760
 3845.96      52.4398     866.9080
 3847.00      52.8842     880.1230
 3848.04      52.1626     822.6420
 3849.07      54.1973     833.1310
 3850.11      53.2603     842.8790
 3851.15      21.2938     778.0620
 3852.19      14.3371     723.2720
 3853.23      18.7657     721.6170
 3854.26      28.7267     795.9840
 3855.30      22.0210     721.1500
 3856.34      15.5191     720.1960
 3857.38      -5.1990     652.8960
 3858.41     -34.4547     600.1050
 3859.45     -27.7889     618.1000
 3860.49       9.5892     663.8490
 3861.53      32.8172     743.7280
 3862.57      49.3892     801.7850
 3863.60      26.2547     744.8950
 3864.64     -12.1435     662.0540
 3865.68      27.6742     725.8310
 3866.72      -4.9721     609.4820
 3867.75     -71.0553     479.7560
 3868.79     -28.3068     571.9860
 3869.83      21.3936     664.0250
 3870.87      39.1128     670.1650
 3871.91      -1.9322     559.1410
 3872.94     -13.2110     609.3410
 3873.98     -23.4579     616.6320
 3875.02     -31.1585     598.6760
 3876.06     -37.6803     563.2750
 3877.09     -25.1871     583.7250
 3878.13      18.8449     633.1350
 3879.17       2.9129     616.8040
 3880.21      10.9714     599.4660
 3881.24      35.6041     620.9500
 3882.28      20.5558     630.6450
 3883.32      16.7411     613.6120
 3884.36      -4.7099     556.6640
 3885.40     -12.7605     514.6790
 3886.43      14.6558     570.3910
 3887.47       7.5853     562.1670
 3888.51      -4.7413     486.5240
 3889.55      27.9223     544.6940
 3890.58      14.2211     555.8330
 3891.62     -18.9953     489.6190
 3892.66     -14.2761     500.5730
 3893.70     -15.0649     456.2000
 3894.74     -19.9975     418.9010
 3895.77      -0.4995     495.8500
 3896.81      22.5528     549.6730
 3897.85      31.0886     511.5320
 3898.89       3.2003     451.3610
 3899.92      -7.2777     443.5540
 3900.96      34.0218     504.2830
 3902.00      30.2985     492.1350
 3903.04      -1.6127     451.6570
 3904.07       6.5976     485.5610
 3905.11     -20.6892     439.6140
 3906.15     -18.6682     421.4980
 3907.19       3.6398     470.3990
 3908.23       4.0646     476.0890
 3909.26      20.0060     498.5160
 3910.30      25.0979     538.7610
 3911.34      55.1272     587.8380
 3912.38      13.8803     497.7830
 3913.41     -28.2654     404.0330
 3914.45      13.2160     478.2740
 3915.49      24.1545     491.0200
 3916.53      -3.5142     418.6230
 3917.57      16.2699     435.0830
 3918.60      -7.1722     411.2720
 3919.64     -13.3302     367.6270
 3920.68      -1.7651     366.1040
 3921.72      16.3831     365.4140
 3922.75      26.2747     380.0380
 3923.79      33.7244     415.1120
 3924.83      32.0468     408.6160
 3925.87     -16.0255     315.2310
 3926.91     -19.3350     297.2070
 3927.94      16.6909     347.7000
 3928.98       9.9629     333.3980
 3930.02      17.2290     323.6740
 3931.06       0.1338     297.2020
 3932.09      -4.8123     276.8120
 3933.13      24.1024     321.5560
 3934.17      12.7836     300.0850
 3935.21      -7.6323     266.1570
 3936.24     -16.6501     220.9090
 3937.28      -8.2301     236.9840
 3938.32      20.4293     299.3950
 3939.36      24.5893     309.6760
