 
TRANSIENT_NAME:     DES14X2rao 
SNID:               1317286    
OBS_DATE:           2014-12-29
MJD:                57020. 
PHASE:              +4.    
MJD_MAX:            57015.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2800  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.00  -6.6845e-18   9.9999e+04
 3405.00  -6.6845e-18   2.4325e-18
 3410.00   2.7209e-18   2.4475e-18
 3415.00   6.5638e-18   2.4263e-18
 3420.00   1.4572e-18   2.5594e-18
 3425.00  -4.4464e-18   2.5711e-18
 3430.00   4.6755e-18   2.7322e-18
 3435.00  -5.0429e-18   2.7276e-18
 3440.00   2.8407e-18   2.6784e-18
 3445.00  -1.1085e-18   2.7396e-18
 3450.00  -5.0668e-18   2.9064e-18
 3455.00  -3.4434e-19   3.0036e-18
 3460.00  -2.5705e-18   2.9154e-18
 3465.00   2.0719e-18   2.9757e-18
 3470.00   1.4810e-18   2.9956e-18
 3475.00   2.5699e-18   2.8205e-18
 3480.00  -1.1011e-18   2.8866e-18
 3485.00   2.1620e-18   2.7562e-18
 3490.00  -5.3357e-18   2.5957e-18
 3495.00   3.7797e-19   2.4425e-18
 3500.00   5.4665e-19   2.3958e-18
 3505.00   3.3543e-18   2.3385e-18
 3510.00  -2.8895e-19   2.2588e-18
 3515.00  -3.5619e-19   2.0789e-18
 3520.00  -4.6685e-20   2.0102e-18
 3525.00  -2.5204e-19   1.8512e-18
 3530.00   2.1814e-18   1.9072e-18
 3535.00  -1.8843e-18   1.8429e-18
 3540.00   2.2229e-18   1.8641e-18
 3545.00   4.0938e-18   1.9628e-18
 3550.00   3.9614e-18   1.8476e-18
 3555.00   9.3366e-19   1.7902e-18
 3560.00  -6.9743e-19   1.7428e-18
 3565.00   4.2489e-19   1.5858e-18
 3570.00  -2.7035e-19   1.4948e-18
 3575.00  -1.7775e-18   1.5524e-18
 3580.00   9.0365e-19   1.4482e-18
 3585.00   9.4618e-19   1.4798e-18
 3590.00   6.5583e-19   1.6655e-18
 3595.00  -2.4919e-18   1.8040e-18
 3600.00   3.0220e-18   1.9357e-18
 3605.00  -1.2552e-18   1.9088e-18
 3610.00   3.2502e-18   1.9403e-18
 3615.00   5.3531e-18   2.1055e-18
 3620.00  -6.3071e-19   2.0736e-18
 3625.00   3.6688e-18   2.2284e-18
 3630.00   1.7984e-18   2.2164e-18
 3635.00  -2.6365e-18   2.2133e-18
 3640.00   1.2356e-18   2.2560e-18
 3645.00   2.1979e-18   2.1271e-18
 3650.00   2.3421e-18   2.0294e-18
 3655.00   2.0330e-18   2.0271e-18
 3660.00   6.3474e-18   1.9812e-18
 3665.00   5.7214e-18   1.8386e-18
 3670.00   3.4105e-18   1.7458e-18
 3675.00   1.6415e-18   1.6749e-18
 3680.00   6.5708e-18   1.5732e-18
 3685.00   1.0464e-18   1.4850e-18
 3690.00   5.8336e-18   1.4719e-18
 3695.00   2.4462e-18   1.4085e-18
 3700.00   1.2606e-18   1.4493e-18
 3705.00   1.1313e-18   1.3054e-18
 3710.00   3.8725e-18   1.2919e-18
 3715.00   3.2132e-18   1.3559e-18
 3720.00   3.9805e-18   1.1576e-18
 3725.00   5.5283e-18   1.2491e-18
 3730.00   2.9861e-18   1.2507e-18
 3735.00   3.8323e-18   1.1340e-18
 3740.00   3.8950e-18   1.2876e-18
 3745.00   2.6334e-18   1.1563e-18
 3750.00   4.5737e-18   1.1472e-18
 3755.00   3.1732e-18   1.3359e-18
 3760.00   5.6902e-18   1.2058e-18
 3765.00   7.7686e-18   1.2452e-18
 3770.00   1.5484e-18   1.3273e-18
 3775.00   8.0002e-18   1.4622e-18
 3780.00   2.1644e-18   1.4941e-18
 3785.00   5.2656e-18   1.5103e-18
 3790.00   1.2075e-18   1.4857e-18
 3795.00   7.1475e-18   1.5051e-18
 3800.00   1.6794e-18   1.4972e-18
 3805.00   4.1901e-18   1.5897e-18
 3810.00   3.9096e-18   1.6163e-18
 3815.00   3.7328e-18   1.5380e-18
 3820.00   3.2205e-18   1.5163e-18
 3825.00   4.8690e-18   1.4707e-18
 3830.00   5.3439e-18   1.4805e-18
 3835.00   4.2863e-18   1.4184e-18
 3840.00   2.0237e-18   1.3661e-18
 3845.00   6.2712e-18   1.4288e-18
 3850.00   3.3439e-18   1.3827e-18
 3855.00   2.4427e-18   1.2978e-18
 3860.00   1.0292e-18   1.2279e-18
 3865.00   4.6180e-18   1.2841e-18
 3870.00   1.4268e-18   1.1395e-18
 3875.00   3.1004e-18   1.1790e-18
 3880.00   2.9781e-18   1.0714e-18
 3885.00   4.7908e-18   1.0390e-18
 3890.00   2.6816e-18   1.0449e-18
 3895.00   4.7394e-18   1.0648e-18
 3900.00   4.4548e-18   1.0449e-18
 3905.00   1.6511e-18   9.9444e-19
 3910.00   5.2836e-18   1.0634e-18
 3915.00   3.2273e-18   1.0361e-18
 3920.00   5.3025e-18   9.7171e-19
 3925.00   2.5198e-18   9.3181e-19
 3930.00   4.1129e-18   7.9576e-19
 3935.00   3.3932e-18   7.4729e-19
 3940.00   4.2711e-18   9.0640e-19
 3945.00   3.1972e-18   9.4974e-19
 3950.00   4.6835e-18   1.0099e-18
 3955.00   2.3125e-18   1.0075e-18
 3960.00   4.3490e-18   9.6903e-19
 3965.00   6.8816e-18   8.7263e-19
 3970.00   4.1033e-18   8.1163e-19
 3975.00   5.1633e-18   9.7987e-19
 3980.00   3.9102e-18   1.0826e-18
 3985.00   6.0114e-18   1.0882e-18
 3990.00   6.8233e-18   1.1488e-18
 3995.00   7.0950e-18   1.1500e-18
 4000.00   4.8357e-18   1.1701e-18
 4005.00   5.8119e-18   1.1722e-18
 4010.00   4.6725e-18   1.2201e-18
 4015.00   5.4236e-18   1.2223e-18
 4020.00   6.3614e-18   1.2259e-18
 4025.00   8.1261e-18   1.2280e-18
 4030.00   6.8844e-18   1.2120e-18
 4035.00   7.3190e-18   1.1849e-18
 4040.00   6.4742e-18   1.2267e-18
 4045.00   7.5182e-18   1.1409e-18
 4050.00   8.3660e-18   1.2032e-18
 4055.00   5.0842e-18   1.1466e-18
 4060.00   7.0497e-18   1.1477e-18
 4065.00   6.6082e-18   1.1446e-18
 4070.00   5.0468e-18   1.1381e-18
 4075.00   7.0910e-18   1.1196e-18
 4080.00   4.9653e-18   1.0858e-18
 4085.00   3.7820e-18   1.0463e-18
 4090.00   6.2730e-18   1.0649e-18
 4095.00   3.5249e-18   9.9506e-19
 4100.00   4.7008e-18   9.1089e-19
 4105.00   4.5892e-18   9.4525e-19
 4110.00   5.4008e-18   9.5002e-19
 4115.00   4.5398e-18   9.6951e-19
 4120.00   5.2250e-18   9.2791e-19
 4125.00   3.8226e-18   9.4648e-19
 4130.00   3.4463e-18   9.0171e-19
 4135.00   4.3576e-18   9.0709e-19
 4140.00   3.3429e-18   9.2522e-19
 4145.00   2.6756e-18   8.7452e-19
 4150.00   2.9760e-18   8.9322e-19
 4155.00   3.0612e-18   8.8378e-19
 4160.00   4.6777e-18   9.1873e-19
 4165.00   4.1081e-18   9.3985e-19
 4170.00   2.2716e-18   9.3132e-19
 4175.00   4.9950e-18   9.1091e-19
 4180.00   3.9623e-18   9.1487e-19
 4185.00   5.5780e-18   9.2023e-19
 4190.00   2.1457e-18   9.1292e-19
 4195.00   5.1564e-18   9.5271e-19
 4200.00   3.6926e-18   9.0759e-19
 4205.00   4.1439e-18   9.6155e-19
 4210.00   4.0151e-18   9.8657e-19
 4215.00   4.4485e-18   9.7384e-19
 4220.00   5.5765e-18   9.9991e-19
 4225.00   2.4578e-18   9.1243e-19
 4230.00   4.6879e-18   1.0168e-18
 4235.00   4.2742e-18   9.7435e-19
 4240.00   6.1596e-18   1.0030e-18
 4245.00   3.7393e-18   1.0178e-18
 4250.00   6.0743e-18   9.9617e-19
 4255.00   3.8833e-18   1.0056e-18
 4260.00   7.7483e-18   9.8366e-19
 4265.00   3.7927e-18   1.0260e-18
 4270.00   4.9893e-18   9.5610e-19
 4275.00   5.1437e-18   9.6565e-19
 4280.00   3.1152e-18   9.7054e-19
 4285.00   4.2616e-18   9.4761e-19
 4290.00   6.7039e-18   9.7911e-19
 4295.00   5.3093e-18   9.7400e-19
 4300.00   3.5329e-18   8.6346e-19
 4305.00   4.1351e-18   8.4582e-19
 4310.00   4.9662e-18   8.0404e-19
 4315.00   4.4381e-18   8.9824e-19
 4320.00   2.6456e-18   9.1124e-19
 4325.00   5.4529e-18   7.8195e-19
 4330.00   4.3904e-18   8.6376e-19
 4335.00   4.4062e-18   8.3930e-19
 4340.00   2.9743e-18   7.3264e-19
 4345.00   4.5607e-18   7.9315e-19
 4350.00   4.5221e-18   7.8208e-19
 4355.00   6.1887e-18   7.8331e-19
 4360.00   4.3810e-18   7.8883e-19
 4365.00   2.9963e-18   7.8941e-19
 4370.00   5.5486e-18   7.7226e-19
 4375.00   5.3544e-18   7.4753e-19
 4380.00   6.4758e-18   7.7409e-19
 4385.00   7.1868e-18   6.8780e-19
 4390.00   5.6530e-18   7.4676e-19
 4395.00   6.2211e-18   7.5970e-19
 4400.00   9.2112e-18   7.7108e-19
 4405.00   6.7504e-18   7.5628e-19
 4410.00   5.5961e-18   7.9405e-19
 4415.00   5.7525e-18   7.8698e-19
 4420.00   5.9416e-18   8.2138e-19
 4425.00   7.4957e-18   8.1778e-19
 4430.00   7.2217e-18   8.1990e-19
 4435.00   1.8478e-18   8.2864e-19
 4440.00   7.7959e-18   8.3950e-19
 4445.00   8.6599e-18   8.3969e-19
 4450.00   6.6531e-18   8.5220e-19
