 
TRANSIENT_NAME:     DES14X2raq 
SNID:               1317277    
OBS_DATE:           2014-12-24
MJD:                57015. 
PHASE:              +6.    
MJD_MAX:            57007.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2381  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -4.1944      23.6151
 3744.26      -1.0347      21.3363
 3745.30      -1.0287      23.0304
 3746.34      -1.0350      20.2231
 3747.38      -0.2203      21.6649
 3748.41      -2.5820      19.2636
 3749.45      -3.7545      19.2277
 3750.49       0.5198      21.2030
 3751.53       2.6822      21.2627
 3752.56      -2.1503      18.2293
 3753.60      -2.1448      17.9537
 3754.64       1.3688      18.6437
 3755.68      -1.6115      16.3146
 3756.72       1.4178      17.9524
 3757.75       3.8606      18.2344
 3758.79       0.1831      16.3113
 3759.83       2.4759      17.6446
 3760.87       1.7470      17.7137
 3761.90       4.5021      17.9201
 3762.94       0.5333      16.5867
 3763.98      -0.5447      15.8664
 3765.02      -4.6928      14.5551
 3766.06       0.2939      15.0662
 3767.09       2.5168      17.0360
 3768.13      -0.5417      16.1409
 3769.17       1.8828      16.3314
 3770.21       3.2520      16.5246
 3771.24       0.7499      16.0537
 3772.28      -0.7276      15.3702
 3773.32       3.0475      16.5556
 3774.36      -2.8747      14.3020
 3775.40      -0.4397      14.5594
 3776.43       2.9125      16.1219
 3777.47       5.9906      17.3717
 3778.51      -0.0119      14.4950
 3779.55       4.1117      16.0401
 3780.58       4.5641      16.7714
 3781.62      -1.3793      14.2058
 3782.66       1.4342      15.5444
 3783.70       2.4079      15.8430
 3784.73       0.9482      14.8346
 3785.77      -1.2200      12.6691
 3786.81      -0.2981      13.6648
 3787.85      -0.7968      13.0251
 3788.89       1.0516      13.8256
 3789.92      -1.3711      12.7214
 3790.96       2.2105      14.4620
 3792.00       0.1326      14.0167
 3793.04       1.4566      14.8698
 3794.07      -2.3180      12.5942
 3795.11       0.7832      12.3439
 3796.15       1.1314      12.4733
 3797.19       1.4006      13.1420
 3798.23      -3.7114      11.3529
 3799.26       4.6160      13.3566
 3800.30       5.1972      13.7943
 3801.34       0.8084      12.6066
 3802.38      -0.5916      12.2024
 3803.41       1.9103      12.6979
 3804.45      -1.1915      11.0184
 3805.49      -1.1631      10.5043
 3806.53      -0.7359      10.5270
 3807.57      -2.1782       9.7231
 3808.60      -5.2180       9.1099
 3809.64      -0.0735      10.0816
 3810.68       5.1954      11.7780
 3811.72       2.0106      10.7511
 3812.75      -0.8756      10.0404
 3813.79      -2.8110      10.0555
 3814.83      -1.7221      10.4376
 3815.87       1.3057      10.0791
 3816.90      -2.7582       9.2501
 3817.94       0.5684       9.5935
 3818.98       1.0974       9.2065
 3820.02       2.1607       9.5253
 3821.06       3.6902      10.0484
 3822.09       3.3175      10.0383
 3823.13       2.0628       9.1919
 3824.17       0.6615       8.4385
 3825.21       1.2353       8.1739
 3826.24       3.7751       8.3667
 3827.28       2.1241       8.5900
 3828.32       0.4672       8.5055
 3829.36      -3.3750       7.6228
 3830.40      -4.0697       7.3013
 3831.43      -1.0199       7.8677
 3832.47       1.3466       8.2202
 3833.51       4.2342       8.6441
 3834.55      -0.8344       7.5044
 3835.58       0.6231       7.2199
 3836.62      -2.7587       6.5973
 3837.66      -0.0826       6.9509
 3838.70      -0.4334       6.6079
 3839.74       0.8704       6.5322
 3840.77      -1.2299       6.1335
 3841.81       1.3856       6.8610
 3842.85       1.0841       6.8872
 3843.89      -0.5277       6.5473
 3844.92       0.5994       6.6466
 3845.96      -0.0852       6.3057
 3847.00      -1.0007       5.7948
 3848.04       0.2413       6.0131
 3849.07      -0.9344       5.7255
 3850.11       0.6310       6.0909
 3851.15      -1.3616       5.9517
 3852.19      -0.1405       5.6491
 3853.23       1.2212       5.9831
 3854.26      -0.7184       5.6736
 3855.30       2.8828       6.2785
 3856.34       1.8742       6.0546
 3857.38      -0.2385       5.4234
 3858.41      -0.9223       5.1234
 3859.45      -1.3817       4.9933
 3860.49       1.7865       5.9869
 3861.53      -0.8571       5.6725
 3862.57       1.6909       6.1225
 3863.60      -2.3896       5.0845
 3864.64      -2.5151       5.3525
 3865.68       8.1273       7.2892
 3866.72       3.9040       6.3833
 3867.75       2.8715       6.5758
 3868.79      -2.1532       5.2445
 3869.83      -1.8372       4.7846
 3870.87      -2.5434       4.7228
 3871.91      -0.6411       5.2460
 3872.94       2.8306       6.1339
 3873.98       2.1837       5.9556
 3875.02      -1.7885       4.9955
 3876.06       2.2545       5.9444
 3877.09       0.9662       5.4602
 3878.13      -4.0195       4.6781
 3879.17      -0.7176       5.0030
 3880.21       0.5358       5.4715
 3881.24       3.8168       5.8891
 3882.28       0.1974       4.9577
 3883.32      -1.9059       4.3293
 3884.36       0.1372       5.0867
 3885.40       2.1057       5.1746
 3886.43      -1.7041       4.3623
 3887.47      -1.2536       4.6283
 3888.51      -3.0527       4.1861
 3889.55      -0.1104       4.6247
 3890.58       2.6067       5.1991
 3891.62       0.1049       4.5284
 3892.66      -1.5908       4.3041
 3893.70       0.1480       4.4366
 3894.74       3.7014       5.2392
 3895.77       2.5400       4.8996
 3896.81       0.9388       4.4316
 3897.85       1.1234       4.6890
 3898.89       1.2905       4.6185
 3899.92       1.1053       4.5424
 3900.96       0.7419       4.1963
 3902.00       0.7651       4.0880
 3903.04      -2.1407       3.6730
 3904.07       0.5299       4.1861
 3905.11       2.6232       4.7780
 3906.15       2.1651       4.6807
 3907.19       1.5016       4.7211
 3908.23      -0.8984       4.1181
 3909.26       2.8097       5.0560
 3910.30      -0.0717       4.3163
 3911.34       4.4044       5.2771
 3912.38      -2.5772       4.1532
 3913.41       0.1620       4.4890
 3914.45       0.1170       4.4124
 3915.49      -0.9531       4.0011
 3916.53      -0.3092       3.3653
 3917.57       2.5101       4.0975
 3918.60      -0.0168       3.5455
 3919.64      -0.2601       3.2371
 3920.68       4.6758       3.7212
 3921.72      -0.8683       2.8266
 3922.75      -0.6691       2.9727
 3923.79      -0.3182       3.1701
 3924.83      -0.3483       3.0187
 3925.87      -0.4847       2.8717
 3926.91       0.9297       2.9619
 3927.94       3.8391       3.2345
 3928.98       0.9789       2.7473
 3930.02       2.7532       2.9561
 3931.06       1.9560       2.7145
 3932.09       0.1005       2.4927
 3933.13       2.1978       2.6716
 3934.17       0.5612       2.5000
 3935.21       0.6706       2.4385
 3936.24      -0.4929       2.1047
 3937.28      -0.2313       2.4285
 3938.32       1.9955       2.5088
 3939.36      -0.1359       2.0456
 3940.40       1.2338       2.5292
 3941.43      -0.9214       2.1987
 3942.47      -0.5408       2.2904
 3943.51       0.3512       2.2794
 3944.55      -0.1515       2.2504
 3945.58      -1.2373       2.1146
 3946.62       0.3459       2.4009
 3947.66      -1.2911       2.0452
 3948.70       1.1800       2.5117
 3949.74      -0.6942       2.1374
 3950.77       2.5063       2.6954
 3951.81      -0.0133       2.1432
 3952.85       0.5637       2.2845
 3953.89      -0.1479       2.1796
 3954.92      -3.0454       1.9091
 3955.96       0.3016       2.3738
 3957.00      -0.4030       2.1271
 3958.04       0.4929       2.1262
 3959.08      -0.1641       2.0581
 3960.11       0.8224       2.2686
 3961.15       2.2702       2.4432
 3962.19       2.0681       2.4148
 3963.23       0.1927       2.0493
 3964.26      -1.9430       1.8326
 3965.30      -0.9520       2.0385
 3966.34       0.7736       2.1035
 3967.38      -0.7551       1.8829
 3968.41       3.4827       2.4517
 3969.45       0.5721       2.0379
 3970.49       0.8309       2.1083
 3971.53       0.1862       1.9836
 3972.57       0.8533       2.3607
 3973.60       0.0438       2.0750
 3974.64      -1.8954       1.6998
 3975.68      -0.2076       1.9670
 3976.72      -1.1690       1.8986
 3977.75       0.9334       2.0771
 3978.79       1.5999       2.2033
 3979.83       1.3771       2.2437
 3980.87      -1.5409       1.8158
 3981.91       1.1757       2.9745
 3982.94       0.7335       2.3217
 3983.98       0.2112       2.0032
