 
TRANSIENT_NAME:     DES14X3aeb 
SNID:               1294743    
OBS_DATE:           2014-09-17
MJD:                56917. 
PHASE:              +4.    
MJD_MAX:            56912.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3136  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       0.9338      31.0421
 3744.26       0.9680      35.9393
 3745.30       3.9795      34.3823
 3746.34       4.8263      35.3129
 3747.38      -2.0642      29.7625
 3748.41       4.0021      32.1807
 3749.45       1.4559      27.8765
 3750.49      -6.2068      24.7204
 3751.53       3.3277      28.8749
 3752.56       5.8847      29.1822
 3753.60      -0.0853      26.7043
 3754.64      -1.0220      28.1642
 3755.68      -1.8953      27.6439
 3756.72      -0.5876      25.7543
 3757.75       0.0788      24.9881
 3758.79       2.1413      24.2638
 3759.83       1.8991      23.5381
 3760.87       2.1034      24.3343
 3761.90       0.7863      26.1196
 3762.94       2.4072      28.6313
 3763.98      -0.0366      25.7808
 3765.02       3.1258      23.0363
 3766.06       4.1740      25.3424
 3767.09       3.3168      26.4975
 3768.13       4.5349      24.3997
 3769.17       1.4080      24.9058
 3770.21      -5.1099      23.9615
 3771.24      -6.6484      24.1404
 3772.28       7.6591      27.4298
 3773.32      -2.6974      21.9690
 3774.36      -9.7018      21.0573
 3775.40      -0.0944      25.7009
 3776.43      -0.3635      24.3347
 3777.47      -1.8124      24.5971
 3778.51      -5.1049      21.4505
 3779.55       2.0625      22.0029
 3780.58      -7.9117      20.3622
 3781.62      -1.8144      21.9036
 3782.66      -4.5553      20.7277
 3783.70      -3.8272      21.2252
 3784.73       1.9828      25.7663
 3785.77       0.4089      23.7380
 3786.81      -0.9581      18.8669
 3787.85      -2.1106      19.5377
 3788.89      -2.9030      21.4333
 3789.92      -1.1955      19.8367
 3790.96       1.4498      19.8211
 3792.00      -1.4164      19.2620
 3793.04       1.5360      20.4332
 3794.07      -0.6492      17.9267
 3795.11       5.2495      19.8196
 3796.15      -3.3539      16.8726
 3797.19       0.5061      19.3704
 3798.23       5.6289      19.0363
 3799.26       4.0224      18.5214
 3800.30       3.1334      17.6992
 3801.34      -3.1208      15.2143
 3802.38       0.0648      16.0375
 3803.41      -0.4907      16.9618
 3804.45      -0.4285      16.5044
 3805.49      -1.4771      14.7725
 3806.53       3.3164      15.2748
 3807.57       4.5936      15.7024
 3808.60       1.0445      16.4203
 3809.64       3.6917      17.9259
 3810.68       6.5017      18.9513
 3811.72       5.3690      11.2046
 3812.75       9.6269      17.8850
 3813.79       3.5577      16.7397
 3814.83      -1.2490      14.4758
 3815.87       7.3312      16.3476
 3816.90       5.0945      14.8528
 3817.94      -2.5539      13.3296
 3818.98      -0.2396      12.7103
 3820.02       0.5618      12.9238
 3821.06       1.1006      14.8727
 3822.09       0.9426      14.1023
 3823.13      -1.9077      11.6100
 3824.17       1.0319      12.3304
 3825.21       0.6306      11.7721
 3826.24      -3.0842      10.0785
 3827.28      -0.6549      11.1298
 3828.32       2.5270      12.2443
 3829.36       3.3295      13.1240
 3830.40       0.3383      12.9127
 3831.43       5.1480      14.1530
 3832.47       2.4882      13.7925
 3833.51      -0.5073      11.2095
 3834.55       1.2567      11.0919
 3835.58       0.8400      10.2533
 3836.62       2.4097      10.5132
 3837.66       4.9380      10.7815
 3838.70       0.8770      10.3122
 3839.74      -0.1832       9.5680
 3840.77       4.9457      10.8668
 3841.81       6.8297      11.4594
 3842.85       0.8044       9.9893
 3843.89       1.6676       9.3994
 3844.92       1.0794       9.5612
 3845.96      -2.2323       9.1671
 3847.00      -0.9240       9.3462
 3848.04       1.4337       9.4307
 3849.07       0.3697       9.0695
 3850.11       0.0285       8.9206
 3851.15      -1.1180       8.7891
 3852.19       0.3309       8.7563
 3853.23       5.5637      10.3987
 3854.26       1.5211       9.3386
 3855.30       0.4131       9.0697
 3856.34       1.3351       8.8161
 3857.38       0.4643       8.1005
 3858.41       4.6320       8.9513
 3859.45       3.4222       8.6072
 3860.49      -4.8431       6.3927
 3861.53      -2.3965       7.4235
 3862.57       0.7064       8.9901
 3863.60       4.1801       9.8027
 3864.64       2.0694       8.6805
 3865.68       4.1072       9.1293
 3866.72       1.5526       8.6353
 3867.75       0.3222       7.8152
 3868.79      -0.3015       8.1538
 3869.83       0.2863       8.1587
 3870.87       3.2172       8.1055
 3871.91       0.5472       7.1266
 3872.94       1.1883       7.5521
 3873.98       0.9115       7.7507
 3875.02       0.1473       7.8563
 3876.06      -0.3191       7.6516
 3877.09      -2.5562       6.8960
 3878.13      -0.3355       7.2151
 3879.17       4.3367       8.4731
 3880.21       3.6455       8.0714
 3881.24      -2.8105       6.5309
 3882.28      -0.3764       6.4326
 3883.32       2.8088       7.1923
 3884.36       5.7107       7.7067
 3885.40       3.9798       7.0904
 3886.43       3.4503       7.0654
 3887.47       1.4353       6.4683
 3888.51      -0.8424       5.6796
 3889.55      -0.5339       5.7908
 3890.58      -0.9718       5.7946
 3891.62      -0.1553       5.9556
 3892.66       0.6712       6.2492
 3893.70       0.9405       6.4536
 3894.74      -0.8449       6.0400
 3895.77       0.3238       5.9645
 3896.81      -0.7183       5.9666
 3897.85       4.7149       7.3512
 3898.89       4.3073       7.0835
 3899.92      -3.1706       5.1852
 3900.96      -4.0104       5.3009
 3902.00       0.9637       6.1813
 3903.04      -0.5905       5.7200
 3904.07       0.5636       6.1603
 3905.11       1.5395       6.4477
 3906.15       1.3647       6.4450
 3907.19      -1.4949       6.0555
 3908.23       1.6337       6.5922
 3909.26       1.8217       6.7528
 3910.30      -0.2107       6.3494
 3911.34       0.3765       6.3472
 3912.38      -0.3963       6.1147
 3913.41       0.2567       6.0501
 3914.45       3.2369       5.9803
 3915.49       0.3917       5.4164
 3916.53       1.3530       5.7594
 3917.57       2.6680       5.9194
 3918.60       2.8578       5.5570
 3919.64       1.0141       5.1998
 3920.68      -0.7546       4.8761
 3921.72       1.3185       4.8084
 3922.75       0.7731       4.3852
 3923.79       1.2465       4.6950
 3924.83      -0.7874       4.2910
