 
TRANSIENT_NAME:     DES14X3amb 
SNID:               1297026    
OBS_DATE:           2014-10-28
MJD:                56958. 
PHASE:              +23.   
MJD_MAX:            56928.8
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.2596  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       1.2041       8.0268
 3744.26       1.1913       7.8655
 3745.30      -0.0376       7.3360
 3746.34       0.0458       7.4800
 3747.38       2.0819       7.1802
 3748.41       1.6343       6.3818
 3749.45       0.8456       7.7446
 3750.49       2.3347       7.8622
 3751.53       0.7684       6.1861
 3752.56      -0.6028       5.5364
 3753.60      -1.4476       5.0823
 3754.64      -1.9540       5.1529
 3755.68      -0.0809       5.6777
 3756.72       1.7214       5.7381
 3757.75       1.4170       6.4854
 3758.79      -0.6642       5.6898
 3759.83       0.8948       5.4939
 3760.87       1.9003       5.6453
 3761.90       1.2840       5.0561
 3762.94       1.4543       5.5193
 3763.98      -0.0530       5.2737
 3765.02       0.4895       5.7722
 3766.06       3.3965       5.9037
 3767.09       0.0028       5.1824
 3768.13      -0.7658       4.9310
 3769.17       0.8828       4.9300
 3770.21       0.3663       5.0913
 3771.24       0.9813       5.0704
 3772.28       0.4708       4.5822
 3773.32       2.3942       5.1252
 3774.36       0.7656       5.4196
 3775.40      -1.1275       5.1046
 3776.43      -0.1196       4.8966
 3777.47      -0.3892       4.3336
 3778.51      -1.2347       3.9432
 3779.55      -2.4837       4.4428
 3780.58      -0.1024       4.9040
 3781.62       0.3106       4.7078
 3782.66      -1.6404       4.3336
 3783.70       0.0231       4.4697
 3784.73      -0.5850       4.6526
 3785.77       0.8641       4.6452
 3786.81      -1.3190       3.8899
 3787.85      -1.4378       3.8014
 3788.89       0.4016       4.4660
 3789.92      -1.0670       4.3778
 3790.96       1.8545       4.3787
 3792.00       1.2835       4.2307
 3793.04      -1.0068       4.0732
 3794.07      -0.1514       4.2344
 3795.11      -0.7550       3.9067
 3796.15      -1.3349       3.7065
 3797.19      -0.3128       4.0621
 3798.23      -1.4303       3.6234
 3799.26       0.5913       3.8815
 3800.30       0.4157       3.9823
 3801.34       2.4479       4.2209
 3802.38       1.5350       3.8559
 3803.41      -0.1969       3.6914
 3804.45      -1.4994       3.6657
 3805.49       0.3794       3.7320
 3806.53       0.1390       3.4109
 3807.57      -1.9528       3.2113
 3808.60      -0.0230       3.4257
 3809.64       2.1280       3.6386
 3810.68       0.9665       3.5048
 3811.72       0.1136       3.3331
 3812.75       1.9974       3.6251
 3813.79       2.3708       3.6463
 3814.83      -0.3734       3.5525
 3815.87       1.5246       2.0625
 3816.90       0.2154       3.5487
 3817.94       0.3223       3.9007
 3818.98      -1.7032       3.7370
 3820.02      -1.4242       3.1230
 3821.06       0.1710       2.3664
 3822.09      -0.5230       2.8482
 3823.13       0.1945       2.6441
 3824.17       1.5281       2.6187
 3825.21       1.6730       2.7703
 3826.24       0.4049       2.7047
 3827.28       0.2577       2.6542
 3828.32       0.6836       2.6162
 3829.36       0.6755       2.7006
 3830.40      -0.0953       2.6279
 3831.43      -0.8929       2.4354
 3832.47      -0.9455       2.3526
 3833.51       2.0617       2.6488
 3834.55       0.8583       2.2938
 3835.58       0.1906       2.1608
 3836.62       2.2120       2.4334
 3837.66       0.3982       2.0378
 3838.70       0.4386       1.9487
 3839.74       1.8284       2.4084
 3840.77       1.4186       2.4453
 3841.81      -0.1142       2.1391
 3842.85      -0.2722       1.8979
 3843.89       2.5754       2.1814
 3844.92       2.1563       2.0790
 3845.96       0.6750       2.0885
 3847.00       0.0983       2.0814
 3848.04      -0.0756       1.9393
 3849.07       1.2520       2.1154
 3850.11       1.9027       2.1027
 3851.15       0.1324       1.8479
 3852.19      -1.0325       1.7508
 3853.23       0.3443       1.8439
 3854.26       0.5460       1.7964
 3855.30       0.3809       1.9192
 3856.34       0.6883       1.9791
 3857.38      -0.0089       1.7586
 3858.41      -0.1191       1.7226
 3859.45      -0.4264       1.6833
 3860.49       0.9596       1.7820
 3861.53       1.7484       1.9390
 3862.57       0.8933       1.8109
 3863.60       0.9269       1.8256
 3864.64       1.8891       1.9557
 3865.68       1.3714       1.8337
 3866.72      -0.4964       1.6426
 3867.75      -0.8108       1.6911
 3868.79      -0.0091       1.6860
 3869.83      -0.3308       1.6066
 3870.87       0.5669       1.7976
 3871.91       2.1492       1.8838
 3872.94       1.1976       1.7061
 3873.98       0.5750       1.6562
 3875.02       0.8449       1.7036
 3876.06       0.6994       1.6289
 3877.09       0.0761       1.5567
 3878.13       0.3809       1.5516
 3879.17      -0.3362       1.5274
 3880.21      -0.6444       1.5068
 3881.24       0.3173       1.5187
 3882.28       0.8814       1.5352
 3883.32       0.7768       1.4703
 3884.36       0.1816       1.3706
 3885.40       1.6450       1.4630
 3886.43       1.3711       1.4105
 3887.47       0.4509       1.3015
 3888.51       1.0138       1.5187
 3889.55       0.4366       1.4775
 3890.58      -0.2022       1.3001
 3891.62      -0.8101       1.2611
 3892.66       0.3568       1.3210
 3893.70       0.1331       1.2275
 3894.74       0.9634       1.3333
 3895.77       2.2226       1.4925
 3896.81       1.0870       1.3949
 3897.85       0.7371       1.2970
 3898.89       0.3496       1.2365
 3899.92      -0.3728       1.2059
 3900.96       0.9527       1.2962
 3902.00       0.1680       1.1973
 3903.04      -1.2123       1.0737
 3904.07      -0.8229       1.0933
 3905.11      -0.5927       1.1105
 3906.15      -0.2126       1.1785
 3907.19       0.4577       1.2589
 3908.23       0.3692       1.1846
 3909.26       0.5330       1.1899
 3910.30       0.2670       1.2008
 3911.34      -0.4041       1.0963
 3912.38       0.3161       1.1266
 3913.41       1.6247       1.2399
 3914.45       1.0044       1.1906
 3915.49       0.0979       1.1291
 3916.53       0.4792       1.1001
 3917.57       0.2278       1.0713
 3918.60       0.9774       1.1214
 3919.64       0.6209       1.0444
 3920.68       0.1498       1.0050
 3921.72      -0.6603       0.9474
 3922.75       0.0295       0.9518
 3923.79       0.5987       0.9628
 3924.83       0.2975       0.9702
 3925.87       0.0307       0.9488
 3926.91      -0.4355       0.8119
 3927.94      -0.8471       0.7176
 3928.98      -0.8798       0.7282
 3930.02       0.0287       0.7705
 3931.06       0.5992       0.7753
 3932.09       0.6712       0.7709
 3933.13       1.4768       0.7789
 3934.17       1.2610       0.7273
 3935.21      -0.0998       0.6691
 3936.24      -0.1175       0.6836
 3937.28       0.8212       0.7078
 3938.32       1.1874       0.7221
 3939.36       0.8418       0.7271
 3940.40       1.1424       0.7354
 3941.43       0.9626       0.7235
 3942.47      -0.2091       0.6656
 3943.51      -0.3223       0.6301
 3944.55      -0.5128       0.6100
 3945.58      -0.7513       0.6076
 3946.62       0.1395       0.6834
 3947.66       0.4099       0.7158
 3948.70      -0.1211       0.6643
 3949.74       0.5334       0.7104
 3950.77       1.3866       0.7643
 3951.81       0.3266       0.7164
 3952.85      -1.0491       0.6287
 3953.89      -0.7499       0.6295
 3954.92      -0.5145       0.6324
 3955.96      -0.2926       0.6190
 3957.00       0.9779       0.7215
 3958.04       1.3366       0.7701
 3959.08      -0.0332       0.6586
 3960.11      -0.4462       0.6170
 3961.15       0.2843       0.6870
 3962.19      -0.2348       0.6583
 3963.23       0.1022       0.6342
 3964.26       1.3726       0.7227
 3965.30       0.5436       0.6527
 3966.34       0.1590       0.6122
 3967.38       0.8171       0.6509
 3968.41       0.3536       0.6065
 3969.45       0.2062       0.6044
 3970.49       0.1436       0.6041
 3971.53       0.7808       0.6271
 3972.57       0.3065       0.6184
 3973.60      -0.5042       0.5832
 3974.64       0.1247       0.6230
 3975.68       0.7127       0.7042
 3976.72       0.8664       0.6944
 3977.75       0.0824       0.5915
 3978.79      -0.7592       0.5504
 3979.83      -0.1604       0.6014
 3980.87       0.3298       0.6515
 3981.91      -0.2177       0.6246
 3982.94       0.6344       0.6402
 3983.98       0.0019       0.6021
 3985.02      -0.1669       0.5900
 3986.06       0.1377       0.5952
 3987.09       0.0493       0.6023
 3988.13       0.0050       0.6080
 3989.17       0.1211       0.6293
 3990.21       0.7444       0.6430
 3991.25      -0.1058       0.5880
 3992.28      -0.2925       0.5915
 3993.32       1.3850       0.6989
 3994.36       1.2941       0.6956
 3995.40       0.1678       0.6087
 3996.43       0.0534       0.6086
 3997.47       0.4085       0.6396
 3998.51       1.2328       0.7128
 3999.55       1.2913       0.7367
 4000.58      -0.3427       0.6289
 4001.62      -0.1747       0.6480
 4002.66       0.5945       0.6991
 4003.70       0.6855       0.7093
 4004.74       0.5760       0.7260
 4005.77       0.0154       0.7032
 4006.81       0.4836       0.7275
 4007.85       1.1910       0.8040
 4008.89       2.1020       0.8865
 4009.92       0.7711       0.8050
 4010.96       0.6162       0.7631
 4012.00       0.7865       0.7815
 4013.04       0.7249       0.7496
 4014.08      -0.2200       0.7007
 4015.11       0.1133       0.7221
 4016.15       1.4067       0.7834
 4017.19       1.2981       0.7723
 4018.23       0.6764       0.7256
 4019.26       1.2512       0.7817
 4020.30       0.6178       0.7240
 4021.34      -0.3812       0.6769
 4022.38       0.0971       0.6935
 4023.42       0.1699       0.6680
 4024.45      -0.6709       0.6102
 4025.49      -0.8897       0.6186
 4026.53       0.7365       0.7086
 4027.57      -0.0016       0.6652
 4028.60       0.5048       0.7042
 4029.64       0.8894       0.7386
 4030.68       0.1457       0.6559
 4031.72       1.1431       0.6830
 4032.75       0.2259       0.6603
 4033.79       0.2976       0.6300
 4034.83       0.7987       0.6554
 4035.87       0.8833       0.6739
 4036.91       0.4574       0.6866
 4037.94      -0.1446       0.6730
 4038.98       0.8422       0.6850
 4040.02       0.5202       0.6574
 4041.06       1.1776       0.7078
 4042.09       0.9697       0.6903
 4043.13       0.5542       0.6452
 4044.17      -0.0369       0.5911
 4045.21       0.6475       0.6398
 4046.25       0.8652       0.6529
 4047.28      -0.6360       0.5812
 4048.32       0.2627       0.6563
 4049.36       0.1646       0.5226
 4050.40       0.8042       0.7516
 4051.43       1.7964       0.8699
 4052.47       0.8695       0.7905
 4053.51       0.7838       0.7117
 4054.55       1.8275       0.6534
 4055.58       0.2448       0.5470
 4056.62       0.2869       0.5412
 4057.66       0.4016       0.5534
 4058.70       0.3516       0.5701
 4059.74      -0.4580       0.5103
 4060.77       0.2188       0.5680
 4061.81       0.2258       0.5549
 4062.85       0.4541       0.5512
 4063.89      -0.1788       0.5366
 4064.92      -0.1336       0.5401
 4065.96       0.3686       0.5504
 4067.00       1.0567       0.6013
 4068.04      -0.2147       0.5457
 4069.08       0.5680       0.5822
 4070.11       0.8841       0.5788
 4071.15      -0.1327       0.5064
 4072.19       0.4161       0.5261
 4073.23       0.2491       0.5245
 4074.26       0.6953       0.5671
 4075.30       0.5068       0.5563
 4076.34       0.4081       0.5302
 4077.38       0.8013       0.5337
 4078.42       0.6765       0.5329
 4079.45       0.3130       0.5164
 4080.49       0.2793       0.5142
 4081.53      -0.3629       0.4978
 4082.57      -0.1242       0.4888
 4083.60      -0.3365       0.4722
 4084.64       0.0485       0.5003
 4085.68       0.6296       0.5454
 4086.72       1.3821       0.5770
 4087.75       1.4722       0.5873
 4088.79      -0.1735       0.4939
 4089.83      -0.2569       0.4790
 4090.87      -0.8272       0.4495
 4091.91      -0.9685       0.4312
 4092.94      -0.1076       0.4700
 4093.98       0.0586       0.4614
 4095.02       0.5164       0.4897
 4096.06       1.2332       0.5276
 4097.09       0.5587       0.4950
 4098.13      -0.7812       0.4192
 4099.17       0.2087       0.4611
 4100.21       0.9257       0.4930
 4101.25       0.1646       0.4518
 4102.28       0.6250       0.4738
 4103.32       1.0126       0.4845
 4104.36       1.1624       0.4907
 4105.40      -0.0071       0.4252
 4106.43      -0.1088       0.4247
 4107.47       0.3086       0.4353
 4108.51       1.0761       0.4784
 4109.55       0.7548       0.4684
 4110.58       0.3078       0.4270
 4111.62       1.9460       0.5075
 4112.66       1.3263       0.4913
 4113.70       0.1827       0.4283
 4114.74       0.0306       0.4121
 4115.77       0.8388       0.4580
 4116.81       1.4139       0.4710
 4117.85       0.8583       0.4363
 4118.89       1.8934       0.1931
 4119.92       1.2782       0.5381
 4120.96       1.3552       0.5463
 4122.00       0.5121       0.4909
 4123.04       0.8048       0.3603
 4124.08      -0.2597       0.3670
 4125.11       0.4325       0.4459
 4126.15       1.2702       0.4819
 4127.19       1.0177       0.4627
 4128.23       1.0115       0.4305
 4129.26       0.7365       0.4149
 4130.30       0.4625       0.4259
 4131.34       0.1650       0.4208
 4132.38       0.3435       0.4147
 4133.42       0.0478       0.3916
 4134.45       0.9562       0.4414
 4135.49       0.6995       0.4430
 4136.53       0.4636       0.4284
 4137.57       1.4660       0.4744
 4138.60       0.8153       0.4512
 4139.64       0.3700       0.4162
 4140.68       1.2284       0.4474
