 
TRANSIENT_NAME:     DES14X3jmx 
SNID:               1305504    
OBS_DATE:           2014-11-16
MJD:                56977. 
PHASE:              +2.    
MJD_MAX:            56973.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5020  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4000.00   8.4647e-03  ---
 4001.15  -5.0916e-04  ---
 4002.30  -1.8419e-04  ---
 4003.45  -2.4114e-03  ---
 4004.60  -2.9204e-03  ---
 4005.75  -3.9725e-03  ---
 4006.90  -1.4334e-02  ---
 4008.05  -1.3822e-02  ---
 4009.20   1.0019e-02  ---
 4010.35   3.8038e-02  ---
 4011.50   2.4587e-02  ---
 4012.65  -9.8400e-05  ---
 4013.80  -2.8805e-03  ---
 4014.95   3.1115e-03  ---
 4016.10   5.5402e-04  ---
 4017.25  -3.0878e-04  ---
 4018.40   1.8091e-02  ---
 4019.55   2.3801e-02  ---
 4020.70   5.2238e-03  ---
 4021.85  -4.2741e-04  ---
 4023.00   7.2012e-03  ---
 4024.15  -1.9806e-03  ---
 4025.30  -4.4836e-03  ---
 4026.45   6.2555e-03  ---
 4027.60  -1.1456e-03  ---
 4028.75   5.4341e-03  ---
 4029.90   2.8160e-02  ---
 4031.05   3.8838e-02  ---
 4032.20   7.7813e-03  ---
 4033.35  -9.2436e-03  ---
 4034.50  -1.2379e-02  ---
 4035.65  -9.0603e-03  ---
 4036.80   6.8572e-03  ---
 4037.95   1.4823e-02  ---
 4039.10  -1.2033e-02  ---
 4040.25  -2.2492e-02  ---
 4041.40  -8.4406e-04  ---
 4042.55   1.2081e-03  ---
 4043.70  -7.1986e-04  ---
 4044.85   8.1139e-03  ---
 4046.00  -5.3355e-03  ---
 4047.15  -1.7578e-02  ---
 4048.30   3.4753e-03  ---
 4049.45   1.0886e-02  ---
 4050.60  -7.2192e-03  ---
 4051.75  -2.5197e-03  ---
 4052.90   8.6246e-03  ---
 4054.05   1.4209e-02  ---
 4055.20   3.3874e-03  ---
 4056.35  -4.9469e-04  ---
 4057.50   3.1702e-03  ---
 4058.65   5.8085e-03  ---
 4059.80   1.7222e-02  ---
 4060.95   1.5640e-02  ---
 4062.10   3.3512e-03  ---
 4063.25   6.0387e-03  ---
 4064.40   1.0728e-03  ---
 4065.55  -2.2477e-03  ---
 4066.71   1.7064e-03  ---
 4067.85   1.0492e-03  ---
 4069.01  -4.4985e-03  ---
 4070.16  -4.4824e-03  ---
 4071.31   3.7181e-03  ---
 4072.46  -2.7682e-04  ---
 4073.61   4.9976e-03  ---
 4074.76   5.7930e-03  ---
 4075.91   3.3644e-04  ---
 4077.06   1.3876e-02  ---
 4078.21   1.3918e-02  ---
 4079.36   1.0295e-03  ---
 4080.51   5.1466e-03  ---
 4081.66   7.1679e-03  ---
 4082.81   1.5231e-04  ---
 4083.96   8.4932e-03  ---
 4085.11   8.9897e-03  ---
 4086.26   1.0670e-02  ---
 4087.41  -4.3305e-03  ---
 4088.56  -1.4956e-02  ---
 4089.71   2.9879e-03  ---
 4090.86   1.0894e-02  ---
 4092.01   2.0715e-03  ---
 4093.16   6.3588e-03  ---
 4094.31  -7.2333e-03  ---
 4095.46  -4.5069e-03  ---
 4096.61   4.8884e-03  ---
 4097.76   7.2397e-03  ---
 4098.91   1.6589e-02  ---
 4100.06   6.3362e-03  ---
 4101.21   9.0647e-04  ---
 4102.36  -1.2835e-03  ---
 4103.51  -2.1487e-03  ---
 4104.66   4.5784e-03  ---
 4105.81   3.3500e-03  ---
 4106.96   9.3159e-03  ---
 4108.11   1.5563e-02  ---
 4109.26   1.5406e-02  ---
 4110.41   1.2245e-02  ---
 4111.56   5.8827e-03  ---
 4112.71   7.5361e-03  ---
 4113.86   5.5868e-03  ---
 4115.01  -2.6229e-03  ---
 4116.16   5.4194e-03  ---
 4117.31   1.0089e-02  ---
 4118.46   3.0524e-03  ---
 4119.61   6.6720e-03  ---
 4120.76   3.8580e-03  ---
 4121.91  -4.8199e-03  ---
 4123.06  -5.4498e-04  ---
 4124.21   4.2296e-03  ---
 4125.36  -1.5150e-04  ---
 4126.51  -5.2883e-03  ---
 4127.66  -3.8876e-03  ---
 4128.81  -2.3300e-03  ---
 4129.96  -6.5297e-04  ---
 4131.11   7.3077e-03  ---
 4132.26   1.4569e-02  ---
 4133.41  -1.3558e-03  ---
 4134.56  -6.4749e-03  ---
 4135.71   2.5490e-03  ---
 4136.86   1.8902e-02  ---
 4138.01   8.8894e-03  ---
 4139.16   5.5144e-04  ---
 4140.31   2.5937e-03  ---
 4141.46  -2.9524e-04  ---
 4142.61  -6.4707e-03  ---
 4143.76  -5.4521e-03  ---
 4144.91  -3.3206e-03  ---
 4146.06  -7.2382e-03  ---
 4147.21   7.0531e-04  ---
 4148.36   2.4330e-03  ---
 4149.51  -1.9692e-04  ---
 4150.66   5.7218e-03  ---
 4151.81   7.1394e-03  ---
 4152.96  -7.4028e-04  ---
 4154.11  -3.8715e-03  ---
 4155.26   7.2091e-03  ---
 4156.41   1.1281e-02  ---
 4157.56  -4.7423e-03  ---
 4158.71   4.1226e-03  ---
 4159.86   9.6509e-03  ---
 4161.01   2.6349e-04  ---
 4162.16   2.3623e-03  ---
 4163.31   3.0967e-03  ---
 4164.46  -2.6601e-03  ---
 4165.61  -5.9599e-04  ---
 4166.76   1.2481e-02  ---
 4167.91   7.8182e-03  ---
 4169.06   7.3918e-03  ---
 4170.21  -3.9316e-03  ---
 4171.36  -8.1836e-03  ---
 4172.51  -2.9527e-03  ---
 4173.66  -6.7663e-03  ---
 4174.81  -3.3486e-03  ---
 4175.96   6.2934e-03  ---
 4177.11   6.9133e-03  ---
 4178.26   4.4186e-03  ---
 4179.41   2.8796e-03  ---
 4180.56   3.1733e-03  ---
 4181.71   3.3229e-04  ---
 4182.86  -7.3034e-04  ---
