 
TRANSIENT_NAME:     DES15C1mhp 
SNID:               1335868    
OBS_DATE:           2015-12-03
MJD:                57359. 
PHASE:              +6.    
MJD_MAX:            57348.5
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.6200  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00  -9.4965e-19  ---
 3805.00  -1.0612e-18  ---
 3810.00  -8.2434e-20  ---
 3815.00  -1.4147e-18  ---
 3820.00  -5.4864e-19  ---
 3825.00  -5.6797e-19  ---
 3830.00  -4.9716e-19  ---
 3835.00  -1.4298e-18  ---
 3840.00  -1.3570e-18  ---
 3845.00  -2.1129e-19  ---
 3850.00  -1.1114e-18  ---
 3855.00  -1.0139e-18  ---
 3860.00  -9.6783e-19  ---
 3865.00  -3.3302e-19  ---
 3870.00  -5.0146e-20  ---
 3875.00   1.4101e-19  ---
 3880.00   1.9134e-19  ---
 3885.00  -7.7516e-19  ---
 3890.00  -7.5753e-19  ---
 3895.00   3.5020e-19  ---
 3900.00  -5.9980e-20  ---
 3905.00  -7.8032e-19  ---
 3910.00  -4.4187e-19  ---
 3915.00   4.3373e-19  ---
 3920.00  -9.6052e-19  ---
 3925.00  -4.7268e-19  ---
 3930.00  -3.3177e-19  ---
 3935.00  -2.6572e-19  ---
 3940.00  -5.1620e-19  ---
 3945.00  -5.2269e-19  ---
 3950.00  -2.5338e-19  ---
 3955.00  -7.0138e-19  ---
 3960.00  -2.0891e-19  ---
 3965.00  -2.5777e-19  ---
 3970.00  -7.0225e-19  ---
 3975.00  -3.9854e-19  ---
 3980.00  -4.9070e-19  ---
 3985.00  -4.4703e-19  ---
 3990.00  -6.3291e-19  ---
 3995.00   1.2323e-19  ---
 4000.00  -1.6993e-19  ---
 4005.00  -2.2421e-20  ---
 4010.00  -8.0311e-19  ---
 4015.00  -1.9464e-19  ---
 4020.00  -5.2487e-19  ---
