 
TRANSIENT_NAME:     DES15C1olp 
SNID:               1346137    
OBS_DATE:           2016-01-10
MJD:                57397. 
PHASE:              -5.    
MJD_MAX:            57403.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3640  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/BAADE
INSTRUMENT:         IMACS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4221.00   2.3510e-02  ---
 4222.27   1.2901e-02  ---
 4223.54   6.5930e-03  ---
 4224.81   1.7709e-02  ---
 4226.08   4.2761e-02  ---
 4227.35   1.3946e-02  ---
 4228.62   5.3476e-03  ---
 4229.89   1.2975e-02  ---
 4231.16   2.8234e-02  ---
 4232.43   1.7519e-02  ---
 4233.70   5.1214e-02  ---
 4234.97   3.3797e-02  ---
 4236.24   4.5426e-02  ---
 4237.51   5.5605e-02  ---
 4238.78   2.5554e-02  ---
 4240.05   2.4594e-02  ---
 4241.32   3.8914e-02  ---
 4242.59   1.6118e-02  ---
 4243.86   4.2470e-04  ---
 4245.13   2.7191e-02  ---
 4246.40   2.9374e-02  ---
 4247.67   1.8451e-02  ---
 4248.94   1.7557e-02  ---
 4250.21  -2.9974e-03  ---
 4251.48   1.4352e-02  ---
 4252.75   6.8003e-03  ---
 4254.02  -6.9307e-03  ---
 4255.29   3.6353e-02  ---
 4256.56   4.6512e-02  ---
 4257.83   1.6170e-02  ---
 4259.10   2.4276e-02  ---
 4260.37   3.8071e-02  ---
 4261.64   2.0854e-02  ---
 4262.91   3.7188e-02  ---
 4264.18   4.3350e-02  ---
 4265.45   3.2478e-03  ---
 4266.72   4.5591e-03  ---
 4267.99   9.8085e-03  ---
 4269.26   6.0905e-03  ---
 4270.53   2.5300e-02  ---
 4271.80   3.0957e-02  ---
 4273.07  -8.6456e-03  ---
 4274.34   8.5330e-03  ---
 4275.61   3.5544e-02  ---
 4276.88   2.7651e-02  ---
 4278.15   1.0606e-02  ---
 4279.42   2.8039e-03  ---
 4280.69   1.5555e-02  ---
 4281.96   2.3201e-02  ---
 4283.23   1.5007e-02  ---
 4284.50   1.7029e-02  ---
 4285.77   6.2989e-03  ---
 4287.04   8.4403e-04  ---
 4288.31   2.0248e-03  ---
 4289.58   1.8245e-02  ---
 4290.85   3.0243e-02  ---
 4292.12   4.1200e-02  ---
 4293.39   3.6924e-02  ---
 4294.66   3.7150e-02  ---
 4295.93   3.7592e-02  ---
 4297.20   3.5063e-02  ---
 4298.47   2.3373e-02  ---
 4299.74   2.3599e-02  ---
 4301.01   2.2906e-02  ---
 4302.28   2.3666e-02  ---
 4303.55   3.6919e-02  ---
 4304.82   1.9726e-02  ---
 4306.09   5.5666e-03  ---
 4307.36   6.0037e-03  ---
 4308.63   2.5867e-02  ---
 4309.90   3.7668e-02  ---
 4311.17   3.3852e-02  ---
 4312.44   3.0060e-02  ---
