 
TRANSIENT_NAME:     DES15C2eap 
SNID:               1306299    
OBS_DATE:           2015-09-16
MJD:                57281. 
PHASE:              +5.    
MJD_MAX:            57274.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4715  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3468.35   8.7635e-18   2.8585e-19
 3468.96   1.0825e-17   1.7027e-18
 3469.57   1.9735e-17   1.7027e-18
 3470.18   1.7806e-17   4.7617e-18
 3470.79   9.2643e-18   4.7617e-18
 3471.40   3.5007e-18   5.5573e-18
 3472.02   4.3661e-18   5.5573e-18
 3472.63  -8.0404e-19   5.6977e-18
 3473.24   6.0146e-18   6.2698e-18
 3473.85  -5.1283e-18   7.2304e-18
 3474.46   3.3682e-18   7.2304e-18
 3475.07   1.0773e-17   6.2698e-18
 3475.68  -2.4534e-18   6.2698e-18
 3476.29  -1.5139e-18   6.3746e-18
 3476.90   1.6981e-17   6.8707e-18
 3477.51   2.3356e-17   6.8707e-18
 3478.12   1.4839e-17   6.8707e-18
 3478.74   1.6005e-17   6.4349e-18
 3479.35   1.9962e-17   6.8707e-18
 3479.96   3.2676e-18   6.4349e-18
 3480.57   7.7428e-19   6.4349e-18
 3481.18   9.3826e-18   6.3746e-18
 3481.79   1.1136e-17   6.3746e-18
 3482.40   5.6295e-18   6.2698e-18
 3483.01   1.5027e-17   6.2698e-18
 3483.62   2.8851e-17   5.7765e-18
 3484.23   1.4206e-18   5.7765e-18
 3484.85   1.8863e-17   5.6977e-18
 3485.46   1.8151e-17   5.6977e-18
 3486.07   9.5961e-18   5.7344e-18
 3486.68  -6.6123e-19   5.7765e-18
 3487.29   1.2304e-18   5.7344e-18
 3487.90  -2.4282e-18   5.7765e-18
 3488.51   1.0859e-17   5.7765e-18
 3489.12   9.8122e-18   5.7765e-18
 3489.73  -2.8191e-19   5.7765e-18
 3490.34  -4.4395e-18   5.7765e-18
 3490.95   3.2489e-18   5.7344e-18
 3491.57   1.0973e-17   5.7765e-18
 3492.18   1.6942e-17   5.7344e-18
 3492.79   7.2322e-18   5.6977e-18
 3493.40   5.7430e-18   5.6877e-18
 3494.01   6.8956e-18   5.6877e-18
 3494.62   8.6123e-18   5.6877e-18
 3495.23   1.7201e-17   5.5573e-18
 3495.84   1.1721e-17   5.6877e-18
 3496.45   3.5857e-18   5.6977e-18
 3497.06  -1.6144e-18   5.6977e-18
 3497.68  -2.7401e-19   5.6877e-18
 3498.29   9.0448e-18   3.8029e-18
 3498.90   7.8493e-19   5.6977e-18
 3499.51  -2.8596e-18   5.7344e-18
 3500.12   8.3773e-20   5.7765e-18
 3500.73   3.1059e-18   5.7765e-18
 3501.34   9.6603e-18   5.7344e-18
 3501.95   8.0981e-18   5.7765e-18
 3502.56   1.0960e-17   5.8569e-18
 3503.17   1.0735e-17   6.2584e-18
 3503.79   9.8558e-18   6.1833e-18
 3504.40  -2.6863e-18   6.1833e-18
 3505.01  -2.2516e-18   5.8569e-18
 3505.62   3.1084e-18   5.8569e-18
 3506.23   3.2765e-18   6.1833e-18
 3506.84   1.7535e-17   5.8569e-18
 3507.45   1.8324e-17   5.7765e-18
 3508.06  -1.3226e-18   5.7765e-18
 3508.67  -1.2228e-17   5.7344e-18
 3509.28  -7.3208e-18   5.7344e-18
 3509.89   4.8372e-18   5.6877e-18
 3510.51   2.9191e-18   5.5340e-18
 3511.12  -3.3256e-18   5.4522e-18
 3511.73  -2.0574e-18   5.3167e-18
 3512.34  -3.3832e-18   5.4522e-18
 3512.95   3.7141e-18   5.4522e-18
 3513.56   7.4345e-18   5.4522e-18
 3514.17   9.7201e-18   5.3167e-18
 3514.78   1.1078e-17   5.3167e-18
 3515.39  -9.9801e-19   5.3167e-18
 3516.00   3.0529e-18   5.3167e-18
 3516.62   7.0585e-18   5.2980e-18
 3517.23   5.9100e-18   5.3167e-18
 3517.84  -6.7197e-19   5.2980e-18
 3518.45   4.0465e-18   5.2437e-18
 3519.06  -6.2973e-18   5.2437e-18
 3519.67   8.3790e-18   5.2980e-18
 3520.28   1.3142e-17   5.2980e-18
 3520.89  -9.5804e-19   5.2980e-18
 3521.50   1.2772e-18   5.2437e-18
 3522.11   5.9447e-18   5.2437e-18
 3522.72  -1.9783e-18   5.2980e-18
 3523.34  -1.0839e-17   5.2980e-18
 3523.95  -3.9220e-18   5.2980e-18
 3524.56   1.1661e-17   5.3167e-18
 3525.17   1.4544e-17   5.3288e-18
 3525.78   6.9920e-18   5.3288e-18
 3526.39   7.7340e-19   5.3167e-18
 3527.00   8.2920e-18   5.3167e-18
 3527.61   1.2822e-17   5.3167e-18
 3528.22   1.4575e-17   5.3167e-18
 3528.83   8.3166e-18   5.3167e-18
 3529.45  -9.5290e-19   5.3288e-18
 3530.06  -4.7509e-18   5.3494e-18
 3530.67  -1.9717e-18   5.3288e-18
 3531.28   7.6298e-18   5.3288e-18
 3531.89   1.7106e-17   5.3288e-18
 3532.50   1.8329e-17   5.3288e-18
 3533.11   1.6364e-17   5.3494e-18
 3533.72   1.3248e-17   5.3288e-18
 3534.33   1.2328e-17   5.3288e-18
 3534.94   1.1294e-17   5.3288e-18
 3535.56   3.1848e-18   5.3167e-18
 3536.17  -1.6182e-18   5.2980e-18
 3536.78   7.7587e-18   5.3167e-18
 3537.39   1.8225e-18   5.3167e-18
 3538.00   1.9715e-19   5.2980e-18
 3538.61   9.7040e-18   5.2980e-18
 3539.22   1.3727e-17   5.2980e-18
 3539.83   5.0809e-18   5.2437e-18
 3540.44   1.0004e-17   5.2407e-18
 3541.05   5.8231e-18   5.2407e-18
 3541.66   1.6463e-18   5.2407e-18
 3542.28   1.4697e-17   5.1859e-18
 3542.89   9.7240e-18   5.1144e-18
 3543.50   9.7735e-18   5.1144e-18
 3544.11   9.9053e-18   5.1144e-18
 3544.72   1.3385e-17   5.1144e-18
 3545.33   8.4059e-19   5.0205e-18
 3545.94  -1.9435e-18   4.9107e-18
 3546.55   8.9961e-18   5.0205e-18
 3547.16   2.0073e-17   5.1144e-18
 3547.77   1.0868e-17   5.1144e-18
 3548.39   8.3842e-18   5.1144e-18
 3549.00   1.3013e-17   5.1144e-18
 3549.61   1.0730e-17   5.1144e-18
 3550.22   9.8973e-18   5.0205e-18
 3550.83  -5.0563e-18   5.0205e-18
 3551.44   6.9867e-18   4.9107e-18
 3552.05   3.8815e-18   4.8984e-18
 3552.66  -6.7579e-19   4.8984e-18
 3553.27  -1.5820e-18   4.8984e-18
 3553.88  -7.8451e-19   4.7828e-18
 3554.49  -4.2123e-18   4.7664e-18
 3555.11  -6.4026e-18   4.5405e-18
 3555.72   4.7507e-19   4.5353e-18
 3556.33   4.9953e-18   4.5124e-18
 3556.94  -2.7635e-18   4.5124e-18
 3557.55   6.5092e-18   4.1677e-18
 3558.16   1.5844e-17   4.5124e-18
 3558.77   8.1766e-18   4.5124e-18
 3559.38  -7.7516e-18   4.5124e-18
 3559.99  -4.0384e-18   4.5353e-18
 3560.60   5.3985e-19   4.5353e-18
 3561.22  -1.8626e-18   4.5353e-18
 3561.83  -1.4360e-18   4.5353e-18
 3562.44   3.2551e-18   4.5405e-18
 3563.05  -4.8344e-18   4.5405e-18
 3563.66  -2.0740e-18   4.5405e-18
 3564.27   8.7725e-18   4.5405e-18
 3564.88   7.7094e-18   4.5353e-18
 3565.49   1.6795e-18   4.5124e-18
 3566.10  -3.0008e-18   4.5124e-18
 3566.71  -5.2981e-18   4.5124e-18
 3567.33   5.0981e-18   4.5124e-18
 3567.94   2.7562e-18   4.5353e-18
 3568.55   7.8555e-18   4.5124e-18
 3569.16   1.8385e-18   4.2609e-18
 3569.77   4.7998e-19   4.5124e-18
 3570.38   2.1121e-18   4.5124e-18
 3570.99   4.9995e-18   4.5124e-18
 3571.60   4.5362e-18   4.5124e-18
 3572.21  -2.2115e-18   4.5124e-18
 3572.82  -2.8207e-18   4.5124e-18
 3573.43  -7.6074e-18   4.3138e-18
 3574.05   2.3360e-19   4.3138e-18
 3574.66   6.4765e-18   4.3138e-18
 3575.27  -3.9850e-19   4.5124e-18
 3575.88  -2.4827e-18   4.3138e-18
 3576.49   1.0151e-17   4.2609e-18
 3577.10   1.3684e-17   4.1542e-18
 3577.71   4.0208e-18   4.1542e-18
 3578.32   1.8326e-18   4.1357e-18
 3578.93  -1.3808e-19   3.9311e-18
 3579.54  -6.7203e-19   4.1357e-18
 3580.16   9.0567e-19   3.9311e-18
 3580.77  -7.7542e-19   3.9311e-18
 3581.38   1.7622e-18   3.9311e-18
 3581.99   7.9468e-18   3.8822e-18
 3582.60  -1.1048e-18   3.9311e-18
 3583.21   3.1710e-18   3.9311e-18
 3583.82   6.3725e-18   3.8822e-18
 3584.43   5.4293e-19   3.8822e-18
 3585.04   1.6060e-18   3.8822e-18
 3585.65   2.0258e-18   3.8822e-18
 3586.26   7.5234e-18   3.8822e-18
 3586.88   7.3022e-18   3.9311e-18
 3587.49   6.5616e-18   4.1357e-18
 3588.10  -3.4931e-18   3.9935e-18
 3588.71   1.0238e-17   3.9935e-18
 3589.32   1.0920e-17   3.9311e-18
 3589.93   1.0270e-17   3.8822e-18
 3590.54   9.6271e-18   3.8513e-18
 3591.15   1.0910e-17   3.8513e-18
 3591.76  -7.8062e-20   3.8822e-18
 3592.37   1.3427e-17   3.9311e-18
 3592.99   1.0037e-17   3.9311e-18
 3593.60   1.0081e-17   3.9311e-18
 3594.21  -6.1313e-18   3.8822e-18
 3594.82   3.4282e-18   3.9311e-18
 3595.43   4.2626e-18   3.8822e-18
 3596.04   9.8571e-19   3.8822e-18
 3596.65   5.4921e-18   3.8822e-18
 3597.26   1.2491e-17   3.8822e-18
 3597.87  -2.2385e-19   3.8513e-18
 3598.48   6.5206e-19   3.8513e-18
 3599.09   8.4809e-18   3.8513e-18
 3599.71  -2.3199e-18   3.8513e-18
 3600.32  -6.3111e-19   3.8513e-18
 3600.93   7.5547e-18   3.8513e-18
 3601.54   8.4460e-18   3.8513e-18
 3602.15   9.8945e-19   3.8822e-18
 3602.76  -1.6118e-19   3.9311e-18
 3603.37   9.5970e-18   3.9857e-18
 3603.98   6.7164e-18   3.9448e-18
 3604.59   3.7385e-18   3.8822e-18
 3605.20  -7.3787e-18   3.8822e-18
 3605.82   1.3151e-18   3.8822e-18
 3606.43   7.7750e-18   3.9448e-18
 3607.04   3.4011e-18   3.8822e-18
 3607.65   5.4324e-18   3.8513e-18
 3608.26   7.9942e-18   3.7427e-18
 3608.87   2.1680e-18   3.7427e-18
 3609.48  -5.6089e-18   3.7427e-18
 3610.09   8.5429e-19   3.7427e-18
 3610.70   1.3927e-17   3.8513e-18
 3611.31   1.4528e-17   3.8822e-18
 3611.93   3.4628e-18   3.8513e-18
 3612.54  -1.0570e-18   3.8513e-18
 3613.15   2.9202e-18   3.7423e-18
 3613.76   5.7344e-18   3.7423e-18
 3614.37  -2.1783e-18   3.7423e-18
 3614.98   8.2686e-18   3.7423e-18
 3615.59   1.2066e-17   3.7423e-18
 3616.20   9.6156e-18   3.7423e-18
 3616.81   1.2991e-17   3.7423e-18
 3617.42   8.1211e-18   3.7047e-18
 3618.03  -9.5978e-19   3.7423e-18
 3618.65   6.0719e-18   3.8242e-18
 3619.26   6.1909e-18   3.8242e-18
 3619.87   3.4455e-18   3.8242e-18
 3620.48   2.4859e-18   3.7423e-18
 3621.09   7.0599e-18   3.7423e-18
 3621.70  -5.5449e-18   3.7423e-18
 3622.31  -6.7101e-18   3.6422e-18
 3622.92   1.2372e-18   3.6026e-18
 3623.53   2.3325e-19   3.5608e-18
 3624.14   5.3650e-18   3.5561e-18
 3624.76   1.3790e-17   3.4510e-18
 3625.37   3.8565e-18   3.4487e-18
 3625.98  -2.1990e-18   3.4487e-18
 3626.59   4.5445e-18   3.4487e-18
 3627.20  -1.9165e-18   3.4487e-18
 3627.81   4.2760e-18   3.4487e-18
 3628.42  -3.7523e-19   3.4482e-18
 3629.03   3.8219e-18   3.4042e-18
 3629.64   8.0244e-18   3.4042e-18
 3630.25   1.7894e-18   3.2461e-18
 3630.86   3.2227e-18   3.1739e-18
 3631.48   1.3403e-18   3.1168e-18
 3632.09  -2.9336e-18   3.1168e-18
 3632.70  -6.4784e-18   3.1168e-18
 3633.31  -3.0237e-18   3.1168e-18
 3633.92   6.7907e-18   2.9929e-18
 3634.53   5.2360e-18   2.9929e-18
 3635.14   1.3231e-18   2.9929e-18
 3635.75  -1.1398e-18   2.9929e-18
 3636.36  -4.1708e-18   2.9929e-18
 3636.97   3.9147e-18   2.9929e-18
 3637.59   1.1247e-18   2.9929e-18
 3638.20  -5.2307e-19   3.1168e-18
 3638.81   3.3278e-18   3.1168e-18
 3639.42   1.6429e-18   3.1612e-18
