 
TRANSIENT_NAME:     DES15C2nfs 
SNID:               1339450    
OBS_DATE:           2015-12-14
MJD:                57370. 
PHASE:              +1.    
MJD_MAX:            57368.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5510  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-N
INSTRUMENT:         GMOS-N
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 5420.00   1.0915e-18  ---
 5421.50   8.3117e-19  ---
 5423.00   2.7863e-19  ---
 5424.50   5.5223e-19  ---
 5426.00   1.8767e-18  ---
 5427.50   2.1482e-18  ---
 5429.00   2.6308e-18  ---
 5430.50   2.0017e-18  ---
 5432.00   1.6819e-18  ---
 5433.50   1.6422e-18  ---
 5435.00   8.7891e-19  ---
 5436.50   6.1081e-19  ---
 5438.00   1.2072e-18  ---
 5439.50   2.2370e-18  ---
 5441.00   1.4521e-18  ---
 5442.50   9.0921e-19  ---
 5444.00   7.6941e-19  ---
 5445.50  -1.1275e-19  ---
 5447.00   1.0376e-18  ---
 5448.50   1.1937e-18  ---
 5450.00   2.2612e-18  ---
 5451.50   1.6143e-18  ---
 5453.00   1.5265e-18  ---
 5454.50   1.3325e-18  ---
 5456.00   5.0587e-19  ---
 5457.50   1.5785e-18  ---
 5459.00   7.4993e-19  ---
 5460.50   2.4296e-18  ---
 5462.00   2.0719e-18  ---
 5463.50   3.5636e-19  ---
 5465.00   3.8062e-19  ---
 5466.50   1.1302e-18  ---
 5468.00   1.4957e-18  ---
 5469.50   1.2231e-18  ---
 5471.00   7.0515e-19  ---
 5472.50   1.3383e-18  ---
 5474.00   1.2325e-18  ---
 5475.50   1.9190e-18  ---
 5477.00   1.0342e-18  ---
 5478.50   1.7506e-18  ---
 5480.00   3.1611e-18  ---
 5481.50   8.2241e-19  ---
 5483.00   5.3674e-19  ---
 5484.50   1.2685e-18  ---
 5486.00   2.1378e-18  ---
 5487.50   2.4343e-18  ---
 5489.00   1.3714e-18  ---
 5490.50   2.1343e-18  ---
 5492.00   9.8990e-19  ---
 5493.50   1.5699e-19  ---
 5495.00   1.2865e-18  ---
 5496.50   5.4779e-19  ---
 5498.00   1.4808e-18  ---
 5499.50   1.6803e-18  ---
 5501.00   6.1334e-19  ---
 5502.50   3.0745e-19  ---
 5504.00   7.5071e-19  ---
 5505.50   4.6402e-19  ---
 5507.00   9.2581e-20  ---
 5508.50   9.3119e-19  ---
 5510.00   1.7940e-18  ---
 5511.50   1.3822e-18  ---
 5513.00   1.2288e-18  ---
 5514.50   2.0961e-18  ---
 5516.00   2.0009e-18  ---
 5517.50   1.1088e-18  ---
 5519.00   8.8608e-19  ---
 5520.50   1.2734e-18  ---
 5522.00   2.5544e-18  ---
 5523.50   1.5455e-18  ---
 5525.00   2.6069e-18  ---
 5526.50   2.1358e-18  ---
 5528.00   2.4455e-18  ---
 5529.50   1.0069e-18  ---
 5531.00   1.0567e-18  ---
 5532.50   1.1066e-18  ---
 5534.00   1.1564e-18  ---
 5535.50   1.2062e-18  ---
 5537.00   1.2560e-18  ---
 5538.50   1.3058e-18  ---
 5540.00   1.3556e-18  ---
 5541.50   1.3379e-18  ---
 5543.00   1.0071e-18  ---
 5544.50   1.5222e-18  ---
 5546.00   1.4082e-18  ---
 5547.50   1.6862e-18  ---
 5549.00   6.2993e-19  ---
 5550.50   5.9253e-20  ---
 5552.00   5.2814e-19  ---
 5553.50   7.3720e-19  ---
 5555.00   1.1496e-18  ---
 5556.50   9.4064e-19  ---
 5558.00   1.3629e-18  ---
 5559.50   9.2378e-19  ---
 5561.00   7.2576e-19  ---
 5562.50   1.8568e-18  ---
 5564.00   1.8641e-18  ---
 5565.50   1.6247e-18  ---
 5567.00   1.3305e-18  ---
 5568.50   4.2613e-19  ---
 5570.00   8.9620e-19  ---
 5571.50   2.8002e-18  ---
 5573.00   1.0392e-18  ---
 5574.50  -1.1533e-19  ---
 5576.00   1.7924e-18  ---
 5577.50   3.6919e-18  ---
 5579.00   1.9489e-18  ---
 5580.50   1.1452e-18  ---
 5582.00   2.0945e-18  ---
 5583.50   1.8556e-18  ---
 5585.00   1.0193e-18  ---
 5586.50   1.0503e-18  ---
 5588.00   1.5073e-18  ---
 5589.50   2.6789e-18  ---
 5591.00   3.0242e-18  ---
 5592.50   1.5814e-18  ---
 5594.00   1.0387e-18  ---
 5595.50   8.4399e-19  ---
 5597.00   3.7805e-19  ---
 5598.50   9.5738e-19  ---
 5600.00   1.7684e-18  ---
 5601.50   2.5127e-18  ---
 5603.00   1.1895e-18  ---
 5604.50   4.0709e-19  ---
 5606.00   1.4599e-18  ---
 5607.50   2.1905e-18  ---
 5609.00   1.8227e-18  ---
 5610.50   8.7518e-19  ---
 5612.00   1.0187e-18  ---
 5613.50   8.1608e-19  ---
 5615.00   1.2379e-18  ---
 5616.50   1.0060e-18  ---
 5618.00   9.1414e-19  ---
 5619.50   2.2268e-18  ---
 5621.00   1.0013e-18  ---
 5622.50   3.4903e-19  ---
 5624.00   1.3549e-18  ---
 5625.50   5.6851e-19  ---
 5627.00   5.5308e-19  ---
 5628.50   6.3475e-19  ---
 5630.00   1.8494e-18  ---
 5631.50   1.2329e-18  ---
 5633.00   5.4131e-19  ---
 5634.50   1.4896e-18  ---
 5636.00   2.1726e-18  ---
 5637.50   2.3872e-18  ---
 5639.00   2.1455e-18  ---
 5640.50   1.6324e-18  ---
 5642.00   2.1254e-18  ---
 5643.50   1.5908e-18  ---
 5645.00   8.9487e-19  ---
 5646.50   5.6540e-19  ---
 5648.00   8.2027e-19  ---
 5649.50   2.0584e-18  ---
 5651.00   1.7781e-18  ---
 5652.50   8.4588e-19  ---
 5654.00   1.2516e-18  ---
 5655.50   1.5690e-18  ---
 5657.00   1.8135e-18  ---
 5658.50   1.6420e-18  ---
 5660.00   1.9807e-18  ---
 5661.50   1.8438e-18  ---
 5663.00   1.5269e-18  ---
 5664.50   1.6256e-18  ---
 5666.00   1.3964e-18  ---
 5667.50   5.7829e-19  ---
 5669.00   9.7696e-19  ---
 5670.50   1.0335e-18  ---
 5672.00   1.3764e-18  ---
 5673.50   6.2355e-19  ---
 5675.00   4.9970e-19  ---
 5676.50   1.1625e-18  ---
 5678.00   1.4478e-18  ---
 5679.50   4.1480e-19  ---
 5681.00   7.1454e-19  ---
 5682.50   1.5111e-18  ---
 5684.00   1.4719e-18  ---
 5685.50   1.0910e-18  ---
 5687.00   7.6271e-19  ---
 5688.50   5.5525e-19  ---
 5690.00   1.0098e-18  ---
 5691.50   1.9202e-18  ---
 5693.00   1.7552e-18  ---
 5694.50   1.2982e-18  ---
 5696.00   8.1618e-19  ---
 5697.50   6.2015e-19  ---
 5699.00   9.4392e-19  ---
 5700.50   5.7106e-19  ---
 5702.00   6.8839e-19  ---
 5703.50   1.2006e-18  ---
 5705.00   5.1500e-20  ---
 5706.50   6.2916e-19  ---
 5708.00   1.2831e-18  ---
 5709.50   5.7998e-19  ---
 5711.00   1.2527e-18  ---
 5712.50   1.5531e-18  ---
 5714.00   4.8274e-19  ---
 5715.50   2.7937e-19  ---
 5717.00   1.3690e-18  ---
 5718.50   9.7688e-19  ---
 5720.00   2.0341e-19  ---
 5721.50   2.3361e-19  ---
 5723.00   5.5719e-19  ---
 5724.50   1.2880e-19  ---
 5726.00  -7.1989e-20  ---
 5727.50   8.2987e-19  ---
 5729.00   5.2638e-19  ---
 5730.50   7.7642e-19  ---
 5732.00   1.6549e-18  ---
 5733.50   1.1816e-18  ---
 5735.00   1.5977e-18  ---
 5736.50   9.8778e-19  ---
 5738.00   4.8623e-19  ---
 5739.50   1.7963e-18  ---
 5741.00   1.0730e-18  ---
 5742.50   4.0475e-20  ---
 5744.00   6.7365e-19  ---
 5745.50   2.3047e-18  ---
 5747.00   1.8979e-18  ---
 5748.50   1.4118e-18  ---
 5750.00   1.6968e-18  ---
 5751.50   1.7406e-18  ---
 5753.00   7.4060e-19  ---
 5754.50  -3.1207e-20  ---
 5756.00   5.5636e-19  ---
 5757.50   6.0418e-20  ---
 5759.00   5.0332e-19  ---
 5760.50   1.0268e-18  ---
 5762.00   8.1316e-19  ---
 5763.50   1.2121e-18  ---
 5765.00   1.8039e-18  ---
 5766.50   1.3200e-18  ---
 5768.00   6.6796e-19  ---
 5769.50   6.5792e-19  ---
 5771.00   1.1498e-18  ---
 5772.50   4.6709e-19  ---
 5774.00   1.4407e-19  ---
 5775.50   1.5515e-19  ---
 5777.00   2.8678e-19  ---
 5778.50   5.1092e-19  ---
 5780.00   3.2645e-19  ---
 5781.50   3.7409e-19  ---
 5783.00   4.9711e-19  ---
 5784.50   1.8116e-19  ---
 5786.00   1.3378e-18  ---
 5787.50   1.8569e-18  ---
 5789.00   1.1501e-18  ---
 5790.50   1.3574e-18  ---
 5792.00   1.5385e-18  ---
 5793.50   1.6542e-18  ---
 5795.00   1.7283e-18  ---
 5796.50   8.9049e-19  ---
 5798.00   7.6186e-19  ---
 5799.50   1.1268e-18  ---
 5801.00   1.0248e-18  ---
 5802.50   3.5706e-19  ---
 5804.00  -1.4215e-19  ---
 5805.50   4.6036e-19  ---
 5807.00   9.3242e-19  ---
 5808.50   5.3296e-19  ---
 5810.00   1.0665e-18  ---
 5811.50   9.9037e-19  ---
 5813.00   1.0991e-19  ---
 5814.50  -1.3431e-19  ---
 5816.00   7.4056e-19  ---
 5817.50   1.2622e-18  ---
 5819.00   1.1042e-18  ---
 5820.50   6.0479e-19  ---
 5822.00   6.5539e-19  ---
 5823.50   5.1116e-19  ---
 5825.00   7.6402e-19  ---
 5826.50   1.3796e-18  ---
 5828.00   1.6151e-18  ---
 5829.50   9.1182e-19  ---
 5831.00   1.2665e-18  ---
 5832.50   1.5572e-18  ---
 5834.00   1.3503e-18  ---
 5835.50   1.3423e-18  ---
 5837.00   5.7534e-19  ---
 5838.50   6.5466e-19  ---
