 
TRANSIENT_NAME:     DES15C2njv 
SNID:               1339392    
OBS_DATE:           2015-12-14
MJD:                57370. 
PHASE:              -0.    
MJD_MAX:            57370.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1810  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       0.3016       1.3662
 3757.75       0.3590       1.5088
 3758.79       0.6935       1.5337
 3759.83       0.9750       1.4917
 3760.87       1.2399       1.5299
 3761.90      -0.5839       1.2576
 3762.94       0.9671       1.3647
 3763.98       0.4679       1.3859
 3765.02       0.6980       1.3532
 3766.06       0.2419       1.2937
 3767.09       0.0737       1.2852
 3768.13       0.1974       1.3292
 3769.17      -0.7996       1.2413
 3770.21      -1.2737       1.2258
 3771.24       0.0547       1.3465
 3772.28       0.6092       1.3306
 3773.32       0.6162       1.3422
 3774.36      -1.5006       1.0914
 3775.40      -1.6826       1.0997
 3776.43      -2.0412       0.9937
 3777.47      -0.0867       1.2442
 3778.51       0.3883       1.2548
 3779.55       1.1996       1.2884
 3780.58       2.2443       1.4393
 3781.62       2.2569       1.4199
 3782.66       1.8791       1.3470
 3783.70       0.8250       1.2734
 3784.73       0.2930       1.1744
 3785.77       1.0637       1.2530
 3786.81       1.3880       1.2186
 3787.85      -0.3581       1.0255
 3788.89       0.1102       1.1489
 3789.92      -0.2425       1.1429
 3790.96      -0.5812       1.1070
 3792.00       0.2751       1.1662
 3793.04      -0.1927       1.0717
 3794.07       0.0915       1.0720
 3795.11       0.4538       1.0623
 3796.15      -0.0972       1.0389
 3797.19       0.6232       1.1033
 3798.23       1.2884       1.1225
 3799.26       0.7987       1.1056
 3800.30       1.6734       1.1289
 3801.34       1.5828       1.1488
 3802.38       1.5135       1.1314
 3803.41       1.0838       1.0522
 3804.45      -0.5375       0.8878
 3805.49      -0.5305       0.8367
 3806.53       0.3218       0.9041
 3807.57       0.9003       0.9511
 3808.60       1.2589       1.0043
 3809.64      -0.3371       0.8456
 3810.68      -0.4406       0.8008
 3811.72      -0.5500       0.8189
 3812.75      -0.3054       0.8523
 3813.79       0.8172       0.9371
 3814.83       1.7465       0.9795
 3815.87       0.7919       0.8799
 3816.90       0.5779       0.8748
 3817.94       0.9418       0.8665
 3818.98       0.5322       0.8321
 3820.02      -0.0454       0.7177
 3821.06       0.3202       0.7399
 3822.09       1.6814       0.8562
 3823.13       1.3458       0.7906
 3824.17       0.6564       0.6753
 3825.21      -0.7646       0.6126
 3826.24      -1.1746       0.5459
 3827.28       0.2020       0.6312
 3828.32       0.8789       0.7326
 3829.36       1.1986       0.7894
 3830.40      -0.4778       0.6600
 3831.43      -0.0571       0.6865
 3832.47       1.0676       0.7240
 3833.51       0.6805       0.6858
 3834.55       1.3477       0.6954
 3835.58       1.2393       0.6607
 3836.62       0.2294       0.5954
 3837.66       0.0277       0.5651
 3838.70       0.0205       0.5702
 3839.74       0.2440       0.5708
 3840.77       0.0323       0.5476
 3841.81       0.9769       0.6343
 3842.85       0.9155       0.6020
 3843.89      -0.4949       0.4935
 3844.92       0.2619       0.5493
 3845.96       0.8665       0.5522
 3847.00       0.6367       0.5383
 3848.04      -0.2883       0.4744
 3849.07      -0.2007       0.4609
 3850.11       0.9725       0.5537
 3851.15       1.1051       0.5867
 3852.19       1.4050       0.5649
 3853.23      -0.2209       0.4731
 3854.26      -0.7751       0.4404
 3855.30       0.0895       0.4950
 3856.34      -0.1707       0.4812
 3857.38       0.2191       0.4828
 3858.41      -0.4755       0.4184
 3859.45      -0.8733       0.3712
 3860.49       0.0424       0.4610
 3861.53       0.2286       0.4995
 3862.57       0.5493       0.5012
 3863.60       0.9252       0.4992
 3864.64       0.0767       0.4541
 3865.68       0.1769       0.4575
 3866.72       0.7045       0.4818
 3867.75      -0.2323       0.4357
 3868.79      -0.1982       0.4209
 3869.83       0.1643       0.4183
 3870.87       0.8326       0.4923
 3871.91       0.7051       0.5007
 3872.94       0.6955       0.4935
 3873.98       0.6039       0.4596
 3875.02      -0.0256       0.4327
 3876.06       0.0978       0.4174
 3877.09      -0.2810       0.3759
 3878.13       0.2257       0.4157
 3879.17       0.1876       0.4315
 3880.21      -0.1537       0.4145
 3881.24      -0.1388       0.4077
 3882.28       0.3071       0.4183
 3883.32       0.3245       0.4118
 3884.36       0.1323       0.3656
 3885.40       0.2309       0.3800
 3886.43       0.1452       0.3777
 3887.47      -0.2269       0.3180
 3888.51      -0.6609       0.3076
 3889.55       0.4445       0.3862
 3890.58       1.0213       0.4049
 3891.62       0.4846       0.3877
 3892.66       0.2337       0.3630
 3893.70       0.1807       0.3444
 3894.74       0.1600       0.3375
 3895.77      -0.2273       0.3007
 3896.81       0.2218       0.3156
 3897.85       0.4586       0.3487
 3898.89       0.4044       0.3487
 3899.92       0.2666       0.3318
 3900.96       0.4922       0.3522
 3902.00       0.7949       0.3947
 3903.04      -0.2747       0.3242
 3904.07       0.1844       0.3369
 3905.11       1.3820       0.4132
 3906.15       0.5904       0.3548
 3907.19       0.2758       0.3461
 3908.23       0.4603       0.3531
 3909.26       0.0934       0.3179
 3910.30       0.2413       0.3455
 3911.34       0.9443       0.3797
 3912.38       0.3202       0.3499
 3913.41       0.9339       0.3760
 3914.45       0.7813       0.3592
 3915.49       0.1516       0.3153
 3916.53       0.3094       0.2883
 3917.57       0.1225       0.2683
 3918.60       0.5289       0.2954
 3919.64       0.7653       0.3054
 3920.68       0.5942       0.2808
 3921.72       0.3003       0.2791
