 
TRANSIENT_NAME:     DES15C2oxn 
SNID:               1346956    
OBS_DATE:           2016-01-31
MJD:                57418. 
PHASE:              +4.    
MJD_MAX:            57412.4
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.3340  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-S
INSTRUMENT:         GMOS-S
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3783.93  -2.9191e-18  ---
 3785.43   6.4840e-18  ---
 3786.93  -2.1188e-18  ---
 3788.43  -4.4427e-18  ---
 3789.93  -2.4856e-18  ---
 3791.43  -1.7660e-17  ---
 3792.93  -4.2854e-18  ---
 3794.44  -1.6094e-18  ---
 3795.94   4.8876e-18  ---
 3797.44  -5.4155e-18  ---
 3798.94  -1.1717e-17  ---
 3800.44   2.6040e-17  ---
 3801.94   2.3895e-17  ---
 3803.45  -4.0064e-18  ---
 3804.95  -1.4514e-18  ---
 3806.45   1.0927e-17  ---
 3807.95   3.0103e-18  ---
 3809.45  -1.2090e-17  ---
 3810.95  -1.1100e-17  ---
 3812.45  -7.1672e-18  ---
 3813.96   1.2856e-17  ---
 3815.46   3.6548e-17  ---
 3816.96   1.9447e-17  ---
 3818.46   4.3941e-18  ---
 3819.96   1.8921e-17  ---
 3821.46   2.3797e-18  ---
 3822.96  -1.1707e-17  ---
 3824.47   6.3224e-18  ---
 3825.97   5.6231e-18  ---
 3827.47   7.6552e-18  ---
 3828.97  -1.0852e-18  ---
 3830.47  -2.3851e-17  ---
 3831.97  -1.2097e-17  ---
 3833.48   1.3996e-17  ---
 3834.98   2.2380e-17  ---
 3836.48   1.7166e-17  ---
 3837.98  -7.4989e-18  ---
 3839.48  -3.2024e-17  ---
 3840.98  -3.4521e-17  ---
 3842.48   8.0108e-18  ---
 3843.99   8.7793e-18  ---
 3845.49  -8.4491e-18  ---
 3846.99   7.6424e-18  ---
 3848.49   9.9825e-18  ---
 3849.99   2.7326e-18  ---
 3851.49  -5.4129e-18  ---
 3852.99   7.3346e-18  ---
 3854.50   2.1891e-17  ---
 3856.00  -6.5611e-19  ---
 3857.50  -5.1571e-18  ---
 3859.00  -1.1220e-17  ---
 3860.50  -3.9644e-19  ---
 3862.00   1.0976e-17  ---
 3863.51   6.5169e-18  ---
 3865.01   1.7055e-17  ---
 3866.51   1.4055e-17  ---
 3868.01  -9.6831e-18  ---
 3869.51   1.6875e-17  ---
 3871.01   1.9233e-17  ---
 3872.51   1.4716e-17  ---
 3874.02  -4.2838e-18  ---
 3875.52  -2.7419e-19  ---
 3877.02  -8.6330e-19  ---
 3878.52   1.0203e-17  ---
 3880.02   2.2533e-17  ---
 3881.52   1.2168e-17  ---
 3883.02  -5.0655e-18  ---
 3884.53  -4.6002e-18  ---
 3886.03   9.7167e-18  ---
 3887.53   1.8550e-17  ---
 3889.03   2.6241e-17  ---
 3890.53   2.1652e-17  ---
 3892.03   7.1658e-20  ---
 3893.54  -1.4959e-18  ---
 3895.04   2.0898e-17  ---
 3896.54   1.8801e-17  ---
 3898.04   9.9166e-18  ---
 3899.54  -3.0818e-18  ---
 3901.04   3.2885e-18  ---
 3902.54  -1.2327e-17  ---
 3904.05   4.0754e-18  ---
 3905.55  -6.2268e-18  ---
 3907.05   2.2469e-18  ---
 3908.55   1.7556e-17  ---
 3910.05   1.8246e-17  ---
