 
TRANSIENT_NAME:     DES15C2oxo 
SNID:               1346966    
OBS_DATE:           2016-02-07
MJD:                57425. 
PHASE:              +13.   
MJD_MAX:            57407.5
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.3360  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -0.2911      56.8937
 3757.75      -1.9000      56.0927
 3758.79      -4.4132      50.0207
 3759.83       4.3480      53.0382
 3760.87       6.2038      53.7202
 3761.90       3.5515      53.3506
 3762.94       0.9412      50.5521
 3763.98      -2.9684      47.0754
 3765.02       1.1085      49.5911
 3766.06       5.2519      49.6303
 3767.09       5.8345      49.7600
 3768.13       2.2689      49.3530
 3769.17       4.0954      53.2368
 3770.21       1.4143      49.9826
 3771.24      -2.8343      44.9920
 3772.28      -1.4057      46.4738
 3773.32      -5.5947      46.3029
 3774.36      -2.9167      44.9293
 3775.40       5.8322      51.0744
 3776.43       3.9351      47.3615
 3777.47       1.8046      46.9533
 3778.51      -0.7176      43.8343
 3779.55       4.1320      47.7331
 3780.58       9.3461      51.3626
 3781.62      -5.3842      40.0690
 3782.66      -2.1630      42.6745
 3783.70       4.8015      46.8778
 3784.73       2.1368      46.1789
 3785.77      -7.8016      40.3512
 3786.81      -9.5847      41.6861
 3787.85      -1.9842      41.4372
 3788.89       6.2986      44.1685
 3789.92      -4.1567      40.8468
 3790.96      -0.9269      41.1134
 3792.00       1.4720      41.6245
 3793.04      -2.8382      39.9501
 3794.07       1.7254      40.2321
 3795.11       8.5277      44.1500
 3796.15       6.4730      42.0393
 3797.19      -0.4985      35.8508
 3798.23      -3.8127      34.3791
 3799.26      -2.8637      36.2217
 3800.30      -2.7169      37.7650
 3801.34       1.7583      37.4452
 3802.38       5.9290      36.5229
 3803.41       0.1284      35.2358
 3804.45      -1.2901      33.1109
 3805.49      -6.2169      30.8920
 3806.53      -8.8998      30.9314
 3807.57       0.7151      34.1600
 3808.60       3.4531      32.2969
 3809.64       3.1135      31.9568
 3810.68       2.0412      30.6480
 3811.72      -0.7759      30.4860
 3812.75      -2.5853      30.1305
 3813.79      -1.4743      30.3049
 3814.83       2.4289      32.3268
 3815.87       2.7130      32.5667
 3816.90       2.0904      30.5503
 3817.94       0.2991      28.2069
 3818.98      -1.6456      27.8466
 3820.02       1.3915      28.6518
 3821.06      -0.4894      27.3216
 3822.09       0.4782      26.4145
 3823.13       1.3710      27.6125
 3824.17       5.5662      28.3870
 3825.21       2.9147      25.7672
 3826.24       4.5269      26.0631
 3827.28       2.8592      25.9782
 3828.32       5.6144      26.9488
 3829.36      -2.7772      24.9660
 3830.40       0.2565      26.2426
 3831.43       3.6181      26.8587
 3832.47       0.1994      24.2691
 3833.51      -4.1254      22.5969
 3834.55       4.2695      25.3219
 3835.58       7.9441      25.5344
 3836.62       4.5909      22.8076
 3837.66       2.4296      21.8820
 3838.70       2.1806      21.5054
 3839.74       1.6367      20.8591
 3840.77       0.5623      20.0802
 3841.81      -2.5182      18.6342
 3842.85      -8.5573      16.6125
 3843.89       8.0232      21.6940
 3844.92       6.5038      20.9131
 3845.96      -1.0695      19.5627
 3847.00       7.4181      21.5505
 3848.04       1.6899      18.6810
 3849.07      -1.9344      17.6189
 3850.11       4.4854      19.8049
 3851.15       1.2122      18.4317
 3852.19       0.2909      18.1019
 3853.23      -0.3002      17.3249
 3854.26       4.9559      18.6091
 3855.30       5.2196      19.6352
 3856.34       0.4989      16.9225
 3857.38       1.0233      16.9815
 3858.41       0.0135      16.5304
 3859.45       2.5681      17.7803
 3860.49       0.3745      16.6182
 3861.53      -3.9479      15.4197
 3862.57       4.1415      17.9709
 3863.60       1.8723      17.5653
 3864.64       0.1295      16.9593
 3865.68      -0.2116      16.5326
 3866.72      -0.3285      16.3538
 3867.75      -0.4270      16.8528
 3868.79       1.5110      17.8138
 3869.83       3.9299      17.7575
 3870.87       3.7195      16.4968
 3871.91       2.0841      16.1103
 3872.94      -2.7035      15.5667
 3873.98       0.0086      15.5612
 3875.02       2.8735      15.7824
 3876.06      -0.3400      14.7740
 3877.09      -1.4017      14.2301
 3878.13      -3.5260      14.0668
 3879.17      -5.5254      13.6280
 3880.21      -3.7486      12.9436
 3881.24      -0.2965      14.1029
 3882.28      -0.4571      14.6953
 3883.32      -0.4978      14.5773
 3884.36       1.7682      14.3460
 3885.40       0.6599      13.3422
 3886.43      -1.7452      12.2525
 3887.47       2.2222      13.3188
 3888.51       3.3280      13.8900
 3889.55       1.9206      13.7016
 3890.58      -0.7551      12.3323
 3891.62       2.1786      13.0678
 3892.66       8.9299      14.4332
 3893.70       0.2269      12.7617
 3894.74       0.4708      12.4506
 3895.77       3.8147      12.9490
 3896.81      -2.0192      11.3081
 3897.85       3.5599      12.9078
 3898.89       8.4894      14.3483
 3899.92       4.9920      13.3151
 3900.96       3.2605      13.0805
 3902.00       3.6842      12.9498
 3903.04      -2.0708      11.2436
 3904.07      -0.0304      11.8525
 3905.11       4.7626      13.3869
 3906.15       5.3016      13.4280
 3907.19       2.3485      13.5431
 3908.23       2.5617      13.7707
 3909.26       4.7513      13.2370
 3910.30       1.9830      12.9210
 3911.34      -1.1266      12.4418
 3912.38       3.5005      13.4049
 3913.41       0.0374      11.8948
 3914.45      -0.1952      12.5602
 3915.49       5.4879      12.7334
 3916.53       2.3020      10.5466
 3917.57       3.8935      11.2421
 3918.60       2.4042      11.3858
 3919.64      -0.6006      10.5574
 3920.68      -3.2028       9.4655
 3921.72      -3.3432       8.9255
 3922.75       2.0529       9.8196
 3923.79       5.2272      10.1660
 3924.83       2.2464       9.2025
 3925.87       3.2023       9.3293
 3926.91       2.2408       8.8524
 3927.94      -1.1864       7.3987
