 
TRANSIENT_NAME:     DES15C2sj  
SNID:               1283724    
OBS_DATE:           2015-09-09
MJD:                57274. 
PHASE:              +8.    
MJD_MAX:            57265.5
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.0700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3824.00  -2.2268e-19   1.9997e-19
 3827.05  -4.4707e-20   8.7721e-20
 3830.11   6.8331e-20   8.6637e-20
 3833.16   1.5660e-19   2.0003e-19
 3836.21   1.0970e-19   1.2219e-19
 3839.27   1.2645e-19   1.5458e-19
 3842.32   2.4730e-19   1.9234e-19
 3845.37   1.9725e-19   1.8908e-19
 3848.42   8.4574e-20   1.2344e-19
 3851.48   1.8917e-19   1.8809e-19
 3854.53   1.3975e-19   1.3794e-19
 3857.58  -1.4983e-19   1.7322e-19
 3860.64   3.1185e-20   8.5324e-20
 3863.69   1.9874e-19   1.9742e-19
 3866.74  -2.3932e-20   6.2520e-20
 3869.80  -2.7116e-19   1.8073e-19
 3872.85   5.0381e-20   8.6694e-20
 3875.90   7.9643e-20   1.0341e-19
 3878.96   2.5287e-20   5.8178e-20
 3882.01   1.7607e-19   1.8198e-19
 3885.06   5.5148e-20   1.2063e-19
 3888.12   8.6538e-20   1.1413e-19
 3891.17   3.5471e-20   9.2858e-20
 3894.22   2.2586e-19   1.8334e-19
 3897.27   2.1898e-19   1.9370e-19
 3900.33  -1.0215e-21   1.5223e-20
 3903.38  -2.2978e-20   8.3321e-20
 3906.43  -3.9383e-20   8.7480e-20
 3909.49   5.4363e-21   4.1179e-20
 3912.54  -7.2055e-20   1.0770e-19
 3915.59   1.7333e-19   1.6655e-19
 3918.65   3.0294e-19   2.2629e-19
 3921.70   7.3687e-20   1.1196e-19
 3924.75   1.5677e-19   1.9087e-19
 3927.81   3.0275e-19   1.9830e-19
 3930.86   1.5263e-19   1.6642e-19
 3933.91  -1.2025e-19   1.7084e-19
 3936.97  -7.7631e-20   1.1527e-19
 3940.02  -8.5822e-20   1.2439e-19
 3943.07  -3.4587e-20   7.9270e-20
 3946.12   6.5151e-20   1.1868e-19
 3949.18   1.3516e-19   1.6355e-19
 3952.23   1.6608e-19   1.6257e-19
 3955.28   2.6373e-20   6.6890e-20
 3958.34   1.1304e-19   1.4413e-19
 3961.39   4.9687e-20   1.0119e-19
 3964.44   2.4923e-19   2.0456e-19
 3967.50   1.9120e-19   2.1431e-19
 3970.55   4.5535e-21   3.4250e-20
 3973.60   5.2223e-20   9.2839e-20
 3976.66   3.1354e-19   2.2669e-19
 3979.71   2.8335e-19   1.8744e-19
 3982.76   1.9269e-19   1.9036e-19
 3985.82   1.5117e-19   1.8473e-19
 3988.87   5.2929e-21   4.1482e-20
 3991.92   1.6555e-19   1.5659e-19
 3994.98  -3.2214e-20   9.1815e-20
 3998.03   2.3224e-19   1.9293e-19
 4001.08   2.3793e-19   1.9020e-19
 4004.13   3.9538e-19   2.1607e-19
 4007.19   1.8115e-19   1.5596e-19
 4010.24   1.4771e-19   1.3652e-19
 4013.29   1.9568e-19   1.9361e-19
 4016.35   1.6111e-19   1.6227e-19
 4019.40   1.8526e-19   1.7222e-19
 4022.45   6.4249e-20   9.3382e-20
 4025.51   1.2150e-20   4.9369e-20
 4028.56   1.6916e-19   2.4766e-19
 4031.61   2.1351e-19   1.7517e-19
 4034.67   2.0132e-19   2.2023e-19
 4037.72  -3.4527e-21   2.3949e-20
 4040.77  -3.5754e-19   1.8850e-19
 4043.83   1.4382e-19   1.6853e-19
 4046.88   1.0984e-19   1.2596e-19
 4049.93   6.1438e-20   9.8587e-20
 4052.98  -1.3822e-19   1.2051e-19
 4056.04   8.6278e-21   4.8126e-20
 4059.09   5.0698e-20   9.8253e-20
 4062.14   1.9406e-19   1.8901e-19
 4065.20   1.3513e-19   1.4719e-19
 4068.25  -2.3315e-19   1.6812e-19
 4071.30   1.4322e-19   1.5084e-19
 4074.36   1.9443e-19   1.8738e-19
 4077.41   2.7071e-19   1.8369e-19
 4080.46   6.1512e-20   9.8456e-20
 4083.52   1.0180e-19   1.3528e-19
 4086.57   2.1585e-19   1.9928e-19
 4089.62   1.9679e-20   6.0179e-20
 4092.68   6.4300e-20   1.0453e-19
 4095.73   3.3358e-19   1.8588e-19
 4098.78   1.5114e-19   1.4758e-19
 4101.83   5.9044e-20   1.1753e-19
 4104.89   1.5713e-19   1.5389e-19
 4107.94   2.9947e-19   1.9836e-19
 4110.99   3.6947e-19   2.0140e-19
 4114.05   2.5717e-19   2.1304e-19
 4117.10   3.0802e-19   2.0606e-19
 4120.15   4.5555e-19   2.0001e-19
 4123.21   1.9851e-19   1.9322e-19
 4126.26   2.6400e-19   2.2438e-19
 4129.31   3.3568e-19   1.9489e-19
 4132.37   8.5765e-20   1.2386e-19
 4135.42   2.0959e-19   1.8474e-19
 4138.47   2.2709e-19   1.7701e-19
 4141.53   3.1091e-19   1.8569e-19
 4144.58   1.9206e-19   1.6847e-19
 4147.63   1.8016e-19   1.6015e-19
 4150.69  -1.0181e-19   1.3628e-19
 4153.74   2.9003e-19   1.7075e-19
 4156.79   4.9224e-19   1.9572e-19
 4159.84   3.9030e-19   2.1338e-19
 4162.90   3.8235e-19   2.0265e-19
 4165.95  -7.6630e-20   9.6522e-20
 4169.00   4.6329e-20   7.3899e-20
 4172.06   1.6994e-19   1.6693e-19
 4175.11   2.7587e-19   1.7617e-19
 4178.16   2.7058e-20   6.8620e-20
 4181.22   3.2409e-19   2.0484e-19
 4184.27   2.8657e-19   1.6705e-19
 4187.32   2.6687e-19   1.9005e-19
 4190.38   9.9548e-20   1.3350e-19
 4193.43  -4.0331e-20   6.6001e-20
 4196.48   3.2916e-19   1.6726e-19
 4199.54   3.5229e-19   1.8642e-19
 4202.59   2.6857e-19   1.6019e-19
 4205.64   3.5872e-19   1.7139e-19
 4208.69   3.7734e-19   1.7729e-19
 4211.75   2.4235e-19   1.5760e-19
 4214.80   2.7229e-19   1.4955e-19
 4217.85   3.3824e-19   2.0482e-19
 4220.91   1.5344e-19   1.5502e-19
 4223.96   1.9213e-19   1.7034e-19
 4227.01   3.0538e-19   1.7081e-19
 4230.07   3.1810e-19   1.9174e-19
 4233.12   1.8493e-19   1.5523e-19
 4236.17   2.9418e-19   1.6816e-19
 4239.23   5.3882e-19   1.8298e-19
 4242.28   3.3668e-19   1.8425e-19
 4245.33   1.6496e-19   1.3690e-19
 4248.39   3.7734e-19   1.9386e-19
 4251.44   3.2625e-19   1.6958e-19
 4254.49   3.9527e-19   1.8627e-19
 4257.55   4.3262e-19   2.1535e-19
 4260.60   4.1151e-19   2.0313e-19
 4263.65   3.5213e-19   1.6473e-19
 4266.70   3.0377e-19   1.7626e-19
 4269.76   3.1553e-19   1.8331e-19
 4272.81   2.5933e-19   1.7064e-19
 4275.86   2.7111e-19   1.8979e-19
 4278.92   2.1339e-19   1.8266e-19
 4281.97   2.8141e-19   1.8680e-19
 4285.02   2.2779e-19   1.8939e-19
 4288.08   1.7999e-19   1.7433e-19
 4291.13   3.1404e-19   1.8987e-19
 4294.18   3.3717e-19   1.7416e-19
 4297.24   1.9515e-19   1.5938e-19
 4300.29   6.3932e-20   8.7346e-20
 4303.34   2.2947e-19   1.4945e-19
 4306.40   3.1088e-19   1.9364e-19
 4309.45   2.0235e-19   1.7798e-19
 4312.50   2.8168e-19   1.6594e-19
 4315.55   3.7442e-19   1.6664e-19
 4318.61   2.6608e-19   1.7678e-19
 4321.66   2.6512e-19   1.7267e-19
 4324.71   2.2685e-19   1.6203e-19
 4327.77   2.0661e-19   1.7717e-19
 4330.82   3.1493e-19   1.7655e-19
 4333.87   1.7181e-19   1.6848e-19
 4336.93   6.3380e-20   1.0842e-19
 4339.98   1.9013e-19   1.5970e-19
 4343.03   2.6847e-19   1.6407e-19
 4346.09   3.0860e-19   1.6060e-19
 4349.14   1.7174e-19   1.7093e-19
 4352.19   1.5152e-20   4.0558e-20
 4355.25   9.0491e-20   9.9737e-20
 4358.30   2.4721e-19   2.0227e-19
 4361.35   1.7314e-19   1.6732e-19
 4364.41   2.2136e-19   1.5746e-19
 4367.46   3.3284e-19   1.7335e-19
 4370.51   2.7849e-19   1.6211e-19
 4373.56   2.6228e-19   1.6095e-19
 4376.62   3.2076e-19   1.6410e-19
 4379.67   3.5225e-19   1.6885e-19
 4382.72   3.7277e-19   1.7138e-19
 4385.78   2.2557e-19   1.6087e-19
 4388.83   2.6011e-19   1.5956e-19
 4391.88   2.9073e-19   1.7746e-19
 4394.94   3.7884e-20   7.8393e-20
 4397.99  -1.5606e-19   1.2783e-19
 4401.04   2.7906e-21   1.8964e-20
 4404.10   3.0752e-19   1.8230e-19
 4407.15   1.2393e-19   1.3304e-19
 4410.20   9.7494e-20   1.5005e-19
 4413.26   1.8051e-19   1.6267e-19
 4416.31   2.5825e-19   1.9553e-19
 4419.36   1.6224e-19   1.4328e-19
