 
TRANSIENT_NAME:     DES15C3axd 
SNID:               1289600    
OBS_DATE:           2015-09-20
MJD:                57285. 
PHASE:              +2.    
MJD_MAX:            57282.7
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.4200  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       2.0589      34.6765
 3757.75       3.0811      34.4621
 3758.79      13.0840      36.8304
 3759.83       7.4749      34.8428
 3760.87       7.7765      32.4032
 3761.90       3.7455      29.5079
 3762.94      -0.0075      27.8234
 3763.98      -5.4834      25.6626
 3765.02      -7.0546      25.1877
 3766.06       3.8008      30.1072
 3767.09       7.6418      31.6353
 3768.13       0.7215      28.3124
 3769.17       2.2553      27.9145
 3770.21       3.7642      29.2104
 3771.24       1.5832      29.0528
 3772.28       7.2931      31.6288
 3773.32       3.9767      30.9215
 3774.36       3.7615      30.0716
 3775.40       2.2698      29.0167
 3776.43      -2.4600      26.0074
 3777.47      -4.5939      25.4657
 3778.51       0.4590      27.5957
 3779.55      -1.1535      26.7597
 3780.58      -2.3719      25.8795
 3781.62      -2.7669      25.4272
 3782.66      -3.5426      27.5663
 3783.70      -3.8980      31.7438
 3784.73      -2.5434      25.3663
 3785.77       4.7659      27.9396
 3786.81      10.1935      29.5219
 3787.85       8.3236      28.3423
 3788.89       4.0873      26.4832
 3789.92      -4.1790      23.7732
 3790.96      -4.6499      23.7887
 3792.00       2.7055      27.2538
 3793.04       4.4304      27.2918
 3794.07       2.4373      24.6241
 3795.11      -2.7280      23.0995
 3796.15      -1.2808      21.3558
 3797.19       2.0589      22.5388
 3798.23      -1.4250      21.3535
 3799.26      -2.1341      19.8842
 3800.30       1.2163      22.4727
 3801.34       2.0019      21.9442
 3802.38       0.1693      21.0728
 3803.41      -3.8442      21.0492
 3804.45      -1.4903      19.9354
 3805.49       1.1536      19.7854
 3806.53       3.2773      20.6626
 3807.57       0.4329      19.6383
 3808.60      -4.8712      17.5061
 3809.64      -1.9870      18.7495
 3810.68       1.1342      18.8042
 3811.72      -2.8372      17.6905
 3812.75       3.6460      20.3837
 3813.79       6.6996      20.9393
 3814.83       0.0070      18.0999
 3815.87       7.0537      21.5743
 3816.90       4.8542      19.9200
 3817.94      -0.6320      18.0117
 3818.98       3.8124      18.9699
 3820.02       7.1146      18.9334
 3821.06      -0.9395      15.5560
 3822.09      -4.5778      14.7306
 3823.13       0.2175      15.8715
 3824.17       2.1017      16.3534
 3825.21       1.7263      15.8257
 3826.24       2.4676      15.6454
 3827.28      -0.4269      15.3119
 3828.32      -1.9488      16.9539
 3829.36       1.7130      17.8196
 3830.40      -0.3545      16.3750
 3831.43       4.0740      17.9449
 3832.47       3.8433      17.4433
 3833.51       0.4151      16.7955
 3834.55      -0.3888      15.4529
 3835.58      -0.7030      14.9399
 3836.62      -3.8514      13.8613
 3837.66      -1.4615      14.2536
 3838.70       2.8419      16.7034
 3839.74       0.0870      14.0084
 3840.77       1.2414      13.7817
 3841.81       3.1263      14.3973
 3842.85      -1.9042      11.9963
 3843.89      -3.8396      11.3186
 3844.92      -2.2953      12.5938
 3845.96      -1.8952      12.3526
 3847.00      -2.7317      11.6314
 3848.04      -2.2385      11.7903
 3849.07       3.5370      12.9095
 3850.11       5.2274      13.9497
 3851.15       2.4628      13.2646
 3852.19      -3.9671      10.9869
 3853.23       1.0625      11.4028
 3854.26       1.9256      11.7946
 3855.30       1.8661      12.0219
 3856.34      -0.1123      11.2321
 3857.38       2.1162      11.4655
 3858.41       6.0039      11.6460
 3859.45       3.8111      11.1548
 3860.49       2.2923      11.4007
 3861.53      -3.4161      10.0063
 3862.57      -1.8787      10.4700
 3863.60      -4.3272      10.3011
 3864.64      -2.4217      10.6177
 3865.68       5.7601      11.6384
 3866.72       2.9085      11.0433
 3867.75       1.2429      10.8214
 3868.79       3.2544      11.3425
 3869.83       3.4447      11.1797
 3870.87       1.1234      10.1802
 3871.91       2.2928      10.1027
 3872.94       1.9033      10.4654
 3873.98      -0.6015      10.7999
 3875.02       3.2179      12.7027
 3876.06       6.1139      12.2877
 3877.09       3.5803      10.6620
 3878.13      -0.6181       9.8683
 3879.17      -1.3005       9.9253
 3880.21      -2.0370       9.6853
 3881.24       2.0369      10.3140
 3882.28       0.0588       9.6621
 3883.32      -0.6557       9.4731
 3884.36      -2.0986       8.8379
 3885.40      -3.3102       8.2309
 3886.43       0.8598       9.4933
 3887.47      -2.1321      10.0448
 3888.51       1.1934       9.9642
 3889.55       2.0472       9.5630
 3890.58       0.3097       8.8091
 3891.62       0.7174       8.7639
 3892.66      -0.7261       8.5097
 3893.70      -2.1183       8.1194
 3894.74       1.5692       8.9390
 3895.77       3.2747       9.2223
 3896.81      -0.0735       8.8428
 3897.85      -0.5778       8.8167
 3898.89       0.2821       8.7726
 3899.92       2.6219       9.4743
