 
TRANSIENT_NAME:     DES15C3efn 
SNID:               1308884    
OBS_DATE:           2015-10-04
MJD:                57299. 
PHASE:              +5.    
MJD_MAX:            57293.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.0770  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3863.80   6.9724e-19   2.0494e-19
 3866.80   6.8729e-19   2.0183e-19
 3869.80   7.1787e-19   2.1133e-19
 3872.80   9.8843e-19   2.1673e-19
 3875.80   1.0291e-18   2.1821e-19
 3878.80   9.2055e-19   2.1682e-19
 3881.80   9.6622e-19   2.3580e-19
 3884.80   9.1413e-19   2.1125e-19
 3887.80   7.6325e-19   2.0427e-19
 3890.80   7.0243e-19   2.0662e-19
 3893.80   8.9308e-19   2.1773e-19
 3896.80   8.9339e-19   2.2939e-19
 3899.80   9.1424e-19   2.2211e-19
 3902.80   1.0204e-18   2.2796e-19
 3905.81   9.8568e-19   2.3137e-19
 3908.81   9.5788e-19   2.3582e-19
 3911.81   8.2547e-19   2.3790e-19
 3914.81   7.5289e-19   2.3252e-19
 3917.81   9.3778e-19   2.3802e-19
 3920.81   9.5441e-19   2.3320e-19
 3923.81   1.0190e-18   2.3336e-19
 3926.81   1.1178e-18   2.2765e-19
 3929.81   1.2844e-18   2.2952e-19
 3932.81   1.2466e-18   2.1931e-19
 3935.81   1.3458e-18   2.1584e-19
 3938.81   1.3272e-18   2.1530e-19
 3941.81   1.3689e-18   2.1992e-19
 3944.81   1.4287e-18   2.2852e-19
 3947.81   1.4180e-18   2.3100e-19
 3950.81   1.3630e-18   2.3118e-19
 3953.81   1.4261e-18   2.2768e-19
 3956.82   1.3775e-18   2.2925e-19
 3959.82   1.2675e-18   2.2190e-19
 3962.82   1.3823e-18   2.1723e-19
 3965.82   1.3363e-18   2.1263e-19
 3968.82   1.1391e-18   2.0715e-19
 3971.82   1.0813e-18   2.0440e-19
 3974.82   1.1536e-18   2.0860e-19
 3977.82   1.1518e-18   2.2326e-19
 3980.82   1.0814e-18   2.3506e-19
 3983.82   1.1350e-18   2.2443e-19
 3986.82   1.0664e-18   2.1120e-19
 3989.82   1.1868e-18   2.1363e-19
 3992.82   9.6089e-19   2.0447e-19
 3995.82   1.0204e-18   2.1565e-19
 3998.82   1.1391e-18   2.1781e-19
 4001.82   1.1541e-18   2.2480e-19
 4004.82   1.0660e-18   2.2121e-19
 4007.83   9.6664e-19   2.1460e-19
 4010.83   1.1252e-18   2.2411e-19
 4013.83   1.3289e-18   2.2235e-19
 4016.83   1.1820e-18   2.1960e-19
 4019.83   1.1388e-18   2.2399e-19
 4022.83   1.1706e-18   2.2275e-19
 4025.83   1.2132e-18   2.2036e-19
 4028.83   1.2113e-18   2.1957e-19
 4031.83   1.0703e-18   2.2122e-19
 4034.83   9.1385e-19   2.1538e-19
 4037.83   8.1599e-19   2.0847e-19
 4040.83   9.7345e-19   2.1289e-19
 4043.83   1.0776e-18   2.1768e-19
 4046.83   1.1442e-18   2.1662e-19
 4049.83   1.1726e-18   2.1680e-19
 4052.83   1.1465e-18   2.1599e-19
 4055.83   1.0958e-18   2.1476e-19
 4058.84   1.3049e-18   2.1936e-19
 4061.84   1.4212e-18   2.1947e-19
 4064.84   1.3987e-18   2.1916e-19
 4067.84   1.2110e-18   2.2361e-19
 4070.84   1.0913e-18   2.2014e-19
 4073.84   1.0867e-18   2.2276e-19
 4076.84   1.2366e-18   2.2348e-19
 4079.84   1.2641e-18   2.2326e-19
 4082.84   1.2254e-18   2.2318e-19
 4085.84   1.3121e-18   2.2111e-19
 4088.84   1.2947e-18   2.2339e-19
 4091.84   1.2878e-18   2.2316e-19
 4094.84   1.5936e-18   2.2222e-19
 4097.84   1.5490e-18   2.2999e-19
 4100.84   1.4783e-18   2.2267e-19
 4103.84   1.3108e-18   2.1389e-19
 4106.84   1.5981e-18   2.2201e-19
 4109.85   1.8575e-18   2.2884e-19
 4112.85   1.6953e-18   2.1893e-19
 4115.85   1.7021e-18   2.1671e-19
 4118.85   1.6887e-18   2.1760e-19
 4121.85   1.6421e-18   2.2086e-19
 4124.85   1.6497e-18   2.2655e-19
 4127.85   1.5981e-18   2.2552e-19
 4130.85   1.7157e-18   2.1704e-19
 4133.85   1.8962e-18   2.2000e-19
 4136.85   2.0472e-18   2.2207e-19
 4139.85   2.1680e-18   2.2586e-19
 4142.85   2.1619e-18   2.2386e-19
 4145.85   2.1878e-18   2.2282e-19
 4148.85   2.1828e-18   2.3082e-19
 4151.85   2.2610e-18   2.3219e-19
 4154.85   2.4470e-18   2.3106e-19
 4157.85   2.6611e-18   2.2890e-19
 4160.86   2.6810e-18   2.2786e-19
 4163.86   2.5698e-18   2.3012e-19
 4166.86   2.8684e-18   2.3076e-19
 4169.86   3.0212e-18   2.3476e-19
 4172.86   3.0403e-18   2.3631e-19
 4175.86   3.0201e-18   2.3464e-19
 4178.86   3.0704e-18   2.4126e-19
 4181.86   3.0832e-18   2.4207e-19
 4184.86   2.8586e-18   2.3618e-19
 4187.86   2.9931e-18   2.3877e-19
 4190.86   3.1516e-18   2.3570e-19
 4193.86   3.2404e-18   2.3485e-19
 4196.86   3.2903e-18   2.3320e-19
 4199.86   3.2245e-18   2.3203e-19
 4202.86   3.2686e-18   2.3461e-19
 4205.86   3.4096e-18   2.3437e-19
 4208.86   3.4613e-18   2.3277e-19
 4211.87   3.5389e-18   2.3418e-19
 4214.87   3.6311e-18   2.3355e-19
 4217.87   3.5038e-18   2.2857e-19
 4220.87   3.5259e-18   2.2906e-19
 4223.87   3.6919e-18   2.3079e-19
 4226.87   3.7799e-18   2.3136e-19
 4229.87   3.7046e-18   2.3435e-19
 4232.87   3.4835e-18   2.3118e-19
 4235.87   3.5104e-18   2.2623e-19
 4238.87   3.7432e-18   2.3067e-19
 4241.87   3.8999e-18   2.3434e-19
 4244.87   3.7112e-18   2.2945e-19
 4247.87   3.8820e-18   2.3523e-19
 4250.87   3.6634e-18   2.3371e-19
 4253.87   3.7354e-18   2.3323e-19
 4256.87   3.9108e-18   2.3251e-19
 4259.88   3.5812e-18   2.2879e-19
 4262.88   3.7584e-18   2.2914e-19
 4265.88   3.3287e-18   2.2323e-19
 4268.88   3.1599e-18   2.2828e-19
 4271.88   3.1052e-18   2.2369e-19
 4274.88   3.0073e-18   2.2132e-19
 4277.88   3.0270e-18   2.1739e-19
 4280.88   3.1364e-18   2.2000e-19
 4283.88   3.0746e-18   2.1604e-19
 4286.88   2.9209e-18   2.1512e-19
 4289.88   2.6238e-18   2.1155e-19
 4292.88   2.7227e-18   2.0791e-19
 4295.88   2.7800e-18   2.0925e-19
 4298.88   2.6815e-18   2.0631e-19
 4301.88   2.6282e-18   2.0554e-19
 4304.88   2.7809e-18   2.0635e-19
 4307.88   2.7871e-18   2.0791e-19
 4310.89   2.7088e-18   2.0632e-19
 4313.89   2.7386e-18   2.0737e-19
 4316.89   2.5227e-18   2.0497e-19
 4319.89   2.5876e-18   2.0542e-19
 4322.89   2.6554e-18   2.0390e-19
 4325.89   2.5105e-18   2.0453e-19
 4328.89   2.6291e-18   2.0591e-19
 4331.89   2.7464e-18   2.0871e-19
 4334.89   2.6954e-18   2.0664e-19
 4337.89   2.6707e-18   2.0438e-19
 4340.89   2.6401e-18   2.0196e-19
 4343.89   2.6342e-18   2.0383e-19
 4346.89   2.5767e-18   2.0312e-19
 4349.89   2.6923e-18   2.0298e-19
 4352.89   2.6488e-18   2.0475e-19
 4355.89   2.7721e-18   2.0480e-19
 4358.89   2.6662e-18   2.0381e-19
 4361.90   2.8014e-18   2.0523e-19
 4364.90   2.7873e-18   2.0818e-19
 4367.90   3.1019e-18   2.0753e-19
 4370.90   3.1225e-18   2.0968e-19
 4373.90   3.1918e-18   2.1087e-19
 4376.90   3.3374e-18   2.1046e-19
 4379.90   3.2339e-18   2.0928e-19
 4382.90   3.1666e-18   2.0722e-19
 4385.90   3.2881e-18   2.0685e-19
 4388.90   3.1317e-18   2.0254e-19
 4391.90   3.2252e-18   2.0399e-19
 4394.90   3.3092e-18   2.0500e-19
 4397.90   3.2108e-18   2.0502e-19
 4400.90   3.3784e-18   2.0978e-19
 4403.90   3.3007e-18   2.0889e-19
 4406.90   3.1918e-18   2.0973e-19
 4409.90   3.3390e-18   2.1152e-19
 4412.91   3.2685e-18   2.1042e-19
 4415.91   3.1069e-18   2.0955e-19
 4418.91   3.2151e-18   2.0995e-19
 4421.91   3.2507e-18   2.1091e-19
 4424.91   3.2230e-18   2.0915e-19
 4427.91   3.0714e-18   2.0547e-19
 4430.91   2.7274e-18   2.0057e-19
 4433.91   2.3804e-18   1.9762e-19
 4436.91   2.7551e-18   2.1064e-19
 4439.91   3.1281e-18   2.1174e-19
 4442.91   3.2442e-18   2.0518e-19
 4445.91   3.1592e-18   2.0260e-19
 4448.91   3.0915e-18   2.0275e-19
 4451.91   3.0800e-18   2.0032e-19
 4454.91   3.0741e-18   2.0006e-19
 4457.91   3.2206e-18   2.0114e-19
 4460.91   3.3321e-18   2.0288e-19
 4463.92   3.3446e-18   2.0221e-19
 4466.92   3.3842e-18   2.0112e-19
 4469.92   3.3390e-18   1.9970e-19
 4472.92   3.2713e-18   1.9923e-19
 4475.92   3.2374e-18   2.0025e-19
 4478.92   3.2840e-18   1.9903e-19
 4481.92   3.3402e-18   1.9770e-19
 4484.92   3.5377e-18   2.0173e-19
 4487.92   3.6371e-18   2.0256e-19
 4490.92   3.5312e-18   2.0057e-19
 4493.92   3.4272e-18   1.9990e-19
 4496.92   3.4013e-18   1.9910e-19
 4499.92   3.5655e-18   2.0029e-19
 4502.92   3.6424e-18   2.0154e-19
 4505.92   3.5730e-18   1.9906e-19
 4508.92   3.5913e-18   1.9854e-19
 4511.92   3.7261e-18   2.0049e-19
 4514.93   3.6453e-18   2.0082e-19
 4517.93   3.5223e-18   1.9994e-19
 4520.93   3.4712e-18   2.0029e-19
 4523.93   3.4217e-18   2.0036e-19
 4526.93   3.4623e-18   1.9886e-19
 4529.93   3.6038e-18   2.0145e-19
 4532.93   3.6087e-18   2.0197e-19
 4535.93   3.4525e-18   2.0043e-19
 4538.93   3.5973e-18   2.0278e-19
 4541.93   3.6005e-18   2.0301e-19
 4544.93   3.5809e-18   2.0270e-19
 4547.93   3.6024e-18   2.0254e-19
 4550.93   3.4524e-18   1.9849e-19
 4553.93   3.3564e-18   1.9556e-19
 4556.93   3.4502e-18   1.9554e-19
 4559.93   3.4029e-18   1.9554e-19
 4562.93   3.4912e-18   1.9582e-19
 4565.94   3.3786e-18   1.9369e-19
 4568.94   3.3560e-18   1.8964e-19
 4571.94   3.4264e-18   1.9082e-19
 4574.94   3.4571e-18   1.9151e-19
 4577.94   3.4928e-18   1.9084e-19
 4580.94   3.5456e-18   1.9220e-19
 4583.94   3.4765e-18   1.9120e-19
 4586.94   3.3949e-18   1.9372e-19
 4589.94   3.3177e-18   1.9310e-19
 4592.94   3.1686e-18   1.8843e-19
 4595.94   3.1179e-18   1.8768e-19
 4598.94   2.9834e-18   1.8469e-19
 4601.94   2.8634e-18   1.8331e-19
 4604.94   2.9980e-18   1.8781e-19
 4607.94   3.0236e-18   1.8626e-19
 4610.94   2.7462e-18   1.8100e-19
 4613.94   2.6510e-18   1.7976e-19
 4616.95   2.6400e-18   1.8156e-19
 4619.95   2.4620e-18   1.7793e-19
 4622.95   2.4075e-18   1.7781e-19
 4625.95   2.4651e-18   1.7727e-19
 4628.95   2.2945e-18   1.7451e-19
 4631.95   2.2028e-18   1.7412e-19
 4634.95   2.3364e-18   1.7779e-19
 4637.95   2.3333e-18   1.7516e-19
 4640.95   2.3380e-18   1.7359e-19
 4643.95   2.4907e-18   1.7601e-19
 4646.95   2.5153e-18   1.7739e-19
 4649.95   2.5248e-18   1.7520e-19
 4652.95   2.6209e-18   1.7824e-19
 4655.95   2.4237e-18   1.7372e-19
 4658.95   2.3920e-18   1.7342e-19
 4661.95   2.4459e-18   1.7244e-19
 4664.95   2.4820e-18   1.7505e-19
 4667.96   2.4484e-18   1.7649e-19
 4670.96   2.5374e-18   1.7666e-19
 4673.96   2.5257e-18   1.7477e-19
 4676.96   2.1698e-18   1.7058e-19
 4679.96   2.2133e-18   1.7276e-19
 4682.96   2.4473e-18   1.7487e-19
 4685.96   2.3186e-18   1.7472e-19
 4688.96   2.2982e-18   1.7295e-19
 4691.96   2.2921e-18   1.7505e-19
 4694.96   2.5552e-18   1.7368e-19
 4697.96   2.4355e-18   1.7318e-19
 4700.96   2.7641e-18   1.7586e-19
 4703.96   2.4916e-18   1.6989e-19
 4706.96   2.3638e-18   1.7007e-19
 4709.96   2.2460e-18   1.6738e-19
 4712.96   2.2250e-18   1.6698e-19
 4715.96   2.2550e-18   1.6837e-19
 4718.97   2.2315e-18   1.6702e-19
 4721.97   2.2329e-18   1.6798e-19
 4724.97   2.2795e-18   1.6689e-19
 4727.97   2.1923e-18   1.6693e-19
 4730.97   2.3037e-18   1.6572e-19
 4733.97   2.3458e-18   1.6804e-19
 4736.97   2.2949e-18   1.6520e-19
 4739.97   2.0607e-18   1.6118e-19
 4742.97   2.0603e-18   1.6134e-19
 4745.97   2.1073e-18   1.6196e-19
 4748.97   2.2174e-18   1.6342e-19
 4751.97   2.1622e-18   1.6186e-19
 4754.97   2.2200e-18   1.6248e-19
 4757.97   2.2847e-18   1.6319e-19
 4760.97   2.2673e-18   1.6209e-19
 4763.97   2.3056e-18   1.6302e-19
 4766.97   2.4442e-18   1.6337e-19
 4769.98   2.4239e-18   1.6352e-19
 4772.98   2.4210e-18   1.6321e-19
 4775.98   2.4563e-18   1.6536e-19
 4778.98   2.4895e-18   1.6408e-19
 4781.98   2.4948e-18   1.6481e-19
 4784.98   2.4901e-18   1.6526e-19
 4787.98   2.4238e-18   1.6362e-19
 4790.98   2.3916e-18   1.6117e-19
 4793.98   2.3701e-18   1.6118e-19
 4796.98   2.5984e-18   1.6488e-19
 4799.98   2.5639e-18   1.6319e-19
 4802.98   2.5056e-18   1.6380e-19
 4805.98   2.3628e-18   1.6220e-19
 4808.98   2.5626e-18   1.6473e-19
 4811.98   2.7460e-18   1.6850e-19
 4814.98   2.8410e-18   1.6957e-19
 4817.98   2.8846e-18   1.7046e-19
 4820.99   2.8857e-18   1.7123e-19
 4823.99   2.8726e-18   1.7210e-19
 4826.99   2.7944e-18   1.7114e-19
 4829.99   2.8919e-18   1.7164e-19
 4832.99   3.0439e-18   1.7251e-19
 4835.99   3.0690e-18   1.7221e-19
 4838.99   3.0980e-18   1.7255e-19
 4841.99   3.1515e-18   1.7225e-19
 4844.99   3.1535e-18   1.7109e-19
 4847.99   3.1207e-18   1.6931e-19
 4850.99   3.0409e-18   1.6608e-19
 4853.99   3.0486e-18   1.6622e-19
 4856.99   3.1115e-18   1.6681e-19
 4859.99   3.2108e-18   1.6707e-19
 4862.99   3.2973e-18   1.6794e-19
 4865.99   3.1996e-18   1.6653e-19
 4868.99   3.1764e-18   1.6607e-19
 4872.00   3.2720e-18   1.6823e-19
 4875.00   3.3651e-18   1.6877e-19
 4878.00   3.4447e-18   1.6979e-19
 4881.00   3.5708e-18   1.7158e-19
 4884.00   3.6035e-18   1.7184e-19
 4887.00   3.4712e-18   1.6975e-19
 4890.00   3.4477e-18   1.6975e-19
 4893.00   3.6763e-18   1.7111e-19
 4896.00   3.7852e-18   1.7163e-19
 4899.00   3.7520e-18   1.7140e-19
 4902.00   3.7527e-18   1.7090e-19
 4905.00   2.8005e-18   1.6527e-19
 4908.00   2.7812e-18   1.6448e-19
 4911.00   2.6699e-18   1.6075e-19
 4914.00   2.7031e-18   1.6065e-19
 4917.00   2.8431e-18   1.6332e-19
 4920.00   2.8870e-18   1.6294e-19
 4923.01   3.9082e-18   1.6961e-19
 4926.01   3.9044e-18   1.6982e-19
 4929.01   3.6722e-18   1.6535e-19
 4932.01   2.4066e-18   1.3526e-19
 5094.04   2.4256e-18   1.4519e-19
 5097.04   2.5587e-18   1.4584e-19
 5100.04   2.2362e-18   1.4363e-19
 5103.04   2.3281e-18   1.4279e-19
 5106.04   2.3380e-18   1.4312e-19
 5109.04   2.4910e-18   1.4920e-19
 5112.04   2.3674e-18   1.4479e-19
 5115.04   2.1686e-18   1.4336e-19
 5118.04   2.0711e-18   1.4179e-19
 5121.04   2.3341e-18   1.4387e-19
 5124.04   2.2610e-18   1.4426e-19
 5127.05   2.1614e-18   1.4165e-19
 5130.05   2.2537e-18   1.4261e-19
 5133.05   2.1451e-18   1.4146e-19
 5136.05   2.3255e-18   1.4459e-19
 5139.05   2.2583e-18   1.4341e-19
 5142.05   2.2402e-18   1.4255e-19
 5145.05   2.2408e-18   1.4228e-19
 5148.05   2.4323e-18   1.4536e-19
 5151.05   2.4011e-18   1.4570e-19
