 
TRANSIENT_NAME:     DES15C3kue 
SNID:               1329196    
OBS_DATE:           2015-10-06
MJD:                57301. 
PHASE:              -4.    
MJD_MAX:            57308.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.7700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00  -1.2248e-19  ---
 3805.00   9.0623e-19  ---
 3810.00  -7.1945e-20  ---
 3815.00  -7.6363e-19  ---
 3820.00   1.1749e-18  ---
 3825.00   8.5887e-19  ---
 3830.00   1.8436e-19  ---
 3835.00  -5.3078e-20  ---
 3840.00   5.0283e-20  ---
 3845.00  -1.4507e-18  ---
 3850.00  -1.1026e-18  ---
 3855.00   8.4395e-19  ---
 3860.00  -2.9392e-19  ---
 3865.00   8.5582e-19  ---
 3870.00  -3.8205e-20  ---
 3875.00   2.4494e-18  ---
 3880.00   3.2710e-18  ---
 3885.00   3.8617e-19  ---
 3890.00  -4.3271e-19  ---
 3895.00  -7.0354e-19  ---
 3900.00   1.7577e-18  ---
 3905.00  -3.7141e-19  ---
 3910.00   8.1376e-19  ---
 3915.00   2.3464e-20  ---
 3920.00   3.8542e-19  ---
 3925.00   2.4337e-20  ---
 3930.00  -4.0543e-19  ---
 3935.00   8.4694e-20  ---
 3940.00   7.4651e-19  ---
 3945.00  -1.1315e-19  ---
 3950.00  -1.3218e-19  ---
 3955.00   4.0838e-19  ---
 3960.00  -5.1928e-19  ---
 3965.00  -5.2431e-19  ---
 3970.00  -4.3707e-19  ---
 3975.00  -2.7578e-19  ---
 3980.00   2.7365e-19  ---
 3985.00   9.3637e-19  ---
 3990.00   4.5813e-19  ---
 3995.00  -1.1420e-18  ---
 4000.00   1.3452e-18  ---
 4005.00  -8.1202e-19  ---
 4010.00   2.1076e-21  ---
 4015.00  -4.4672e-19  ---
 4020.00  -1.8747e-19  ---
 4025.00   8.5272e-19  ---
 4030.00  -9.7256e-20  ---
 4035.00  -2.2902e-19  ---
 4040.00  -3.1675e-19  ---
 4045.00  -6.7040e-19  ---
 4050.00   3.2926e-19  ---
 4055.00   2.9512e-19  ---
 4060.00  -1.5010e-19  ---
 4065.00  -4.8850e-19  ---
 4070.00  -7.4214e-19  ---
 4075.00   4.1085e-19  ---
 4080.00   1.7280e-19  ---
 4085.00   3.6761e-19  ---
 4090.00   4.5319e-19  ---
 4095.00  -1.0858e-18  ---
 4100.00   1.6648e-19  ---
 4105.00   2.2972e-20  ---
 4110.00  -6.3942e-19  ---
 4115.00   4.8102e-19  ---
 4120.00  -3.9571e-19  ---
 4125.00  -5.5056e-19  ---
 4130.00  -4.6716e-19  ---
 4135.00   5.7134e-20  ---
 4140.00  -2.8984e-19  ---
 4145.00   5.9186e-19  ---
 4150.00   8.6103e-20  ---
 4155.00   9.2941e-20  ---
 4160.00   3.4508e-19  ---
 4165.00  -4.3870e-19  ---
 4170.00  -3.2426e-19  ---
 4175.00  -1.8480e-19  ---
 4180.00  -5.0386e-19  ---
 4185.00  -8.8582e-19  ---
 4190.00  -6.6282e-19  ---
 4195.00  -5.8348e-19  ---
 4200.00   2.9692e-19  ---
 4205.00   4.0922e-19  ---
 4210.00   1.7257e-19  ---
 4215.00  -1.3233e-18  ---
 4220.00   8.5815e-19  ---
 4225.00  -5.2698e-19  ---
 4230.00   8.9079e-20  ---
 4235.00   2.8253e-19  ---
 4240.00   1.3152e-18  ---
 4245.00   1.3326e-18  ---
 4250.00   1.2419e-19  ---
 4255.00   1.8946e-19  ---
 4260.00   4.9070e-20  ---
 4265.00  -1.4480e-18  ---
 4270.00   6.7219e-19  ---
 4275.00  -2.3284e-19  ---
