 
TRANSIENT_NAME:     DES15C3lyd 
SNID:               1334707    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE:              -0.    
MJD_MAX:            57339.2
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.6503  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/BAADE
INSTRUMENT:         IMACS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4222.00   2.3273e-02  ---
 4223.27   1.2514e-02  ---
 4224.54   1.1831e-03  ---
 4225.81   9.2185e-03  ---
 4227.08   9.2111e-03  ---
 4228.35   1.1506e-02  ---
 4229.62   5.8603e-03  ---
 4230.89   3.5971e-03  ---
 4232.16   1.7001e-02  ---
 4233.43   4.6340e-03  ---
 4234.70  -2.4565e-03  ---
 4235.97  -8.0247e-04  ---
 4237.24  -4.7279e-03  ---
 4238.51  -6.3851e-04  ---
 4239.78   1.0029e-02  ---
 4241.05   1.8486e-03  ---
 4242.32  -2.4687e-03  ---
 4243.59   7.5514e-03  ---
 4244.86  -1.4352e-03  ---
 4246.13  -5.2564e-03  ---
 4247.40  -3.2444e-03  ---
 4248.67  -6.9424e-03  ---
 4249.94   8.2850e-03  ---
 4251.21   1.6973e-02  ---
 4252.48   1.4643e-02  ---
 4253.75   4.7093e-03  ---
 4255.02  -7.9873e-03  ---
 4256.29   3.3504e-03  ---
 4257.56   2.7357e-03  ---
 4258.83  -1.5967e-02  ---
 4260.10  -1.6262e-02  ---
 4261.37  -2.6587e-03  ---
 4262.64   2.6205e-03  ---
 4263.91   1.4150e-02  ---
 4265.18   2.6065e-03  ---
 4266.45  -1.2512e-02  ---
 4267.72   2.4620e-03  ---
 4268.99   8.3775e-04  ---
 4270.26   6.9526e-03  ---
 4271.53   1.9407e-02  ---
 4272.80   1.4506e-02  ---
 4274.07   1.2349e-02  ---
 4275.34   1.6607e-02  ---
 4276.61   1.5736e-02  ---
 4277.88   1.0638e-02  ---
 4279.15   2.2749e-02  ---
 4280.42   2.1937e-02  ---
 4281.69   6.2442e-04  ---
 4282.96  -6.1531e-03  ---
