 
TRANSIENT_NAME:     DES15C3mgv 
SNID:               1335717    
OBS_DATE:           2015-11-12
MJD:                57338. 
PHASE:              -7.    
MJD_MAX:            57346.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3055  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/BAADE
INSTRUMENT:         IMACS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4220.00   2.6430e-02  ---
 4221.27   2.4022e-02  ---
 4222.54   7.0274e-03  ---
 4223.81  -1.2820e-03  ---
 4225.08  -1.8103e-03  ---
 4226.35  -7.7611e-03  ---
 4227.62  -6.4974e-03  ---
 4228.89   1.0663e-02  ---
 4230.16   3.5829e-02  ---
 4231.43   9.5305e-03  ---
 4232.70   5.6040e-03  ---
 4233.97   5.6957e-03  ---
 4235.24   1.8136e-02  ---
 4236.51   2.1722e-02  ---
 4237.78  -5.2923e-03  ---
 4239.05   1.8650e-02  ---
 4240.32   2.5562e-02  ---
 4241.59  -5.0603e-03  ---
 4242.86  -7.5809e-03  ---
 4244.13   6.9196e-03  ---
 4245.40   2.3618e-03  ---
 4246.67   2.0269e-02  ---
 4247.94   2.3883e-02  ---
 4249.21   1.2568e-02  ---
 4250.48  -1.9098e-02  ---
 4251.75  -1.9028e-02  ---
 4253.02  -1.2076e-02  ---
 4254.29   6.7216e-03  ---
 4255.56   2.0415e-02  ---
 4256.83   1.2690e-02  ---
 4258.10   5.7834e-03  ---
 4259.37   4.1312e-02  ---
 4260.64   5.5068e-02  ---
 4261.91   2.5216e-02  ---
 4263.18  -2.2095e-02  ---
 4264.45  -1.0124e-02  ---
 4265.72  -2.6470e-02  ---
 4266.99   4.9153e-03  ---
 4268.26   3.6465e-02  ---
 4269.53   3.3933e-02  ---
 4270.80   3.6691e-02  ---
 4272.07   5.8392e-02  ---
 4273.34  -7.9457e-03  ---
 4274.61   2.3874e-02  ---
 4275.88  -1.6607e-03  ---
 4277.15  -1.1630e-02  ---
 4278.42   4.0441e-03  ---
 4279.69   2.9465e-02  ---
 4280.96  -4.0237e-03  ---
 4282.23   8.2721e-03  ---
 4283.50  -1.0409e-02  ---
 4284.77  -1.8432e-02  ---
