 
TRANSIENT_NAME:     DES15C3olc 
SNID:               1345899    
OBS_DATE:           2016-02-05
MJD:                57423. 
PHASE:              +17.   
MJD_MAX:            57405.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.0670  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3840.18   7.2652e-19   2.1434e-19
 3843.24   8.8500e-19   2.3101e-19
 3846.31   9.2178e-19   2.5816e-19
 3849.37   7.9786e-19   2.2698e-19
 3852.44   9.0932e-19   2.3036e-19
 3855.50   9.3940e-19   2.2033e-19
 3858.56   1.0060e-18   2.2877e-19
 3861.63   1.0236e-18   2.4676e-19
 3864.69   9.7141e-19   2.3579e-19
 3867.76   1.0403e-18   2.3778e-19
 3870.82   1.2021e-18   2.3996e-19
 3873.89   1.3549e-18   2.4189e-19
 3876.95   1.3432e-18   2.5151e-19
 3880.01   1.3197e-18   2.3651e-19
 3883.08   1.4433e-18   2.4343e-19
 3886.14   1.5822e-18   2.6350e-19
 3889.21   1.4079e-18   2.5452e-19
 3892.27   1.5366e-18   2.7237e-19
 3895.34   1.7571e-18   2.7592e-19
 3898.40   1.7452e-18   2.6833e-19
 3901.46   1.5586e-18   2.6214e-19
 3904.53   1.7070e-18   2.6941e-19
 3907.59   1.7173e-18   2.8010e-19
 3910.66   1.6435e-18   2.5500e-19
 3913.72   1.6767e-18   2.5734e-19
 3916.79   1.5460e-18   2.3838e-19
 3919.85   1.4895e-18   2.3066e-19
 3922.91   1.6684e-18   2.3933e-19
 3925.98   1.6566e-18   2.4130e-19
 3929.04   1.5437e-18   2.3185e-19
 3932.11   1.5923e-18   2.3933e-19
 3935.17   1.4178e-18   2.4263e-19
 3938.24   1.5023e-18   2.5356e-19
 3941.30   1.5140e-18   2.5050e-19
 3944.36   1.5274e-18   2.3946e-19
 3947.43   1.7340e-18   2.4392e-19
 3950.49   1.6256e-18   2.3517e-19
 3953.56   1.4506e-18   2.2986e-19
 3956.62   1.4254e-18   2.2649e-19
 3959.69   1.8490e-18   2.2831e-19
 3962.75   2.0749e-18   2.3677e-19
 3965.81   2.1442e-18   2.4160e-19
 3968.88   1.9338e-18   2.4552e-19
 3971.94   2.0156e-18   2.5202e-19
 3975.01   1.9060e-18   2.5635e-19
 3978.07   1.9404e-18   2.6549e-19
 3981.14   1.6408e-18   2.5358e-19
 3984.20   1.5238e-18   2.3558e-19
 3987.27   1.3978e-18   2.3518e-19
 3990.33   1.3944e-18   2.4314e-19
 3993.39   1.4069e-18   2.4996e-19
 3996.46   1.4551e-18   2.4130e-19
 3999.52   1.5663e-18   2.4040e-19
 4002.59   1.6943e-18   2.4472e-19
 4005.65   1.5542e-18   2.3969e-19
 4008.72   1.5306e-18   2.3867e-19
 4011.78   1.5436e-18   2.4366e-19
 4014.84   1.5917e-18   2.4985e-19
 4017.91   1.5518e-18   2.3748e-19
 4020.97   1.5631e-18   2.3077e-19
 4024.04   1.8287e-18   2.3794e-19
 4027.10   1.7169e-18   2.3392e-19
 4030.17   1.5768e-18   2.2641e-19
 4033.23   1.5279e-18   2.3153e-19
 4036.29   1.4488e-18   2.3645e-19
 4039.36   1.5286e-18   2.3461e-19
 4042.42   1.6675e-18   2.3832e-19
 4045.49   1.7037e-18   2.4370e-19
 4048.55   1.7369e-18   2.4194e-19
 4051.62   1.9992e-18   2.4245e-19
 4054.68   2.0210e-18   2.4477e-19
 4057.74   2.0196e-18   2.4562e-19
 4060.81   2.0674e-18   2.4916e-19
 4063.87   2.0586e-18   2.4991e-19
 4066.94   2.2143e-18   2.4934e-19
 4070.00   2.2163e-18   2.4457e-19
 4073.07   2.2858e-18   2.4091e-19
 4076.13   2.2375e-18   2.4294e-19
 4079.19   2.1846e-18   2.4492e-19
 4082.26   2.1718e-18   2.3983e-19
 4085.32   2.2416e-18   2.4599e-19
 4088.39   2.3350e-18   2.5486e-19
 4091.45   2.3808e-18   2.4948e-19
 4094.52   2.4448e-18   2.4701e-19
 4097.58   2.7842e-18   2.5196e-19
 4100.65   3.0621e-18   2.5304e-19
 4103.71   2.9527e-18   2.4766e-19
 4106.77   2.8575e-18   2.4674e-19
 4109.84   2.9811e-18   2.5029e-19
 4112.90   3.2980e-18   2.5705e-19
 4115.97   3.4753e-18   2.5967e-19
 4119.03   3.5958e-18   2.6221e-19
 4122.10   3.6201e-18   2.6350e-19
 4125.16   3.4245e-18   2.6081e-19
 4128.22   3.4135e-18   2.6257e-19
 4131.29   3.6009e-18   2.6607e-19
 4134.35   3.6255e-18   2.6280e-19
 4137.42   3.4672e-18   2.6013e-19
 4140.48   3.5090e-18   2.6109e-19
 4143.55   3.6431e-18   2.6342e-19
 4146.61   3.6487e-18   2.6414e-19
 4149.67   3.5652e-18   2.6364e-19
 4152.74   3.6027e-18   2.6883e-19
 4155.80   3.6257e-18   2.6648e-19
 4158.87   3.7414e-18   2.6750e-19
 4161.93   3.9738e-18   2.6989e-19
 4165.00   3.9364e-18   2.6762e-19
 4168.06   3.8821e-18   2.6965e-19
 4171.12   3.9483e-18   2.6949e-19
 4174.19   3.9940e-18   2.6457e-19
 4177.25   4.1185e-18   2.6333e-19
 4180.32   4.0959e-18   2.6048e-19
 4183.38   3.9595e-18   2.5697e-19
 4186.45   4.1126e-18   2.6275e-19
 4189.51   4.1636e-18   2.5793e-19
 4192.57   3.5929e-18   2.6349e-19
 4195.64   3.2256e-18   2.6035e-19
 4198.70   2.0453e-18   2.2260e-19
 4201.77   1.7753e-18   2.1203e-19
 4204.83   1.7120e-18   2.1533e-19
 4207.90   1.7409e-18   2.1458e-19
 4210.96   3.7751e-18   2.4757e-19
 4214.02   3.7367e-18   2.4666e-19
 4217.09   4.1666e-18   2.5229e-19
 4220.15   3.8693e-18   2.4934e-19
 4223.22   3.7412e-18   2.4861e-19
 4226.28   3.8876e-18   2.4844e-19
 4229.35   3.9421e-18   2.4684e-19
 4232.41   3.6039e-18   2.4109e-19
 4235.48   3.5719e-18   2.4042e-19
 4238.54   3.6122e-18   2.3971e-19
 4241.60   3.5795e-18   2.4095e-19
 4244.67   3.4944e-18   2.4018e-19
 4247.73   3.6448e-18   2.4147e-19
 4250.80   3.7852e-18   2.4140e-19
 4253.86   3.7180e-18   2.3627e-19
 4256.93   3.7056e-18   2.3743e-19
 4259.99   3.6793e-18   2.3421e-19
 4263.05   3.5156e-18   2.3294e-19
 4266.12   3.5312e-18   2.3548e-19
 4269.18   3.5563e-18   2.3507e-19
 4272.25   3.5692e-18   2.3561e-19
 4275.31   3.5740e-18   2.3178e-19
 4278.38   3.5922e-18   2.2980e-19
 4281.44   3.5894e-18   2.3171e-19
 4284.50   3.5689e-18   2.3096e-19
 4287.57   3.4301e-18   2.2391e-19
 4290.63   3.4573e-18   2.2350e-19
 4293.70   3.5305e-18   2.2714e-19
 4296.76   3.5044e-18   2.2360e-19
 4299.83   3.3696e-18   2.2195e-19
 4302.89   3.5018e-18   2.2435e-19
 4305.95   3.6676e-18   2.2515e-19
 4309.02   3.4365e-18   2.2441e-19
