 
TRANSIENT_NAME:     DES15E1ebw 
SNID:               1306980    
OBS_DATE:           2015-09-22
MJD:                57287. 
PHASE:              +4.    
MJD_MAX:            57281.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.5500  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3200.00  -4.0202e-18   5.2831e-18
 3205.00   6.4623e-20   4.8686e-18
 3210.00  -3.7959e-18   4.3719e-18
 3215.00  -4.4620e-18   3.9521e-18
 3220.00  -4.2456e-18   3.8965e-18
 3225.00  -3.7173e-18   3.5460e-18
 3230.00  -1.4008e-18   3.2622e-18
 3235.00  -6.5736e-19   3.0584e-18
 3240.00  -1.1550e-18   3.0301e-18
 3245.00  -5.0913e-18   2.9948e-18
 3250.00   2.3309e-18   2.9523e-18
 3255.00   1.7895e-18   3.0354e-18
 3260.00  -2.1572e-18   3.0725e-18
 3265.00   2.3155e-18   3.0095e-18
 3270.00   3.8689e-19   2.9818e-18
 3275.00  -1.7029e-19   3.0511e-18
 3280.00  -8.0025e-19   3.0064e-18
 3285.00  -1.5255e-18   3.0042e-18
 3290.00   2.1846e-18   3.1886e-18
 3295.00  -2.0795e-18   3.3808e-18
 3300.00   5.1341e-19   3.4805e-18
 3305.00   7.7084e-18   3.5875e-18
 3310.00  -3.0400e-18   3.7249e-18
 3315.00  -8.4991e-18   3.7938e-18
 3320.00  -3.8691e-18   4.0449e-18
 3325.00  -3.5790e-18   4.1657e-18
 3330.00  -9.0748e-18   4.2929e-18
 3335.00  -1.0988e-20   4.6059e-18
 3340.00  -4.9250e-18   4.8295e-18
 3345.00  -1.9055e-18   8.5096e-18
 3350.00  -1.0132e-19   7.5926e-18
 3355.00   3.7310e-18   7.5510e-18
 3360.00  -7.8770e-18   6.1325e-18
 3365.00   6.4736e-19   6.7264e-18
 3370.00   1.0827e-17   6.5477e-18
 3375.00   1.4933e-18   6.4266e-18
 3380.00  -2.8979e-19   5.8658e-18
 3385.00  -3.1668e-19   5.9901e-18
 3390.00  -1.0384e-18   5.6382e-18
 3395.00   4.5354e-21   5.5143e-18
 3400.00  -2.2675e-18   5.8289e-18
 3405.00   6.3619e-19   5.5701e-18
 3410.00   6.8196e-19   5.4414e-18
 3415.00   4.3506e-18   5.3961e-18
 3420.00  -1.2402e-18   5.8891e-18
 3425.00  -4.2287e-18   5.5966e-18
 3430.00  -3.2188e-18   5.7087e-18
 3435.00   1.1415e-18   5.3657e-18
 3440.00   3.2401e-18   5.1177e-18
 3445.00  -1.6537e-18   5.0492e-18
 3450.00  -4.1294e-18   5.3143e-18
 3455.00   6.0226e-18   5.2626e-18
 3460.00  -4.2212e-18   4.8125e-18
 3465.00  -2.9183e-18   4.7710e-18
 3470.00  -4.5361e-18   4.6216e-18
 3475.00   5.2716e-18   4.2115e-18
 3480.00   5.4187e-18   4.3835e-18
 3485.00  -1.6476e-18   4.0104e-18
 3490.00   2.6425e-18   3.7199e-18
 3495.00   1.2379e-18   3.6039e-18
 3500.00   1.5899e-18   3.5539e-18
 3505.00  -6.2237e-18   3.3837e-18
 3510.00   1.4941e-18   3.2456e-18
 3515.00   5.1947e-19   2.9852e-18
 3520.00   1.6244e-18   2.9639e-18
 3525.00  -2.5133e-18   2.5380e-18
 3530.00   3.2730e-18   2.7855e-18
 3535.00   3.7676e-18   2.7294e-18
 3540.00   1.1299e-18   2.7203e-18
 3545.00   2.3420e-18   2.7853e-18
 3550.00   2.1547e-18   2.6302e-18
 3555.00  -4.4302e-18   2.4367e-18
 3560.00   1.3267e-18   2.4240e-18
