 
TRANSIENT_NAME:     DES15E1kst 
SNID:               1328066    
OBS_DATE:           2015-10-05
MJD:                57300. 
PHASE:              +1.    
MJD_MAX:            57298.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4500  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3200.00   2.4570e-18   5.4376e-18
 3205.00  -8.9277e-18   5.0884e-18
 3210.00  -8.8712e-18   5.3788e-18
 3215.00  -1.2734e-18   4.9627e-18
 3220.00  -4.6675e-18   4.6343e-18
 3225.00  -4.8164e-18   4.3522e-18
 3230.00   4.6318e-18   4.1413e-18
 3235.00  -1.2378e-18   3.7973e-18
 3240.00   4.0689e-18   3.6500e-18
 3245.00   2.2130e-18   3.6134e-18
 3250.00  -4.3761e-18   3.5115e-18
 3255.00  -5.5463e-18   3.4314e-18
 3260.00  -4.7471e-18   3.4941e-18
 3265.00  -5.3565e-18   3.4417e-18
 3270.00   1.3397e-18   3.5234e-18
 3275.00  -3.5666e-18   3.4938e-18
 3280.00  -1.4735e-18   3.5618e-18
 3285.00   4.0806e-18   3.7196e-18
 3290.00  -9.4717e-19   3.7078e-18
 3295.00  -3.3095e-18   3.8571e-18
 3300.00   5.5882e-18   3.9552e-18
 3305.00  -2.1174e-18   3.8686e-18
 3310.00   2.0372e-18   3.8496e-18
 3315.00  -1.9684e-20   3.7872e-18
 3320.00  -5.8404e-18   3.5698e-18
 3325.00  -6.9995e-18   3.3470e-18
 3330.00  -5.7190e-18   3.1218e-18
 3335.00  -2.6196e-18   2.9291e-18
 3340.00  -2.1381e-18   2.7569e-18
 3345.00  -2.2844e-18   2.6374e-18
 3350.00  -1.4494e-19   2.4684e-18
 3355.00   3.1695e-18   2.3191e-18
 3360.00  -7.9801e-19   2.1315e-18
 3365.00  -6.2220e-19   2.0757e-18
 3370.00  -2.0887e-18   2.1970e-18
 3375.00  -3.3723e-18   1.9830e-18
 3380.00  -8.1816e-20   1.9111e-18
 3385.00  -1.5669e-18   1.7996e-18
 3390.00  -1.4684e-18   1.7437e-18
 3395.00  -1.3387e-19   1.7333e-18
 3400.00   2.3002e-19   1.7093e-18
 3405.00  -1.0373e-18   1.6893e-18
 3410.00  -2.3527e-18   1.6714e-18
 3415.00  -2.1926e-18   1.7089e-18
 3420.00  -1.5862e-18   1.7465e-18
 3425.00  -7.0183e-19   1.8185e-18
 3430.00  -3.9174e-19   1.8542e-18
 3435.00  -1.8204e-18   1.9257e-18
 3440.00  -1.1820e-18   1.9719e-18
 3445.00  -3.6354e-18   2.0182e-18
 3450.00  -2.2244e-18   2.1754e-18
 3455.00  -5.2531e-18   2.2525e-18
 3460.00  -1.2084e-18   2.3703e-18
 3465.00   2.4938e-18   2.4915e-18
 3470.00  -1.3603e-18   2.5256e-18
 3475.00   1.2345e-19   2.5737e-18
 3480.00  -5.3105e-18   2.6786e-18
 3485.00  -1.3411e-18   2.6778e-18
 3490.00  -4.0374e-18   2.5871e-18
 3495.00  -3.1076e-18   2.8728e-18
 3500.00  -3.8995e-18   2.6159e-18
 3505.00  -3.0781e-18   2.4657e-18
 3510.00  -4.7162e-19   2.3715e-18
 3515.00  -2.3730e-18   2.2037e-18
 3520.00  -1.8304e-18   2.1048e-18
 3525.00  -1.9632e-18   1.9812e-18
 3530.00  -6.3290e-19   1.9375e-18
 3535.00  -7.1488e-19   1.8579e-18
 3540.00  -4.2259e-18   1.8773e-18
 3545.00   8.6413e-19   1.9723e-18
 3550.00  -1.9233e-18   1.8283e-18
 3555.00  -3.5684e-19   1.8279e-18
 3560.00  -7.7412e-19   1.7180e-18
 3565.00  -1.3487e-19   1.6326e-18
 3570.00   8.9717e-19   1.6033e-18
 3575.00   1.4185e-18   1.5954e-18
 3580.00  -2.4419e-18   1.5261e-18
 3585.00   1.4739e-18   1.5704e-18
 3590.00  -7.9377e-19   1.5840e-18
 3595.00  -2.9919e-19   1.6450e-18
 3600.00  -1.0590e-18   1.6834e-18
 3605.00  -2.6377e-18   1.7110e-18
 3610.00  -1.6584e-18   1.7508e-18
 3615.00   5.7580e-19   1.8281e-18
 3620.00   9.1166e-19   1.8234e-18
 3625.00  -5.7219e-19   1.7471e-18
 3630.00   1.0894e-18   1.7021e-18
 3635.00   6.9980e-21   1.5992e-18
 3640.00   4.5106e-19   1.5162e-18
 3645.00  -4.8510e-19   1.3977e-18
 3650.00  -9.1583e-19   1.2924e-18
 3655.00   3.4855e-19   1.2997e-18
 3660.00  -5.3031e-20   1.2122e-18
 3665.00  -2.3286e-18   1.0837e-18
 3670.00   4.7795e-19   1.0322e-18
 3675.00   5.3915e-19   9.6524e-19
 3680.00  -8.8181e-19   8.8807e-19
 3685.00  -3.3875e-20   8.6554e-19
 3690.00   1.6142e-19   8.1934e-19
 3695.00   1.1013e-18   8.0227e-19
 3700.00  -7.0579e-20   8.1278e-19
 3705.00  -1.2713e-18   7.5168e-19
 3710.00  -3.6548e-19   7.2707e-19
 3715.00  -6.7107e-19   7.0665e-19
 3720.00  -6.5599e-19   6.6636e-19
 3725.00   3.9308e-19   6.7571e-19
 3730.00  -5.6913e-19   6.7597e-19
 3735.00  -7.1828e-19   6.7601e-19
 3740.00  -1.0129e-19   7.0990e-19
 3745.00  -1.3139e-18   6.5841e-19
 3750.00   4.4481e-19   6.5767e-19
 3755.00  -1.5566e-19   6.5940e-19
 3760.00  -9.5810e-19   6.3357e-19
 3765.00   2.2550e-19   6.5508e-19
 3770.00  -2.2194e-19   6.6354e-19
 3775.00  -7.4619e-19   6.8528e-19
 3780.00  -6.7606e-19   7.0407e-19
 3785.00   1.0475e-18   7.5148e-19
 3790.00  -1.1495e-18   7.4946e-19
 3795.00  -1.1899e-19   7.9346e-19
 3800.00   1.8643e-19   8.1582e-19
 3805.00  -7.1868e-19   8.2697e-19
 3810.00  -1.0144e-18   8.3742e-19
 3815.00   8.4517e-19   8.6984e-19
 3820.00  -1.4009e-18   8.3787e-19
 3825.00  -6.3442e-19   8.2521e-19
 3830.00   7.3402e-20   8.5650e-19
 3835.00  -8.3311e-20   8.2114e-19
 3840.00   3.0192e-19   7.9160e-19
 3845.00  -1.7889e-19   8.2235e-19
 3850.00   6.2913e-19   7.7865e-19
 3855.00   5.6528e-19   7.2705e-19
 3860.00   2.1799e-19   6.6972e-19
 3865.00  -6.5037e-20   6.3251e-19
 3870.00   1.6267e-18   6.2609e-19
 3875.00   3.5476e-19   5.8776e-19
 3880.00  -6.5582e-19   5.3899e-19
 3885.00   1.0564e-18   5.4400e-19
 3890.00   3.0726e-19   5.2516e-19
 3895.00   5.9644e-19   5.2479e-19
 3900.00   8.4871e-19   5.2707e-19
 3905.00  -7.5832e-20   5.2231e-19
 3910.00   4.7332e-19   5.3932e-19
 3915.00   5.1317e-19   5.1861e-19
 3920.00   5.4641e-19   4.9220e-19
 3925.00   1.0647e-18   4.8767e-19
 3930.00  -3.7205e-19   4.4957e-19
 3935.00   2.4292e-19   4.4145e-19
 3940.00   2.8949e-19   4.7013e-19
 3945.00   9.1123e-20   4.7817e-19
 3950.00   6.1899e-19   4.8250e-19
 3955.00   3.3774e-19   4.6213e-19
 3960.00  -5.3768e-20   4.6081e-19
 3965.00  -2.4316e-19   4.4628e-19
 3970.00  -5.4406e-20   4.4851e-19
 3975.00   2.7154e-19   4.9862e-19
 3980.00  -4.4554e-20   5.2047e-19
 3985.00   8.0599e-19   5.4131e-19
 3990.00  -4.4480e-20   5.5509e-19
 3995.00   2.5399e-19   5.7108e-19
 4000.00   8.7137e-19   6.0100e-19
 4005.00   9.7798e-19   6.1617e-19
 4010.00   2.1984e-19   6.3708e-19
 4015.00   4.5678e-19   6.4630e-19
 4020.00   8.6264e-19   6.4775e-19
 4025.00  -6.2734e-19   6.3599e-19
 4030.00  -3.3412e-19   6.4303e-19
 4035.00  -2.1169e-19   6.4237e-19
 4040.00   7.3668e-19   6.6065e-19
 4045.00   1.6898e-18   7.9795e-19
 4050.00   2.2520e-19   7.2104e-19
 4055.00   1.2133e-18   6.8261e-19
 4060.00   1.2039e-19   6.4761e-19
 4065.00   4.6397e-19   6.1730e-19
 4070.00  -4.2735e-19   5.8055e-19
 4075.00   1.5212e-19   5.5362e-19
 4080.00   7.5191e-19   5.4705e-19
 4085.00   6.7788e-19   5.2758e-19
 4090.00   1.2505e-18   5.1775e-19
 4095.00   1.3243e-18   5.0328e-19
 4100.00   1.0459e-18   4.8299e-19
 4105.00   6.3865e-19   4.7159e-19
 4110.00   5.3785e-19   4.6713e-19
 4115.00   1.3165e-18   4.8021e-19
 4120.00   1.3118e-18   4.7558e-19
 4125.00   1.5075e-18   4.8581e-19
 4130.00   1.3013e-18   4.7590e-19
 4135.00   8.4725e-19   4.7438e-19
 4140.00   8.2626e-19   4.6867e-19
 4145.00   1.5953e-18   4.6266e-19
 4150.00   8.4871e-19   4.5042e-19
 4155.00   1.8225e-18   4.7721e-19
 4160.00   2.1029e-18   4.8513e-19
 4165.00   2.1091e-18   4.9924e-19
 4170.00   1.6454e-18   5.0088e-19
 4175.00   1.5034e-18   4.8571e-19
 4180.00   2.2186e-18   5.0785e-19
 4185.00   2.4090e-18   5.0425e-19
 4190.00   2.0479e-18   5.1021e-19
 4195.00   2.1857e-18   5.2227e-19
 4200.00   3.2855e-18   5.3885e-19
 4205.00   1.8379e-18   5.3475e-19
 4210.00   2.3826e-18   5.5268e-19
 4215.00   2.8452e-18   5.7164e-19
 4220.00   3.0356e-18   5.8042e-19
 4225.00   3.3690e-18   5.8988e-19
 4230.00   3.5226e-18   6.1210e-19
 4235.00   2.8161e-18   6.0895e-19
 4240.00   2.4925e-18   6.1459e-19
 4245.00   2.9999e-18   6.3399e-19
 4250.00   2.2786e-18   6.3161e-19
 4255.00   3.2518e-18   6.4957e-19
 4260.00   3.1857e-18   6.3881e-19
 4265.00   3.6287e-18   6.4961e-19
 4270.00   2.9479e-18   6.3458e-19
 4275.00   3.0556e-18   6.3085e-19
 4280.00   3.8607e-18   7.2640e-19
 4285.00   3.0262e-18   6.7604e-19
 4290.00   1.8426e-18   6.1951e-19
 4295.00   4.0217e-18   6.3810e-19
 4300.00   3.0156e-18   5.8308e-19
 4305.00   3.7215e-18   5.7401e-19
 4310.00   3.2702e-18   5.5418e-19
 4315.00   3.0159e-18   5.5773e-19
 4320.00   3.2441e-18   5.5242e-19
 4325.00   3.3565e-18   5.2014e-19
 4330.00   3.2371e-18   5.2274e-19
 4335.00   3.7015e-18   5.2133e-19
 4340.00   3.0925e-18   4.9533e-19
 4345.00   3.2941e-18   5.0732e-19
 4350.00   2.1278e-18   4.8646e-19
 4355.00   1.9626e-18   4.8169e-19
 4360.00   2.3187e-18   4.9387e-19
 4365.00   2.9967e-18   4.8640e-19
 4370.00   2.5964e-18   4.8685e-19
 4375.00   3.4325e-18   4.8731e-19
 4380.00   2.6450e-18   4.7958e-19
 4385.00   3.9155e-18   4.7636e-19
 4390.00   2.7960e-18   4.6912e-19
 4395.00   3.2571e-18   4.7793e-19
 4400.00   3.0457e-18   4.8412e-19
 4405.00   2.2881e-18   4.8870e-19
 4410.00   3.2167e-18   5.1239e-19
 4415.00   3.8296e-18   5.2462e-19
 4420.00   2.8686e-18   5.1890e-19
 4425.00   3.5546e-18   5.3383e-19
 4430.00   2.5225e-18   5.2074e-19
 4435.00   2.9340e-18   5.2588e-19
 4440.00   3.0017e-18   5.4308e-19
 4445.00   2.7574e-18   5.4827e-19
 4450.00   3.6657e-18   5.6668e-19
 4455.00   2.4879e-18   5.4755e-19
 4460.00   3.2718e-18   5.7217e-19
 4465.00   3.0417e-18   5.7837e-19
 4470.00   3.2046e-18   5.8735e-19
 4475.00   3.3421e-18   6.0270e-19
 4480.00   3.2930e-18   6.0222e-19
 4485.00   2.4163e-18   6.1303e-19
 4490.00   3.0087e-18   6.1498e-19
 4495.00   3.3318e-18   6.2372e-19
 4500.00   3.2981e-18   6.2144e-19
 4505.00   3.0251e-18   6.2217e-19
 4510.00   4.6461e-18   8.5026e-19
 4515.00   3.1978e-18   7.8450e-19
 4520.00   3.4399e-18   7.4621e-19
 4525.00   3.9699e-18   7.1544e-19
 4530.00   3.3000e-18   6.8030e-19
 4535.00   3.9904e-18   6.6269e-19
 4540.00   4.2115e-18   6.3815e-19
 4545.00   3.2202e-18   6.0555e-19
 4550.00   4.3757e-18   5.8598e-19
 4555.00   4.0038e-18   5.6081e-19
 4560.00   4.7693e-18   5.5767e-19
 4565.00   4.4961e-18   5.3107e-19
 4570.00   3.8923e-18   5.0847e-19
 4575.00   3.4141e-18   4.9508e-19
 4580.00   3.6826e-18   4.8657e-19
 4585.00   3.7600e-18   4.7339e-19
 4590.00   4.6821e-18   4.8058e-19
 4595.00   4.4638e-18   4.6610e-19
 4600.00   4.0127e-18   4.4932e-19
 4605.00   3.9652e-18   4.4557e-19
 4610.00   3.7777e-18   4.4255e-19
 4615.00   4.1896e-18   4.4004e-19
 4620.00   3.5089e-18   4.2823e-19
 4625.00   3.9436e-18   4.2951e-19
 4630.00   4.2146e-18   4.2926e-19
 4635.00   3.8847e-18   4.2011e-19
 4640.00   3.8167e-18   4.1443e-19
 4645.00   3.9214e-18   4.1084e-19
 4650.00   3.2114e-18   4.0021e-19
 4655.00   3.3707e-18   4.1004e-19
 4660.00   3.4589e-18   4.1742e-19
 4665.00   3.5416e-18   4.0881e-19
 4670.00   3.6433e-18   4.1189e-19
 4675.00   3.0359e-18   4.1341e-19
