 
TRANSIENT_NAME:     DES15E1kwg 
SNID:               1330031    
OBS_DATE:           2015-10-13
MJD:                57308. 
PHASE:              -6.    
MJD_MAX:            57315.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1049  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75      -0.5773      28.9413
 3758.79       0.6300      29.0885
 3759.83       2.9664      29.9504
 3760.87       0.6901      29.3812
 3761.90       1.6731      28.4183
 3762.94       4.6984      29.0516
 3763.98       2.4665      28.0875
 3765.02      -0.5052      26.9283
 3766.06      -2.7102      26.1202
 3767.09      -1.1751      25.7327
 3768.13       0.0536      26.2455
 3769.17       2.7505      26.8184
 3770.21       3.8169      27.7897
 3771.24       5.2163      28.3744
 3772.28       3.6952      28.1537
 3773.32       1.6783      28.8983
 3774.36       2.6722      27.9153
 3775.40      -1.3361      25.2275
 3776.43      -6.2431      24.7201
 3777.47       0.2206      26.8487
 3778.51       8.2155      28.3377
 3779.55       4.2393      26.3156
 3780.58       2.1480      25.8300
 3781.62       2.9379      25.8604
 3782.66      -1.6431      23.5663
 3783.70      -3.0783      23.2064
 3784.73      -3.3780      23.4301
 3785.77       0.3478      24.3440
 3786.81       3.9622      25.3437
 3787.85       4.7948      24.6601
 3788.89       6.4979      24.4471
 3789.92       1.7094      23.9770
 3790.96      -2.1521      23.2926
 3792.00      -0.5578      23.3341
 3793.04      -0.0373      22.2156
 3794.07      -0.4996      21.7134
 3795.11       5.2988      23.7496
 3796.15       6.2767      24.0943
 3797.19       4.2281      21.5161
 3798.23      -1.9918      18.8017
 3799.26      -0.7837      19.6258
 3800.30      -0.0652      19.7366
 3801.34      -1.4479      19.3296
 3802.38       2.9131      20.9569
 3803.41      -0.2208      20.2071
 3804.45       2.6605      20.0370
 3805.49       7.9684      20.4530
 3806.53       3.3421      18.7656
 3807.57       4.0875      19.3781
 3808.60       2.2471      18.4812
 3809.64      -0.9266      17.3773
 3810.68       1.9441      18.3210
 3811.72       2.9629      18.6870
 3812.75      -0.7927      17.3089
 3813.79      -7.8118      16.7855
 3814.83       0.2783      18.5009
 3815.87       5.0288      17.5006
 3816.90      -1.1252      15.1786
 3817.94      -6.3703      13.6103
 3818.98      -2.7714      15.1458
 3820.02      -0.9891      15.0613
 3821.06      -0.2222      14.7329
 3822.09       3.5245      15.4078
 3823.13       5.5988      15.4930
 3824.17      -0.1182      13.9394
 3825.21      -1.9684      12.3777
 3826.24      -0.7058      12.7066
 3827.28      -1.0832      13.1263
 3828.32       1.0372      14.2851
 3829.36       3.1914      14.3371
 3830.40       2.4001      13.6471
 3831.43      -3.2765      12.3057
 3832.47       1.9718      13.6525
 3833.51       1.9967      12.8166
 3834.55      -0.5392      11.8852
 3835.58       1.1885      12.6188
 3836.62       3.9688      12.5250
 3837.66       1.4484      11.9567
 3838.70      -2.0953      10.6516
 3839.74       2.7863      11.1328
 3840.77       5.7273      12.0256
 3841.81      -0.4608      10.5066
 3842.85      -0.7697      10.4924
 3843.89       1.4448      11.3313
 3844.92      -0.2714      10.5660
 3845.96       1.1603      10.6968
 3847.00       5.1547      11.4531
 3848.04       3.2483      11.2991
 3849.07       4.1330      11.3541
 3850.11       4.4327      10.9932
 3851.15       2.9908      10.6340
 3852.19       1.5544       9.9253
 3853.23      -1.6606       9.3745
 3854.26       0.5229      10.0522
