 
TRANSIENT_NAME:     DES15E1mar 
SNID:               1334302    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE:              +5.    
MJD_MAX:            57331.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4560  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4250.12   1.1852e-18  ---
 4252.11  -9.3897e-18  ---
 4254.10   1.0042e-17  ---
 4256.09   6.3255e-18  ---
 4258.07  -6.6519e-18  ---
 4260.06   6.0098e-18  ---
 4262.05   1.6801e-18  ---
 4264.04   4.6835e-18  ---
 4266.03  -6.1689e-18  ---
 4268.02   1.4126e-19  ---
 4270.01  -2.8612e-18  ---
 4272.00  -5.2271e-18  ---
 4273.99   7.3507e-18  ---
 4275.97   1.1363e-17  ---
 4277.96  -4.0923e-18  ---
 4279.95  -2.6467e-18  ---
 4281.94  -4.8419e-18  ---
 4283.93   4.5300e-19  ---
 4285.92   4.7982e-19  ---
 4287.91   5.8742e-18  ---
 4289.90   2.5106e-18  ---
 4291.89   1.2190e-18  ---
 4293.87  -6.7338e-18  ---
 4295.86  -6.2142e-18  ---
 4297.85   5.7052e-18  ---
 4299.84   5.0984e-18  ---
 4301.83   5.2661e-19  ---
 4303.82   7.5020e-18  ---
 4305.81   3.3468e-18  ---
 4307.80   6.8466e-19  ---
 4309.79  -3.9205e-18  ---
 4311.77   5.8474e-19  ---
 4313.76   5.5368e-18  ---
 4315.75  -1.3954e-18  ---
 4317.74  -7.5702e-18  ---
 4319.73   9.2741e-19  ---
 4321.72   2.3492e-18  ---
 4323.71   1.7244e-18  ---
 4325.70   2.7041e-18  ---
 4327.68   9.2154e-19  ---
 4329.67   8.7277e-18  ---
 4331.66   4.3435e-18  ---
 4333.65  -1.5979e-19  ---
 4335.64   1.0901e-18  ---
 4337.63   1.2187e-18  ---
 4339.62   3.0223e-19  ---
 4341.61   1.8547e-18  ---
 4343.60   6.2717e-18  ---
 4345.58   2.7678e-18  ---
 4347.57   1.0481e-18  ---
 4349.56   4.5254e-19  ---
 4351.55   7.7156e-18  ---
 4353.54   3.3281e-18  ---
 4355.53  -1.8422e-18  ---
 4357.52  -3.2987e-18  ---
 4359.51   1.8443e-18  ---
 4361.50   4.6764e-18  ---
 4363.48   4.2039e-18  ---
 4365.47   4.0583e-18  ---
 4367.46   3.7603e-18  ---
 4369.45   2.6707e-18  ---
 4371.44   3.9544e-18  ---
 4373.43   2.1758e-18  ---
 4375.42   7.8273e-19  ---
 4377.41  -2.7939e-19  ---
 4379.40   1.0648e-19  ---
 4381.38   5.2255e-18  ---
 4383.37   1.5493e-18  ---
 4385.36  -3.2251e-18  ---
 4387.35   2.7655e-18  ---
 4389.34  -1.1784e-18  ---
 4391.33   1.6368e-19  ---
 4393.32   1.7383e-18  ---
 4395.31   1.8069e-18  ---
 4397.29   1.2156e-18  ---
 4399.28   1.3477e-18  ---
 4401.27   3.9242e-18  ---
 4403.26   3.6713e-18  ---
 4405.25   9.5627e-19  ---
 4407.24   5.0168e-18  ---
 4409.23   3.4993e-18  ---
 4411.22  -2.4470e-18  ---
 4413.21  -3.2556e-18  ---
 4415.19   2.6377e-18  ---
 4417.18   4.7312e-20  ---
 4419.17   2.8802e-19  ---
 4421.16   1.6113e-18  ---
 4423.15  -3.7732e-18  ---
 4425.14   1.6422e-19  ---
 4427.13  -8.2364e-19  ---
 4429.12   5.9360e-18  ---
 4431.11   2.7280e-18  ---
 4433.09  -3.0559e-18  ---
 4435.08  -3.2121e-18  ---
 4437.07  -3.0955e-18  ---
 4439.06   1.4811e-18  ---
 4441.05  -1.8180e-18  ---
 4443.04   1.0685e-18  ---
 4445.03  -2.9545e-18  ---
 4447.02   3.3465e-18  ---
 4449.00   1.3496e-18  ---
 4450.99   2.1908e-18  ---
 4452.98   2.7354e-18  ---
 4454.97  -6.6594e-19  ---
 4456.96   5.3148e-19  ---
 4458.95  -4.7653e-18  ---
 4460.94  -1.9908e-18  ---
 4462.93  -1.3969e-18  ---
 4464.92  -8.8700e-19  ---
 4466.90  -1.0903e-18  ---
 4468.89  -6.9570e-19  ---
 4470.88  -1.2001e-18  ---
 4472.87   1.4626e-19  ---
 4474.86   1.5456e-18  ---
 4476.85   4.3851e-18  ---
 4478.84   3.4647e-18  ---
 4480.83   1.0487e-18  ---
 4482.82  -2.8649e-18  ---
 4484.80   2.0792e-18  ---
 4486.79   5.7054e-18  ---
 4488.78   3.3073e-18  ---
 4490.77   6.6110e-18  ---
 4492.76   1.2903e-18  ---
 4494.75   3.8356e-18  ---
 4496.74   3.2507e-18  ---
 4498.73   1.8582e-18  ---
 4500.72   3.8168e-18  ---
 4502.70  -3.6136e-18  ---
 4504.69  -4.0457e-18  ---
 4506.68  -2.2404e-18  ---
 4508.67  -2.1738e-18  ---
 4510.66   5.0323e-19  ---
 4512.65   4.4188e-18  ---
 4514.64   1.9505e-18  ---
 4516.63   4.5644e-18  ---
 4518.61   1.3261e-18  ---
 4520.60  -2.9577e-18  ---
 4522.59  -9.7936e-19  ---
 4524.58  -1.2726e-18  ---
 4526.57   3.7732e-20  ---
 4528.56  -2.4112e-18  ---
 4530.55  -9.7177e-19  ---
 4532.54   5.0453e-19  ---
 4534.53  -1.8596e-18  ---
 4536.51   1.0349e-18  ---
 4538.50  -2.1284e-18  ---
 4540.49   5.0592e-20  ---
 4542.48  -1.1999e-18  ---
 4544.47   5.9109e-18  ---
 4546.46   1.7535e-18  ---
 4548.45   8.6247e-19  ---
 4550.44  -9.0943e-19  ---
 4552.43   2.4685e-19  ---
 4554.41   1.8637e-18  ---
 4556.40  -6.6810e-19  ---
 4558.39  -2.6757e-18  ---
 4560.38   1.2693e-18  ---
 4562.37   4.6545e-18  ---
 4564.36   2.2183e-18  ---
 4566.35  -1.6937e-18  ---
 4568.34  -1.3950e-18  ---
 4570.33   2.0086e-19  ---
 4572.31  -1.5177e-18  ---
 4574.30  -3.7100e-18  ---
 4576.29  -1.1313e-18  ---
 4578.28   1.4303e-18  ---
 4580.27   4.0054e-18  ---
 4582.26   1.7817e-18  ---
 4584.25  -3.4724e-19  ---
 4586.24  -5.2116e-19  ---
 4588.22  -1.7444e-18  ---
 4590.21   8.7124e-20  ---
 4592.20   2.4186e-18  ---
 4594.19   1.4696e-18  ---
 4596.18   8.9710e-19  ---
 4598.17  -1.4699e-18  ---
 4600.16  -4.2105e-18  ---
 4602.15  -1.7849e-18  ---
 4604.14  -5.2750e-19  ---
 4606.12   4.6206e-19  ---
 4608.11   1.2411e-18  ---
 4610.10   1.3611e-18  ---
 4612.09  -2.8821e-18  ---
 4614.08   1.3007e-18  ---
 4616.07  -2.1389e-19  ---
 4618.06   1.9073e-18  ---
 4620.05   5.6097e-18  ---
 4622.04   3.0658e-18  ---
 4624.02  -1.2226e-18  ---
 4626.01  -1.3025e-18  ---
 4628.00   1.8907e-20  ---
 4629.99  -1.2433e-18  ---
 4631.98   3.1879e-18  ---
 4633.97  -2.4272e-19  ---
 4635.96  -2.0756e-18  ---
 4637.95   3.5543e-18  ---
 4639.94  -1.4975e-19  ---
 4641.92   3.2813e-18  ---
 4643.91   1.4851e-18  ---
 4645.90  -4.2671e-19  ---
 4647.89   2.8691e-18  ---
 4649.88   2.5631e-18  ---
 4651.87   1.1873e-18  ---
 4653.86  -6.4716e-19  ---
 4655.85   7.3029e-20  ---
 4657.83  -6.2161e-19  ---
 4659.82  -2.2054e-18  ---
 4661.81  -2.5635e-18  ---
 4663.80  -1.0043e-18  ---
 4665.79   8.4124e-19  ---
 4667.78  -2.0891e-18  ---
 4669.77   3.6747e-19  ---
 4671.76   1.7737e-18  ---
 4673.75   4.8730e-18  ---
 4675.73   3.4405e-18  ---
 4677.72   1.3456e-18  ---
 4679.71   7.5828e-19  ---
 4681.70   3.6103e-20  ---
 4683.69   7.0083e-19  ---
 4685.68   1.7194e-18  ---
 4687.67   9.2825e-19  ---
 4689.66  -1.1101e-18  ---
 4691.65  -1.5678e-18  ---
 4693.63   2.7343e-18  ---
 4695.62  -6.5988e-19  ---
 4697.61  -3.3643e-19  ---
 4699.60   1.2179e-18  ---
 4701.59   1.1478e-18  ---
 4703.58   5.3902e-20  ---
 4705.57  -1.3175e-18  ---
 4707.56  -2.2094e-18  ---
 4709.54  -3.7158e-20  ---
 4711.53   1.3306e-18  ---
 4713.52   3.2158e-18  ---
 4715.51   1.7219e-18  ---
 4717.50   3.2992e-18  ---
 4719.49   3.0651e-18  ---
 4721.48   2.3433e-18  ---
 4723.47   8.3753e-19  ---
 4725.46  -4.5217e-19  ---
 4727.44   3.1897e-18  ---
 4729.43   2.3768e-18  ---
 4731.42   8.6454e-19  ---
 4733.41   1.3774e-18  ---
 4735.40  -2.6365e-18  ---
 4737.39   1.6838e-18  ---
 4739.38  -7.6355e-19  ---
 4741.37  -9.1806e-19  ---
 4743.36   1.8774e-18  ---
 4745.34   1.4507e-18  ---
 4747.33   3.2608e-18  ---
 4749.32   2.8205e-18  ---
 4751.31  -2.9640e-18  ---
 4753.30   2.8936e-18  ---
 4755.29   8.0846e-19  ---
 4757.28   1.8775e-18  ---
 4759.27   3.2432e-18  ---
 4761.26   1.4590e-18  ---
 4763.24   1.3692e-18  ---
 4765.23   1.0787e-18  ---
 4767.22   1.5312e-18  ---
 4769.21  -1.1563e-18  ---
 4771.20  -1.5813e-18  ---
 4773.19   2.6087e-18  ---
 4775.18   2.7576e-18  ---
 4777.17   1.8873e-18  ---
 4779.15  -9.1093e-19  ---
 4781.14   9.4344e-20  ---
 4783.13   9.3809e-19  ---
 4785.12   2.1351e-18  ---
 4787.11   3.4344e-18  ---
 4789.10   3.1731e-18  ---
 4791.09   3.8185e-18  ---
 4793.08   4.0363e-18  ---
 4795.07   3.5198e-18  ---
 4797.05  -1.3393e-18  ---
 4799.04  -3.2048e-18  ---
 4801.03   5.1302e-18  ---
 4803.02   1.7235e-18  ---
 4805.01  -2.8093e-19  ---
 4807.00   4.8197e-18  ---
 4808.99   3.0804e-18  ---
 4810.98  -2.1184e-19  ---
 4812.97   1.2685e-19  ---
 4814.95   2.7521e-19  ---
 4816.94   1.5268e-18  ---
 4818.93   4.6807e-18  ---
 4820.92   2.4300e-18  ---
 4822.91  -8.8370e-19  ---
 4824.90   1.2592e-18  ---
 4826.89   4.0883e-18  ---
 4828.88  -2.4362e-19  ---
 4830.87   1.3862e-18  ---
 4832.85   1.5514e-18  ---
 4834.84   1.4310e-18  ---
 4836.83   2.1878e-18  ---
 4838.82   1.4371e-18  ---
 4840.81   3.4507e-18  ---
 4842.80   1.9877e-18  ---
 4844.79   1.3783e-18  ---
 4846.78   4.0094e-18  ---
 4848.76   5.0728e-19  ---
 4850.75   6.9868e-19  ---
 4852.74   2.0455e-18  ---
 4854.73   2.8667e-18  ---
 4856.72   2.4218e-18  ---
 4858.71   6.5504e-18  ---
 4860.70   4.0679e-18  ---
 4862.69   2.9012e-18  ---
 4864.68   2.8512e-18  ---
 4866.66   1.9459e-18  ---
 4868.65   1.4641e-18  ---
 4870.64   2.8985e-18  ---
 4872.63   3.9450e-18  ---
 4874.62   4.0469e-18  ---
 4876.61   2.6663e-18  ---
 4878.60   2.1262e-18  ---
 4880.59   6.4001e-18  ---
 4882.58   7.2739e-18  ---
 4884.56   5.9748e-18  ---
 4886.55   1.8855e-18  ---
 4888.54   2.2087e-18  ---
 4890.53   6.4800e-18  ---
 4892.52   2.2326e-18  ---
 4894.51   3.3573e-18  ---
 4896.50   1.9003e-18  ---
 4898.49   3.8192e-18  ---
 4900.48   5.8083e-18  ---
 4902.46   5.4852e-18  ---
 4904.45   4.3316e-19  ---
 4906.44   1.8170e-18  ---
 4908.43   1.8401e-18  ---
 4910.42   4.0457e-18  ---
 4912.41   4.1696e-18  ---
 4914.40   5.5651e-18  ---
 4916.39   1.5063e-19  ---
 4918.37   3.1760e-18  ---
 4920.36   5.5525e-18  ---
 4922.35   1.1046e-18  ---
 4924.34   3.5357e-18  ---
 4926.33   3.4627e-18  ---
 4928.32   3.3586e-18  ---
 4930.31   2.2244e-18  ---
 4932.30   4.2826e-18  ---
 4934.29   2.9950e-18  ---
 4936.27   2.7926e-18  ---
 4938.26   5.5505e-18  ---
 4940.25   4.4577e-18  ---
 4942.24   5.2763e-18  ---
 4944.23   5.2648e-18  ---
 4946.22   4.8575e-18  ---
 4948.21   2.0696e-18  ---
 4950.20   2.1170e-18  ---
 4952.19   3.3504e-18  ---
 4954.17   2.5717e-18  ---
 4956.16   3.4574e-18  ---
 4958.15   4.5753e-18  ---
 4960.14   3.6612e-18  ---
 4962.13   1.4509e-18  ---
 4964.12   2.0107e-18  ---
 4966.11   4.0055e-18  ---
 4968.10   1.9078e-18  ---
 4970.08   3.6522e-18  ---
 4972.07   1.7835e-18  ---
 4974.06   2.9130e-18  ---
 4976.05   4.4125e-18  ---
 4978.04   3.8577e-18  ---
 4980.03   3.2227e-18  ---
 4982.02   5.5091e-18  ---
 4984.01   5.9170e-18  ---
 4986.00   4.9109e-18  ---
 4987.98   2.9157e-18  ---
 4989.97   2.8713e-18  ---
 4991.96   3.9421e-18  ---
 4993.95   3.3466e-18  ---
 4995.94   2.1130e-18  ---
 4997.93   3.9861e-18  ---
 4999.92   3.5449e-18  ---
 5001.91   4.3424e-18  ---
 5003.90   6.2749e-18  ---
 5005.88   5.7428e-18  ---
 5007.87   4.3516e-18  ---
 5009.86   1.8894e-18  ---
 5011.85   4.0859e-18  ---
 5013.84   3.7827e-18  ---
 5015.83   2.7035e-18  ---
 5017.82   4.6799e-18  ---
 5019.81   2.5258e-18  ---
 5021.80   2.8395e-18  ---
 5023.78   4.0063e-18  ---
 5025.77   5.3698e-18  ---
 5027.76   5.0537e-18  ---
 5029.75   6.9495e-18  ---
 5031.74   6.8062e-18  ---
 5033.73   3.6179e-18  ---
 5035.72   5.0003e-18  ---
 5037.71   6.6761e-18  ---
 5039.69   3.7291e-18  ---
 5041.68   5.0863e-18  ---
 5043.67   5.9841e-18  ---
 5045.66   5.7901e-18  ---
 5047.65   5.3751e-18  ---
 5049.64   4.3501e-18  ---
 5051.63   4.8978e-18  ---
 5053.62   3.2545e-18  ---
 5055.61   3.7478e-18  ---
 5057.59   4.4046e-18  ---
 5059.58   3.3922e-18  ---
 5061.57   4.8542e-18  ---
 5063.56   5.3538e-18  ---
 5065.55   6.6122e-18  ---
 5067.54   5.2493e-18  ---
 5069.53   3.8953e-18  ---
 5071.52   5.9333e-18  ---
 5073.51   4.6365e-18  ---
 5075.49   2.8480e-18  ---
 5077.48   3.3557e-18  ---
 5079.47   4.9738e-18  ---
 5081.46   4.1757e-18  ---
 5083.45   2.2084e-18  ---
 5085.44   3.0523e-18  ---
 5087.43   5.4206e-18  ---
