 
TRANSIENT_NAME:     DES15E1neh 
SNID:               1338170    
OBS_DATE:           2015-12-13
MJD:                57369. 
PHASE:              +4.    
MJD_MAX:            57363.4
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.3900  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       2.4829      24.2876
 3757.75       5.8594      26.9982
 3758.79      -3.7533      23.3953
 3759.83       1.3467      24.3682
 3760.87       1.3690      23.3809
 3761.90       0.4826      22.9374
 3762.94      -3.3900      23.1043
 3763.98      -7.5343      20.3703
 3765.02      -2.6021      22.7415
 3766.06      -1.6783      21.9784
 3767.09      -3.0873      20.1925
 3768.13       1.9719      21.8856
 3769.17       0.8544      21.5758
 3770.21       6.4985      23.5845
 3771.24       5.0844      23.6687
 3772.28      -3.5648      20.1822
 3773.32      -2.4107      21.8971
 3774.36      -6.0508      20.0058
 3775.40      -3.2417      20.1691
 3776.43      -5.9989      18.7920
 3777.47      -3.7301      19.7615
 3778.51      -0.5120      21.1991
 3779.55      -1.3226      20.8017
 3780.58      -0.9564      20.4814
 3781.62       7.3441      22.9343
 3782.66       5.1284      22.1344
 3783.70       2.4203      21.7175
 3784.73       5.9222      23.1383
 3785.77       0.9496      20.5158
 3786.81      -1.0522      19.4022
 3787.85      -0.8892      20.4527
 3788.89       4.3944      20.3144
 3789.92       0.8460      19.2252
 3790.96       3.0496      20.3290
 3792.00      -2.2466      18.6341
 3793.04      -0.5839      18.1610
 3794.07      -5.4345      15.5539
 3795.11      -4.5489      15.9377
 3796.15       3.6824      18.7910
 3797.19       3.5942      17.4666
 3798.23       0.4839      17.3558
 3799.26       2.4184      18.2448
 3800.30       3.4851      17.4212
 3801.34       4.6944      18.2634
 3802.38      -1.0227      15.8080
 3803.41      -3.0702      15.0162
 3804.45       2.2553      15.8995
 3805.49       6.4548      18.3036
 3806.53       1.0566      15.8289
 3807.57       4.5355      16.4284
 3808.60       0.1952      15.4236
 3809.64      -7.4377      11.6433
 3810.68      -2.1539      13.3435
 3811.72      -0.4621      14.4461
 3812.75      -2.1310      13.3528
 3813.79      -5.1965      12.4478
 3814.83       0.0001      13.6952
 3815.87       1.1807      13.9811
 3816.90       1.9337      14.5899
 3817.94      -2.3217      13.0916
 3818.98      -3.9858      11.4589
 3820.02       0.8445      13.0444
 3821.06       1.3093      12.7870
 3822.09       1.6863      12.2254
 3823.13       1.5386      11.5956
 3824.17       1.7297      11.5845
 3825.21       1.6777      11.5814
 3826.24       0.5780      10.9503
 3827.28       1.6789      11.4624
 3828.32       0.3837      11.1336
 3829.36       0.4554      11.5346
 3830.40       4.0711      11.9897
 3831.43       1.8814      10.9124
 3832.47       1.3779      10.8360
 3833.51      -3.2691       9.2402
 3834.55       2.5561      10.4985
 3835.58       4.8225      10.9914
 3836.62       1.5770       9.6732
 3837.66      -1.6042       8.5135
 3838.70      -1.4122       8.7949
 3839.74       1.1654       9.1638
 3840.77       0.5052       8.5797
 3841.81      -0.9638       8.8347
 3842.85      -0.2781       8.7790
 3843.89       2.0175       9.2949
 3844.92       2.0549       8.9403
 3845.96      -1.4871       8.1493
 3847.00       0.8319       8.4984
 3848.04       2.4326       8.7373
 3849.07       1.1978       8.5759
 3850.11      -2.2012       7.4655
 3851.15      -3.8787       7.2691
 3852.19      -1.8142       7.9774
 3853.23      -1.5659       7.7095
 3854.26      -0.4068       8.0321
 3855.30       0.6889       7.6724
 3856.34       0.7407       7.8328
 3857.38       1.1258       7.9785
 3858.41      -3.7738       6.6331
 3859.45      -2.2714       7.4837
 3860.49       1.7279       9.0239
 3861.53      -0.2269       7.5489
 3862.57       1.6728       8.3044
 3863.60       0.9911       8.1768
 3864.64       1.7755       8.5309
 3865.68      -0.3450       8.4399
 3866.72       1.8598       8.6562
 3867.75      -2.4783       7.0120
 3868.79      -1.7172       7.2629
 3869.83      -0.5419       7.4316
 3870.87       1.8337       7.7127
 3871.91       0.4647       7.2749
 3872.94      -0.5599       7.4646
 3873.98       1.0531       7.7584
 3875.02      -1.7157       6.8056
 3876.06      -3.6869       6.7603
 3877.09      -4.1809       6.6253
 3878.13       1.7757       7.7500
 3879.17       1.9106       7.4873
 3880.21      -0.4594       6.8265
 3881.24       0.0755       6.7702
 3882.28       3.0620       7.5626
 3883.32      -2.3149       6.2733
 3884.36      -1.6861       5.9787
 3885.40      -0.7148       6.3821
 3886.43      -4.1135       5.7694
 3887.47       1.2646       6.6449
 3888.51       0.5275       6.3639
 3889.55      -2.3103       5.7072
 3890.58       1.1590       6.3938
 3891.62      -0.3914       6.0501
 3892.66      -2.2993       5.6487
 3893.70      -2.0548       6.4476
 3894.74      -0.4950       6.0646
 3895.77       2.4799       6.1611
 3896.81       4.1064       6.7351
 3897.85       2.2903       6.2868
 3898.89       0.5045       5.5006
 3899.92      -1.2350       5.0244
 3900.96       0.0375       5.5700
 3902.00      -0.0776       5.8332
 3903.04       0.1462       6.2631
 3904.07      -1.4295       5.5148
 3905.11      -1.3472       5.3769
 3906.15       0.1719       5.7069
 3907.19       2.2469       6.0148
 3908.23       0.1603       5.6988
 3909.26      -1.2045       5.1462
 3910.30      -1.6667       4.8078
 3911.34       4.5757       6.2582
 3912.38       4.9187       6.6407
 3913.41      -0.0448       5.8129
 3914.45      -0.0552       5.6459
 3915.49       0.2025       5.4063
 3916.53       2.4972       5.2828
 3917.57       0.6927       4.8163
 3918.60      -0.4440       4.5798
 3919.64       0.9002       4.6437
 3920.68       1.8222       4.7711
 3921.72       1.8751       4.3909
 3922.75      -0.1668       3.8860
 3923.79      -0.8796       3.9314
 3924.83      -0.6792       4.0036
 3925.87       0.1591       4.0133
 3926.91       0.1298       4.0065
 3927.94       0.3642       3.7035
 3928.98      -2.0283       3.2261
 3930.02      -2.8480       3.1001
 3931.06      -0.7161       3.2512
 3932.09      -0.2270       3.1393
 3933.13      -0.9625       3.0060
 3934.17      -0.8787       2.9781
 3935.21       0.7560       3.1575
 3936.24       0.1597       3.0941
 3937.28      -1.5474       2.9406
 3938.32      -1.0182       2.9844
 3939.36      -0.5253       2.9385
 3940.40      -0.6341       3.2516
 3941.43      -1.6446       3.1525
 3942.47       0.4372       3.2603
 3943.51       1.4815       3.4056
 3944.55      -0.9778       2.9625
 3945.58       0.1569       3.0369
 3946.62       3.2322       3.4120
 3947.66       1.1900       3.2006
 3948.70      -0.7700       2.9522
 3949.74       0.6632       3.0767
 3950.77       1.2325       3.2264
 3951.81      -1.5618       2.8545
 3952.85      -0.0608       2.9547
 3953.89       0.5574       3.2494
 3954.92      -2.0489       3.0672
 3955.96      -0.8768       2.9871
 3957.00       0.0937       2.9231
 3958.04       1.2166       3.2202
 3959.08       1.9330       3.2418
 3960.11       0.6436       3.0205
 3961.15      -0.3267       2.8345
 3962.19      -0.8068       2.5283
 3963.23       0.6230       2.7406
 3964.26       0.0987       2.7329
 3965.30      -3.0977       2.2700
 3966.34      -2.0193       2.3282
 3967.38       1.5184       2.6362
 3968.41       0.2444       2.4483
 3969.45      -0.7286       2.3335
 3970.49      -0.7408       2.5129
 3971.53       0.6142       2.7459
 3972.57       2.6649       2.9348
 3973.60       1.4967       2.8692
 3974.64       0.2539       2.8743
 3975.68      -0.0272       2.5902
 3976.72      -0.5750       2.5019
 3977.75       0.0578       3.0491
 3978.79      -1.5990       2.7969
 3979.83      -0.6254       2.5128
 3980.87       2.5623       3.1028
 3981.91       1.6284       2.9896
 3982.94       0.9057       2.8127
