 
TRANSIENT_NAME:     DES15E2cwm 
SNID:               1289288    
OBS_DATE:           2015-09-17
MJD:                57282. 
PHASE:              +6.    
MJD_MAX:            57273.7
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.2910  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -0.4587      10.9438
 3757.75       5.5001      11.6602
 3758.79       2.8736      10.7201
 3759.83       0.4942      10.2624
 3760.87       3.9318      11.6305
 3761.90       2.3165      11.4638
 3762.94      -2.8416       9.6015
 3763.98       0.3151      10.7488
 3765.02       4.4296      12.2153
 3766.06       4.5992      11.8373
 3767.09       4.3478      11.0388
 3768.13       4.4671      10.6351
 3769.17       2.9016      10.3350
 3770.21      -2.3500       9.4298
 3771.24       0.2419       9.7092
 3772.28       0.9392       9.6232
 3773.32      -3.3421       8.7673
 3774.36      -2.1478       9.4383
 3775.40      -0.9917       9.9847
 3776.43       0.8982      10.3779
 3777.47      -0.0470       9.1955
 3778.51       0.0338       8.5822
 3779.55       1.6632       9.0093
 3780.58      -0.2992       8.8397
 3781.62      -0.7884       9.4355
 3782.66       1.7775      10.2757
 3783.70       2.3816       9.9829
 3784.73      -1.2667       8.7364
 3785.77      -3.6319       8.3223
 3786.81      -2.7334       8.5412
 3787.85      -0.9696       8.4604
 3788.89       2.9165       8.9292
 3789.92       2.5489       8.6824
 3790.96       1.3493       9.2077
 3792.00       4.5186       9.6981
 3793.04       1.4908       8.1951
 3794.07       0.3623       8.2784
 3795.11      -1.0972       7.6241
 3796.15      -3.3860       6.7767
 3797.19      -0.0021       7.5607
 3798.23       3.4559       8.1225
 3799.26       3.4148       8.0461
 3800.30       2.5252       8.1964
 3801.34       1.8598       8.0811
 3802.38       0.9288       7.5599
 3803.41       3.0096       7.8654
 3804.45       0.6951       7.4718
 3805.49      -0.7577       6.6895
 3806.53       1.3686       6.6158
 3807.57       1.2520       6.8131
 3808.60      -2.8921       5.8562
 3809.64      -3.6996       5.4458
 3810.68       1.3706       7.0923
 3811.72       2.7645       7.4011
 3812.75       4.5241       7.2653
 3813.79       3.7235       7.2100
 3814.83      -1.4131       6.0389
 3815.87      -1.9654       5.5232
 3816.90      -2.7037       5.5033
 3817.94      -0.4635       5.8904
 3818.98      -1.8208       5.5737
 3820.02      -2.5168       4.9764
 3821.06      -0.6388       4.8740
 3822.09       0.8140       5.4091
 3823.13       5.7742       6.4435
 3824.17       4.8196       6.1420
 3825.21       2.5162       5.4816
 3826.24      -0.2824       4.9033
 3827.28      -0.1162       4.8593
 3828.32      -1.3521       4.6834
 3829.36      -0.2563       4.8179
 3830.40       2.4788       5.3629
 3831.43       2.4527       5.3701
 3832.47      -0.0814       4.6062
 3833.51      -4.4744       3.8127
 3834.55       1.4821       4.9765
 3835.58       2.7509       4.9503
 3836.62      -0.8308       4.0318
 3837.66       1.5256       4.4122
 3838.70       0.1795       4.2967
 3839.74      -1.4429       3.7900
 3840.77       1.2650       3.9825
 3841.81       1.1047       4.1178
 3842.85      -0.2748       3.8756
 3843.89       0.7975       4.1475
 3844.92      -0.3050       3.7637
 3845.96       0.9303       3.8376
 3847.00       2.5545       4.3028
 3848.04      -0.8670       3.5624
 3849.07      -1.0299       3.4404
 3850.11       2.7811       4.1804
 3851.15       4.4908       4.6138
 3852.19       5.4712       4.7247
 3853.23       5.0697       4.4263
 3854.26       1.2911       3.7022
 3855.30       0.0947       3.5415
 3856.34       1.3471       3.6317
 3857.38      -0.6582       3.1202
 3858.41      -2.3157       2.7903
 3859.45      -1.2829       2.8312
 3860.49      -0.5900       3.0012
 3861.53      -3.3314       2.7431
 3862.57      -1.0019       3.1590
 3863.60       4.4565       4.1226
 3864.64       1.7612       3.5951
 3865.68       2.6810       3.9107
 3866.72       3.4884       3.9964
 3867.75       1.1479       3.4290
 3868.79       0.2319       3.5668
 3869.83       0.2876       3.5324
 3870.87       0.4567       3.2984
 3871.91      -0.7992       3.0583
 3872.94      -0.1966       3.1539
 3873.98       0.3160       3.2577
 3875.02       1.0021       3.3459
 3876.06       3.0432       3.4077
 3877.09      -0.1641       2.9551
 3878.13      -0.9005       2.9437
 3879.17       2.2940       3.3788
 3880.21       3.8414       3.6732
 3881.24      -1.0790       2.8128
 3882.28      -3.2022       2.3359
 3883.32       0.3695       3.0551
 3884.36       3.9633       3.6430
 3885.40       4.1138       3.2553
 3886.43       2.1660       2.7955
 3887.47       1.8389       2.7586
 3888.51      -1.1656       2.2723
 3889.55      -0.5083       2.2700
 3890.58       0.6283       2.7216
 3891.62       0.7068       2.8354
 3892.66       2.2012       2.7263
 3893.70       0.4613       2.5834
 3894.74      -0.7240       2.4569
 3895.77       1.5224       2.8144
 3896.81       2.0259       2.8889
 3897.85      -0.4673       2.2566
 3898.89      -0.4648       2.3278
 3899.92       0.5879       2.7101
 3900.96       0.3338       2.4193
 3902.00      -0.3626       2.1425
 3903.04      -3.0196       2.0441
 3904.07      -1.7620       2.1519
 3905.11       1.0563       2.4719
 3906.15       0.0203       2.4267
 3907.19       0.2589       2.2826
 3908.23       0.8000       2.4607
 3909.26       0.7704       2.6138
 3910.30      -0.0926       2.2934
 3911.34       0.5627       2.2711
 3912.38       0.9012       2.3550
 3913.41       0.0861       2.2907
 3914.45       0.8096       2.3816
 3915.49       2.2953       2.6514
 3916.53       3.7198       2.7758
 3917.57       2.3336       2.4031
 3918.60       1.0462       2.2415
 3919.64      -0.0937       2.0591
 3920.68      -1.1443       1.7640
 3921.72      -0.1834       1.9446
 3922.75       1.5968       2.1163
 3923.79       1.1238       1.9218
 3924.83      -0.7681       1.8166
 3925.87      -0.8704       1.7427
 3926.91       0.7000       1.7242
 3927.94       1.8060       1.7719
 3928.98       0.9795       1.6035
