 
TRANSIENT_NAME:     DES15E2cwm 
SNID:               1289288    
OBS_DATE:           2015-09-18
MJD:                57283. 
PHASE:              +7.    
MJD_MAX:            57273.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2904  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4251.79   1.7407e-16  ---
 4253.79   1.6006e-16  ---
 4255.79   3.6622e-16  ---
 4257.80   3.3632e-17  ---
 4259.80   2.6241e-16  ---
 4261.80   2.6246e-16  ---
 4263.81   1.5116e-16  ---
 4265.81   2.7478e-16  ---
 4267.81   1.7848e-16  ---
 4269.82   2.3705e-16  ---
 4271.82   1.7465e-16  ---
 4273.82   9.3888e-17  ---
 4275.83   2.1243e-16  ---
 4277.83   1.5662e-16  ---
 4279.83   1.2316e-16  ---
 4281.84   3.6036e-16  ---
 4283.84   1.3614e-16  ---
 4285.84   6.5602e-17  ---
 4287.85   1.5135e-16  ---
 4289.85   1.5686e-16  ---
 4291.85   1.2694e-16  ---
 4293.85   1.2432e-16  ---
 4295.86   1.2822e-16  ---
 4297.86   1.6384e-16  ---
 4299.86   1.9918e-16  ---
 4301.87   1.2931e-16  ---
 4303.87   9.4535e-17  ---
 4305.87   1.4495e-16  ---
 4307.88   1.0366e-16  ---
 4309.88   1.2363e-16  ---
 4311.88   1.3781e-16  ---
 4313.89   2.2435e-16  ---
 4315.89   1.9509e-16  ---
 4317.89   7.3440e-17  ---
 4319.90   2.3678e-16  ---
 4321.90   1.8755e-16  ---
 4323.90   1.9262e-16  ---
 4325.91   2.0461e-16  ---
 4327.91   8.9794e-17  ---
 4329.91   2.7412e-16  ---
 4331.92   1.3984e-16  ---
 4333.92   1.0937e-16  ---
 4335.92   2.7174e-16  ---
 4337.93   3.5536e-17  ---
 4339.93   1.2792e-16  ---
 4341.93   1.3630e-16  ---
 4343.94   1.3586e-17  ---
 4345.94   2.3771e-16  ---
 4347.94   3.3846e-17  ---
 4349.95   3.2594e-17  ---
 4351.95   1.0547e-16  ---
 4353.95   4.0152e-17  ---
 4355.96   1.1840e-16  ---
 4357.96   1.0576e-16  ---
 4359.96   8.3880e-17  ---
 4361.97   2.0627e-16  ---
 4363.97   1.1315e-16  ---
 4365.97   1.8625e-16  ---
 4367.98   2.6754e-16  ---
 4369.98   1.0978e-16  ---
 4371.98   2.5923e-16  ---
 4373.99   1.4737e-16  ---
 4375.99   9.8342e-17  ---
 4377.99   2.1776e-16  ---
 4380.00   1.1455e-16  ---
 4382.00   1.7385e-16  ---
 4384.00   2.0176e-16  ---
 4386.01   1.4968e-16  ---
 4388.01   2.6680e-16  ---
 4390.01   2.1473e-16  ---
 4392.02   1.7506e-16  ---
 4394.02   1.9638e-16  ---
 4396.02   8.5876e-17  ---
 4398.03   1.3054e-16  ---
 4400.03   1.2147e-16  ---
 4402.03   1.5698e-16  ---
 4404.04   2.1556e-16  ---
 4406.04   1.4414e-16  ---
 4408.04   1.0957e-16  ---
 4410.05   1.0652e-16  ---
 4412.05   1.3934e-16  ---
 4414.05   1.1798e-16  ---
 4416.06   1.5806e-16  ---
 4418.06   2.2257e-16  ---
 4420.06   1.7157e-16  ---
 4422.06   2.4905e-16  ---
 4424.07   1.4421e-16  ---
 4426.07   1.8134e-16  ---
 4428.08   2.0889e-16  ---
 4430.08   8.6207e-17  ---
 4432.08   1.0742e-16  ---
 4434.08   1.8459e-16  ---
 4436.09   9.6696e-17  ---
 4438.09   2.0054e-16  ---
 4440.09   1.2812e-16  ---
 4442.10   7.0923e-17  ---
 4444.10   1.5683e-16  ---
 4446.10   7.6411e-17  ---
 4448.11   1.3434e-16  ---
 4450.11   1.3105e-16  ---
 4452.11   1.5962e-16  ---
 4454.12   2.6872e-16  ---
 4456.12   6.1491e-17  ---
 4458.12   1.6544e-16  ---
 4460.13   2.7415e-16  ---
 4462.13   8.7620e-17  ---
 4464.13   1.9901e-16  ---
 4466.14   1.6004e-16  ---
 4468.14   1.1542e-16  ---
 4470.14   2.5604e-16  ---
 4472.15   1.2629e-16  ---
 4474.15   1.6967e-16  ---
 4476.15   2.2570e-16  ---
 4478.16   1.7915e-16  ---
 4480.16   2.5872e-16  ---
 4482.16   1.3597e-16  ---
 4484.17   8.6077e-17  ---
 4486.17   1.6449e-16  ---
 4488.17   4.2418e-17  ---
 4490.18   1.6661e-16  ---
 4492.18   1.8917e-16  ---
 4494.18   8.6818e-17  ---
 4496.19   1.9451e-16  ---
 4498.19   1.3627e-16  ---
 4500.19   1.2322e-16  ---
 4502.20   1.7118e-16  ---
 4504.20   1.4381e-16  ---
 4506.20   1.6148e-16  ---
 4508.21   1.4173e-16  ---
 4510.21   1.4911e-16  ---
 4512.21   1.8137e-16  ---
 4514.22   1.9352e-16  ---
 4516.22   1.8204e-16  ---
 4518.22   1.6978e-16  ---
 4520.23   1.7252e-16  ---
 4522.23   1.4936e-16  ---
 4524.23   1.6945e-16  ---
 4526.24   2.4303e-16  ---
 4528.24   1.7744e-16  ---
 4530.24   1.9497e-16  ---
 4532.25   1.3647e-16  ---
 4534.25   1.5976e-16  ---
 4536.25   1.9628e-16  ---
 4538.26   1.8251e-16  ---
 4540.26   1.3671e-16  ---
 4542.26   1.7734e-16  ---
 4544.27   9.2049e-17  ---
 4546.27   1.4274e-16  ---
 4548.27   1.8362e-16  ---
 4550.28   6.9199e-17  ---
 4552.28   1.9584e-16  ---
 4554.28   1.2904e-16  ---
 4556.29   1.8168e-16  ---
 4558.29   2.7877e-16  ---
 4560.29   1.6708e-16  ---
 4562.29   1.8803e-16  ---
 4564.30   2.6285e-16  ---
 4566.30   1.3751e-16  ---
 4568.30   2.6540e-16  ---
 4570.31   2.2489e-16  ---
 4572.31   1.9470e-16  ---
 4574.31   3.1626e-16  ---
 4576.32   1.7716e-16  ---
 4578.32   2.0668e-16  ---
 4580.32   2.6027e-16  ---
 4582.33   1.4244e-16  ---
 4584.33   2.6691e-16  ---
 4586.33   2.0879e-16  ---
 4588.34   9.8270e-17  ---
 4590.34   1.9954e-16  ---
 4592.34   1.7751e-16  ---
 4594.35   2.0660e-16  ---
 4596.35   2.2617e-16  ---
 4598.35   1.1826e-16  ---
 4600.36   1.8740e-16  ---
 4602.36   1.9523e-16  ---
 4604.36   1.4363e-16  ---
 4606.37   2.0228e-16  ---
 4608.37   1.6659e-16  ---
 4610.37   1.5729e-16  ---
 4612.38   1.9918e-16  ---
 4614.38   9.7811e-17  ---
 4616.38   1.7020e-16  ---
 4618.39   2.2522e-16  ---
 4620.39   2.0093e-16  ---
 4622.39   1.6926e-16  ---
 4624.40   1.5688e-16  ---
 4626.40   1.4377e-16  ---
 4628.40   1.5699e-16  ---
 4630.41   1.3198e-16  ---
 4632.41   1.2552e-16  ---
 4634.41   9.8739e-17  ---
 4636.42   9.1394e-17  ---
 4638.42   1.7706e-16  ---
 4640.42   1.9024e-16  ---
 4642.43   1.4539e-16  ---
 4644.43   1.4792e-16  ---
 4646.43   1.5222e-16  ---
 4648.44   1.5871e-16  ---
 4650.44   1.8229e-16  ---
 4652.44   1.6794e-16  ---
 4654.45   1.7978e-16  ---
 4656.45   1.4693e-16  ---
 4658.45   2.0116e-16  ---
 4660.46   2.1203e-16  ---
 4662.46   1.6876e-16  ---
 4664.46   1.8239e-16  ---
 4666.47   1.6772e-16  ---
 4668.47   2.0643e-16  ---
 4670.47   2.1191e-16  ---
 4672.48   2.1723e-16  ---
 4674.48   2.2122e-16  ---
 4676.48   1.8504e-16  ---
 4678.49   2.6069e-16  ---
 4680.49   2.4020e-16  ---
 4682.49   1.2444e-16  ---
 4684.50   1.6170e-16  ---
 4686.50   1.5261e-16  ---
 4688.50   1.2106e-16  ---
 4690.51   2.0466e-16  ---
 4692.51   1.6063e-16  ---
 4694.51   1.5381e-16  ---
 4696.52   2.1888e-16  ---
 4698.52   1.0808e-16  ---
 4700.52   1.5876e-16  ---
 4702.52   1.7603e-16  ---
 4704.53   1.1627e-16  ---
 4706.53   2.4171e-16  ---
 4708.53   1.6009e-16  ---
 4710.54   1.0733e-16  ---
 4712.54   2.1351e-16  ---
 4714.54   1.5391e-16  ---
 4716.55   1.8830e-16  ---
 4718.55   2.4318e-16  ---
 4720.55   1.5252e-16  ---
 4722.56   2.1182e-16  ---
 4724.56   1.9291e-16  ---
 4726.56   1.3140e-16  ---
 4728.57   1.9837e-16  ---
 4730.57   1.9274e-16  ---
 4732.57   1.3728e-16  ---
 4734.58   1.8340e-16  ---
 4736.58   1.1628e-16  ---
 4738.58   1.8248e-16  ---
 4740.59   2.1788e-16  ---
 4742.59   1.5007e-16  ---
 4744.59   2.0007e-16  ---
 4746.60   1.6859e-16  ---
 4748.60   1.2030e-16  ---
 4750.60   2.0361e-16  ---
 4752.61   2.0641e-16  ---
 4754.61   1.7482e-16  ---
 4756.61   1.9413e-16  ---
 4758.62   1.6564e-16  ---
 4760.62   1.9469e-16  ---
 4762.62   2.0614e-16  ---
 4764.63   1.8645e-16  ---
 4766.63   2.1672e-16  ---
 4768.63   2.2477e-16  ---
 4770.64   1.8541e-16  ---
 4772.64   1.7143e-16  ---
 4774.64   2.1339e-16  ---
 4776.65   1.7207e-16  ---
 4778.65   1.3169e-16  ---
 4780.65   1.8066e-16  ---
 4782.66   1.5180e-16  ---
 4784.66   1.1275e-16  ---
 4786.66   1.8138e-16  ---
 4788.67   1.4875e-16  ---
 4790.67   1.7200e-16  ---
 4792.67   1.9932e-16  ---
 4794.68   1.5555e-16  ---
 4796.68   1.8116e-16  ---
 4798.68   2.0715e-16  ---
 4800.69   1.5225e-16  ---
 4802.69   2.1987e-16  ---
 4804.69   2.4345e-16  ---
 4806.70   2.9037e-16  ---
 4808.70   3.4589e-16  ---
 4810.70   2.6172e-16  ---
 4812.71   2.6929e-16  ---
 4814.71   2.6567e-16  ---
 4816.71   1.2939e-16  ---
 4818.72   1.6855e-16  ---
 4820.72   2.2886e-16  ---
 4822.72   1.5372e-16  ---
 4824.73   2.3277e-16  ---
 4826.73   2.0780e-16  ---
 4828.73   1.5764e-16  ---
 4830.74   2.2579e-16  ---
 4832.74   1.4473e-16  ---
 4834.74   1.3859e-16  ---
 4836.75   1.9380e-16  ---
 4838.75   1.7669e-16  ---
 4840.75   2.1797e-16  ---
 4842.75   1.9551e-16  ---
 4844.76   1.7091e-16  ---
 4846.76   2.2252e-16  ---
 4848.76   2.1227e-16  ---
 4850.77   2.0131e-16  ---
 4852.77   2.4941e-16  ---
 4854.77   1.9621e-16  ---
 4856.78   1.5336e-16  ---
 4858.78   1.6327e-16  ---
 4860.78   1.5057e-16  ---
 4862.79   1.5656e-16  ---
 4864.79   2.0770e-16  ---
 4866.79   1.8303e-16  ---
 4868.80   1.8951e-16  ---
 4870.80   2.1800e-16  ---
 4872.80   2.1750e-16  ---
 4874.81   2.4367e-16  ---
 4876.81   3.0117e-16  ---
 4878.81   2.7386e-16  ---
 4880.82   2.1251e-16  ---
 4882.82   2.9601e-16  ---
 4884.82   2.6710e-16  ---
 4886.83   2.0483e-16  ---
 4888.83   2.5392e-16  ---
 4890.83   2.0988e-16  ---
 4892.84   1.9213e-16  ---
 4894.84   2.1681e-16  ---
 4896.84   1.9392e-16  ---
 4898.85   1.8307e-16  ---
 4900.85   2.0501e-16  ---
 4902.85   1.6478e-16  ---
 4904.86   2.4194e-16  ---
 4906.86   2.8386e-16  ---
 4908.86   2.2419e-16  ---
 4910.87   2.8402e-16  ---
 4912.87   2.3886e-16  ---
 4914.87   2.2811e-16  ---
 4916.88   3.1115e-16  ---
 4918.88   2.6856e-16  ---
 4920.88   2.5379e-16  ---
 4922.89   3.0149e-16  ---
 4924.89   2.2138e-16  ---
 4926.89   2.3483e-16  ---
 4928.90   2.3541e-16  ---
 4930.90   1.6682e-16  ---
 4932.90   2.3433e-16  ---
 4934.91   2.4849e-16  ---
 4936.91   1.8524e-16  ---
 4938.91   2.1870e-16  ---
 4940.92   2.1331e-16  ---
 4942.92   2.0688e-16  ---
 4944.92   1.9472e-16  ---
 4946.93   1.9850e-16  ---
 4948.93   1.7044e-16  ---
 4950.93   1.9275e-16  ---
 4952.94   2.0879e-16  ---
 4954.94   2.3834e-16  ---
 4956.94   2.7096e-16  ---
 4958.95   2.3903e-16  ---
 4960.95   2.7790e-16  ---
 4962.95   2.5563e-16  ---
 4964.96   2.6923e-16  ---
 4966.96   2.8865e-16  ---
 4968.96   2.5301e-16  ---
 4970.96   3.0265e-16  ---
 4972.97   2.8339e-16  ---
 4974.97   2.6621e-16  ---
 4976.97   2.9632e-16  ---
 4978.98   2.5959e-16  ---
 4980.98   2.8845e-16  ---
 4982.98   2.9791e-16  ---
 4984.99   2.4998e-16  ---
 4986.99   3.5282e-16  ---
 4988.99   3.2587e-16  ---
 4991.00   2.5715e-16  ---
 4993.00   3.3599e-16  ---
 4995.00   3.0067e-16  ---
 4997.01   2.3700e-16  ---
 4999.01   2.6932e-16  ---
 5001.01   2.4049e-16  ---
 5003.02   2.7679e-16  ---
 5005.02   3.1066e-16  ---
 5007.02   2.6175e-16  ---
 5009.03   2.9461e-16  ---
 5011.03   3.0033e-16  ---
 5013.03   2.1282e-16  ---
 5015.04   2.4130e-16  ---
 5017.04   2.3705e-16  ---
 5019.04   2.3571e-16  ---
 5021.05   2.9970e-16  ---
 5023.05   2.8019e-16  ---
 5025.05   2.6199e-16  ---
 5027.06   2.7769e-16  ---
 5029.06   2.8645e-16  ---
 5031.06   2.7835e-16  ---
 5033.07   3.1745e-16  ---
 5035.07   2.8983e-16  ---
 5037.07   2.8877e-16  ---
 5039.08   2.9995e-16  ---
 5041.08   2.7526e-16  ---
 5043.08   3.4157e-16  ---
 5045.09   3.5486e-16  ---
 5047.09   3.4731e-16  ---
 5049.09   3.7722e-16  ---
 5051.10   3.6631e-16  ---
 5053.10   3.7674e-16  ---
 5055.10   3.4337e-16  ---
 5057.11   3.2104e-16  ---
 5059.11   2.9548e-16  ---
 5061.11   2.7452e-16  ---
