 
TRANSIENT_NAME:     DES15E2nk  
SNID:               1281668    
OBS_DATE:           2015-09-08
MJD:                57273. 
PHASE:              +2.    
MJD_MAX:            57271.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3090  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4271.00   2.1562e-03  ---
 4273.03   1.7457e-03  ---
 4275.06   3.9060e-04  ---
 4277.09   1.6619e-03  ---
 4279.12  -1.4937e-03  ---
 4281.15   1.9132e-03  ---
 4283.18   3.6459e-03  ---
 4285.21   2.7645e-03  ---
 4287.24  -9.5312e-04  ---
 4289.27  -8.1722e-05  ---
 4291.30   1.5110e-03  ---
 4293.33   1.4021e-03  ---
 4295.36   4.2848e-03  ---
 4297.39  -1.1177e-04  ---
 4299.42   5.6887e-04  ---
 4301.45   1.4268e-03  ---
 4303.48   2.2682e-03  ---
 4305.51  -5.4478e-04  ---
 4307.54  -5.3252e-04  ---
 4309.57   3.7529e-03  ---
 4311.60   8.6156e-04  ---
 4313.63   5.4370e-04  ---
 4315.66   1.0537e-03  ---
 4317.69  -9.9452e-05  ---
 4319.72  -2.0672e-04  ---
 4321.75  -5.6365e-04  ---
 4323.78   1.6777e-03  ---
 4325.81   2.3072e-03  ---
 4327.84  -3.4918e-04  ---
 4329.87  -1.3295e-04  ---
 4331.90   1.1452e-03  ---
 4333.93   2.6338e-03  ---
 4335.96   1.8072e-03  ---
 4337.99  -5.4576e-04  ---
 4340.02   3.0055e-03  ---
 4342.05   1.4701e-03  ---
 4344.08  -9.4245e-04  ---
 4346.11  -9.5448e-04  ---
 4348.14  -1.0628e-03  ---
 4350.17  -8.8582e-04  ---
 4352.20   1.4997e-03  ---
 4354.23  -9.1785e-04  ---
 4356.26  -6.4126e-04  ---
 4358.29   9.9201e-05  ---
 4360.32  -1.7925e-03  ---
 4362.35  -1.8740e-03  ---
 4364.38  -1.0268e-03  ---
 4366.41  -4.3453e-04  ---
 4368.44  -5.7444e-04  ---
 4370.47   8.8802e-04  ---
 4372.50   2.2809e-03  ---
 4374.53   1.7010e-03  ---
 4376.56   8.6929e-04  ---
 4378.59  -2.8161e-04  ---
 4380.62  -9.5792e-04  ---
 4382.65  -1.1961e-03  ---
 4384.68   8.6276e-04  ---
 4386.71   3.8940e-04  ---
 4388.74  -1.8592e-03  ---
 4390.77  -1.5089e-03  ---
 4392.80  -2.8808e-04  ---
 4394.83  -2.4521e-03  ---
 4396.86  -1.0991e-03  ---
 4398.89   9.2616e-04  ---
 4400.92   6.8123e-04  ---
 4402.95   1.4303e-03  ---
 4404.98   1.1936e-03  ---
 4407.01   1.6130e-03  ---
 4409.04   9.0830e-04  ---
 4411.07   1.7462e-04  ---
 4413.10  -3.7625e-04  ---
 4415.13   9.7762e-04  ---
 4417.16   9.2482e-04  ---
 4419.19  -1.1417e-03  ---
 4421.22   3.9838e-04  ---
 4423.25   1.7444e-04  ---
 4425.28   1.1724e-03  ---
 4427.31   8.3452e-04  ---
 4429.34   4.3772e-04  ---
 4431.37   9.8287e-04  ---
 4433.40   7.0984e-04  ---
 4435.43   7.3471e-04  ---
 4437.46   1.0957e-04  ---
 4439.49  -9.8371e-04  ---
 4441.52   5.4775e-04  ---
 4443.55  -2.6260e-04  ---
 4445.58  -1.1900e-03  ---
 4447.61  -9.6244e-04  ---
 4449.64   3.8413e-04  ---
 4451.67  -5.8404e-04  ---
 4453.70   6.1713e-04  ---
 4455.73   3.0296e-03  ---
 4457.76   1.5931e-03  ---
 4459.79  -5.1201e-05  ---
 4461.82  -5.1209e-04  ---
 4463.85   6.8214e-05  ---
 4465.88   4.4388e-05  ---
 4467.91   7.1258e-04  ---
 4469.94   1.2697e-03  ---
 4471.97   5.4736e-04  ---
 4474.00   4.1134e-04  ---
 4476.03   2.2218e-03  ---
 4478.06   5.2256e-04  ---
 4480.09   5.3721e-04  ---
 4482.12   5.5186e-04  ---
 4484.15   5.6651e-04  ---
 4486.18   5.8116e-04  ---
 4488.21   4.6325e-04  ---
 4490.24   4.4287e-04  ---
 4492.27   3.4104e-04  ---
 4494.30   3.9276e-04  ---
 4496.33   5.5834e-04  ---
