 
TRANSIENT_NAME:     DES15E2so  
SNID:               1283936    
OBS_DATE:           2015-09-08
MJD:                57273. 
PHASE:              +3.    
MJD_MAX:            57268.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3700  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3712.00  -3.7526e-02  ---
 3713.99   2.6932e-02  ---
 3715.98   2.3234e+00  ---
 3717.97   1.1578e+00  ---
 3719.96   5.8333e-01  ---
 3721.95   1.2858e+00  ---
 3723.94   6.6144e-01  ---
 3725.93   7.5017e-01  ---
 3727.92  -3.2829e-01  ---
 3729.91   1.9445e-01  ---
 3731.90   8.9884e-01  ---
 3733.89   1.6405e+00  ---
 3735.88   1.3060e+00  ---
 3737.87   1.1009e+00  ---
 3739.86  -8.8566e-01  ---
 3741.85  -1.0125e+00  ---
 3743.84  -1.6542e-01  ---
 3745.83  -9.1329e-02  ---
 3747.82   4.6866e-01  ---
 3749.81   2.8697e-01  ---
 3751.80   1.0657e+00  ---
 3753.79  -3.0777e-01  ---
 3755.78   8.7337e-01  ---
 3757.77   7.6764e-01  ---
 3759.76   2.4677e-01  ---
 3761.75   5.1528e-01  ---
 3763.74   1.1449e+00  ---
 3765.73   3.0972e-01  ---
 3767.72   5.9903e-01  ---
 3769.71   1.5295e+00  ---
 3771.70   9.3641e-01  ---
 3773.69   6.0063e-01  ---
 3775.68   1.3682e-01  ---
 3777.67   3.0298e-02  ---
 3779.66  -6.1980e-01  ---
 3781.65   2.8750e-01  ---
 3783.64   8.8166e-01  ---
 3785.63   3.2268e-01  ---
 3787.62   7.7795e-01  ---
 3789.61   6.6956e-01  ---
 3791.60  -3.0401e-02  ---
 3793.59  -4.1590e-01  ---
 3795.58   5.1787e-01  ---
 3797.57   1.0446e+00  ---
 3799.56   6.2223e-01  ---
 3801.55  -3.4786e-01  ---
 3803.54  -7.4876e-02  ---
 3805.53   3.9920e-01  ---
 3807.52  -3.8074e-01  ---
 3809.51  -3.5353e-02  ---
 3811.50   1.0004e+00  ---
 3813.49   3.0310e+00  ---
 3815.48   7.2815e-01  ---
 3817.47  -1.2326e+00  ---
 3819.46   2.1820e-01  ---
 3821.45  -3.4449e-01  ---
 3823.44  -4.5507e-01  ---
 3825.43   1.9955e-02  ---
 3827.42  -5.8686e-01  ---
 3829.41  -7.8479e-01  ---
 3831.40  -3.2978e-01  ---
 3833.39  -3.6156e-01  ---
 3835.38  -6.9140e-02  ---
 3837.37  -5.5319e-01  ---
 3839.36  -7.0378e-01  ---
 3841.35  -3.5932e-01  ---
 3843.34  -6.6112e-01  ---
 3845.33  -7.3359e-02  ---
 3847.32   1.5385e+00  ---
 3849.31   4.2502e-01  ---
 3851.30   1.7793e-01  ---
 3853.29   2.4759e-01  ---
 3855.28   6.9832e-03  ---
 3857.27   5.7987e-01  ---
 3859.26  -2.6044e-01  ---
 3861.25   1.9879e-01  ---
 3863.24   4.9640e-01  ---
 3865.23   2.3394e-01  ---
 3867.22   5.3366e-01  ---
 3869.21   1.6727e-01  ---
 3871.20   3.7431e-01  ---
 3873.19   5.7205e-03  ---
 3875.18  -3.5016e-01  ---
 3877.17   3.7963e-01  ---
 3879.16   1.4867e+00  ---
 3881.15  -1.9015e-01  ---
