 
TRANSIENT_NAME:     DES15S1ebd 
SNID:               1306390    
OBS_DATE:           2015-09-19
MJD:                57284. 
PHASE:              +2.    
MJD_MAX:            57280.6
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.4080  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -1.8485      49.1834
 3757.75      10.1987      58.0069
 3758.79      17.4829      60.4149
 3759.83      13.7385      57.8304
 3760.87       0.7604      51.7110
 3761.90       0.4868      49.9304
 3762.94       1.3825      48.9570
 3763.98      -3.9204      47.4838
 3765.02       1.7005      48.6723
 3766.06       5.3672      51.4875
 3767.09       2.5770      47.3275
 3768.13      -1.1543      46.7345
 3769.17      -0.4114      45.9817
 3770.21      -1.8642      45.0605
 3771.24       1.8297      49.4560
 3772.28       7.9258      53.2202
 3773.32       5.2015      49.2115
 3774.36       9.5631      52.9973
 3775.40       4.2868      47.1981
 3776.43      -2.3337      42.6786
 3777.47       0.5557      45.9390
 3778.51       4.1592      47.8739
 3779.55       0.2660      46.7690
 3780.58      -3.7557      44.9422
 3781.62      -3.8084      41.9160
 3782.66       4.6198      46.5780
 3783.70       6.3107      46.4981
 3784.73       0.8144      46.0585
 3785.77      -2.7123      41.3752
 3786.81      -8.2058      37.9311
 3787.85      -2.5354      40.6436
 3788.89       7.9960      45.9966
 3789.92       7.6277      45.0435
 3790.96       1.9691      41.8553
 3792.00       1.3229      43.4797
 3793.04       9.2495      45.2564
 3794.07       3.3551      40.9939
 3795.11      -1.0353      37.0693
 3796.15      -2.1128      39.0420
 3797.19      -0.3537      39.4256
 3798.23      -0.8296      33.6824
 3799.26     -10.9210      30.3011
 3800.30      -0.7498      33.9516
 3801.34       3.6688      33.8713
 3802.38       0.8307      34.6007
 3803.41      -2.4023      33.9174
 3804.45      -0.5105      33.9187
 3805.49       1.8006      32.9794
 3806.53      -0.5124      31.4900
 3807.57      -5.5704      31.0757
 3808.60      -2.9551      30.6485
 3809.64      -4.5925      29.9976
 3810.68      -1.2126      30.1120
 3811.72      -3.2353      29.3126
 3812.75      -3.9543      29.6457
 3813.79       6.6116      33.0179
 3814.83       3.5526      30.6934
 3815.87      -2.1631      29.3016
 3816.90      -3.8767      27.4388
 3817.94      -5.7982      26.4477
 3818.98      -7.9555      24.7968
 3820.02      -1.4142      26.9716
 3821.06      -0.1274      26.4599
 3822.09      -2.8101      25.8425
 3823.13      -0.5067      26.5068
 3824.17      -2.7262      23.9702
 3825.21      -5.7597      22.6076
 3826.24      -0.5493      22.6916
 3827.28       2.9605      24.0325
 3828.32       3.6383      25.5065
 3829.36       1.7001      26.3902
 3830.40      -0.9120      25.4142
 3831.43      -1.1709      25.7668
 3832.47       2.9644      26.2521
 3833.51       1.9724      23.8789
 3834.55       2.9485      23.4666
 3835.58       3.4059      22.9606
 3836.62      -0.6440      20.8510
 3837.66      -0.6300      19.8420
 3838.70      -6.2024      17.7963
 3839.74      -4.8619      17.8305
 3840.77      -1.6706      19.4209
 3841.81      -1.7622      19.2749
 3842.85      -1.5865      18.5896
 3843.89      -7.1764      17.1463
 3844.92       0.2480      18.6908
 3845.96       5.0394      19.8518
 3847.00       1.0605      19.4145
 3848.04       4.9982      20.3452
 3849.07       2.4432      19.3414
 3850.11      -0.4365      17.7523
 3851.15      -1.5926      16.9449
 3852.19      -4.5275      15.5142
 3853.23      -2.0837      16.2412
 3854.26      -0.9275      17.7018
 3855.30      -1.3591      16.5496
 3856.34       3.9223      17.8864
 3857.38      -2.3482      16.1448
 3858.41       1.5018      17.2675
 3859.45       0.9461      16.7044
 3860.49      -0.5462      15.9635
 3861.53      -2.2700      15.7373
 3862.57       0.8287      16.6913
 3863.60       0.9744      16.3094
 3864.64      -4.1111      15.0866
 3865.68       3.2080      17.7144
 3866.72       2.2933      16.9534
 3867.75      -1.5027      15.5206
 3868.79       3.7806      18.0876
 3869.83       1.7276      16.6874
 3870.87      -0.4005      15.5967
 3871.91       3.0717      16.8617
 3872.94      -0.9491      14.5272
 3873.98      -5.6455      14.7355
 3875.02      -4.4220      15.4576
 3876.06      -4.4802      14.8557
 3877.09       5.4186      16.4796
 3878.13       1.7286      15.1480
 3879.17       2.1467      15.3959
 3880.21      -1.0327      14.5343
 3881.24       3.7757      14.9182
 3882.28       2.7341      14.6963
 3883.32       1.3160      13.9853
 3884.36       0.6499      13.5419
 3885.40       0.3608      13.3008
 3886.43       3.4686      13.4719
 3887.47       3.5340      13.4785
 3888.51      -0.3237      12.0353
 3889.55       1.4609      12.7568
 3890.58       5.0978      13.6163
 3891.62       6.1869      13.6674
 3892.66       5.5682      13.8234
 3893.70       3.4464      13.4302
 3894.74      -1.5319      11.7642
 3895.77       3.7226      13.0435
 3896.81       3.7740      12.9778
 3897.85      -0.6821      11.7037
 3898.89       2.3895      11.3614
 3899.92       0.6866      11.3294
 3900.96       2.5290      12.4009
 3902.00       1.6136      11.6703
 3903.04      -0.8522      11.2386
 3904.07       2.3223      12.7071
 3905.11       2.0177      12.7838
 3906.15      -0.1935      12.5195
 3907.19       0.6790      12.9866
 3908.23       1.5854      13.5266
 3909.26       3.8637      13.7497
 3910.30       1.9332      12.2923
 3911.34       1.8877      12.4566
 3912.38       5.9715      13.5581
 3913.41       7.9937      12.5493
 3914.45       2.8622      11.3751
 3915.49      -4.6043      10.5876
 3916.53      -0.7623      10.9288
 3917.57       0.7214      10.7120
 3918.60       0.1211      10.9344
 3919.64      -1.1018      10.3026
 3920.68       3.6913      10.6924
 3921.72       2.9423      10.3596
 3922.75      -0.4160       9.1080
 3923.79       0.7369       9.2841
 3924.83      -0.7323       8.1390
 3925.87      -1.8320       7.8866
 3926.91       3.9672       9.0208
 3927.94       6.4714       9.2322
 3928.98      -1.0283       7.1049
 3930.02      -0.6231       7.6414
 3931.06      -2.0295       7.0038
 3932.09      -0.0585       6.8637
 3933.13       0.1258       6.5391
 3934.17       1.1739       6.4838
 3935.21      -0.6820       6.0879
 3936.24       0.4151       6.1874
 3937.28      -4.0973       5.7906
 3938.32      -3.0591       5.7370
 3939.36      -0.0280       6.4494
 3940.40      -1.9353       6.6354
 3941.43       0.0773       7.1275
 3942.47       1.4630       7.8118
 3943.51       1.0311       7.1583
 3944.55       1.6844       6.9364
 3945.58       4.5553       7.3534
 3946.62      -0.4427       6.4707
 3947.66       2.7645       7.5946
 3948.70      -1.1489       6.9712
 3949.74       2.5680       6.6410
 3950.77       0.4287       7.6076
 3951.81      -0.2536       8.4685
 3952.85       2.9983       8.9956
 3953.89       4.9346       8.0716
 3954.92      -0.0304       6.3646
 3955.96       0.2565       6.7957
 3957.00       1.2772       7.6491
 3958.04      -1.7807       6.9925
 3959.08       1.1737       6.3477
 3960.11       3.6950       6.9920
 3961.15       2.1218       6.7670
 3962.19      -2.9328       5.7207
 3963.23       0.5837       5.9967
 3964.26       3.3299       6.1375
 3965.30       2.6099       5.9320
 3966.34       2.1530       6.1113
 3967.38       2.6152       6.1615
 3968.41       0.1305       5.7306
 3969.45       0.0622       5.3642
 3970.49       0.4813       5.3559
 3971.53      -0.5998       5.1347
 3972.57      -1.1036       5.3142
 3973.60      -1.3774       5.1499
 3974.64      -0.7190       6.0381
 3975.68      -1.8284       6.5711
 3976.72      -2.1120       6.1524
 3977.75      -2.2370       5.5301
 3978.79       0.7356       6.2683
 3979.83       0.4726       6.4048
 3980.87       1.6796       6.4593
 3981.91       6.2222       6.9868
 3982.94      -1.6086       5.7604
 3983.98      -0.9603       5.5971
 3985.02       1.7644       5.9957
