 
TRANSIENT_NAME:     DES15S1lyi 
SNID:               1334423    
OBS_DATE:           2015-11-09
MJD:                57335. 
PHASE:              -1.    
MJD_MAX:            57336.0
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.3592  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MMT
INSTRUMENT:         BCS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3341.00   6.5802e-03  ---
 3342.95   5.2348e-03  ---
 3344.90   5.9649e-03  ---
 3346.85   9.6747e-03  ---
 3348.80   8.6339e-03  ---
 3350.75   5.4597e-03  ---
 3352.70   4.6086e-03  ---
 3354.65   2.8046e-03  ---
 3356.60   1.8105e-03  ---
 3358.55   5.1510e-03  ---
 3360.50   8.5199e-03  ---
 3362.45   7.9328e-03  ---
 3364.40   7.2873e-04  ---
 3366.35   3.8517e-04  ---
 3368.29   7.8341e-03  ---
 3370.24   1.0745e-02  ---
 3372.19   1.7348e-02  ---
 3374.14   1.5171e-02  ---
 3376.09   1.0171e-03  ---
 3378.04   6.1170e-04  ---
 3379.99   6.7296e-03  ---
 3381.94   9.2834e-03  ---
 3383.89   1.0876e-02  ---
 3385.84   6.1842e-03  ---
 3387.79   3.3511e-03  ---
 3389.74   4.4486e-03  ---
 3391.69   5.1448e-03  ---
 3393.64   5.5609e-03  ---
 3395.59   6.3736e-03  ---
 3397.54   3.5322e-03  ---
 3399.49   1.8086e-03  ---
 3401.44   5.7262e-03  ---
 3403.39   8.6229e-03  ---
 3405.34   6.8179e-03  ---
 3407.29   4.3934e-03  ---
 3409.24   2.4855e-03  ---
 3411.19   1.3822e-04  ---
 3413.14  -2.7379e-04  ---
 3415.09   3.2060e-03  ---
 3417.04   4.0563e-03  ---
 3418.99   1.6388e-03  ---
 3420.94   2.3927e-03  ---
 3422.89   5.5994e-03  ---
 3424.83   6.7690e-03  ---
 3426.78   6.1453e-03  ---
 3428.73   5.7401e-03  ---
 3430.68   5.9710e-03  ---
 3432.63   6.9914e-03  ---
 3434.58   7.2823e-03  ---
 3436.53   4.7481e-03  ---
 3438.48   4.7633e-03  ---
 3440.43   7.7527e-03  ---
 3442.38   9.6786e-03  ---
 3444.33   9.2455e-03  ---
 3446.28   6.7642e-03  ---
 3448.23   6.9916e-03  ---
 3450.18   8.8428e-03  ---
 3452.13   1.0763e-02  ---
 3454.08   1.2869e-02  ---
 3456.03   7.9983e-03  ---
 3457.98   9.7977e-04  ---
 3459.93   3.7263e-03  ---
 3461.88   6.1206e-03  ---
 3463.83   8.3648e-04  ---
 3465.78  -9.4531e-04  ---
 3467.73   3.3483e-04  ---
 3469.68  -3.6420e-04  ---
 3471.63   3.0017e-03  ---
 3473.58   8.4838e-03  ---
 3475.53   8.7776e-03  ---
 3477.48   8.3346e-03  ---
 3479.42   6.0702e-03  ---
 3481.37   3.3365e-03  ---
 3483.32   3.7045e-03  ---
 3485.27   3.0037e-03  ---
 3487.22   2.6012e-03  ---
 3489.17   3.7956e-03  ---
 3491.12   7.0691e-03  ---
 3493.07   8.9834e-03  ---
 3495.02   6.9850e-03  ---
 3496.97   3.1347e-03  ---
 3498.92   1.5124e-03  ---
 3500.87   5.6406e-03  ---
 3502.82   9.4742e-03  ---
 3504.77   8.3540e-03  ---
 3506.72   7.0917e-03  ---
 3508.67   6.6214e-03  ---
 3510.62   4.6153e-03  ---
 3512.57   2.7952e-03  ---
 3514.52   1.5033e-03  ---
 3516.47   2.2158e-03  ---
 3518.42   4.7925e-03  ---
 3520.37   5.5817e-03  ---
 3522.32   4.7979e-03  ---
 3524.27   4.2968e-03  ---
 3526.22   6.0616e-03  ---
 3528.17   7.0671e-03  ---
 3530.12   4.8421e-03  ---
 3532.06   2.9016e-03  ---
 3534.01   3.1941e-03  ---
 3535.96   3.7025e-03  ---
 3537.91   3.1762e-03  ---
 3539.86   5.3952e-03  ---
 3541.81   7.0777e-03  ---
 3543.76   5.2944e-03  ---
 3545.71   2.2294e-03  ---
 3547.66   1.9853e-03  ---
 3549.61   2.6203e-03  ---
 3551.56   2.3252e-03  ---
 3553.51   5.2297e-03  ---
 3555.46   2.7774e-03  ---
 3557.41  -7.6340e-04  ---
 3559.36   8.6266e-05  ---
 3561.31   4.4535e-03  ---
 3563.26   5.9352e-03  ---
 3565.21   4.3950e-03  ---
 3567.16   5.1088e-03  ---
 3569.11   3.6062e-03  ---
 3571.06   2.6115e-03  ---
 3573.01   5.1362e-03  ---
 3574.96   6.2952e-03  ---
 3576.91   5.8606e-03  ---
 3578.86   6.9282e-03  ---
 3580.81   5.7513e-03  ---
 3582.76   2.6851e-03  ---
 3584.71   6.4077e-04  ---
 3586.66   2.6647e-03  ---
 3588.60   5.4115e-03  ---
 3590.55   3.4934e-03  ---
 3592.50   2.2899e-03  ---
 3594.45   4.7886e-03  ---
 3596.40   6.0085e-03  ---
 3598.35   5.6233e-03  ---
 3600.30   5.8975e-03  ---
 3602.25   5.7119e-03  ---
 3604.20   6.4413e-03  ---
 3606.15   6.2699e-03  ---
 3608.10   4.5414e-03  ---
 3610.05   5.0445e-03  ---
 3612.00   5.9679e-03  ---
 3613.95   6.6564e-03  ---
 3615.90   4.5805e-03  ---
 3617.85   1.8547e-03  ---
 3619.80   3.5041e-03  ---
 3621.75   6.9984e-03  ---
 3623.70   8.3517e-03  ---
 3625.65   6.0860e-03  ---
 3627.60   3.3654e-03  ---
 3629.55   5.7732e-03  ---
 3631.50   8.1081e-03  ---
 3633.45   7.4546e-03  ---
 3635.40   3.8510e-03  ---
 3637.35   4.0250e-03  ---
 3639.30   5.0198e-03  ---
 3641.25   2.3050e-03  ---
 3643.19   3.2781e-03  ---
 3645.14   4.6962e-03  ---
 3647.09   3.5952e-03  ---
 3649.04   3.0717e-03  ---
 3650.99   2.6749e-03  ---
 3652.94   4.3917e-03  ---
 3654.89   3.3702e-03  ---
 3656.84   1.7329e-04  ---
 3658.79   2.4209e-03  ---
 3660.74   5.5832e-03  ---
 3662.69   6.0913e-03  ---
 3664.64   6.1900e-03  ---
 3666.59   4.9517e-03  ---
 3668.54   3.2271e-03  ---
 3670.49   3.5155e-03  ---
 3672.44   4.2169e-03  ---
 3674.39   3.6922e-03  ---
 3676.34   3.6641e-03  ---
 3678.29   3.3562e-03  ---
 3680.24   3.6039e-03  ---
 3682.19   3.8310e-03  ---
 3684.14   2.4011e-03  ---
 3686.09   3.6384e-03  ---
 3688.04   3.6216e-03  ---
 3689.99   3.0017e-03  ---
 3691.94   4.2185e-03  ---
 3693.89   4.3069e-03  ---
 3695.84   3.2488e-03  ---
 3697.78   4.1490e-03  ---
 3699.73   4.6691e-03  ---
 3701.68   3.9567e-03  ---
 3703.63   3.7634e-03  ---
 3705.58   4.8120e-03  ---
 3707.53   4.9686e-03  ---
 3709.48   3.9994e-03  ---
 3711.43   4.4482e-03  ---
 3713.38   6.1791e-03  ---
 3715.33   5.5151e-03  ---
 3717.28   3.8637e-03  ---
 3719.23   3.6935e-03  ---
 3721.18   2.8868e-03  ---
 3723.13   1.6412e-03  ---
 3725.08   9.8596e-04  ---
 3727.03   1.6783e-03  ---
 3728.98   6.1141e-03  ---
 3730.93   7.7540e-03  ---
 3732.88   6.1642e-03  ---
 3734.83   7.3253e-03  ---
 3736.78   6.9687e-03  ---
 3738.73   5.0689e-03  ---
 3740.68   4.0393e-03  ---
 3742.63   3.3589e-03  ---
