 
TRANSIENT_NAME:     DES15S1mya 
SNID:               1338649    
OBS_DATE:           2015-12-02
MJD:                57358. 
PHASE:              +5.    
MJD_MAX:            57350.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.6100  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          GEMINI-N
INSTRUMENT:         GMOS-N
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 5400.00   1.8014e-18  ---
 5401.50   1.4728e-18  ---
 5403.00   1.9977e-18  ---
 5404.50   1.3435e-18  ---
 5406.00   1.0481e-18  ---
 5407.50   1.1857e-18  ---
 5409.00   1.3442e-18  ---
 5410.50   1.2278e-18  ---
 5412.00   5.4015e-19  ---
 5413.50   6.4607e-19  ---
 5415.00   1.7096e-18  ---
 5416.50   8.5761e-19  ---
 5418.00   4.0811e-19  ---
 5419.50   5.5100e-19  ---
 5421.00  -1.3705e-19  ---
 5422.50  -6.3362e-19  ---
 5424.00   5.1064e-19  ---
 5425.50   7.7202e-19  ---
 5427.00   8.7668e-19  ---
 5428.50   1.5004e-18  ---
 5430.00   8.6460e-19  ---
 5431.50   1.7615e-18  ---
 5433.00   2.0324e-18  ---
 5434.50   1.4576e-18  ---
 5436.00   9.8103e-19  ---
 5437.50   6.5007e-19  ---
 5439.00  -3.1402e-20  ---
 5440.50   7.1142e-19  ---
 5442.00   1.7488e-18  ---
 5443.50   8.2233e-19  ---
 5445.00   1.2696e-18  ---
 5446.50   4.2738e-19  ---
 5448.00   1.2359e-18  ---
 5449.50   1.4240e-18  ---
 5451.00   1.1839e-18  ---
 5452.50   7.9257e-19  ---
 5454.00   6.4790e-19  ---
 5455.50   2.9042e-19  ---
 5457.00   1.5949e-19  ---
 5458.50   6.6234e-19  ---
 5460.00   3.0423e-19  ---
 5461.50   1.0306e-18  ---
 5463.00   1.8513e-18  ---
 5464.50   1.1718e-18  ---
 5466.00   5.1054e-19  ---
 5467.50   1.0644e-18  ---
 5469.00   9.6891e-19  ---
 5470.50   1.1667e-18  ---
 5472.00   1.4548e-18  ---
 5473.50   9.0811e-19  ---
 5475.00   2.3611e-19  ---
 5476.50   3.6858e-19  ---
 5478.00   6.2122e-19  ---
 5479.50   1.0701e-18  ---
 5481.00   5.9209e-19  ---
 5482.50   6.9868e-19  ---
 5484.00   6.9346e-19  ---
 5485.50   9.1464e-19  ---
 5487.00   1.7323e-18  ---
 5488.50   2.0851e-18  ---
 5490.00   1.7635e-18  ---
 5491.50   1.7056e-18  ---
 5493.00   1.1513e-18  ---
 5494.50   5.5838e-19  ---
 5496.00   7.8802e-19  ---
 5497.50   7.8503e-19  ---
 5499.00   6.8781e-19  ---
 5500.50   1.4799e-18  ---
 5502.00   8.8925e-19  ---
 5503.50   7.3890e-19  ---
 5505.00   1.9053e-19  ---
 5506.50   3.6850e-19  ---
 5508.00   7.1045e-19  ---
 5509.50   7.6448e-19  ---
 5511.00   4.6068e-19  ---
 5512.50   1.6011e-18  ---
 5514.00   1.0935e-18  ---
 5515.50   1.2165e-18  ---
 5517.00   6.1487e-19  ---
 5518.50   2.7783e-19  ---
 5520.00   7.2981e-19  ---
 5521.50   8.6804e-19  ---
 5523.00   9.2772e-19  ---
 5524.50   3.4109e-19  ---
 5526.00   1.5372e-20  ---
 5527.50   9.0010e-19  ---
 5529.00   1.5538e-18  ---
 5530.50   1.7386e-18  ---
 5532.00   5.4757e-19  ---
 5533.50   6.6565e-19  ---
 5535.00   1.9276e-18  ---
 5536.50   1.4648e-18  ---
