 
TRANSIENT_NAME:     DES15S1oeh 
SNID:               1343871    
OBS_DATE:           2016-01-07
MJD:                57394. 
PHASE:              +2.    
MJD_MAX:            57390.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.6390  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          KECK-II
INSTRUMENT:         DEIMOS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4548.14  -5.6452e-18  ---
 4548.77   2.7275e-18  ---
 4549.40  -2.2239e-18  ---
 4550.03  -3.0685e-18  ---
 4550.66   3.6367e-18  ---
 4551.29   6.7044e-18  ---
 4551.92   4.8428e-18  ---
 4552.55   1.6874e-18  ---
 4553.18   4.2309e-18  ---
 4553.81   5.7869e-18  ---
 4554.44   4.5884e-18  ---
 4555.07   1.1546e-17  ---
 4555.70   1.5121e-18  ---
 4556.33  -4.3168e-18  ---
 4556.96   4.0039e-18  ---
 4557.59   5.7669e-18  ---
 4558.22  -5.8294e-19  ---
 4558.85  -1.4291e-18  ---
 4559.48   1.8719e-18  ---
 4560.11   6.4620e-18  ---
 4560.74   7.6562e-18  ---
 4561.37   5.7106e-18  ---
 4562.00   4.3547e-18  ---
 4562.62   7.3868e-19  ---
 4563.25  -2.4622e-18  ---
 4563.88   5.7596e-18  ---
 4564.51   7.5750e-18  ---
 4565.14   6.4721e-18  ---
 4565.77   4.8318e-18  ---
 4566.40   1.0759e-17  ---
 4567.03   7.4187e-18  ---
 4567.66   6.8836e-18  ---
 4568.29   7.3286e-18  ---
 4568.92   4.7494e-18  ---
 4569.55   6.1286e-18  ---
 4570.18   7.0998e-18  ---
 4570.81   6.3329e-18  ---
 4571.44   5.6771e-18  ---
 4572.07   4.2648e-18  ---
 4572.70   4.0183e-18  ---
 4573.33   6.2097e-18  ---
 4573.96  -3.2795e-18  ---
 4574.59  -6.8139e-18  ---
 4575.22  -2.7913e-18  ---
 4575.85   2.1750e-18  ---
 4576.48   6.2559e-18  ---
 4577.11   6.7369e-18  ---
 4577.74   4.6029e-18  ---
 4578.37   1.3915e-18  ---
 4579.00   4.8387e-18  ---
 4579.63   3.8856e-18  ---
 4580.26   2.8898e-18  ---
 4580.89   3.2877e-18  ---
 4581.52   4.8461e-18  ---
 4582.15   2.3475e-18  ---
 4582.78   2.5245e-18  ---
 4583.41   7.8016e-19  ---
 4584.04  -4.2953e-18  ---
 4584.67   6.5254e-18  ---
 4585.30   1.1083e-17  ---
 4585.93   6.6802e-18  ---
 4586.56   5.9719e-18  ---
 4587.19   3.3583e-18  ---
 4587.82   2.5029e-18  ---
 4588.45   9.8655e-19  ---
 4589.08  -2.8143e-19  ---
 4589.71  -4.4237e-18  ---
 4590.34   7.2908e-18  ---
 4590.97   6.5385e-18  ---
 4591.60   1.0828e-17  ---
 4592.23   8.3477e-18  ---
 4592.86   3.2847e-18  ---
 4593.49   2.2520e-18  ---
 4594.12  -1.4948e-18  ---
 4594.75   2.5829e-18  ---
 4595.38   6.7681e-18  ---
 4596.01   3.7219e-18  ---
 4596.64   4.3570e-18  ---
 4597.27   2.4833e-18  ---
 4597.90   3.9328e-18  ---
 4598.53   9.0345e-18  ---
 4599.16   7.3060e-18  ---
 4599.79   2.0619e-18  ---
 4600.42  -5.3425e-19  ---
 4601.05   2.2706e-18  ---
 4601.68   5.0332e-18  ---
 4602.31   1.6990e-18  ---
 4602.94  -3.1042e-19  ---
 4603.57   1.0868e-18  ---
 4604.20   3.8007e-18  ---
 4604.83   3.0185e-18  ---
 4605.46   9.4582e-18  ---
 4606.08   3.7502e-18  ---
 4606.71   3.4903e-18  ---
 4607.34   3.9776e-18  ---
 4607.97   4.0605e-18  ---
 4608.60   1.0442e-17  ---
 4609.23   2.8667e-18  ---
 4609.86   2.5241e-18  ---
 4610.49   5.6704e-18  ---
 4611.12   1.5098e-18  ---
 4611.75   1.5005e-18  ---
 4612.38   6.6158e-18  ---
 4613.01   2.9604e-18  ---
 4613.64   1.8671e-18  ---
 4614.27   4.1320e-18  ---
 4614.90   5.8438e-18  ---
 4615.53   1.7848e-18  ---
 4616.16   1.0850e-19  ---
 4616.79   4.1384e-18  ---
 4617.42   2.9618e-18  ---
 4618.05   3.4540e-18  ---
 4618.68   6.7201e-18  ---
 4619.31   6.6784e-18  ---
 4619.94   5.2607e-18  ---
 4620.57   5.3440e-18  ---
 4621.20   6.4620e-18  ---
 4621.83   2.0925e-18  ---
 4622.46   2.3955e-19  ---
 4623.09   5.8293e-18  ---
 4623.72   5.8119e-18  ---
 4624.35   1.9757e-18  ---
 4624.98   4.1875e-18  ---
 4625.61   2.0857e-18  ---
 4626.24  -1.4563e-19  ---
 4626.87   3.5618e-19  ---
 4627.50  -2.2508e-19  ---
 4628.13   2.1836e-18  ---
 4628.76   2.3025e-18  ---
 4629.39   3.7770e-18  ---
 4630.02   4.6377e-18  ---
 4630.65   6.7936e-18  ---
 4631.28   2.9118e-18  ---
 4631.91  -1.7381e-19  ---
 4632.54   4.8219e-18  ---
 4633.17   4.2884e-18  ---
 4633.80  -2.1516e-18  ---
 4634.43  -1.6479e-18  ---
 4635.06  -2.3289e-18  ---
 4635.69  -5.6780e-19  ---
 4636.32   2.9229e-18  ---
 4636.95   4.2375e-18  ---
