 
TRANSIENT_NAME:     DES15S2ar  
SNID:               1276528    
OBS_DATE:           2015-09-21
MJD:                57286. 
PHASE:              +18.   
MJD_MAX:            57263.6
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.2470  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72      -7.6448      24.3247
 3757.75      -4.4313      25.9059
 3758.79       4.8953      30.0209
 3759.83       4.4661      29.0571
 3760.87       8.6244      31.2403
 3761.90       4.2766      29.6330
 3762.94       0.9488      25.5624
 3763.98       4.2219      27.5839
 3765.02       7.6258      28.6665
 3766.06      -3.1952      25.2600
 3767.09      -3.3541      24.0022
 3768.13       4.4043      25.3395
 3769.17       5.1413      26.2311
 3770.21       7.4259      27.9305
 3771.24       4.4960      27.4567
 3772.28       0.5345      26.2997
 3773.32       1.3727      24.9324
 3774.36       0.0837      25.7844
 3775.40      -1.9609      24.4740
 3776.43       2.3290      25.3045
 3777.47       0.4422      25.6649
 3778.51       4.3702      26.4179
 3779.55       5.7950      25.4646
 3780.58      -2.3023      21.4541
 3781.62       2.5590      24.4346
 3782.66       6.1019      25.0608
 3783.70       0.5750      23.5904
 3784.73      -3.0108      22.4026
 3785.77       1.5934      23.5372
 3786.81       0.2883      21.9418
 3787.85      -5.1736      19.8755
 3788.89       0.5212      21.6160
 3789.92       5.6746      23.9200
 3790.96       1.9804      22.6554
 3792.00       1.6871      22.7245
 3793.04       5.6541      24.0776
 3794.07       5.5814      24.5034
 3795.11       2.0413      21.7959
 3796.15       2.8972      21.7420
 3797.19       5.6677      21.2122
 3798.23       3.2883      19.5677
 3799.26      -1.7369      17.7585
 3800.30      -2.0286      18.3415
 3801.34       4.9542      19.9761
 3802.38       6.9368      20.8056
 3803.41       4.6277      20.6719
 3804.45      -1.2484      18.5457
 3805.49      -3.0385      17.0041
 3806.53      -4.0083      16.2913
 3807.57      -4.7425      15.5519
 3808.60      -2.6256      15.1707
 3809.64       4.6059      18.0106
 3810.68       8.9190      19.2845
 3811.72       4.4251      17.9274
 3812.75       4.1299      17.8389
 3813.79       3.5530      17.5129
 3814.83       3.2709      18.3498
 3815.87      -1.0360      15.8999
 3816.90      -3.0413      14.6714
 3817.94      -1.9647      15.2206
 3818.98      -3.4342      14.3970
 3820.02      -0.2135      14.5183
 3821.06       0.3072      14.9603
 3822.09       0.9009      14.8006
 3823.13      -2.0046      13.5413
 3824.17       2.8478      14.5630
 3825.21       6.4948      15.1550
 3826.24       5.1088      14.4536
 3827.28       5.2343      14.6898
 3828.32       2.2926      14.6946
 3829.36      -2.7595      14.0437
 3830.40       0.5444      14.6064
 3831.43       1.7999      15.3788
 3832.47       5.3028      15.7028
 3833.51       1.2217      13.8740
 3834.55       2.9380      13.8163
 3835.58       4.2252      13.5080
 3836.62       1.8080      12.6123
 3837.66       0.6432      11.9788
 3838.70       0.0825      11.3226
 3839.74      -0.0632      11.0223
 3840.77       1.3027      11.5811
 3841.81      -3.1449      10.0733
 3842.85      -2.1542      10.2686
 3843.89      -1.6695       9.8374
 3844.92      -1.5336      10.1388
 3845.96      -0.8973      10.3210
 3847.00      -0.0442      10.6539
 3848.04      -2.0296       9.3995
 3849.07      -1.5466       9.6693
 3850.11       1.0554      10.3583
 3851.15       2.1648      10.5478
 3852.19      -1.3864       9.5983
 3853.23       0.4738       9.9163
 3854.26       3.0603      10.1692
 3855.30       3.8622      10.3597
 3856.34       2.4220       9.9636
 3857.38      -0.6111       9.3105
 3858.41      -0.3922       8.9604
 3859.45       0.6329       8.8785
 3860.49      -0.2017       9.0109
 3861.53       3.4560       9.9498
 3862.57       0.7556       9.8909
 3863.60      -2.4995       8.9904
 3864.64      -2.8666       8.4943
 3865.68       0.6047       9.0212
 3866.72       2.5697       9.3180
 3867.75      -1.9183       8.7123
 3868.79      -3.6270       7.8440
 3869.83       5.0352       9.8584
 3870.87      -1.0166       8.2359
 3871.91      -0.0890       8.3342
 3872.94       1.1237       8.3369
 3873.98       0.3960       8.3457
 3875.02      -0.9376       8.3748
 3876.06       1.8516       8.6673
 3877.09       0.4416       7.9619
 3878.13      -1.9773       7.2769
 3879.17       3.9231       8.9702
 3880.21       3.7327       8.9122
 3881.24       4.5068       8.8711
 3882.28       2.6074       8.1028
 3883.32      -0.6698       6.9646
 3884.36       4.5940       8.3337
 3885.40       0.6873       7.4003
 3886.43       3.8984       7.8503
 3887.47       0.8011       7.0068
 3888.51       1.4310       6.9968
 3889.55      -4.2696       6.1365
 3890.58      -2.5103       6.4568
 3891.62      -0.9097       6.7340
 3892.66      -2.3024       6.3865
 3893.70      -4.0809       5.9202
 3894.74      -0.8656       6.4569
 3895.77       2.1117       7.1398
 3896.81       1.8137       6.9484
 3897.85      -0.2423       6.5649
 3898.89       0.7847       6.8776
 3899.92       0.3598       6.6656
 3900.96      -0.2478       6.4728
 3902.00      -2.2720       6.3190
 3903.04       1.3204       6.8938
 3904.07       2.5210       6.8983
 3905.11       1.0843       7.1614
 3906.15      -0.6902       7.1268
 3907.19       0.3603       7.3512
 3908.23       1.3007       7.4349
 3909.26      -2.7286       6.7358
 3910.30      -0.1990       7.1000
 3911.34      -0.7962       6.7856
 3912.38      -0.8156       6.4745
 3913.41       0.4249       6.4583
 3914.45      -1.0542       6.0713
 3915.49      -0.9158       5.9311
 3916.53      -1.6135       5.7067
 3917.57       2.3151       6.1112
 3918.60       1.6631       6.2238
 3919.64       0.4119       6.1073
 3920.68       1.2355       5.5003
 3921.72      -0.4876       4.9110
 3922.75      -0.9772       4.9240
 3923.79      -0.8622       5.2766
 3924.83       0.2984       5.0089
 3925.87       1.9050       5.0159
 3926.91       1.6295       4.7497
 3927.94      -0.4602       4.1986
 3928.98      -0.6464       4.1769
 3930.02       1.0854       4.2160
 3931.06       1.9360       4.1561
 3932.09       2.4263       4.0831
 3933.13       3.1166       3.9946
 3934.17      -1.8547       3.3625
 3935.21      -2.4125       3.3100
 3936.24      -0.9531       3.4215
 3937.28       1.1278       3.6813
 3938.32       1.1596       3.8721
 3939.36       0.7437       3.8828
 3940.40       3.4160       4.3067
 3941.43       2.3888       4.4387
 3942.47      -0.6540       4.0200
 3943.51       0.3169       4.0500
 3944.55       0.8408       4.0677
 3945.58      -0.5991       3.5719
 3946.62      -0.9378       3.7060
 3947.66       3.8908       4.5681
 3948.70       1.9024       3.9534
 3949.74      -2.9002       3.2476
 3950.77       0.4651       3.7849
 3951.81      -0.2087       3.8310
 3952.85      -2.0866       3.4087
 3953.89      -0.7267       3.5136
 3954.92       0.8060       3.8301
 3955.96       0.7399       3.7651
 3957.00      -1.5209       3.5237
 3958.04      -0.8933       3.5953
 3959.08       1.1653       3.8007
 3960.11      -0.0620       3.3921
 3961.15      -0.1895       3.3912
 3962.19       1.7070       3.6422
 3963.23      -1.3741       3.0445
 3964.26      -1.5422       3.2110
 3965.30       1.7926       3.6352
 3966.34       1.6260       3.3841
 3967.38       1.7442       3.2193
 3968.41       0.4014       2.9327
 3969.45       0.5268       2.9940
 3970.49       0.7113       2.9395
 3971.53      -0.5809       2.8819
 3972.57       0.9243       3.2528
 3973.60       0.5009       3.3984
 3974.64      -2.3425       3.0941
 3975.68      -2.0750       3.2076
 3976.72       0.8576       3.6999
 3977.75       0.0338       3.4408
 3978.79      -1.2566       3.1576
 3979.83       1.5524       3.6125
 3980.87       3.3841       3.9924
 3981.91       0.3483       3.5482
 3982.94      -1.0522       3.4635
 3983.98       2.0968       3.7356
 3985.02       1.1677       3.6146
 3986.06      -1.2988       3.2088
 3987.09      -1.2208       3.1835
 3988.13       1.4657       3.8029
 3989.17       1.0587       3.7843
 3990.21       0.0207       3.6188
 3991.25      -0.0233       3.6815
 3992.28       2.8489       3.9377
 3993.32      -1.2011       3.3676
 3994.36      -2.4638       3.1701
 3995.40      -0.8084       3.6087
 3996.43       2.4299       3.8997
 3997.47       0.1515       3.5805
 3998.51      -0.9010       3.6096
 3999.55       1.0045       3.9541
 4000.58       1.9075       4.1951
 4001.62      -1.3491       3.7703
 4002.66      -0.9520       3.9073
 4003.70      -2.5455       3.5711
 4004.74      -0.2343       3.8186
 4005.77       1.1517       4.0380
 4006.81       1.2428       4.2152
 4007.85       0.8941       4.3699
 4008.89       1.2163       4.6990
 4009.92      -0.2664       4.5532
 4010.96       0.2003       4.4363
 4012.00       2.0585       4.8412
 4013.04       0.3508       4.4936
 4014.08      -0.9204       4.1564
 4015.11      -0.3073       4.1469
 4016.15      -1.4136       4.1677
 4017.19      -1.7790       4.1222
 4018.23      -0.4120       4.1209
 4019.26      -0.6564       3.8845
 4020.30      -1.4860       3.9438
 4021.34      -1.5405       4.0083
 4022.38       1.0812       4.2622
 4023.42      -0.0044       4.0283
 4024.45      -0.6439       3.8950
 4025.49       2.0787       4.2815
 4026.53      -0.0209       4.0753
 4027.57      -3.5000       3.3259
 4028.60      -0.7782       3.7530
 4029.64       0.7611       4.0655
 4030.68       2.6930       4.1855
 4031.72       0.2774       3.8159
 4032.75      -1.8766       3.4339
 4033.79       2.1049       4.0557
 4034.83       2.6063       4.0710
 4035.87       0.5568       3.7342
 4036.91       0.2333       3.9761
 4037.94      -0.2548       3.9204
 4038.98      -0.4322       3.9308
 4040.02       3.1046       4.3739
 4041.06       1.1735       4.1502
 4042.09       0.7099       4.2052
 4043.13      -1.5129       3.8824
 4044.17      -0.8494       3.8681
 4045.21       1.7806       4.1768
 4046.25       3.4987       4.3053
 4047.28       0.0852       3.9028
 4048.32       3.7223       4.2857
 4049.36       1.1396       3.9421
 4050.40       3.4029       4.4097
 4051.43      -0.3513       3.7993
 4052.47      -2.3669       3.4593
 4053.51      -0.6079       3.6173
 4054.55       0.6397       3.6953
 4055.58       0.5872       3.6523
 4056.62       2.1603       3.7418
 4057.66       0.3069       3.3847
 4058.70       0.3137       3.3879
 4059.74       0.1857       3.5269
 4060.77       2.2606       3.9423
 4061.81       1.6590       3.6744
 4062.85       2.1289       3.8727
 4063.89      -0.4676       3.7688
 4064.92       2.6228       4.1765
 4065.96       4.2015       4.3123
 4067.00       2.8649       4.1753
 4068.04       1.5910       3.9778
 4069.08      -0.5428       3.6571
 4070.11       1.0175       3.8687
 4071.15       0.8603       3.6841
 4072.19       1.4375       3.4975
 4073.23      -0.1829       3.3271
 4074.26       0.7454       3.4886
 4075.30       1.6581       3.6954
 4076.34      -0.2140       3.5192
 4077.38       0.1146       3.3978
 4078.42      -0.5929       3.2337
 4079.45      -2.5202       3.1770
 4080.49      -1.8707       3.4627
 4081.53       2.8358       3.9424
 4082.57       1.0028       3.5552
 4083.60       0.1787       3.3008
 4084.64       0.4278       3.2687
 4085.68       0.5452       3.5628
 4086.72       0.3643       3.4915
 4087.75      -0.4181       3.2492
 4088.79      -0.0837       3.3091
 4089.83      -2.4906       3.1040
 4090.87      -1.9363       3.0503
 4091.91       3.9957       3.6438
 4092.94       4.2102       3.6736
 4093.98       2.6471       3.4356
 4095.02       0.9898       3.2799
 4096.06       0.0483       3.0087
 4097.09       0.1213       2.9061
 4098.13      -0.5667       2.8869
 4099.17      -0.0965       2.9438
 4100.21       0.6669       2.9835
 4101.25       0.0342       2.7971
 4102.28       1.6329       2.8449
 4103.32       0.2508       2.6083
 4104.36      -1.9643       2.4731
 4105.40      -0.0108       2.6346
 4106.43      -0.3232       2.6328
 4107.47       0.7666       2.8081
 4108.51       0.2729       2.8062
 4109.55       0.3560       2.7061
 4110.58       2.1374       2.8966
 4111.62       2.3849       2.8930
 4112.66       0.6769       2.5728
 4113.70      -1.2321       2.4452
 4114.74      -0.2209       2.7311
 4115.77       0.7224       2.8142
 4116.81       1.4594       2.9088
 4117.85       0.7053       2.7252
 4118.89       0.6335       2.6352
 4119.92       1.0323       2.6693
 4120.96       0.7886       2.6949
 4122.00      -0.0626       2.6793
 4123.04      -1.0818       2.7063
 4124.08       0.7264       2.7991
 4125.11      -0.9039       2.6174
 4126.15      -1.5273       2.5436
 4127.19      -0.3445       2.7298
 4128.23       1.8856       2.9343
 4129.26       1.9570       2.8187
 4130.30       1.3926       2.8102
 4131.34       1.7780       2.8554
 4132.38       2.7135       2.8909
 4133.42       3.9326       3.0019
 4134.45       0.3835       2.6997
 4135.49      -0.9135       2.6926
 4136.53       0.5582       2.9187
 4137.57       2.5483       3.0492
 4138.60       1.9619       2.8556
 4139.64       0.2309       2.6956
 4140.68       1.2301       2.8028
 4141.72       0.6765       2.6258
 4142.75       0.6920       2.4501
 4143.79       1.2262       2.4843
 4144.83      -0.4614       2.3932
 4145.87      -1.4317       2.4128
 4146.91       0.8007       2.6896
 4147.94       1.3182       2.6776
