 
TRANSIENT_NAME:     DES15S2dyb 
SNID:               1289555    
OBS_DATE:           2015-09-21
MJD:                57286. 
PHASE:              +7.    
MJD_MAX:            57275.2
TYPE:               101
SPEC_EVAL:          SNIa?
REDSHIFT:           0.5600  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72     -21.9188    1233.3900
 3757.75     -21.9507    1129.6899
 3758.79     -27.4794    1095.3300
 3759.83       8.9185    1254.1400
 3760.87      -2.7872    1148.5900
 3761.90      -6.3638    1154.4600
 3762.94     -11.4493    1124.3900
 3763.98       1.9474    1175.8199
 3765.02      34.0221    1226.5300
 3766.06       6.9593    1154.3500
 3767.09      13.2186    1107.1801
 3768.13      46.4112    1171.3800
 3769.17     -24.6599     942.3720
 3770.21     -36.9178     976.5760
 3771.24      33.5139    1251.8600
 3772.28       8.0550    1170.7000
 3773.32     -12.9662    1048.3500
 3774.36      16.5035    1207.2300
 3775.40       8.9985    1119.6200
 3776.43      -7.7565    1018.9500
 3777.47      -9.7035    1095.6899
 3778.51     -14.1768    1134.0000
 3779.55      -9.0846     985.8050
 3780.58     -34.8404     916.2880
 3781.62     -48.0743     893.6750
 3782.66      19.2728    1031.1600
 3783.70     -11.4491    1007.7800
 3784.73       4.8990    1026.2400
 3785.77     -15.7714     923.3470
 3786.81     -15.6153     907.2920
 3787.85       8.1958    1045.7700
 3788.89      -9.0646     905.0030
 3789.92     -43.1788     788.3730
 3790.96      -7.1824     878.0860
 3792.00      -0.6805     916.6720
 3793.04      29.3446    1049.1200
 3794.07      -3.2783    1009.5800
 3795.11       8.1899     925.7370
 3796.15       8.6495     942.0480
 3797.19      28.2473     948.4710
 3798.23      30.7820     886.3520
 3799.26       0.1749     838.5230
 3800.30     -32.5654     802.6910
 3801.34      22.6897     921.1800
 3802.38     -17.1986     797.4120
 3803.41     -66.2493     641.7950
 3804.45     -21.2284     727.9280
 3805.49      -0.7125     818.7880
 3806.53       9.5116     833.4590
 3807.57      20.6824     819.4550
 3808.60      13.6232     769.3090
 3809.64     -11.0290     741.3460
 3810.68       4.3163     756.6480
 3811.72      -4.6746     720.7070
 3812.75       5.3346     777.5370
 3813.79      37.5980     835.0100
 3814.83       1.2613     718.3860
 3815.87     -27.3790     651.8760
 3816.90      10.9552     736.7360
 3817.94     -19.5183     636.1360
 3818.98      12.1757     672.8290
 3820.02      22.0531     679.1360
 3821.06      37.7969     719.3000
 3822.09      28.0483     675.7020
 3823.13      19.0039     653.6680
 3824.17      14.8200     641.4610
 3825.21      -0.1560     563.9180
 3826.24       2.9882     563.4460
 3827.28      -8.2253     553.5310
 3828.32     -27.1434     517.0960
 3829.36     -12.7704     573.6260
 3830.40     -20.8057     614.4580
 3831.43     -37.2827     661.1870
 3832.47      -2.4558     595.8020
 3833.51     -16.8473     542.3590
 3834.55       7.5950     558.2400
 3835.58       9.0606     542.8220
 3836.62     -32.2649     466.0560
 3837.66     -11.6615     492.0090
 3838.70     -10.2393     472.3080
 3839.74      -5.7328     467.2740
 3840.77       4.5259     485.6250
 3841.81      -2.4399     450.0900
 3842.85     -16.2045     413.9890
 3843.89      18.8874     495.3050
 3844.92       6.6441     466.9900
 3845.96      -3.4411     448.1090
 3847.00     -14.0629     428.6200
 3848.04     -12.1184     406.7220
 3849.07      15.4968     451.9690
 3850.11      14.1420     452.3190
 3851.15      -3.6984     424.0000
 3852.19     -13.8774     395.9020
 3853.23       2.7308     431.6450
 3854.26      11.2575     446.7050
 3855.30     -19.9172     360.7030
 3856.34      -6.3781     431.2120
 3857.38     -12.5778     510.7880
 3858.41     -30.9925     339.2790
 3859.45      -4.4906     369.0110
 3860.49     -11.1650     369.7390
 3861.53      11.7600     418.6150
 3862.57       3.4620     412.8560
 3863.60      -1.2610     400.8330
 3864.64       4.2266     391.0260
 3865.68      11.4177     404.3400
 3866.72      -4.0305     390.8210
 3867.75     -11.9915     359.5070
 3868.79      18.8513     410.2760
 3869.83     -14.7405     347.8400
 3870.87     -14.1279     335.7700
 3871.91     -30.5158     316.7880
 3872.94      -7.9871     343.5140
 3873.98      10.1015     389.7890
 3875.02      10.4034     383.6900
 3876.06      16.5782     390.4830
 3877.09      19.8206     397.7340
 3878.13      12.7741     373.1670
 3879.17      -9.0051     327.7980
 3880.21      -4.8085     337.3190
 3881.24      -4.2025     330.4920
 3882.28       2.6566     334.3480
 3883.32       2.4838     329.6130
 3884.36       9.4070     323.6010
 3885.40       8.8553     317.5460
 3886.43       9.0274     311.0770
 3887.47     -12.7399     276.3670
 3888.51      -1.2103     287.9430
 3889.55     -36.9807     249.2160
 3890.58       1.8267     306.2950
 3891.62       5.2171     300.1880
 3892.66       3.8279     308.7730
 3893.70      11.2441     317.2260
 3894.74     -17.5713     264.6180
 3895.77       3.2494     297.8870
 3896.81       8.3362     294.1100
 3897.85      -4.6200     273.5470
 3898.89       9.8922     301.7910
 3899.92       1.2966     290.8490
 3900.96       2.1820     287.6260
 3902.00       9.2088     304.2900
 3903.04      12.2086     300.8450
 3904.07       9.5898     286.7360
 3905.11      11.3350     303.2350
 3906.15      -2.6046     311.7200
 3907.19      10.5398     322.0510
 3908.23       9.3727     315.1400
 3909.26     -17.3549     284.4200
 3910.30      -9.9625     295.0190
 3911.34       8.2999     309.9470
 3912.38      -4.4582     283.1170
 3913.41      -8.3448     273.6350
 3914.45       6.9328     288.9460
 3915.49     -19.1798     241.0170
 3916.53      -1.0311     254.8350
 3917.57      10.9884     255.9410
 3918.60      23.5890     267.5010
 3919.64       9.0047     247.2800
 3920.68       9.0188     232.8260
 3921.72       5.9663     228.9480
 3922.75     -16.7093     201.9300
 3923.79     -14.2340     204.5040
 3924.83      -1.1360     210.7610
 3925.87      18.1049     220.5690
 3926.91      -0.6487     195.8020
 3927.94      -4.5331     176.2910
 3928.98      -6.9638     183.5980
 3930.02     -22.3735     145.4460
 3931.06      -1.3584     162.6050
 3932.09      -1.2238     167.9000
 3933.13     -16.9875     141.2890
 3934.17      -8.2948     150.6770
 3935.21       4.1817     161.5640
 3936.24       2.1704     156.1930
 3937.28      -2.2803     153.7100
 3938.32       9.7542     180.8550
 3939.36      17.9460     200.4500
 3940.40      10.4609     184.3240
 3941.43       5.0324     181.0030
 3942.47      -2.8856     172.8930
 3943.51      -4.8194     160.4190
 3944.55      13.8639     184.6550
 3945.58      24.3258     197.3850
 3946.62      -5.1375     160.2600
 3947.66     -18.0429     141.7380
 3948.70      17.5512     184.9430
 3949.74      18.2939     190.3830
 3950.77       5.8166     171.7980
 3951.81      -0.4862     164.9010
 3952.85      -0.4282     156.8020
 3953.89       1.4655     157.1610
 3954.92       4.1076     162.9690
 3955.96      16.4811     178.6760
 3957.00       7.7890     165.9950
 3958.04      10.0671     165.9160
 3959.08      -8.6033     142.5340
 3960.11      -1.9784     154.0820
 3961.15      14.5201     171.4650
 3962.19      15.7179     172.9390
 3963.23      16.5702     166.6490
 3964.26      -1.5170     138.5480
 3965.30     -12.1317     125.0580
 3966.34       7.1982     145.4930
 3967.38      17.6479     151.5260
 3968.41      -7.0224     127.0510
 3969.45      -7.5913     124.0120
 3970.49       6.2437     138.5140
 3971.53      16.6618     149.5860
 3972.57      18.6000     152.4950
 3973.60       0.4670     144.3460
 3974.64       3.9980     148.6440
 3975.68       3.3190     151.5080
 3976.72     -14.4658     144.2270
 3977.75     -10.1026     136.2600
 3978.79       1.0120     142.8210
 3979.83      -2.7202     148.5850
 3980.87      -9.0285     140.3760
 3981.91      -2.9767     140.8710
 3982.94     -10.1529     140.4030
 3983.98      -1.2325     141.6600
 3985.02       8.7907     153.8070
 3986.06      -5.4029     139.8620
 3987.09       1.1559     144.8900
 3988.13      16.2912     163.1730
 3989.17      20.4252     175.9100
 3990.21      10.9623     163.1960
 3991.25       9.7705     159.6940
 3992.28       7.4498     162.3570
 3993.32       5.9029     163.2150
 3994.36       6.9947     156.5810
 3995.40       8.7962     156.1520
 3996.43       8.3002     153.0430
 3997.47       0.5212     155.9080
 3998.51      -3.8311     159.5360
 3999.55      -0.5120     165.4700
 4000.58       5.6278     177.2950
 4001.62      10.4484     178.9020
 4002.66       1.6684     170.1250
 4003.70       9.1844     182.1720
 4004.74       4.8454     175.6310
 4005.77     -18.3700     153.9220
 4006.81      -5.8848     174.1740
 4007.85      15.4163     200.3310
 4008.89      11.3370     200.1450
 4009.92      16.2178     209.7640
 4010.96       8.3268     203.0070
 4012.00      -0.6272     197.3770
 4013.04       3.4427     200.9160
 4014.08       0.8850     189.0050
 4015.11       4.7271     188.5040
 4016.15       2.5487     184.3480
 4017.19       4.8144     183.6480
 4018.23      15.8955     196.3130
 4019.26      32.8118     209.2720
 4020.30      13.7329     193.0190
 4021.34      -8.8582     165.7660
 4022.38      -7.5137     160.5820
 4023.42      -0.3347     168.5000
 4024.45       5.0126     176.1490
 4025.49      -0.4069     169.4940
 4026.53      -1.7593     164.0920
 4027.57      11.0735     175.3430
 4028.60      13.1426     177.6100
 4029.64       1.2580     164.7110
 4030.68       3.0291     167.8110
 4031.72       3.2924     159.6510
 4032.75      -3.9269     147.8990
 4033.79      11.0374     164.3950
 4034.83      27.2477     181.8730
 4035.87      11.7621     168.9520
 4036.91      -4.9082     156.8610
 4037.94       6.9809     166.7100
 4038.98      13.8414     175.1140
 4040.02      -4.2876     157.8910
 4041.06      -2.1581     160.9920
 4042.09       7.8905     178.1190
 4043.13       6.9089     179.9560
 4044.17      -8.5367     161.4970
 4045.21      10.3292     172.0700
 4046.25      16.6575     175.3940
 4047.28       3.5386     167.6710
 4048.32       0.8135     167.2500
 4049.36      -5.6639     159.4360
 4050.40     -20.7964     146.4750
 4051.43      -0.5815     155.0610
 4052.47      17.5053     167.1000
 4053.51       9.9551     156.0310
 4054.55      -3.6409     148.5050
 4055.58      -6.1656     160.1960
 4056.62      -1.1110     152.0310
 4057.66      -4.2249     132.6170
 4058.70     -13.6007     132.4430
 4059.74      -5.4675     142.9250
 4060.77      -7.2009     139.1030
 4061.81       0.6523     148.3190
 4062.85       6.1875     161.2470
 4063.89      -6.0901     147.7570
 4064.92       0.9642     151.7980
 4065.96      -5.2854     148.8820
 4067.00     -11.4678     145.2820
 4068.04      -1.6622     153.1530
 4069.08     -13.5539     136.2180
 4070.11       2.6435     146.6540
 4071.15      19.6347     158.2760
 4072.19      15.1943     149.7970
 4073.23      -0.2080     135.7360
 4074.26      -5.6968     131.3380
 4075.30      -5.3068     134.6740
 4076.34      -7.3530     134.6650
 4077.38      -2.7258     139.5930
 4078.42       5.7572     139.3440
 4079.45       3.7989     140.5180
 4080.49       4.3607     148.9320
 4081.53       7.3973     147.4370
 4082.57       1.1575     136.0420
 4083.60       7.8819     141.2490
